Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,4.21,4.23,4.15,4.20,0,4.20
10-May-05,4.26,4.26,4.22,4.22,0,4.22
9-May-05,4.28,4.29,4.27,4.28,0,4.28
6-May-05,4.16,4.28,4.16,4.27,0,4.27
5-May-05,4.21,4.22,4.14,4.16,0,4.16
4-May-05,4.18,4.24,4.17,4.19,0,4.19
3-May-05,4.19,4.22,4.16,4.19,0,4.19
2-May-05,4.19,4.23,4.18,4.19,0,4.19
29-Apr-05,4.20,4.21,4.14,4.20,0,4.20
28-Apr-05,4.22,4.23,4.17,4.17,0,4.17
27-Apr-05,4.29,4.29,4.20,4.24,0,4.24
26-Apr-05,4.24,4.30,4.22,4.27,0,4.27
25-Apr-05,4.24,4.26,4.24,4.25,0,4.25
22-Apr-05,4.27,4.29,4.25,4.26,0,4.26
21-Apr-05,4.24,4.31,4.22,4.30,0,4.30
20-Apr-05,4.23,4.30,4.20,4.21,0,4.21
19-Apr-05,4.28,4.28,4.19,4.20,0,4.20
18-Apr-05,4.24,4.27,4.22,4.25,0,4.25
15-Apr-05,4.31,4.33,4.27,4.27,158000,4.27
14-Apr-05,4.35,4.38,4.34,4.36,0,4.36
13-Apr-05,4.36,4.40,4.33,4.37,0,4.37
12-Apr-05,4.45,4.47,4.35,4.36,157700,4.36
11-Apr-05,4.49,4.49,4.43,4.45,157900,4.45
8-Apr-05,4.50,4.53,4.47,4.49,157900,4.49
7-Apr-05,4.42,4.49,4.39,4.47,0,4.47
6-Apr-05,4.46,4.46,4.43,4.44,0,4.44
5-Apr-05,4.46,4.48,4.44,4.47,0,4.47
4-Apr-05,4.46,4.47,4.42,4.46,0,4.46
1-Apr-05,4.49,4.54,4.40,4.45,0,4.45
31-Mar-05,4.56,4.56,4.49,4.50,0,4.50
30-Mar-05,4.57,4.60,4.55,4.56,0,4.56
29-Mar-05,4.61,4.61,4.58,4.59,0,4.59
28-Mar-05,4.61,4.64,4.61,4.62,0,4.62
24-Mar-05,4.59,4.61,4.57,4.59,110800,4.59
23-Mar-05,4.61,4.69,4.59,4.61,0,4.61
22-Mar-05,4.51,4.62,4.47,4.61,0,4.61
21-Mar-05,4.52,4.53,4.51,4.53,0,4.53
18-Mar-05,4.50,4.51,4.49,4.51,158000,4.51
17-Mar-05,4.47,4.48,4.44,4.47,0,4.47
16-Mar-05,4.52,4.54,4.46,4.52,159400,4.52
15-Mar-05,4.49,4.55,4.47,4.54,158000,4.54
14-Mar-05,4.54,4.57,4.51,4.52,158000,4.52
11-Mar-05,4.49,4.55,4.49,4.53,157700,4.53
10-Mar-05,4.55,4.55,4.45,4.46,157200,4.46
9-Mar-05,4.48,4.51,4.44,4.51,158100,4.51
8-Mar-05,4.33,4.39,4.33,4.38,0,4.38
7-Mar-05,4.30,4.31,4.29,4.30,159000,4.30
4-Mar-05,4.38,4.43,4.30,4.31,158000,4.31
3-Mar-05,4.37,4.39,4.35,4.38,157900,4.38
2-Mar-05,4.39,4.41,4.36,4.38,157900,4.38
1-Mar-05,4.36,4.39,4.36,4.37,157800,4.37
28-Feb-05,4.27,4.38,4.27,4.36,157900,4.36
25-Feb-05,4.27,4.29,4.25,4.27,158000,4.27
24-Feb-05,4.25,4.28,4.23,4.28,158000,4.28
23-Feb-05,4.28,4.30,4.22,4.27,158000,4.27
22-Feb-05,4.28,4.29,4.26,4.28,158000,4.28
18-Feb-05,4.21,4.28,4.21,4.26,110800,4.26
17-Feb-05,4.18,4.20,4.16,4.18,158000,4.18
16-Feb-05,4.10,4.17,4.09,4.16,159700,4.16
15-Feb-05,4.08,4.11,4.08,4.10,158000,4.10
14-Feb-05,4.11,4.11,4.06,4.07,158000,4.07
11-Feb-05,4.09,4.11,4.06,4.09,157900,4.09
10-Feb-05,4.01,4.08,4.01,4.07,159600,4.07
9-Feb-05,4.03,4.06,3.98,3.98,159600,3.98
8-Feb-05,4.06,4.07,4.01,4.04,158000,4.04
7-Feb-05,4.08,4.09,4.04,4.05,158000,4.05
4-Feb-05,4.16,4.16,4.05,4.07,158000,4.07
3-Feb-05,4.16,4.19,4.16,4.16,157900,4.16
2-Feb-05,4.14,4.16,4.13,4.14,157900,4.14
1-Feb-05,4.13,4.15,4.12,4.14,157900,4.14
31-Jan-05,4.16,4.17,4.13,4.13,0,4.13
28-Jan-05,4.19,4.20,4.13,4.14,0,4.14
27-Jan-05,4.22,4.24,4.20,4.21,0,4.21
26-Jan-05,4.20,4.20,4.17,4.19,0,4.19
25-Jan-05,4.13,4.20,4.12,4.19,0,4.19
24-Jan-05,4.14,4.15,4.12,4.12,0,4.12
21-Jan-05,4.18,4.18,4.14,4.14,0,4.14
20-Jan-05,4.20,4.22,4.15,4.16,0,4.16
19-Jan-05,4.16,4.21,4.15,4.19,0,4.19
18-Jan-05,4.23,4.24,4.19,4.20,0,4.20
14-Jan-05,4.18,4.23,4.16,4.22,0,4.22
13-Jan-05,4.24,4.24,4.17,4.19,0,4.19
12-Jan-05,4.25,4.27,4.22,4.24,0,4.24
11-Jan-05,4.29,4.30,4.24,4.24,0,4.24
10-Jan-05,4.27,4.30,4.26,4.28,0,4.28
7-Jan-05,4.26,4.31,4.15,4.28,0,4.28
6-Jan-05,4.29,4.30,4.26,4.27,0,4.27
5-Jan-05,4.30,4.30,4.26,4.28,0,4.28
4-Jan-05,4.21,4.31,4.20,4.28,0,4.28
3-Jan-05,4.26,4.27,4.20,4.22,0,4.22
31-Dec-04,4.23,4.24,4.22,4.22,0,4.22
30-Dec-04,4.32,4.32,4.26,4.26,0,4.26
29-Dec-04,4.29,4.33,4.28,4.32,0,4.32
28-Dec-04,4.30,4.35,4.29,4.29,0,4.29
27-Dec-04,4.24,4.31,4.24,4.29,0,4.29
23-Dec-04,4.21,4.23,4.20,4.22,0,4.22
22-Dec-04,4.18,4.21,4.17,4.20,0,4.20
21-Dec-04,4.18,4.20,4.17,4.17,0,4.17
20-Dec-04,4.19,4.21,4.18,4.20,0,4.20
17-Dec-04,4.18,4.25,4.17,4.21,0,4.21
16-Dec-04,4.09,4.19,4.09,4.18,0,4.18
