Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,28.68,28.84,28.18,28.40,4758500,28.40
10-May-05,29.31,29.32,28.52,28.63,4489400,28.63
9-May-05,29.42,29.62,29.11,29.35,3154200,29.35
6-May-05,29.65,29.70,29.30,29.32,3041100,29.32
5-May-05,29.60,29.76,29.20,29.35,2823700,29.35
4-May-05,29.18,29.50,29.15,29.46,3362800,29.46
3-May-05,29.40,29.59,29.22,29.30,5095700,29.15
2-May-05,29.14,29.20,28.95,29.19,3222800,29.04
29-Apr-05,28.60,29.02,28.37,29.02,4316600,28.87
28-Apr-05,28.55,28.76,28.27,28.57,5761000,28.42
27-Apr-05,28.86,28.94,28.28,28.73,4956700,28.58
26-Apr-05,29.50,29.50,28.62,28.85,4781100,28.70
25-Apr-05,29.55,29.59,29.12,29.44,3838100,29.29
22-Apr-05,29.15,29.79,28.98,29.20,6188000,29.05
21-Apr-05,29.08,29.60,28.72,29.55,6223300,29.40
20-Apr-05,29.32,29.37,28.73,28.90,5371700,28.75
19-Apr-05,29.53,29.95,29.06,29.39,6743000,29.24
18-Apr-05,29.31,29.95,29.20,29.59,6576300,29.44
15-Apr-05,29.55,30.11,29.15,29.30,8473900,29.15
14-Apr-05,30.45,30.47,29.72,29.90,7228700,29.75
13-Apr-05,31.08,31.32,30.19,30.40,6402200,30.24
12-Apr-05,30.95,31.45,30.65,31.32,4339900,31.16
11-Apr-05,31.46,31.57,31.05,31.17,3775600,31.01
8-Apr-05,31.78,31.80,31.48,31.61,6580800,31.45
7-Apr-05,31.00,31.47,30.86,31.47,11115900,31.31
6-Apr-05,30.03,30.39,29.98,29.98,4447400,29.83
5-Apr-05,29.95,30.44,29.82,29.98,3782900,29.83
4-Apr-05,30.34,30.35,29.87,30.08,4628800,29.93
1-Apr-05,30.60,30.83,30.18,30.27,3602900,30.12
31-Mar-05,30.45,30.78,30.10,30.39,6317200,30.23
30-Mar-05,29.60,29.98,29.45,29.90,5802000,29.75
29-Mar-05,30.05,30.28,29.47,29.57,7170500,29.42
28-Mar-05,30.36,30.64,30.02,30.05,4506400,29.90
24-Mar-05,30.45,30.55,30.30,30.36,5927600,30.20
23-Mar-05,30.70,30.75,30.35,30.39,7107900,30.23
22-Mar-05,31.57,31.70,30.96,30.96,4448000,30.80
21-Mar-05,31.68,31.78,31.21,31.46,2863500,31.30
18-Mar-05,31.65,31.72,31.15,31.68,6211100,31.52
17-Mar-05,31.38,31.68,31.00,31.56,3922300,31.40
16-Mar-05,31.50,31.51,31.09,31.38,4397000,31.22
15-Mar-05,31.75,31.95,31.48,31.59,5968100,31.43
14-Mar-05,31.28,31.40,30.85,31.18,4657700,31.02
11-Mar-05,30.63,31.17,30.52,31.00,4416800,30.84
10-Mar-05,30.88,30.90,30.12,30.48,5237700,30.32
9-Mar-05,31.07,31.50,30.85,30.92,4959700,30.76
8-Mar-05,31.48,31.60,31.14,31.24,3803600,31.08
7-Mar-05,32.04,32.10,31.29,31.35,4195700,31.19
4-Mar-05,31.40,31.95,31.34,31.80,4697000,31.64
3-Mar-05,31.60,31.72,31.08,31.28,3877900,31.12
2-Mar-05,31.40,31.62,31.02,31.30,4031300,31.14
1-Mar-05,32.11,32.29,31.55,31.66,4978100,31.50
28-Feb-05,31.88,32.17,31.75,32.12,6743200,31.96
25-Feb-05,31.46,32.00,31.40,31.63,6121600,31.47
24-Feb-05,31.37,31.46,30.94,31.46,4882200,31.30
23-Feb-05,30.96,31.23,30.90,30.99,3518600,30.83
22-Feb-05,31.15,31.62,30.69,30.71,5667000,30.55
18-Feb-05,31.16,31.44,31.07,31.10,4916200,30.94
17-Feb-05,30.85,31.50,30.20,31.04,7021100,30.88
16-Feb-05,29.84,30.80,29.76,30.60,7073600,30.44
15-Feb-05,29.95,30.05,29.70,29.81,4079500,29.66
14-Feb-05,29.98,30.15,29.87,29.89,3983400,29.74
11-Feb-05,29.53,30.08,29.49,29.85,3575300,29.70
10-Feb-05,29.42,29.73,29.34,29.47,3347100,29.32
9-Feb-05,29.87,29.96,29.23,29.24,5509700,29.09
8-Feb-05,29.63,30.01,29.36,30.00,5662200,29.85
7-Feb-05,29.47,29.76,29.45,29.62,3386700,29.47
4-Feb-05,29.26,29.45,28.90,29.37,3776800,29.22
3-Feb-05,29.48,29.48,29.10,29.14,3896300,28.99
2-Feb-05,29.45,29.60,29.24,29.48,3570600,29.33
1-Feb-05,29.73,29.73,29.25,29.56,4608600,29.26
31-Jan-05,29.30,29.59,29.02,29.51,5190500,29.21
28-Jan-05,29.00,29.18,28.88,28.97,4654700,28.68
27-Jan-05,28.64,29.15,28.56,29.06,3972900,28.76
26-Jan-05,28.01,28.85,28.01,28.64,5483000,28.35
25-Jan-05,29.15,29.17,28.30,28.37,8181900,28.08
24-Jan-05,29.17,29.36,28.77,28.81,4667500,28.52
21-Jan-05,28.83,29.37,28.77,28.93,5984900,28.64
20-Jan-05,29.99,30.00,28.64,28.70,6632900,28.41
19-Jan-05,29.60,29.65,29.11,29.18,5946600,28.88
18-Jan-05,29.60,29.89,29.16,29.77,4862700,29.47
14-Jan-05,29.60,30.00,29.56,29.90,3992200,29.60
13-Jan-05,29.43,29.81,29.27,29.50,5483500,29.20
12-Jan-05,29.72,29.84,29.25,29.43,9754100,29.13
11-Jan-05,29.61,30.05,29.22,29.65,14470000,29.35
10-Jan-05,30.52,30.88,30.36,30.47,8326300,30.16
7-Jan-05,30.42,31.00,30.39,30.69,5741600,30.38
6-Jan-05,30.50,30.84,30.31,30.38,6196700,30.07
5-Jan-05,30.43,30.67,29.79,30.25,6582200,29.94
