Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,35.20,35.67,33.11,35.61,72927904,35.61
10-May-05,36.75,37.25,36.33,36.42,15723700,36.42
9-May-05,37.28,37.45,36.75,36.97,12703400,36.97
6-May-05,36.89,37.33,36.79,37.24,11651700,37.24
5-May-05,37.25,37.27,36.47,36.68,13834500,36.68
4-May-05,36.11,37.20,36.10,37.15,16006300,37.15
3-May-05,36.40,36.74,36.03,36.21,17740700,36.21
2-May-05,36.21,36.65,36.02,36.43,16640000,36.43
29-Apr-05,36.15,36.23,35.22,36.06,23986800,36.06
28-Apr-05,36.29,36.34,35.24,35.54,20539500,35.54
27-Apr-05,35.89,36.36,35.51,35.95,21924600,35.95
26-Apr-05,36.78,37.51,36.12,36.19,28946700,36.19
25-Apr-05,36.49,37.02,36.11,36.98,26659300,36.98
22-Apr-05,36.84,37.00,34.90,35.50,29968900,35.50
21-Apr-05,36.40,37.21,35.90,37.18,27128300,37.18
20-Apr-05,37.66,37.74,35.44,35.51,33754700,35.51
19-Apr-05,36.60,37.44,35.87,37.09,38630100,37.09
18-Apr-05,35.00,36.30,34.00,35.62,47399200,35.62
15-Apr-05,36.62,37.25,35.28,35.35,61717400,35.35
14-Apr-05,38.81,39.56,36.84,37.26,98328304,37.26
13-Apr-05,42.95,42.99,40.39,41.04,48998100,41.04
12-Apr-05,42.49,43.19,42.01,42.66,35037900,42.66
11-Apr-05,44.15,44.25,41.91,41.92,29345100,41.92
8-Apr-05,43.70,44.45,43.54,43.74,23212500,43.74
7-Apr-05,42.33,43.75,42.25,43.56,18106700,43.56
6-Apr-05,42.40,42.81,42.15,42.33,14815200,42.33
5-Apr-05,41.22,42.24,41.09,41.89,19865700,41.89
4-Apr-05,40.99,41.31,40.16,41.09,20714800,41.09
1-Apr-05,42.09,42.18,40.57,40.89,22903000,40.89
31-Mar-05,42.45,42.52,41.59,41.67,22719100,41.67
30-Mar-05,42.07,42.80,41.82,42.80,14105700,42.80
29-Mar-05,42.56,42.83,41.50,41.75,16477000,41.75
28-Mar-05,42.75,42.96,42.47,42.53,9836100,42.53
24-Mar-05,42.91,43.00,42.50,42.50,12596600,42.50
23-Mar-05,42.45,43.40,42.02,42.55,21779400,42.55
22-Mar-05,43.71,43.96,42.68,42.83,19693400,42.83
21-Mar-05,43.29,43.97,42.86,43.70,19326000,43.70
18-Mar-05,43.33,43.44,42.50,42.96,33576800,42.96
17-Mar-05,41.53,42.88,41.32,42.25,28640000,42.25
16-Mar-05,41.21,42.31,40.78,41.18,24921900,41.18
15-Mar-05,40.64,41.14,40.25,40.96,18164600,40.96
14-Mar-05,40.52,40.79,39.52,40.32,21620900,40.32
11-Mar-05,40.21,40.59,39.80,40.27,22601100,40.27
10-Mar-05,39.53,40.26,39.10,39.83,27753900,39.83
9-Mar-05,39.64,40.28,38.83,39.35,47230900,39.35
8-Mar-05,41.90,42.16,40.10,40.53,36480400,40.53
7-Mar-05,42.80,43.25,42.35,42.75,16094000,42.75
4-Mar-05,42.76,43.01,41.85,42.81,27022100,42.81
3-Mar-05,44.37,44.41,41.22,41.79,50416200,41.79
