Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,19.20,19.20,18.30,18.60,41200,18.60
10-May-05,19.45,19.45,18.91,19.09,13000,19.09
9-May-05,19.20,19.43,19.00,19.43,15200,19.43
6-May-05,19.10,19.35,19.10,19.20,9900,19.20
5-May-05,18.99,19.30,18.99,19.25,5400,19.25
4-May-05,19.20,19.20,18.80,19.15,3500,19.15
3-May-05,19.05,19.25,19.00,19.18,6200,19.18
2-May-05,19.05,19.25,18.90,18.90,8300,18.90
29-Apr-05,18.85,19.00,18.55,18.90,6700,18.90
28-Apr-05,19.00,19.00,18.75,18.75,5300,18.75
27-Apr-05,18.55,19.00,18.34,18.75,11800,18.75
26-Apr-05,19.00,19.08,18.51,18.60,6500,18.60
25-Apr-05,18.75,18.95,18.75,18.95,7600,18.95
22-Apr-05,19.20,19.40,18.75,18.75,9800,18.75
21-Apr-05,18.90,19.40,18.88,18.95,14300,18.95
20-Apr-05,18.80,19.15,18.80,19.00,9800,19.00
19-Apr-05,19.25,19.25,18.75,18.75,17400,18.75
18-Apr-05,19.05,19.35,18.90,19.25,19100,19.25
15-Apr-05,19.20,19.24,18.52,19.15,17600,19.15
14-Apr-05,18.95,19.35,18.90,19.35,4400,19.35
13-Apr-05,19.10,19.25,18.81,19.05,21700,19.05
12-Apr-05,20.00,20.05,19.85,19.97,37500,19.48
11-Apr-05,19.70,20.00,19.55,20.00,12900,19.51
8-Apr-05,20.00,20.00,19.01,19.57,9600,19.09
7-Apr-05,19.40,20.00,19.25,20.00,20300,19.51
6-Apr-05,18.90,19.34,18.90,19.30,13500,18.82
5-Apr-05,18.76,19.15,18.70,18.90,20100,18.43
4-Apr-05,19.00,19.18,18.70,18.85,16300,18.39
1-Apr-05,19.05,19.30,18.90,19.10,11500,18.63
31-Mar-05,19.65,19.90,19.15,19.18,26200,18.71
30-Mar-05,19.75,20.45,19.62,19.79,40900,19.30
29-Mar-05,19.00,19.75,18.90,19.65,17200,19.17
