Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,26.98,27.78,26.25,26.67,10673200,26.67
10-May-05,26.90,27.07,26.68,26.95,5296400,26.95
9-May-05,26.95,27.18,26.95,27.06,5877500,27.06
6-May-05,26.95,27.15,26.81,26.89,5731700,26.89
5-May-05,26.70,26.96,26.63,26.71,4377700,26.71
4-May-05,26.25,26.82,26.18,26.79,5148800,26.79
3-May-05,26.33,26.45,26.02,26.25,6978000,26.25
2-May-05,26.57,26.72,26.11,26.33,6402600,26.33
29-Apr-05,26.05,26.40,25.71,26.40,8258300,26.40
28-Apr-05,26.60,26.69,25.82,25.90,9813800,25.90
27-Apr-05,26.70,26.90,26.51,26.84,5436700,26.84
26-Apr-05,27.11,27.12,26.80,26.80,5729200,26.80
25-Apr-05,27.34,27.42,27.05,27.20,4302800,27.20
22-Apr-05,27.60,27.71,26.94,27.30,4895700,27.30
21-Apr-05,26.81,27.75,26.71,27.67,7123100,27.67
20-Apr-05,26.95,27.23,26.60,26.62,5296000,26.62
19-Apr-05,26.85,27.29,26.85,27.15,6067900,27.15
18-Apr-05,27.00,27.30,26.94,26.94,5973600,26.94
15-Apr-05,27.56,27.75,27.33,27.37,7504500,27.37
14-Apr-05,27.64,27.88,27.52,27.63,5555200,27.63
13-Apr-05,28.03,28.30,27.70,27.70,4321500,27.70
12-Apr-05,28.10,28.21,27.72,28.14,6098200,28.14
11-Apr-05,28.39,28.46,28.05,28.13,4356300,28.13
8-Apr-05,28.64,29.00,28.30,28.40,4488000,28.40
7-Apr-05,28.41,28.71,28.35,28.70,4715200,28.70
6-Apr-05,28.65,28.67,28.34,28.41,3707800,28.41
5-Apr-05,28.37,28.66,28.31,28.54,4413500,28.54
4-Apr-05,28.65,28.67,28.32,28.43,4609900,28.43
1-Apr-05,28.79,28.89,28.51,28.58,5189700,28.58
31-Mar-05,28.40,28.85,28.25,28.73,6356600,28.73
30-Mar-05,28.00,28.45,27.97,28.35,4857300,28.35
29-Mar-05,28.10,28.25,27.80,27.90,6159900,27.90
28-Mar-05,27.93,28.42,27.91,28.17,5121100,28.17
24-Mar-05,27.80,28.15,27.75,27.75,4776000,27.75
23-Mar-05,27.91,28.03,27.73,27.78,5188800,27.78
22-Mar-05,28.08,28.41,27.78,27.78,5067400,27.78
21-Mar-05,28.22,28.39,27.90,28.18,4363500,28.18
18-Mar-05,28.44,28.44,27.82,28.09,11587800,28.09
17-Mar-05,28.85,28.89,28.32,28.37,6391300,28.37
16-Mar-05,28.45,28.92,28.40,28.65,9724800,28.65
15-Mar-05,28.30,28.97,28.30,28.60,10716800,28.60
14-Mar-05,28.00,28.10,27.63,28.02,7877000,28.02
11-Mar-05,28.12,28.21,27.47,27.59,6875100,27.59
10-Mar-05,27.88,28.21,27.81,28.00,4910900,28.00
9-Mar-05,28.38,28.52,27.69,27.98,9170800,27.98
8-Mar-05,28.75,28.76,28.43,28.53,6346600,28.53
7-Mar-05,28.87,29.00,28.75,28.96,4056400,28.96
4-Mar-05,28.75,28.97,28.61,28.88,6052900,28.88
3-Mar-05,28.69,28.77,28.41,28.57,6836500,28.57
2-Mar-05,28.40,28.85,28.30,28.69,4631100,28.69
1-Mar-05,27.97,28.51,27.90,28.48,7472700,28.48
28-Feb-05,27.74,27.94,27.60,27.94,6507100,27.94
25-Feb-05,28.10,28.50,27.51,27.89,10067400,27.89
24-Feb-05,28.54,28.77,28.09,28.15,8438300,28.15
23-Feb-05,28.43,28.84,28.10,28.65,5963500,28.65
22-Feb-05,28.84,29.00,28.42,28.43,7468900,28.43
18-Feb-05,29.36,29.37,29.06,29.06,5124300,29.06
17-Feb-05,29.24,29.47,29.15,29.35,4759400,29.35
16-Feb-05,29.50,29.50,29.27,29.33,4075300,29.33
15-Feb-05,29.31,29.58,29.24,29.58,5025600,29.58
14-Feb-05,29.24,29.44,29.00,29.39,5077200,29.39
11-Feb-05,29.24,29.54,28.98,29.34,6015200,29.34
10-Feb-05,29.53,29.57,29.22,29.35,5401500,29.35
9-Feb-05,29.75,29.83,29.35,29.35,6533100,29.35
8-Feb-05,29.88,29.99,29.62,29.84,5937900,29.84
7-Feb-05,29.42,29.90,29.26,29.88,9271600,29.88
4-Feb-05,28.77,29.36,28.67,29.31,9252200,29.31
3-Feb-05,28.86,28.86,28.52,28.80,5135700,28.80
2-Feb-05,28.89,28.90,28.68,28.83,7657300,28.83
1-Feb-05,28.75,28.97,28.43,28.80,10740600,28.80
31-Jan-05,28.60,28.85,28.45,28.63,6819400,28.63
28-Jan-05,28.20,28.38,27.96,28.23,7690300,28.23
27-Jan-05,28.42,28.56,28.06,28.30,7144000,28.30
26-Jan-05,28.91,28.91,28.31,28.58,7389500,28.58
25-Jan-05,28.18,28.85,27.95,28.80,9908100,28.80
24-Jan-05,28.15,28.27,27.90,27.95,6038800,27.95
21-Jan-05,28.52,28.59,28.15,28.15,6172400,28.15
20-Jan-05,28.40,28.71,28.25,28.52,5883300,28.52
19-Jan-05,28.77,28.94,28.46,28.50,8515500,28.50
18-Jan-05,28.31,28.85,28.25,28.74,9546700,28.74
14-Jan-05,28.08,28.50,28.05,28.30,12334100,28.30
13-Jan-05,27.88,27.88,27.63,27.75,6652400,27.75
12-Jan-05,27.22,27.88,27.16,27.72,7811400,27.72
11-Jan-05,27.16,27.44,27.11,27.21,7538800,27.21
10-Jan-05,27.15,27.38,27.10,27.28,4449400,27.28
7-Jan-05,27.50,27.54,27.05,27.17,6535000,27.17
6-Jan-05,27.43,27.86,27.36,27.44,5531200,27.44
5-Jan-05,27.75,27.75,27.39,27.40,5381000,27.40
4-Jan-05,28.22,28.22,27.52,27.55,5814400,27.55
3-Jan-05,27.81,28.26,27.81,27.85,5622000,27.85
31-Dec-04,27.98,28.00,27.76,27.80,2418700,27.80
30-Dec-04,27.98,28.03,27.88,27.88,3895700,27.88
29-Dec-04,27.88,27.98,27.82,27.95,3549100,27.95
28-Dec-04,27.77,27.99,27.69,27.99,3306800,27.99
27-Dec-04,27.66,27.85,27.59,27.75,2907200,27.75
23-Dec-04,27.56,27.68,27.52,27.59,2901000,27.59
22-Dec-04,27.57,27.65,27.38,27.63,4236500,27.63
21-Dec-04,27.37,27.65,27.29,27.48,4323000,27.48
20-Dec-04,27.43,27.63,27.23,27.42,4551900,27.42
17-Dec-04,27.56,27.75,27.35,27.37,8063600,27.37
16-Dec-04,27.60,27.86,27.43,27.55,6046200,27.55
15-Dec-04,27.50,27.71,27.48,27.60,6841500,27.60
14-Dec-04,27.73,27.74,27.58,27.66,5453600,27.66
13-Dec-04,27.64,27.79,27.59,27.73,5051900,27.73
10-Dec-04,27.01,27.98,27.01,27.63,4007000,27.63
9-Dec-04,27.20,27.64,27.15,27.62,7343500,27.62
8-Dec-04,27.07,27.20,26.68,27.20,6196900,27.20
7-Dec-04,27.24,27.48,26.99,27.10,5888900,26.86
6-Dec-04,27.37,27.50,27.20,27.32,3846300,27.08
3-Dec-04,27.52,27.75,27.28,27.37,5511700,27.13
2-Dec-04,27.68,27.99,27.61,27.62,5841400,27.38
1-Dec-04,26.97,27.78,26.96,27.68,7880300,27.43
30-Nov-04,26.98,27.25,26.88,26.88,4903400,26.64
29-Nov-04,27.34,27.44,26.70,27.06,5587900,26.82
26-Nov-04,27.23,27.34,26.90,27.12,1467400,26.88
24-Nov-04,27.40,27.45,27.21,27.34,3350400,27.10
23-Nov-04,27.20,27.37,27.11,27.32,6086900,27.08
22-Nov-04,26.68,27.22,26.50,27.19,6604700,26.95
19-Nov-04,26.90,27.08,26.50,26.66,9172600,26.42
18-Nov-04,26.47,26.69,26.32,26.37,5984300,26.14
17-Nov-04,26.55,26.88,26.47,26.56,6141000,26.32
16-Nov-04,26.55,26.76,26.42,26.53,5893900,26.30
15-Nov-04,26.86,26.97,26.63,26.73,4905100,26.49
12-Nov-04,26.55,26.96,26.47,26.80,5106500,26.56
11-Nov-04,26.80,26.80,26.35,26.59,6533700,26.35
10-Nov-04,26.40,26.86,26.36,26.66,7832300,26.42
9-Nov-04,26.00,26.49,26.00,26.27,5793600,26.04
8-Nov-04,26.15,26.30,25.96,26.04,5497000,25.81
5-Nov-04,26.32,26.67,26.15,26.43,7204200,26.20
4-Nov-04,25.73,26.39,25.68,26.32,6784700,26.09
3-Nov-04,25.90,25.93,25.46,25.64,5950700,25.41
2-Nov-04,24.97,25.86,24.97,25.46,8331700,25.23
1-Nov-04,25.13,25.42,24.79,25.23,5299900,25.01
29-Oct-04,25.00,25.26,24.90,25.22,6277000,25.00
