Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,4.22,4.26,4.10,4.21,1705700,4.21
10-May-05,4.38,4.38,4.19,4.20,9542600,4.20
9-May-05,3.80,4.29,3.74,4.24,14826600,4.24
6-May-05,3.72,3.83,3.70,3.77,5153500,3.77
5-May-05,3.56,3.66,3.55,3.66,2865900,3.66
4-May-05,3.51,3.57,3.38,3.55,2980700,3.55
3-May-05,3.46,3.59,3.36,3.47,3390500,3.47
2-May-05,3.41,3.44,3.37,3.43,1577700,3.43
29-Apr-05,3.26,3.35,3.21,3.35,2332400,3.35
28-Apr-05,3.27,3.31,3.21,3.23,4677000,3.23
27-Apr-05,3.22,3.29,3.22,3.28,1464000,3.28
26-Apr-05,3.37,3.37,3.26,3.26,2713900,3.26
25-Apr-05,3.26,3.42,3.26,3.40,1390900,3.40
22-Apr-05,3.42,3.44,3.25,3.26,2497500,3.26
21-Apr-05,3.38,3.41,3.32,3.40,1328700,3.40
20-Apr-05,3.39,3.45,3.32,3.34,2230700,3.34
19-Apr-05,3.50,3.55,3.41,3.41,1650400,3.41
18-Apr-05,3.50,3.60,3.42,3.49,2473600,3.49
15-Apr-05,3.69,3.70,3.50,3.56,2301300,3.56
14-Apr-05,3.88,3.89,3.70,3.70,1500200,3.70
13-Apr-05,3.75,3.88,3.72,3.88,1665400,3.88
12-Apr-05,3.79,3.80,3.70,3.79,884900,3.79
11-Apr-05,3.79,3.82,3.70,3.80,839300,3.80
8-Apr-05,3.84,3.89,3.76,3.80,774500,3.80
7-Apr-05,3.76,3.89,3.74,3.83,877100,3.83
6-Apr-05,3.64,3.79,3.62,3.74,1709700,3.74
5-Apr-05,3.87,3.87,3.72,3.74,3090800,3.74
4-Apr-05,3.88,3.93,3.78,3.84,2514100,3.84
1-Apr-05,3.99,3.99,3.86,3.92,2460100,3.92
31-Mar-05,3.82,3.95,3.80,3.91,1988800,3.91
30-Mar-05,3.52,3.87,3.52,3.81,5050700,3.81
29-Mar-05,3.75,3.80,3.55,3.62,3982800,3.62
28-Mar-05,3.91,3.94,3.78,3.81,2697700,3.81
24-Mar-05,4.00,4.08,3.94,3.94,1797900,3.94
23-Mar-05,4.06,4.20,3.97,3.98,3305500,3.98
22-Mar-05,4.09,4.17,4.08,4.08,2144800,4.08
21-Mar-05,4.10,4.17,4.08,4.08,2287400,4.08
18-Mar-05,4.19,4.25,4.10,4.10,4244100,4.10
17-Mar-05,4.08,4.24,4.08,4.18,3538500,4.18
16-Mar-05,4.10,4.17,4.08,4.10,3027100,4.10
15-Mar-05,4.17,4.18,4.09,4.13,1678600,4.13
14-Mar-05,4.13,4.18,4.12,4.17,2139400,4.17
11-Mar-05,4.20,4.26,4.15,4.15,931200,4.15
10-Mar-05,4.23,4.27,4.14,4.22,2091900,4.22
9-Mar-05,4.31,4.35,4.16,4.20,1439200,4.20
8-Mar-05,4.36,4.45,4.30,4.32,2510300,4.32
7-Mar-05,4.32,4.58,4.28,4.41,5173800,4.41
4-Mar-05,4.18,4.30,4.12,4.25,3863300,4.25
3-Mar-05,4.17,4.19,4.07,4.08,4686200,4.08
2-Mar-05,4.14,4.21,4.10,4.10,6557400,4.10
1-Mar-05,4.20,4.25,4.05,4.17,7803500,4.17
28-Feb-05,4.43,4.44,4.16,4.16,4723500,4.16
25-Feb-05,4.40,4.50,4.35,4.40,1926000,4.40
24-Feb-05,4.37,4.53,4.28,4.46,4643700,4.46
23-Feb-05,4.47,4.70,4.46,4.64,2386000,4.64
22-Feb-05,4.65,4.69,4.40,4.43,2420400,4.43
18-Feb-05,4.67,4.73,4.65,4.72,1535400,4.72
17-Feb-05,4.71,4.85,4.63,4.65,3656100,4.65
16-Feb-05,4.46,4.74,4.44,4.70,5127000,4.70
15-Feb-05,4.44,4.53,4.43,4.51,3512700,4.51
14-Feb-05,4.49,4.53,4.43,4.47,1444400,4.47
11-Feb-05,4.49,4.58,4.45,4.49,1043600,4.49
10-Feb-05,4.53,4.58,4.40,4.54,1800700,4.54
9-Feb-05,4.60,4.64,4.53,4.55,888700,4.55
8-Feb-05,4.51,4.66,4.51,4.60,947200,4.60
7-Feb-05,4.71,4.75,4.58,4.61,1027600,4.61
