Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,13.00,13.09,12.65,13.02,8900500,13.02
10-May-05,13.10,13.18,12.98,12.99,8861100,12.99
9-May-05,13.01,13.23,12.94,13.18,9002100,13.18
6-May-05,12.94,13.01,12.90,12.96,9430200,12.96
5-May-05,13.00,13.07,12.90,12.97,10822800,12.97
4-May-05,12.98,13.11,12.89,12.99,7536900,12.99
3-May-05,12.79,13.11,12.79,12.98,13470600,12.98
2-May-05,13.00,13.20,12.80,12.84,11182000,12.84
29-Apr-05,12.99,13.13,12.85,13.12,10358900,13.12
28-Apr-05,12.94,13.02,12.89,12.93,10793000,12.93
27-Apr-05,12.89,13.06,12.85,13.00,9084900,13.00
26-Apr-05,13.01,13.24,12.97,12.99,8692900,12.99
25-Apr-05,13.42,13.43,13.00,13.10,11155100,13.10
22-Apr-05,13.27,13.47,13.16,13.30,13818300,13.30
21-Apr-05,12.94,13.35,12.82,13.30,17630600,13.30
20-Apr-05,13.08,13.08,12.78,12.82,16197000,12.82
19-Apr-05,12.28,13.23,12.19,12.99,40405600,12.99
18-Apr-05,11.33,11.58,11.20,11.47,12015500,11.47
15-Apr-05,11.60,11.75,11.10,11.54,21894000,11.54
14-Apr-05,12.20,12.30,11.88,11.94,9456100,11.94
13-Apr-05,12.32,12.44,12.16,12.24,8940500,12.24
12-Apr-05,12.32,12.54,12.15,12.47,7462700,12.47
11-Apr-05,12.59,12.64,12.30,12.33,8848600,12.33
8-Apr-05,12.56,12.70,12.51,12.54,10099500,12.54
7-Apr-05,12.29,12.56,12.23,12.48,10806300,12.48
6-Apr-05,12.48,12.53,12.28,12.29,10058700,12.29
5-Apr-05,12.42,12.58,12.38,12.53,13363300,12.53
4-Apr-05,12.31,12.60,12.28,12.47,11427000,12.47
1-Apr-05,12.40,12.57,12.26,12.36,18417500,12.36
31-Mar-05,12.43,12.45,12.27,12.32,9982600,12.32
30-Mar-05,12.06,12.51,12.05,12.39,15791300,12.39
