Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,11.76,11.98,11.73,11.96,5933200,11.96
10-May-05,11.50,11.83,11.40,11.74,7773500,11.74
9-May-05,11.37,11.61,11.30,11.56,5956300,11.56
6-May-05,11.38,11.46,11.08,11.45,6069200,11.45
5-May-05,11.45,11.51,11.20,11.27,3986000,11.27
4-May-05,11.17,11.42,11.05,11.41,5179000,11.41
3-May-05,11.05,11.17,11.02,11.08,4859200,11.08
2-May-05,11.21,11.24,11.04,11.10,5409700,11.10
29-Apr-05,11.05,11.24,10.89,11.15,15657100,11.15
28-Apr-05,10.77,10.77,10.51,10.64,5878900,10.64
27-Apr-05,10.92,11.07,10.82,10.94,4725100,10.94
26-Apr-05,11.19,11.29,11.02,11.06,5433100,11.06
25-Apr-05,11.31,11.35,11.18,11.29,4605500,11.29
22-Apr-05,11.28,11.30,11.05,11.21,5252600,11.21
21-Apr-05,10.87,11.30,10.86,11.28,7947400,11.28
20-Apr-05,10.82,10.92,10.70,10.74,4813300,10.74
19-Apr-05,10.70,10.92,10.49,10.77,7341500,10.77
18-Apr-05,10.58,10.85,10.43,10.56,6214000,10.56
15-Apr-05,10.84,10.96,10.43,10.45,11655000,10.45
14-Apr-05,11.45,11.56,11.10,11.18,8282700,11.18
13-Apr-05,11.73,11.77,11.38,11.47,8542800,11.47
12-Apr-05,11.87,11.90,11.55,11.74,5323200,11.74
11-Apr-05,12.12,12.20,11.88,11.89,2607600,11.89
8-Apr-05,11.94,12.27,11.92,12.14,6867600,12.14
7-Apr-05,12.16,12.22,11.89,11.99,5514100,11.99
6-Apr-05,12.04,12.25,12.00,12.16,5932700,12.16
5-Apr-05,11.97,11.99,11.86,11.92,5610000,11.92
4-Apr-05,11.84,12.07,11.84,11.95,4932700,11.95
1-Apr-05,12.15,12.21,11.85,11.90,5542500,11.90
31-Mar-05,12.28,12.28,12.01,12.04,4026100,12.04
30-Mar-05,12.16,12.33,12.15,12.25,5302700,12.25
29-Mar-05,12.06,12.23,12.03,12.16,5294700,12.16
28-Mar-05,12.22,12.28,12.09,12.10,3453900,12.10
24-Mar-05,12.17,12.34,12.12,12.16,5427300,12.16
23-Mar-05,12.09,12.28,12.06,12.10,4708500,12.10
22-Mar-05,12.30,12.38,12.05,12.10,3920500,12.10
21-Mar-05,12.19,12.36,12.13,12.29,3656200,12.29
18-Mar-05,12.33,12.37,12.10,12.23,5647900,12.23
17-Mar-05,11.99,12.48,11.98,12.30,7190300,12.30
16-Mar-05,12.25,12.26,11.77,12.07,9223300,12.07
15-Mar-05,12.68,12.69,12.27,12.36,8048300,12.36
14-Mar-05,12.81,12.85,12.55,12.58,6353300,12.58
11-Mar-05,12.90,13.00,12.50,12.60,8694700,12.60
10-Mar-05,12.95,13.05,12.75,12.86,6850100,12.86
9-Mar-05,13.27,13.39,12.87,12.91,9375800,12.91
8-Mar-05,13.74,13.93,13.27,13.30,8199000,13.30
7-Mar-05,13.80,14.06,13.71,13.86,7102000,13.86
4-Mar-05,13.55,13.92,13.49,13.78,6533900,13.78
3-Mar-05,13.48,13.63,13.39,13.39,4556600,13.39
2-Mar-05,13.33,13.66,13.28,13.46,3860700,13.46
1-Mar-05,13.32,13.55,13.30,13.48,5399700,13.48
28-Feb-05,13.73,13.80,13.25,13.35,4460200,13.35
25-Feb-05,13.87,13.96,13.50,13.75,4089100,13.75
24-Feb-05,13.26,13.72,13.17,13.72,4691900,13.72
23-Feb-05,13.31,13.43,13.14,13.37,5043600,13.37
22-Feb-05,13.33,13.36,13.17,13.19,5241900,13.19
18-Feb-05,13.62,13.87,13.47,13.49,3992600,13.49
17-Feb-05,14.06,14.06,13.63,13.67,5757000,13.67
16-Feb-05,14.24,14.30,14.00,14.02,4515300,14.02
15-Feb-05,14.15,14.43,14.03,14.31,6511900,14.31
14-Feb-05,14.27,14.44,14.03,14.09,3616200,14.09
11-Feb-05,13.81,14.19,13.61,14.15,5125400,14.15
10-Feb-05,13.86,13.99,13.63,13.81,3569100,13.81
9-Feb-05,14.16,14.20,13.75,13.75,5298500,13.75
8-Feb-05,14.14,14.40,14.03,14.16,3490300,14.16
7-Feb-05,14.13,14.39,13.93,14.09,4057500,14.09
4-Feb-05,13.81,14.15,13.75,14.14,4908600,14.14
3-Feb-05,13.98,13.99,13.71,13.76,5153800,13.76
2-Feb-05,14.14,14.17,13.74,14.01,4404700,14.01
1-Feb-05,14.12,14.17,13.96,14.10,4609700,14.10
31-Jan-05,13.95,14.21,13.83,14.15,5673400,14.15
28-Jan-05,14.04,14.15,13.52,13.70,9396200,13.70
27-Jan-05,13.89,14.19,13.62,14.10,8799500,14.10
26-Jan-05,13.23,14.01,13.17,13.94,21514500,13.94
25-Jan-05,12.56,12.80,12.31,12.42,7431000,12.42
24-Jan-05,12.65,12.76,12.44,12.53,5894000,12.53
21-Jan-05,12.95,12.99,12.63,12.65,5137500,12.65
20-Jan-05,12.79,12.95,12.75,12.79,4382800,12.79
19-Jan-05,13.16,13.20,12.80,12.81,4149000,12.81
18-Jan-05,12.99,13.19,12.91,13.13,4624100,13.13
14-Jan-05,12.77,13.01,12.73,12.98,8618900,12.98
13-Jan-05,12.68,12.71,12.42,12.43,4067200,12.43
12-Jan-05,12.62,12.75,12.50,12.72,3218200,12.72
11-Jan-05,12.54,12.79,12.48,12.58,4074400,12.58
10-Jan-05,12.52,12.73,12.39,12.67,5014600,12.67
7-Jan-05,12.84,12.88,12.53,12.54,4914700,12.54
6-Jan-05,13.03,13.20,12.72,12.75,4016500,12.75
5-Jan-05,12.77,13.25,12.77,13.00,5124100,13.00
4-Jan-05,13.61,13.65,12.80,13.03,7169700,13.03
3-Jan-05,13.93,14.02,13.37,13.50,4106900,13.50
31-Dec-04,13.75,13.92,13.75,13.82,2466200,13.82
30-Dec-04,14.01,14.05,13.78,13.81,2979100,13.81
29-Dec-04,13.82,13.96,13.75,13.95,3481000,13.95
28-Dec-04,13.68,13.88,13.67,13.83,3674000,13.83
27-Dec-04,13.93,14.06,13.70,13.77,4562000,13.77
23-Dec-04,13.99,14.06,13.87,14.00,3823800,14.00
22-Dec-04,14.06,14.21,13.91,14.12,5631100,14.12
21-Dec-04,14.29,14.41,14.14,14.28,5298600,14.28
20-Dec-04,14.25,14.46,14.06,14.31,4580900,14.31
17-Dec-04,14.59,14.69,14.02,14.05,6609700,14.05
16-Dec-04,14.62,14.67,14.24,14.36,5853600,14.36
15-Dec-04,14.52,14.79,14.39,14.67,5389100,14.67
14-Dec-04,14.71,14.73,14.30,14.50,12151700,14.50
13-Dec-04,13.69,13.80,13.67,13.79,3278300,13.79
10-Dec-04,13.72,13.78,13.55,13.69,2861800,13.69
9-Dec-04,13.57,13.94,13.33,13.78,7451900,13.78
8-Dec-04,13.89,13.98,13.59,13.74,5741200,13.74
7-Dec-04,14.26,14.40,13.87,13.88,6690700,13.88
6-Dec-04,14.42,14.48,14.23,14.25,5904400,14.25
3-Dec-04,14.64,14.67,14.32,14.36,5962200,14.36
2-Dec-04,14.45,14.60,14.32,14.42,6755600,14.42
1-Dec-04,14.38,14.83,14.35,14.72,6436500,14.72
30-Nov-04,14.60,14.65,14.28,14.35,7508200,14.35
29-Nov-04,14.80,15.01,14.47,14.59,6017000,14.59
26-Nov-04,14.60,14.68,14.53,14.59,1098400,14.59
24-Nov-04,14.84,14.84,14.51,14.64,3523200,14.64
23-Nov-04,14.60,14.71,14.38,14.45,4759100,14.45
22-Nov-04,14.43,14.80,14.36,14.71,4547200,14.71
19-Nov-04,14.83,14.90,14.47,14.51,4609100,14.51
18-Nov-04,14.83,14.90,14.63,14.85,5174400,14.85
17-Nov-04,14.70,15.00,14.66,14.84,7276300,14.84
16-Nov-04,14.36,14.63,14.20,14.53,6933800,14.53
15-Nov-04,14.25,14.75,14.20,14.53,6582500,14.53
12-Nov-04,14.28,14.53,14.15,14.51,5464800,14.51
11-Nov-04,13.62,14.36,13.58,14.26,10631600,14.26
10-Nov-04,13.34,13.68,13.29,13.58,6695600,13.58
9-Nov-04,13.31,13.76,13.31,13.59,6973100,13.59
8-Nov-04,13.30,13.57,13.20,13.51,4641200,13.51
5-Nov-04,13.08,13.44,13.06,13.25,6144000,13.25
4-Nov-04,12.83,13.18,12.72,13.01,7170000,13.01
3-Nov-04,13.36,13.44,12.74,12.89,11333000,12.89
2-Nov-04,12.52,13.13,12.39,13.04,13707100,13.04
1-Nov-04,11.90,12.40,11.82,12.40,7266300,12.40
29-Oct-04,12.00,12.16,11.85,12.05,8369000,12.05
28-Oct-04,11.88,12.04,11.75,11.90,4244800,11.90
27-Oct-04,11.69,12.14,11.43,11.98,13558200,11.98
26-Oct-04,11.29,11.72,11.02,11.67,29258100,11.67
25-Oct-04,12.50,12.72,12.46,12.54,4594700,12.54
22-Oct-04,13.02,13.09,12.56,12.58,2927300,12.58
21-Oct-04,13.25,13.27,12.75,12.98,5978300,12.98
20-Oct-04,12.81,13.10,12.71,13.06,3779200,13.06
19-Oct-04,13.03,13.16,12.84,12.88,4401700,12.88
18-Oct-04,12.50,12.93,12.43,12.85,3349500,12.85
15-Oct-04,12.67,12.77,12.50,12.53,4063800,12.53
14-Oct-04,12.79,12.96,12.60,12.67,4704500,12.67
13-Oct-04,13.57,13.67,13.05,13.08,4668000,13.08
12-Oct-04,12.76,13.09,12.62,12.99,4768100,12.99
11-Oct-04,13.14,13.20,12.95,13.05,5337800,13.05
8-Oct-04,13.79,13.85,13.07,13.14,6319300,13.14
7-Oct-04,13.82,14.05,13.81,13.87,5912400,13.87
6-Oct-04,13.81,14.00,13.57,13.95,5936800,13.95
5-Oct-04,13.80,14.00,13.70,13.80,6604600,13.80
4-Oct-04,13.84,14.00,13.75,13.85,8032600,13.85
1-Oct-04,13.33,13.68,13.26,13.55,11035500,13.55
30-Sep-04,13.35,13.47,13.00,13.25,10038700,13.25
29-Sep-04,13.22,13.33,12.80,13.25,9414400,13.25
28-Sep-04,13.20,13.29,12.95,13.18,5068400,13.18
27-Sep-04,13.30,13.40,13.13,13.25,4828000,13.25
24-Sep-04,13.57,13.64,13.35,13.47,4698200,13.47
23-Sep-04,13.42,13.73,13.41,13.53,5452200,13.53
22-Sep-04,13.31,13.64,13.23,13.40,11077200,13.40
21-Sep-04,12.87,13.32,12.85,13.20,5888700,13.20
20-Sep-04,12.76,13.11,12.70,12.76,4818500,12.76
17-Sep-04,12.78,12.93,12.62,12.91,3913800,12.91
16-Sep-04,12.75,12.98,12.62,12.71,4819200,12.71
15-Sep-04,13.14,13.19,12.61,12.66,10017000,12.66
14-Sep-04,13.71,13.74,13.41,13.59,6778300,13.59
13-Sep-04,13.38,13.55,13.09,13.30,6193900,13.30
10-Sep-04,13.04,13.18,12.90,13.16,7199700,13.16
9-Sep-04,12.51,13.23,12.50,13.09,9480200,13.09
8-Sep-04,12.48,12.56,12.21,12.27,5166100,12.27
7-Sep-04,12.73,12.90,12.49,12.55,4584100,12.55
3-Sep-04,12.82,13.08,12.58,12.63,5841900,12.63
2-Sep-04,12.58,13.26,12.53,13.20,6801600,13.20
1-Sep-04,12.40,12.85,12.34,12.51,5220900,12.51
31-Aug-04,12.59,12.65,12.22,12.41,5090500,12.41
30-Aug-04,12.79,12.82,12.35,12.53,5619100,12.53
27-Aug-04,12.79,13.03,12.65,12.85,8897100,12.85
26-Aug-04,11.76,12.78,11.68,12.61,18902600,12.61
25-Aug-04,11.62,11.88,11.55,11.77,7596400,11.77
24-Aug-04,11.71,11.75,11.41,11.70,8799900,11.70
23-Aug-04,11.45,11.65,11.45,11.53,3361200,11.53
20-Aug-04,11.29,11.55,11.25,11.48,4001400,11.48
19-Aug-04,11.06,11.42,10.97,11.37,5354600,11.37
18-Aug-04,10.87,11.23,10.74,11.20,5636500,11.20
17-Aug-04,10.72,10.99,10.65,10.94,7854300,10.94
16-Aug-04,10.42,10.83,10.32,10.65,5533900,10.65
13-Aug-04,10.25,10.41,10.15,10.30,4581200,10.30
12-Aug-04,10.54,10.54,10.06,10.08,11022000,10.08
11-Aug-04,10.85,10.95,10.51,10.64,11976400,10.64
10-Aug-04,11.35,11.39,11.15,11.37,6050400,11.37
9-Aug-04,11.44,11.49,11.19,11.25,4130100,11.25
6-Aug-04,11.85,11.96,11.25,11.27,6784000,11.27
5-Aug-04,12.29,12.42,11.88,11.96,2825800,11.96
4-Aug-04,12.07,12.42,12.01,12.25,4141900,12.25
3-Aug-04,12.54,12.58,12.01,12.09,3608000,12.09
2-Aug-04,12.38,12.55,12.10,12.51,3864900,12.51
30-Jul-04,12.51,12.60,12.25,12.57,5457200,12.57
29-Jul-04,12.11,12.47,12.05,12.44,6163700,12.44
28-Jul-04,12.13,12.20,11.63,11.91,8833500,11.91
27-Jul-04,12.07,12.33,12.03,12.17,6378300,12.17
26-Jul-04,12.50,12.59,12.05,12.19,6508300,12.19
23-Jul-04,12.56,12.75,12.36,12.50,13900400,12.50
22-Jul-04,13.04,13.61,12.90,13.33,6616000,13.33
21-Jul-04,13.70,13.84,13.00,13.06,6996000,13.06
20-Jul-04,12.90,13.65,12.82,13.59,20118000,13.59
19-Jul-04,14.25,14.29,13.90,14.06,10753300,14.06
16-Jul-04,14.12,14.23,13.99,14.10,5663500,14.10
15-Jul-04,13.83,14.16,13.80,13.90,4420100,13.90
14-Jul-04,13.93,14.20,13.71,13.80,4401300,13.80
13-Jul-04,14.13,14.30,13.87,14.01,4009700,14.01
12-Jul-04,14.28,14.36,13.83,14.05,4888800,14.05
9-Jul-04,14.29,14.51,14.19,14.37,4147900,14.37
8-Jul-04,14.26,14.42,14.08,14.11,6811500,14.11
7-Jul-04,14.67,14.98,14.03,14.24,11880100,14.24
6-Jul-04,15.52,15.58,14.58,14.69,8376200,14.69
2-Jul-04,15.50,15.55,15.34,15.42,4785300,15.42
1-Jul-04,15.90,15.95,15.40,15.44,5702000,15.44
30-Jun-04,16.06,16.14,15.71,15.95,4914900,15.95
29-Jun-04,15.72,16.26,15.65,15.98,9819300,15.98
28-Jun-04,15.61,15.66,15.19,15.37,4202200,15.37
25-Jun-04,15.35,15.50,15.25,15.50,3449500,15.50
24-Jun-04,15.25,15.55,15.20,15.28,5199800,15.28
23-Jun-04,15.38,15.42,15.15,15.35,3878900,15.35
22-Jun-04,14.99,15.39,14.92,15.28,4358200,15.28
21-Jun-04,15.13,15.51,14.95,14.95,5066300,14.95
18-Jun-04,15.39,15.53,14.85,15.00,11668600,15.00
