Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,3.56,3.57,3.42,3.44,1254300,3.44
10-May-05,3.71,3.71,3.50,3.56,1485500,3.56
9-May-05,3.66,3.72,3.65,3.72,1497500,3.72
6-May-05,3.85,3.88,3.67,3.70,1264200,3.70
5-May-05,4.01,4.03,3.81,3.87,620200,3.87
4-May-05,3.99,4.05,3.82,4.00,591700,4.00
3-May-05,3.83,4.01,3.83,3.98,641300,3.98
2-May-05,3.82,3.93,3.70,3.81,907800,3.81
29-Apr-05,3.91,3.95,3.81,3.85,1514000,3.85
28-Apr-05,4.01,4.08,3.91,3.93,1054500,3.93
27-Apr-05,4.10,4.23,4.05,4.09,1103300,4.09
26-Apr-05,4.17,4.26,4.10,4.15,770100,4.15
25-Apr-05,4.16,4.23,4.16,4.21,766900,4.21
22-Apr-05,4.21,4.24,4.16,4.16,934100,4.16
21-Apr-05,4.20,4.26,4.18,4.21,505800,4.21
20-Apr-05,4.29,4.31,4.17,4.20,555200,4.20
19-Apr-05,4.20,4.25,4.13,4.22,611700,4.22
18-Apr-05,4.15,4.35,4.12,4.17,1127400,4.17
15-Apr-05,4.18,4.23,4.08,4.16,1652200,4.16
14-Apr-05,4.33,4.42,4.15,4.20,752300,4.20
13-Apr-05,4.40,4.43,4.25,4.31,701900,4.31
12-Apr-05,4.31,4.44,4.30,4.38,677300,4.38
11-Apr-05,4.30,4.42,4.28,4.34,1120200,4.34
8-Apr-05,4.40,4.44,4.32,4.33,561500,4.33
7-Apr-05,4.40,4.47,4.40,4.43,616900,4.43
6-Apr-05,4.43,4.51,4.41,4.46,770100,4.46
5-Apr-05,4.37,4.51,4.35,4.44,1323900,4.44
4-Apr-05,4.35,4.41,4.35,4.38,3612500,4.38
1-Apr-05,4.42,4.47,4.31,4.40,1432500,4.40
31-Mar-05,4.36,4.41,4.23,4.35,743400,4.35
30-Mar-05,4.25,4.37,4.13,4.35,1232900,4.35
29-Mar-05,4.23,4.26,4.21,4.21,1063600,4.21
28-Mar-05,4.16,4.27,4.15,4.24,1285300,4.24
24-Mar-05,4.15,4.58,4.13,4.18,1463700,4.18
23-Mar-05,4.11,4.17,4.05,4.13,2756000,4.13
22-Mar-05,4.17,4.25,4.12,4.15,1035500,4.15
21-Mar-05,4.35,4.35,4.08,4.23,892000,4.23
18-Mar-05,4.37,4.37,4.16,4.32,1135300,4.32
17-Mar-05,4.27,4.38,4.22,4.32,1373200,4.32
16-Mar-05,4.25,4.30,4.20,4.25,1902300,4.25
15-Mar-05,4.41,4.44,4.28,4.30,1945100,4.30
14-Mar-05,4.41,4.50,4.40,4.42,790000,4.42
11-Mar-05,4.58,4.58,4.40,4.43,744500,4.43
10-Mar-05,4.58,4.60,4.47,4.56,1270400,4.56
9-Mar-05,4.49,4.60,4.40,4.45,1801400,4.45
