Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,36.60,36.91,36.05,36.67,4190000,36.67
10-May-05,36.52,37.05,36.35,36.53,3241500,36.53
9-May-05,36.65,37.33,36.02,36.87,4799100,36.87
6-May-05,35.22,37.72,35.22,36.85,17845000,36.85
5-May-05,35.64,35.68,34.93,35.17,3699100,35.17
4-May-05,35.36,35.90,35.36,35.52,3878200,35.52
3-May-05,36.16,36.20,35.17,35.30,6498700,35.30
2-May-05,35.76,36.16,35.62,36.16,3350600,36.16
29-Apr-05,36.01,36.40,35.22,35.76,5431500,35.76
28-Apr-05,36.11,36.43,35.89,35.93,3008300,35.93
27-Apr-05,36.14,36.52,35.84,36.36,2273200,36.36
26-Apr-05,36.32,36.55,35.86,36.30,4239900,36.30
25-Apr-05,36.35,36.52,36.03,36.32,2240100,36.32
22-Apr-05,36.39,36.42,35.56,36.05,2525600,36.05
21-Apr-05,35.95,36.40,35.60,36.37,4057000,36.37
20-Apr-05,36.30,36.95,35.40,35.43,4550800,35.43
19-Apr-05,35.77,36.55,35.67,36.50,3001000,36.50
18-Apr-05,35.20,36.37,35.03,35.84,3325000,35.84
15-Apr-05,36.10,36.62,35.65,35.66,4089200,35.66
14-Apr-05,37.05,37.22,36.00,36.34,4509300,36.34
13-Apr-05,37.25,37.55,36.94,37.04,2853700,37.04
12-Apr-05,37.42,37.70,36.85,37.45,3529300,37.45
11-Apr-05,37.56,37.71,37.33,37.38,1694400,37.38
8-Apr-05,37.90,38.09,37.42,37.58,1975300,37.58
7-Apr-05,37.72,37.91,37.62,37.87,2041400,37.87
6-Apr-05,37.25,37.80,37.18,37.59,2932700,37.59
5-Apr-05,36.86,37.23,36.75,37.12,2529500,37.12
4-Apr-05,37.11,37.20,36.74,36.84,3876600,36.84
1-Apr-05,37.50,37.64,36.75,37.00,3395000,37.00
31-Mar-05,37.20,37.48,36.92,37.21,3572700,37.21
30-Mar-05,36.57,37.22,36.57,37.15,3636100,37.15
29-Mar-05,37.00,37.15,36.27,36.49,5227400,36.49
28-Mar-05,37.20,37.52,37.07,37.08,3457500,37.08
24-Mar-05,37.46,37.56,37.15,37.17,4226300,37.17
23-Mar-05,38.14,38.40,37.26,37.28,5340300,37.28
22-Mar-05,38.24,38.78,38.15,38.24,3140900,38.24
21-Mar-05,38.30,38.45,37.99,38.29,2811100,38.29
18-Mar-05,38.43,38.77,38.17,38.42,5355200,38.42
17-Mar-05,38.32,38.64,38.10,38.43,2835600,38.43
16-Mar-05,38.80,38.96,37.96,38.15,2901200,38.15
15-Mar-05,38.90,39.18,38.70,39.05,4938500,39.05
14-Mar-05,38.77,39.12,38.73,38.90,3850100,38.90
11-Mar-05,38.64,39.05,38.37,38.52,4964500,38.52
10-Mar-05,38.23,38.53,37.80,38.35,3314000,38.35
9-Mar-05,38.42,38.86,38.03,38.12,3398500,38.12
8-Mar-05,38.74,38.87,38.43,38.72,2909400,38.72
7-Mar-05,38.88,39.15,38.61,38.74,2759000,38.74
4-Mar-05,38.30,38.71,38.04,38.68,2747000,38.68
3-Mar-05,37.85,38.42,37.61,38.00,2897900,38.00
2-Mar-05,37.68,38.20,37.38,37.77,2907800,37.77
1-Mar-05,37.97,38.24,37.54,37.68,3307600,37.68
28-Feb-05,37.96,38.29,37.53,37.97,2321300,37.97
25-Feb-05,37.54,38.26,37.52,38.13,2681700,38.13
24-Feb-05,37.27,37.80,37.02,37.68,2810600,37.68
23-Feb-05,37.40,37.61,37.06,37.38,2563700,37.38
22-Feb-05,37.70,37.97,37.27,37.27,3580200,37.27
18-Feb-05,37.92,38.20,37.74,38.09,2784100,38.09
17-Feb-05,38.65,38.80,37.89,37.92,3388400,37.92
16-Feb-05,38.69,38.85,38.33,38.49,4101100,38.49
15-Feb-05,39.30,39.39,38.97,39.05,5291500,38.84
14-Feb-05,38.97,39.50,38.65,39.30,4005800,39.09
11-Feb-05,38.27,39.35,38.27,39.14,5446500,38.93
10-Feb-05,37.90,38.52,37.79,38.46,4779400,38.26
9-Feb-05,37.49,37.88,37.27,37.40,3621900,37.20
8-Feb-05,37.60,37.70,37.20,37.51,3651000,37.31
7-Feb-05,37.70,38.15,37.52,37.69,4811800,37.49
4-Feb-05,37.72,38.04,37.49,37.85,4894500,37.65
3-Feb-05,36.78,37.55,36.69,37.48,6873700,37.28
2-Feb-05,36.35,36.80,36.21,36.74,4552200,36.55
1-Feb-05,36.08,36.36,35.85,36.06,3534800,35.87
31-Jan-05,35.77,36.19,35.59,35.98,4289100,35.79
28-Jan-05,35.95,36.45,35.34,35.69,4264200,35.50
27-Jan-05,35.65,36.03,35.44,36.03,3385700,35.84
26-Jan-05,34.72,35.78,34.72,35.75,4562700,35.56
25-Jan-05,35.22,35.55,35.00,35.08,3363800,34.89
24-Jan-05,35.33,35.55,35.02,35.17,4264600,34.98
21-Jan-05,35.29,35.52,34.98,34.99,3029800,34.81
20-Jan-05,35.35,35.59,35.02,35.17,3098800,34.98
19-Jan-05,35.81,35.95,35.35,35.37,2317300,35.18
18-Jan-05,35.19,35.89,35.00,35.85,4738900,35.66
14-Jan-05,34.93,35.60,34.86,35.34,4810700,35.15
13-Jan-05,35.22,35.30,34.57,34.58,3518500,34.40
12-Jan-05,34.25,35.40,34.04,34.98,5704600,34.80
11-Jan-05,34.00,34.42,33.86,34.00,4546700,33.82
10-Jan-05,34.07,34.51,33.63,34.10,4428500,33.92
7-Jan-05,34.34,34.55,34.07,34.21,3665600,34.03
6-Jan-05,34.57,34.74,34.29,34.34,4001200,34.16
5-Jan-05,34.87,35.05,34.38,34.57,5303600,34.39
4-Jan-05,35.26,35.51,34.33,34.67,5091000,34.49
3-Jan-05,35.59,35.98,35.05,35.30,3854900,35.11
31-Dec-04,35.26,35.70,35.26,35.41,1597300,35.22
30-Dec-04,35.78,35.91,35.40,35.40,2374100,35.21
29-Dec-04,36.20,36.35,35.54,35.70,4307800,35.51
28-Dec-04,35.55,36.37,35.40,36.07,5153000,35.88
27-Dec-04,35.71,35.94,35.54,35.71,2497600,35.52
23-Dec-04,35.66,36.04,35.63,35.70,2102300,35.51
22-Dec-04,35.71,35.97,35.51,35.63,3237000,35.44
21-Dec-04,35.59,35.86,35.25,35.71,3602700,35.52
20-Dec-04,35.55,35.97,35.48,35.63,3579200,35.44
17-Dec-04,35.62,36.04,35.20,35.36,4629800,35.17
16-Dec-04,35.63,36.15,35.42,35.61,4003900,35.42
15-Dec-04,36.15,36.30,35.81,36.01,3899500,35.82
14-Dec-04,36.00,36.51,35.79,36.40,5167900,36.21
13-Dec-04,35.75,36.77,35.60,36.45,8747800,36.26
10-Dec-04,34.98,35.81,34.75,35.31,7098800,35.12
9-Dec-04,34.56,34.67,34.13,34.57,4685200,34.39
8-Dec-04,34.65,34.75,34.12,34.56,3832100,34.38
7-Dec-04,35.36,35.40,34.51,34.59,4437000,34.41
6-Dec-04,35.69,35.71,35.12,35.27,2617000,35.08
3-Dec-04,36.01,36.10,35.51,35.68,2302800,35.49
2-Dec-04,36.33,36.38,35.70,35.96,2320600,35.77
1-Dec-04,35.50,36.39,35.40,36.33,3905500,36.14
30-Nov-04,35.48,35.90,35.22,35.33,2717600,35.14
29-Nov-04,35.95,36.23,35.27,35.59,2566900,35.40
26-Nov-04,35.84,36.07,35.72,35.72,785500,35.53
24-Nov-04,35.67,35.95,35.55,35.85,2029600,35.66
23-Nov-04,35.76,36.10,35.31,35.73,2705300,35.54
22-Nov-04,35.55,35.80,35.10,35.65,2204300,35.46
19-Nov-04,36.00,36.11,35.46,35.46,2734400,35.27
18-Nov-04,36.10,36.25,35.90,36.04,1791300,35.85
17-Nov-04,35.70,36.09,35.63,35.90,3000300,35.71
16-Nov-04,36.18,36.19,35.61,35.74,2575500,35.36
15-Nov-04,36.33,36.44,35.86,36.18,2912100,35.80
12-Nov-04,36.52,36.75,36.26,36.62,2280200,36.24
11-Nov-04,36.66,36.78,36.25,36.57,2192100,36.19
10-Nov-04,36.30,36.80,36.30,36.41,2923400,36.03
9-Nov-04,36.21,36.58,36.11,36.26,3182500,35.88
8-Nov-04,35.95,36.44,35.82,36.20,2936100,35.82
5-Nov-04,35.75,36.25,35.55,35.95,3987800,35.57
4-Nov-04,35.02,35.63,34.91,35.57,4441700,35.20
3-Nov-04,35.00,35.28,34.76,34.85,3496000,34.48
2-Nov-04,35.10,35.10,34.26,34.45,6132800,34.09
1-Nov-04,33.76,35.28,33.70,35.04,8412600,34.67
29-Oct-04,33.62,34.16,33.50,33.68,4997000,33.33
28-Oct-04,33.35,34.15,33.26,33.61,4662400,33.26
27-Oct-04,33.13,33.72,32.96,33.34,5332500,32.99
26-Oct-04,32.44,33.15,32.38,32.95,6750300,32.60
25-Oct-04,32.54,32.82,31.85,32.23,7121000,31.89
22-Oct-04,33.03,33.26,32.64,32.72,5924500,32.38
21-Oct-04,33.75,33.88,32.91,33.00,8971200,32.65
20-Oct-04,35.44,35.44,33.15,33.80,10067300,33.44
19-Oct-04,34.94,35.60,34.90,35.44,4085900,35.07
18-Oct-04,35.00,35.02,34.60,34.65,2888100,34.29
15-Oct-04,34.78,35.40,34.78,35.00,2134500,34.63
14-Oct-04,35.11,35.15,34.45,34.78,2631100,34.41
13-Oct-04,35.40,35.88,34.84,35.12,2651500,34.75
12-Oct-04,35.30,35.57,35.19,35.34,2193600,34.97
11-Oct-04,35.75,35.95,35.22,35.54,2248300,35.17
8-Oct-04,35.49,36.15,35.35,35.75,2870100,35.37
7-Oct-04,36.55,36.58,35.69,35.69,2802300,35.31
6-Oct-04,36.51,36.71,36.22,36.71,2165500,36.32
5-Oct-04,36.47,36.82,36.31,36.51,1915700,36.13
4-Oct-04,36.86,37.23,36.52,36.61,3176600,36.23
1-Oct-04,35.89,36.79,35.75,36.76,3470400,36.37
30-Sep-04,35.54,36.09,35.53,35.86,3232400,35.48
29-Sep-04,35.39,35.94,35.38,35.69,2419600,35.31
28-Sep-04,35.10,35.83,35.00,35.59,3093100,35.22
27-Sep-04,35.12,35.35,35.05,35.09,2752400,34.72
24-Sep-04,35.35,35.48,35.20,35.34,1790300,34.97
23-Sep-04,35.39,35.65,35.13,35.50,2947200,35.13
22-Sep-04,35.87,35.87,35.24,35.51,3640600,35.14
21-Sep-04,36.58,36.70,35.91,36.17,3341500,35.79
20-Sep-04,36.44,36.88,36.29,36.58,2041200,36.20
17-Sep-04,36.85,37.00,36.58,36.74,2721200,36.35
16-Sep-04,36.35,36.89,36.26,36.57,2710700,36.19
15-Sep-04,36.79,36.98,36.32,36.38,2021500,36.00
14-Sep-04,36.60,36.89,36.53,36.79,2073000,36.40
13-Sep-04,36.45,36.76,36.20,36.69,3459900,36.30
10-Sep-04,36.13,36.50,36.05,36.45,3569600,36.07
9-Sep-04,36.47,36.62,36.03,36.33,3432800,35.95
8-Sep-04,36.68,36.88,36.31,36.47,3820500,36.09
7-Sep-04,36.45,37.08,36.45,36.85,4063400,36.46
3-Sep-04,36.50,36.94,36.38,36.38,2140000,36.00
2-Sep-04,35.95,36.67,35.91,36.58,1687200,36.20
1-Sep-04,35.86,36.29,35.50,36.00,1565800,35.62
31-Aug-04,35.88,36.06,35.52,35.98,2194900,35.60
30-Aug-04,36.40,36.64,35.68,35.68,2374700,35.31
27-Aug-04,36.25,36.64,36.25,36.46,1273800,36.08
26-Aug-04,36.34,36.46,35.98,36.35,1731100,35.97
25-Aug-04,35.70,36.65,35.58,36.49,2660500,36.11
24-Aug-04,35.55,35.86,35.53,35.69,2236600,35.31
23-Aug-04,35.43,35.69,35.23,35.32,1564200,34.95
20-Aug-04,34.79,35.49,34.66,35.41,2499700,35.04
19-Aug-04,35.58,35.68,34.70,34.95,3093400,34.58
18-Aug-04,34.65,35.70,34.51,35.62,3257800,35.25
17-Aug-04,35.34,35.65,35.04,35.13,2284000,34.57
16-Aug-04,34.65,35.51,34.51,35.33,3099200,34.77
13-Aug-04,34.53,34.80,34.00,34.80,4335600,34.25
12-Aug-04,35.61,35.61,34.27,34.70,3570900,34.15
11-Aug-04,35.43,35.74,35.02,35.63,3600000,35.07
10-Aug-04,34.80,35.47,34.70,35.47,3470500,34.91
9-Aug-04,34.70,35.07,34.15,34.61,3731500,34.06
6-Aug-04,35.50,35.50,34.44,34.58,4816300,34.03
5-Aug-04,36.77,36.85,35.69,35.77,3363900,35.20
4-Aug-04,36.15,36.85,36.06,36.66,5286700,36.08
3-Aug-04,37.49,37.64,36.85,37.00,3439500,36.42
2-Aug-04,36.90,37.58,36.90,37.46,3815700,36.87
30-Jul-04,37.74,37.86,37.27,37.61,3402600,37.02
29-Jul-04,38.13,38.46,37.86,37.89,3865000,37.29
28-Jul-04,37.35,38.20,37.04,38.11,6465200,37.51
27-Jul-04,36.75,37.36,36.61,37.35,4250400,36.76
26-Jul-04,36.53,36.83,36.26,36.47,3205100,35.89
23-Jul-04,36.62,36.75,36.18,36.26,2423800,35.69
22-Jul-04,36.25,36.84,36.10,36.60,3883500,36.02
21-Jul-04,36.50,37.00,36.25,36.61,6486000,36.03
20-Jul-04,35.72,35.99,35.50,35.90,3409200,35.33
19-Jul-04,36.50,36.59,35.57,35.86,3680200,35.29
16-Jul-04,36.12,36.51,35.77,36.40,4944200,35.82
15-Jul-04,35.45,35.96,35.31,35.70,4093700,35.14
14-Jul-04,35.20,35.78,35.10,35.47,2957100,34.91
13-Jul-04,35.85,35.98,35.42,35.62,2938100,35.06
12-Jul-04,36.20,36.24,35.36,35.91,3179200,35.34
9-Jul-04,35.65,36.23,35.61,36.20,2332100,35.63
8-Jul-04,35.80,36.14,35.45,35.54,2571600,34.98
7-Jul-04,35.37,36.15,35.26,35.93,2322200,35.36
6-Jul-04,35.52,35.74,35.20,35.59,2693000,35.03
2-Jul-04,35.65,36.03,35.40,35.88,2103700,35.31
1-Jul-04,36.54,36.77,35.91,36.06,2755000,35.49
30-Jun-04,36.80,36.93,36.44,36.63,2764800,36.05
29-Jun-04,36.20,36.93,36.16,36.65,2481500,36.07
28-Jun-04,36.88,37.30,36.29,36.34,3058200,35.77
25-Jun-04,36.88,37.23,36.45,36.81,3266500,36.23
24-Jun-04,37.22,37.24,36.91,37.06,2581600,36.47
23-Jun-04,36.75,37.59,36.52,37.51,3271300,36.92
22-Jun-04,36.26,36.89,36.26,36.76,2481100,36.18
21-Jun-04,36.43,36.83,36.18,36.26,2101900,35.69
18-Jun-04,36.18,36.69,36.00,36.54,3430700,35.96
17-Jun-04,35.87,36.19,35.72,36.17,2364100,35.60
16-Jun-04,35.97,36.06,35.57,36.05,2129400,35.48
15-Jun-04,35.75,36.45,35.00,35.97,4720800,35.40
14-Jun-04,35.43,35.80,35.40,35.63,3895100,35.07
10-Jun-04,35.04,35.65,35.04,35.40,4575200,34.84
9-Jun-04,34.81,35.35,34.63,35.04,4286000,34.49
8-Jun-04,34.72,34.92,34.41,34.81,2162400,34.26
7-Jun-04,34.03,34.90,33.97,34.69,2883700,34.14
4-Jun-04,33.49,34.00,33.31,33.74,1537100,33.21
3-Jun-04,33.69,33.78,33.20,33.24,1523400,32.71
2-Jun-04,33.22,33.85,33.21,33.69,2351600,33.16
1-Jun-04,33.61,33.76,33.00,33.20,3937600,32.68
28-May-04,33.88,33.88,33.32,33.70,1618700,33.17
27-May-04,33.60,34.07,33.49,33.79,2074600,33.26
26-May-04,33.48,33.70,33.16,33.59,2991800,33.06
25-May-04,33.02,33.66,32.82,33.60,2195300,33.07
24-May-04,33.52,33.85,33.16,33.22,2475400,32.70
21-May-04,33.23,33.58,32.96,33.31,1908600,32.78
20-May-04,33.00,33.33,32.64,33.02,2024400,32.50
19-May-04,33.40,33.87,33.23,33.29,2821600,32.76
18-May-04,32.57,33.45,32.50,33.24,2987500,32.71
17-May-04,32.85,33.43,32.44,32.60,3313100,31.90
14-May-04,33.51,33.73,32.95,33.48,1770900,32.76
13-May-04,33.15,33.74,33.15,33.52,2107800,32.80
12-May-04,33.36,33.50,32.76,33.38,3117800,32.66
11-May-04,33.26,33.63,33.11,33.34,2503000,32.62
10-May-04,33.50,33.96,33.01,33.26,3320600,32.55
7-May-04,34.00,34.49,33.75,33.92,1950500,33.19
6-May-04,34.34,34.83,34.11,34.36,1764800,33.62
5-May-04,34.76,35.01,34.50,34.61,2127400,33.87
4-May-04,34.56,35.20,34.42,34.82,2434000,34.07
3-May-04,34.59,35.08,34.37,34.57,2923200,33.83
30-Apr-04,35.28,35.33,34.32,34.58,3702300,33.84
29-Apr-04,35.12,35.99,35.04,35.23,4440000,34.47
28-Apr-04,35.50,35.52,34.89,35.17,2941700,34.41
27-Apr-04,35.10,35.93,35.02,35.44,4517600,34.68
26-Apr-04,34.82,35.08,34.65,34.76,1670400,34.01
23-Apr-04,34.73,34.92,34.25,34.88,2155600,34.13
22-Apr-04,33.95,35.16,33.80,34.60,4593000,33.86
21-Apr-04,34.25,34.36,33.81,33.97,4327200,33.24
20-Apr-04,34.75,34.95,33.99,34.00,2591100,33.27
19-Apr-04,34.95,35.18,34.55,34.63,2844800,33.89
16-Apr-04,34.68,35.24,34.52,35.06,3490900,34.31
15-Apr-04,34.63,34.74,34.11,34.50,2219900,33.76
14-Apr-04,34.45,35.08,34.31,34.48,2416500,33.74
13-Apr-04,35.18,35.20,34.41,34.60,2181300,33.86
12-Apr-04,34.66,35.12,34.60,35.01,1729600,34.26
8-Apr-04,34.90,35.10,34.51,34.66,2415800,33.92
7-Apr-04,34.85,35.21,34.24,34.62,2635500,33.88
6-Apr-04,34.90,35.18,34.74,35.04,2551800,34.29
5-Apr-04,34.05,35.00,34.05,35.00,2292600,34.25
2-Apr-04,34.35,34.50,33.98,34.24,2221200,33.50
1-Apr-04,33.84,34.12,33.77,33.87,2284500,33.14
31-Mar-04,33.81,34.02,33.55,33.85,2747800,33.12
30-Mar-04,33.51,34.02,33.31,33.76,2288700,33.03
29-Mar-04,33.28,33.79,33.26,33.45,2482800,32.73
26-Mar-04,32.68,33.28,32.52,33.10,2417600,32.39
25-Mar-04,32.05,33.00,32.03,32.87,4800800,32.16
24-Mar-04,31.77,32.13,31.50,31.98,2910700,31.29
23-Mar-04,31.75,32.27,31.75,31.91,2919400,31.22
22-Mar-04,32.10,32.16,31.23,31.75,4316800,31.07
19-Mar-04,32.73,33.26,32.49,32.64,3708100,31.94
18-Mar-04,32.81,32.90,32.22,32.73,1864200,32.03
17-Mar-04,32.15,32.89,32.15,32.80,3543100,32.10
16-Mar-04,33.00,33.08,31.76,32.11,5322600,31.42
15-Mar-04,33.00,33.22,32.40,32.59,3584500,31.89
12-Mar-04,32.78,33.16,32.69,33.00,4040200,32.29
11-Mar-04,32.77,33.09,32.19,32.44,4952600,31.74
10-Mar-04,33.87,33.97,32.66,32.96,4355700,32.25
9-Mar-04,34.50,34.55,33.50,33.96,3086100,33.23
8-Mar-04,34.93,35.24,34.39,34.50,1909500,33.76
5-Mar-04,34.90,35.17,34.61,34.96,2085600,34.21
4-Mar-04,35.30,35.50,34.91,35.20,2433600,34.44
3-Mar-04,34.91,35.14,34.77,35.07,2005600,34.32
2-Mar-04,34.50,35.30,34.42,34.90,3102500,34.15
1-Mar-04,35.16,35.44,35.08,35.31,3148400,34.55
27-Feb-04,34.92,35.39,34.85,35.05,3170100,34.30
26-Feb-04,35.00,35.10,34.41,34.94,4399100,34.19
25-Feb-04,35.01,35.30,34.91,34.97,3163300,34.22
24-Feb-04,35.02,35.65,34.75,34.95,4783800,34.20
23-Feb-04,35.59,35.61,34.67,35.01,3173900,34.26
20-Feb-04,35.73,35.98,35.10,35.58,2409300,34.82
19-Feb-04,36.02,36.40,35.70,35.72,3605300,34.95
18-Feb-04,36.25,36.45,35.62,35.77,2654500,35.00
17-Feb-04,36.42,36.64,36.29,36.46,1767700,35.49
13-Feb-04,36.82,36.88,36.15,36.41,3147100,35.44
12-Feb-04,36.15,37.01,36.05,36.95,4126400,35.97
11-Feb-04,35.37,36.15,35.13,36.10,3924300,35.14
10-Feb-04,35.58,35.80,35.43,35.62,3039700,34.68
9-Feb-04,35.78,36.13,35.46,35.58,2659500,34.64
6-Feb-04,35.40,35.98,35.31,35.90,2669700,34.95
5-Feb-04,35.15,35.65,34.84,35.48,3684100,34.54
4-Feb-04,35.05,35.39,34.52,34.85,4146300,33.93
3-Feb-04,35.80,35.87,35.37,35.48,2809200,34.54
2-Feb-04,35.96,36.44,35.50,35.96,2962200,35.01
30-Jan-04,36.40,36.40,35.75,36.12,3482900,35.16
29-Jan-04,36.00,36.37,35.71,35.95,5741600,35.00
28-Jan-04,35.71,36.15,35.19,35.68,4369400,34.73
27-Jan-04,36.35,36.58,35.66,35.70,3500600,34.75
26-Jan-04,35.75,37.65,35.60,36.39,3560500,35.42
23-Jan-04,35.80,36.05,35.43,35.62,2485100,34.68
22-Jan-04,36.30,36.35,35.68,35.93,2389900,34.98
21-Jan-04,35.35,36.43,35.00,36.29,5362700,35.33
20-Jan-04,36.72,36.72,34.75,35.66,9887600,34.71
16-Jan-04,36.75,37.50,36.41,37.43,4466400,36.44
15-Jan-04,36.18,36.90,35.95,36.48,4913100,35.51
14-Jan-04,35.15,36.24,35.13,36.17,4931100,35.21
13-Jan-04,35.00,35.40,34.74,35.05,4249400,34.12
12-Jan-04,34.79,35.10,34.72,35.01,3848300,34.08
9-Jan-04,34.95,35.14,34.90,34.94,5870000,34.01
8-Jan-04,35.25,35.44,34.70,35.35,7712900,34.41
7-Jan-04,33.90,34.18,33.61,33.73,6142000,32.84
6-Jan-04,33.22,34.01,33.22,33.93,3370600,33.03
5-Jan-04,33.15,33.78,33.05,33.50,5030200,32.61
2-Jan-04,33.05,33.80,32.85,33.33,3456600,32.45
31-Dec-03,33.12,33.50,32.93,33.43,3619600,32.54
30-Dec-03,33.22,33.44,32.78,33.01,2607800,32.13
29-Dec-03,32.80,33.15,32.66,33.15,3599300,32.27
26-Dec-03,32.50,32.83,32.50,32.81,952300,31.94
24-Dec-03,32.62,32.93,32.61,32.73,1557600,31.86
23-Dec-03,32.70,32.98,32.69,32.91,3526600,32.04
22-Dec-03,31.92,32.91,31.85,32.81,6173000,31.94
19-Dec-03,31.70,31.97,31.55,31.82,7421100,30.98
18-Dec-03,31.00,31.70,30.90,31.57,10741200,30.73
17-Dec-03,29.95,30.26,29.95,30.26,7362200,29.46
