Date,Open,High,Low,Close,Volume,Adj. Close*
19-Sep-05,79.74,79.98,79.01,79.43,5148500,79.43
16-Sep-05,80.38,80.50,79.83,80.33,7624900,80.33
15-Sep-05,80.43,80.65,79.67,80.01,4864100,80.01
14-Sep-05,80.75,81.40,80.42,80.48,3887700,80.48
13-Sep-05,81.49,81.49,80.52,80.75,5040900,80.75
12-Sep-05,81.03,82.11,81.00,81.48,3692800,81.48
9-Sep-05,80.86,81.49,80.52,81.44,3982200,81.44
8-Sep-05,81.28,81.52,80.50,80.80,4277300,80.80
7-Sep-05,80.70,81.13,80.32,80.98,4116300,80.98
6-Sep-05,79.70,81.19,79.70,81.02,6305500,81.02
2-Sep-05,79.50,80.01,79.46,79.46,3680600,79.46
1-Sep-05,80.16,80.32,79.34,79.54,6390600,79.54
31-Aug-05,80.35,80.79,79.87,80.62,5400800,80.62
30-Aug-05,81.00,81.00,79.98,80.54,5674200,80.54
29-Aug-05,80.00,81.75,79.90,81.34,4025300,81.34
26-Aug-05,80.81,81.02,80.26,80.38,5029300,80.38
25-Aug-05,81.45,81.45,80.72,81.10,3606100,81.10
24-Aug-05,81.53,82.40,81.23,81.32,4417600,81.32
23-Aug-05,82.70,83.14,81.60,82.03,4000300,82.03
22-Aug-05,82.75,83.35,81.85,82.60,5157200,82.60
19-Aug-05,81.36,83.30,81.36,82.76,6481000,82.76
18-Aug-05,81.10,82.00,80.80,81.15,3713300,81.15
17-Aug-05,81.40,81.94,80.84,81.30,4853000,81.30
16-Aug-05,82.07,82.43,81.09,81.30,4407400,81.30
15-Aug-05,81.90,82.94,81.61,82.50,3431100,82.50
12-Aug-05,82.15,82.58,82.06,82.19,4378200,82.19
11-Aug-05,81.93,82.75,81.62,82.66,4570400,82.66
10-Aug-05,83.65,84.01,81.97,82.02,5402400,82.02
9-Aug-05,83.40,83.95,82.94,83.50,3793500,83.50
8-Aug-05,83.41,83.89,83.02,83.36,4424300,83.36
5-Aug-05,82.75,83.74,82.73,83.36,3714600,83.16
4-Aug-05,83.75,83.89,82.98,83.12,5249900,82.92
3-Aug-05,83.31,84.20,83.11,84.06,4256200,83.86
2-Aug-05,83.27,83.86,83.04,83.31,5380700,83.11
1-Aug-05,83.00,83.85,82.85,83.43,3664300,83.23
29-Jul-05,83.30,83.95,83.22,83.46,4330300,83.26
28-Jul-05,83.55,83.97,83.27,83.80,6189700,83.60
27-Jul-05,83.80,84.13,82.81,83.87,4862200,83.67
26-Jul-05,84.15,84.35,83.85,84.12,4542900,83.92
