Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,24.74,24.80,24.36,24.77,58065800,24.77
10-May-05,24.61,24.83,24.20,24.67,59638900,24.67
9-May-05,24.41,24.80,24.34,24.80,57982700,24.80
6-May-05,24.44,24.50,24.31,24.49,54715400,24.49
5-May-05,24.13,24.48,24.10,24.26,64257800,24.26
4-May-05,23.82,24.20,23.67,24.11,62027600,24.11
3-May-05,23.46,23.91,23.42,23.83,67738304,23.75
2-May-05,23.50,23.57,23.35,23.55,41187800,23.47
29-Apr-05,23.43,23.59,23.06,23.52,55078900,23.44
28-Apr-05,23.35,23.62,23.12,23.19,57393400,23.11
27-Apr-05,23.18,23.62,23.10,23.51,56785200,23.43
26-Apr-05,23.23,23.90,23.19,23.32,71256496,23.24
25-Apr-05,23.33,23.55,23.21,23.41,53857700,23.33
22-Apr-05,23.27,23.31,23.06,23.24,65435600,23.16
21-Apr-05,22.98,23.39,22.93,23.36,87063104,23.28
20-Apr-05,23.40,23.44,22.63,22.66,110176600,22.58
19-Apr-05,22.51,22.69,22.30,22.63,83774200,22.55
18-Apr-05,22.23,22.49,22.10,22.21,53761600,22.14
15-Apr-05,22.22,22.50,21.94,22.12,92484400,22.05
14-Apr-05,22.74,22.80,22.47,22.49,68014000,22.41
13-Apr-05,23.14,23.18,22.70,22.82,54061100,22.74
12-Apr-05,23.12,23.25,22.64,23.22,84545904,23.14
11-Apr-05,23.30,23.34,23.05,23.12,41972300,23.04
8-Apr-05,23.38,23.70,23.25,23.29,45961000,23.21
7-Apr-05,23.02,23.42,23.02,23.41,53264800,23.33
6-Apr-05,23.21,23.31,23.00,23.05,53942200,22.97
5-Apr-05,23.00,23.25,22.97,23.13,48086400,23.05
4-Apr-05,23.10,23.11,22.65,22.93,60426700,22.85
1-Apr-05,23.34,23.44,22.90,23.01,68253800,22.93
31-Mar-05,23.51,23.54,23.13,23.23,41543800,23.15
30-Mar-05,23.28,23.54,23.00,23.49,62360100,23.41
29-Mar-05,23.34,23.40,23.05,23.15,53920200,23.07
28-Mar-05,23.34,23.65,23.27,23.30,42922000,23.22
24-Mar-05,23.52,23.61,23.18,23.18,34664000,23.10
23-Mar-05,23.02,23.51,22.96,23.39,54286400,23.31
22-Mar-05,23.57,23.66,23.00,23.02,49092300,22.94
21-Mar-05,23.46,23.66,23.25,23.50,39608900,23.42
18-Mar-05,23.61,23.66,23.37,23.41,62777800,23.33
17-Mar-05,23.51,23.67,23.35,23.41,49047800,23.33
16-Mar-05,23.56,24.04,23.51,23.54,59791000,23.46
15-Mar-05,24.35,24.42,23.83,23.88,47097500,23.80
14-Mar-05,24.25,24.43,24.11,24.27,45827400,24.19
11-Mar-05,25.06,25.10,24.00,24.20,114213104,24.12
10-Mar-05,24.93,25.12,24.34,24.85,81906000,24.77
9-Mar-05,24.87,25.23,24.75,24.84,64168700,24.76
8-Mar-05,24.97,25.43,24.78,24.80,55791600,24.72
7-Mar-05,24.68,25.47,24.55,25.11,88515000,25.03
4-Mar-05,24.70,25.01,24.49,24.68,66040200,24.60
3-Mar-05,24.50,24.60,24.23,24.50,85790704,24.42
2-Mar-05,24.40,24.80,24.35,24.52,78910096,24.44
1-Mar-05,24.36,24.76,24.33,24.62,84308400,24.54
28-Feb-05,24.16,24.49,23.86,23.99,78925000,23.91
25-Feb-05,23.66,24.12,23.57,24.09,73552200,24.01
24-Feb-05,23.31,23.72,23.15,23.70,78619296,23.62
23-Feb-05,23.92,23.93,23.05,23.31,92071904,23.23
22-Feb-05,23.77,24.41,23.64,23.76,80059696,23.68
18-Feb-05,23.67,24.08,23.64,24.02,58126700,23.94
17-Feb-05,24.20,24.32,23.55,23.63,80239800,23.55
16-Feb-05,24.31,24.40,24.13,24.14,85307400,24.06
15-Feb-05,24.19,24.63,24.16,24.47,80599696,24.39
14-Feb-05,24.04,24.39,24.00,24.31,59197400,24.23
11-Feb-05,23.23,24.34,23.18,24.17,101956896,24.09
10-Feb-05,23.44,23.59,23.22,23.50,74162704,23.42
9-Feb-05,23.42,23.48,23.16,23.30,69909504,23.22
8-Feb-05,22.95,23.50,22.93,23.41,85233696,23.33
7-Feb-05,22.93,23.18,22.88,22.91,53757300,22.83
4-Feb-05,22.38,23.02,22.37,23.00,67594800,22.92
3-Feb-05,22.49,22.64,22.17,22.38,60735900,22.30
2-Feb-05,22.66,22.76,22.50,22.58,73565400,22.42
1-Feb-05,22.49,22.75,22.39,22.63,67031800,22.47
31-Jan-05,22.45,22.55,22.27,22.45,60540400,22.30
28-Jan-05,22.35,22.57,22.08,22.24,76572304,22.09
27-Jan-05,22.38,22.52,22.17,22.31,78986896,22.16
26-Jan-05,22.49,22.59,22.30,22.42,69891504,22.27
25-Jan-05,22.22,22.54,22.17,22.26,94826800,22.11
24-Jan-05,22.49,22.54,21.89,21.99,83759504,21.84
