Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,35.14,35.44,34.86,35.30,9091900,35.30
10-May-05,35.60,35.62,35.00,35.14,13667900,35.14
9-May-05,35.56,36.00,35.54,35.96,6858100,35.96
6-May-05,36.00,36.05,35.50,35.61,7313800,35.61
5-May-05,36.15,36.19,35.52,35.90,8286700,35.90
4-May-05,35.51,36.17,35.45,36.10,12880000,36.10
3-May-05,35.58,35.82,35.27,35.50,12748700,35.50
2-May-05,35.58,35.60,35.12,35.57,10170400,35.57
29-Apr-05,35.03,35.50,34.92,35.49,14205800,35.49
28-Apr-05,35.30,35.51,35.00,35.02,12987700,35.02
27-Apr-05,35.08,35.75,34.97,35.50,11456900,35.50
26-Apr-05,35.18,35.43,35.04,35.08,8410100,35.08
25-Apr-05,34.98,35.20,34.89,35.17,9174600,35.17
22-Apr-05,34.77,35.18,34.56,34.87,13476600,34.87
21-Apr-05,35.02,35.17,34.32,35.04,16555800,35.04
20-Apr-05,35.63,35.88,34.73,34.76,25470000,34.76
19-Apr-05,34.73,35.16,34.68,34.95,10932200,34.95
18-Apr-05,34.25,34.92,34.21,34.64,16011300,34.64
15-Apr-05,34.25,34.70,33.89,33.93,15012100,33.93
14-Apr-05,34.57,34.61,34.19,34.19,11012300,34.19
13-Apr-05,35.05,35.09,34.50,34.57,11500600,34.57
12-Apr-05,34.62,35.20,34.25,35.04,14425600,35.04
11-Apr-05,34.67,34.81,34.57,34.62,7172800,34.62
8-Apr-05,34.86,34.95,34.50,34.50,6360800,34.50
7-Apr-05,34.75,35.10,34.67,34.80,8304500,34.80
6-Apr-05,34.75,34.91,34.62,34.68,10676000,34.68
5-Apr-05,34.00,34.76,33.97,34.58,15200900,34.58
4-Apr-05,33.67,33.95,33.35,33.77,15639300,33.77
1-Apr-05,34.79,35.11,33.84,34.25,20140200,33.91
31-Mar-05,34.90,34.93,34.53,34.60,13312200,34.26
30-Mar-05,34.52,34.98,34.47,34.95,11279800,34.60
29-Mar-05,34.65,35.10,34.32,34.58,14720400,34.24
28-Mar-05,34.93,35.08,34.73,34.85,8804800,34.50
24-Mar-05,35.10,35.15,34.87,34.93,11987900,34.58
23-Mar-05,35.06,35.29,34.88,34.93,17485800,34.58
22-Mar-05,36.00,36.00,34.96,35.06,14833000,34.71
21-Mar-05,35.88,35.95,35.50,35.79,11448100,35.43
18-Mar-05,36.16,36.25,35.82,36.01,18106400,35.65
17-Mar-05,36.22,36.28,35.90,36.15,9034600,35.79
16-Mar-05,36.25,36.40,36.05,36.25,13404700,35.89
15-Mar-05,36.51,36.67,36.19,36.25,8607000,35.89
14-Mar-05,36.11,36.49,35.86,36.45,13097500,36.09
11-Mar-05,36.26,36.38,36.00,36.11,9297300,35.75
10-Mar-05,36.48,36.60,36.29,36.36,11903100,36.00
9-Mar-05,36.73,36.82,36.34,36.47,17648000,36.11
8-Mar-05,37.23,37.28,36.91,36.94,9934400,36.57
7-Mar-05,37.51,37.55,37.31,37.34,11265600,36.97
4-Mar-05,37.25,37.79,37.12,37.51,12698300,37.14
3-Mar-05,37.15,37.18,36.70,37.01,8372400,36.64
2-Mar-05,37.00,37.42,36.87,36.99,9392100,36.62
1-Mar-05,37.00,37.34,36.88,37.09,10170900,36.72
28-Feb-05,36.97,37.02,36.52,36.55,11403900,36.19
25-Feb-05,36.68,37.08,36.65,36.97,8776200,36.60
24-Feb-05,36.52,36.89,36.45,36.68,9123400,36.32
23-Feb-05,36.18,36.58,36.00,36.48,12550200,36.12
22-Feb-05,36.51,36.63,35.90,35.93,14882000,35.57
18-Feb-05,36.65,36.76,36.30,36.51,17789700,36.15
17-Feb-05,37.28,37.37,36.78,36.78,12155800,36.41
16-Feb-05,37.34,37.43,37.18,37.33,9579800,36.96
15-Feb-05,37.67,37.75,37.45,37.55,8145300,37.18
14-Feb-05,37.57,37.57,37.27,37.50,6686000,37.13
11-Feb-05,37.30,37.58,37.14,37.48,10676700,37.11
10-Feb-05,37.56,37.66,37.39,37.45,8872600,37.08
9-Feb-05,37.61,37.74,37.45,37.50,7084500,37.13
8-Feb-05,37.92,37.99,37.69,37.76,7579200,37.39
7-Feb-05,37.70,38.07,37.60,37.97,9438000,37.59
4-Feb-05,37.44,37.74,37.40,37.69,10662400,37.32
3-Feb-05,37.47,37.53,37.35,37.39,10737700,37.02
2-Feb-05,37.50,37.54,37.38,37.52,13147400,37.15
1-Feb-05,37.50,37.64,37.30,37.50,14015400,37.13
31-Jan-05,37.28,37.40,37.24,37.33,14111800,36.96
28-Jan-05,36.88,37.00,36.63,37.00,15282000,36.63
27-Jan-05,36.62,36.90,36.51,36.75,9791100,36.39
26-Jan-05,36.80,37.00,36.76,36.83,14555600,36.46
25-Jan-05,36.99,37.21,36.83,36.86,9986100,36.49
24-Jan-05,36.86,37.22,36.76,36.88,12870700,36.51
21-Jan-05,37.25,37.49,36.85,36.85,14174400,36.48
20-Jan-05,37.80,37.83,37.11,37.25,15240300,36.88
19-Jan-05,38.01,38.45,37.83,37.84,15845900,37.46
18-Jan-05,37.71,38.49,37.52,38.40,9729100,38.02
14-Jan-05,37.78,37.98,37.65,37.81,7346500,37.43
13-Jan-05,38.00,38.38,37.71,37.77,9646600,37.40
12-Jan-05,38.00,38.03,37.57,37.99,9075900,37.61
11-Jan-05,38.10,38.25,37.90,37.90,8966300,37.52
10-Jan-05,38.27,38.51,38.05,38.27,9284500,37.89
7-Jan-05,38.69,38.87,38.39,38.40,9971200,38.02
6-Jan-05,38.77,38.98,38.64,38.71,9115900,38.33
5-Jan-05,38.60,38.92,38.39,38.49,9770200,38.11
4-Jan-05,38.98,39.06,38.32,38.41,11360900,38.03
3-Jan-05,39.48,39.69,39.01,39.15,14957900,38.42
31-Dec-04,39.08,39.17,38.95,39.01,5754000,38.29
30-Dec-04,39.16,39.32,39.05,39.08,4745700,38.36
29-Dec-04,39.01,39.16,38.94,39.16,6008200,38.43
28-Dec-04,38.97,39.30,38.95,39.21,5420000,38.48
27-Dec-04,39.20,39.29,38.93,39.01,5639800,38.29
23-Dec-04,39.12,39.48,39.10,39.16,8556100,38.43
22-Dec-04,38.95,39.23,38.80,39.03,9282700,38.31
21-Dec-04,38.65,39.25,38.64,39.07,8686400,38.35
20-Dec-04,38.60,38.88,38.52,38.60,8837800,37.88
17-Dec-04,38.20,38.82,38.19,38.52,14179700,37.81
16-Dec-04,38.80,39.00,38.63,38.93,11590300,38.21
15-Dec-04,38.80,39.25,38.76,39.03,13420900,38.31
14-Dec-04,38.32,38.80,38.30,38.74,12084600,38.02
13-Dec-04,38.00,38.40,37.92,38.25,14880100,37.54
10-Dec-04,37.66,37.86,37.49,37.63,8579000,36.93
9-Dec-04,37.25,37.89,37.25,37.69,10360900,36.99
8-Dec-04,37.81,37.83,37.53,37.55,11421600,36.85
7-Dec-04,38.20,38.30,37.80,37.81,8779000,37.11
6-Dec-04,37.95,38.42,37.77,38.12,10695800,37.41
3-Dec-04,38.38,38.52,37.99,38.06,10918000,37.35
2-Dec-04,38.25,38.62,38.20,38.44,8238200,37.73
1-Dec-04,37.80,38.28,37.77,38.28,11122800,37.57
30-Nov-04,37.18,37.70,37.06,37.65,13032200,36.95
29-Nov-04,37.69,37.86,37.11,37.31,10747600,36.62
26-Nov-04,37.70,37.79,37.60,37.69,3143500,36.99
24-Nov-04,37.78,37.80,37.55,37.70,6854700,37.00
23-Nov-04,37.65,37.70,37.26,37.56,10883200,36.86
22-Nov-04,37.42,37.85,37.15,37.55,13073300,36.85
19-Nov-04,37.90,37.98,37.27,37.42,14346300,36.73
18-Nov-04,38.20,38.34,37.79,37.82,14942800,37.12
17-Nov-04,38.50,38.83,38.12,38.27,14438700,37.56
16-Nov-04,38.50,38.76,38.40,38.47,14141300,37.76
15-Nov-04,39.00,39.16,38.95,39.16,8794300,38.43
12-Nov-04,38.93,39.29,38.90,39.17,11168600,38.44
11-Nov-04,39.20,39.42,38.87,39.18,8004300,38.45
10-Nov-04,39.18,39.19,38.85,38.95,7633400,38.23
9-Nov-04,39.33,39.49,39.06,39.11,7004600,38.39
8-Nov-04,39.32,39.45,39.11,39.28,7547900,38.55
5-Nov-04,39.64,39.91,39.00,39.35,13418700,38.62
4-Nov-04,38.75,39.66,38.50,39.64,12158700,38.91
3-Nov-04,39.35,39.43,38.63,38.85,11104200,38.13
2-Nov-04,38.50,39.17,38.41,38.55,9869300,37.84
1-Nov-04,38.77,38.94,38.43,38.50,10154500,37.79
29-Oct-04,38.42,38.62,38.02,38.60,11215900,37.88
28-Oct-04,37.85,38.55,37.67,38.48,8766200,37.77
27-Oct-04,37.35,38.18,37.03,38.02,11518800,37.32
26-Oct-04,37.02,37.60,36.95,37.49,10566300,36.80
25-Oct-04,37.47,37.53,36.90,37.02,11971100,36.33
22-Oct-04,37.80,37.88,37.40,37.47,8983300,36.78
21-Oct-04,37.08,37.85,37.05,37.70,11568200,37.00
20-Oct-04,36.70,37.45,36.32,37.25,23141100,36.56
19-Oct-04,38.75,39.38,37.79,37.98,16571000,37.28
18-Oct-04,38.55,39.11,38.53,39.00,5915300,38.28
15-Oct-04,38.53,39.10,38.52,38.74,8057300,38.02
14-Oct-04,39.24,39.24,38.20,38.53,11762100,37.82
13-Oct-04,39.60,39.69,38.95,39.24,7602800,38.51
12-Oct-04,39.05,39.64,39.01,39.51,8410800,38.78
11-Oct-04,39.50,39.69,39.38,39.38,3363700,38.65
8-Oct-04,39.54,39.77,39.26,39.65,6542800,38.92
7-Oct-04,39.52,39.89,39.41,39.53,7051800,38.80
6-Oct-04,39.31,39.53,39.16,39.49,7631200,38.76
5-Oct-04,39.70,39.81,39.06,39.46,12012800,38.73
4-Oct-04,40.33,40.45,39.75,39.76,12622200,39.02
1-Oct-04,39.90,40.40,39.86,40.34,11375700,39.26
30-Sep-04,39.65,39.79,39.42,39.73,8422700,38.67
29-Sep-04,39.38,39.68,39.04,39.68,7725600,38.62
28-Sep-04,39.14,39.47,38.95,39.38,8002100,38.32
27-Sep-04,39.62,39.63,39.06,39.13,10374800,38.08
24-Sep-04,39.47,39.93,39.42,39.75,8779600,38.68
23-Sep-04,39.75,39.76,39.41,39.46,9352100,38.40
22-Sep-04,39.50,39.94,39.35,39.85,12767500,38.78
21-Sep-04,39.50,40.25,39.50,40.10,10296700,39.03
20-Sep-04,39.66,39.66,39.30,39.38,7806700,38.32
17-Sep-04,39.68,39.80,39.51,39.65,9749500,38.59
16-Sep-04,39.31,39.84,39.15,39.58,10947400,38.52
15-Sep-04,39.37,39.45,39.08,39.08,7142200,38.03
