Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,40.07,40.25,39.51,40.24,5141600,40.24
10-May-05,39.04,40.20,39.00,39.95,7730800,39.95
9-May-05,39.24,39.51,38.93,39.25,2705700,39.25
6-May-05,39.28,39.41,38.74,39.39,3889800,39.39
5-May-05,39.22,39.84,38.91,39.09,6543000,39.09
4-May-05,39.00,39.55,38.90,39.31,5384900,39.31
3-May-05,39.10,39.59,38.59,38.86,5233600,38.86
2-May-05,39.19,39.47,38.98,39.20,4305100,39.20
29-Apr-05,38.85,39.14,37.39,38.95,13669800,38.95
28-Apr-05,40.38,41.13,39.97,40.02,5986100,40.02
27-Apr-05,40.64,41.24,40.24,40.50,5433300,40.38
26-Apr-05,41.09,42.32,40.65,40.91,6327200,40.79
25-Apr-05,41.33,41.63,40.86,41.24,3457900,41.12
22-Apr-05,41.70,41.89,40.82,41.03,3757300,40.91
21-Apr-05,41.43,42.06,41.05,41.93,5384400,41.81
20-Apr-05,42.11,42.35,40.69,40.72,6974100,40.60
19-Apr-05,41.57,41.66,40.70,41.03,4848200,40.91
18-Apr-05,40.54,41.31,40.40,41.06,5988400,40.94
15-Apr-05,40.72,41.03,40.08,40.36,9916300,40.24
14-Apr-05,42.89,42.90,41.32,41.38,10424800,41.26
13-Apr-05,45.12,45.51,42.38,42.59,12677000,42.46
12-Apr-05,45.09,45.45,44.22,45.38,5258500,45.25
11-Apr-05,45.02,45.26,44.76,45.03,2924100,44.90
8-Apr-05,45.30,45.81,44.93,44.93,3578000,44.80
7-Apr-05,44.45,45.41,44.27,45.39,4679500,45.26
6-Apr-05,44.74,45.40,44.35,44.36,4999400,44.23
5-Apr-05,44.80,45.17,44.18,44.39,5213700,44.26
4-Apr-05,45.33,45.43,44.20,44.61,6876300,44.48
1-Apr-05,46.34,46.83,45.25,45.25,5226700,45.12
31-Mar-05,46.56,46.62,45.82,46.01,3707300,45.87
30-Mar-05,45.39,46.59,45.18,46.59,5637700,46.45
29-Mar-05,45.63,46.25,45.01,45.19,4791800,45.06
28-Mar-05,46.02,46.70,45.85,45.87,4135700,45.73
24-Mar-05,45.71,46.44,45.68,45.89,4933600,45.75
23-Mar-05,44.65,45.72,44.53,45.35,4940600,45.22
22-Mar-05,45.14,45.82,44.56,44.67,4796800,44.54
21-Mar-05,45.14,45.71,44.55,45.14,5261900,45.01
18-Mar-05,45.27,45.52,44.79,45.08,4252200,44.95
17-Mar-05,45.36,45.85,45.20,45.21,4852200,45.08
