Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,2.84,2.85,2.76,2.84,34412400,2.84
10-May-05,2.91,2.94,2.78,2.80,81180304,2.80
9-May-05,2.66,3.00,2.62,2.92,168745200,2.92
6-May-05,2.62,2.64,2.57,2.58,21177200,2.58
5-May-05,2.64,2.66,2.55,2.58,32180400,2.58
4-May-05,2.52,2.66,2.51,2.64,66237800,2.64
3-May-05,2.45,2.51,2.42,2.50,37589700,2.50
2-May-05,2.44,2.47,2.41,2.44,23516700,2.44
29-Apr-05,2.49,2.49,2.40,2.43,37563700,2.43
28-Apr-05,2.50,2.52,2.43,2.44,22236200,2.44
27-Apr-05,2.50,2.52,2.48,2.51,26285800,2.51
26-Apr-05,2.51,2.62,2.51,2.52,31648300,2.52
25-Apr-05,2.53,2.56,2.50,2.54,26536300,2.54
22-Apr-05,2.55,2.57,2.50,2.52,27847200,2.52
21-Apr-05,2.56,2.63,2.54,2.57,43455700,2.57
20-Apr-05,2.69,2.70,2.52,2.52,57129300,2.52
19-Apr-05,2.56,2.64,2.44,2.61,111619800,2.61
18-Apr-05,2.40,2.42,2.35,2.36,45159200,2.36
15-Apr-05,2.50,2.51,2.39,2.40,54445600,2.40
14-Apr-05,2.54,2.56,2.50,2.51,24123700,2.51
13-Apr-05,2.59,2.61,2.53,2.54,39815700,2.54
12-Apr-05,2.62,2.64,2.59,2.60,31957300,2.60
11-Apr-05,2.68,2.69,2.62,2.63,16606500,2.63
8-Apr-05,2.70,2.73,2.64,2.65,28321300,2.65
7-Apr-05,2.64,2.71,2.62,2.68,32946800,2.68
6-Apr-05,2.57,2.62,2.57,2.61,39120500,2.61
5-Apr-05,2.61,2.62,2.49,2.53,61953700,2.53
4-Apr-05,2.70,2.72,2.58,2.62,60451800,2.62
1-Apr-05,2.79,2.81,2.71,2.71,25848600,2.71
31-Mar-05,2.82,2.82,2.75,2.75,24399400,2.75
30-Mar-05,2.74,2.80,2.73,2.79,29993200,2.79
29-Mar-05,2.71,2.75,2.70,2.72,29253400,2.72
28-Mar-05,2.74,2.75,2.70,2.70,31414900,2.70
24-Mar-05,2.73,2.80,2.72,2.76,29215800,2.76
23-Mar-05,2.73,2.76,2.69,2.71,39755000,2.71
22-Mar-05,2.80,2.83,2.71,2.74,42015700,2.74
21-Mar-05,2.86,2.86,2.80,2.81,23815700,2.81
18-Mar-05,2.81,2.87,2.79,2.87,38560000,2.87
17-Mar-05,2.81,2.91,2.77,2.81,43391700,2.81
16-Mar-05,2.90,2.91,2.80,2.81,52412700,2.81
15-Mar-05,2.94,2.96,2.90,2.91,34920800,2.91
14-Mar-05,2.92,2.95,2.91,2.93,35503100,2.93
11-Mar-05,3.01,3.04,2.90,2.92,30119000,2.92
10-Mar-05,2.97,3.01,2.96,3.00,31669000,3.00
