Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,65.76,65.89,64.96,65.39,5568300,65.39
10-May-05,66.05,66.15,65.50,65.76,4223900,65.76
9-May-05,66.45,66.60,66.03,66.12,3944200,66.12
6-May-05,67.00,67.39,66.15,66.30,7659300,66.30
5-May-05,66.75,66.99,66.25,66.83,4925100,66.83
4-May-05,66.20,66.81,66.00,66.75,5766900,66.75
3-May-05,65.45,66.46,65.26,65.99,7198000,65.99
2-May-05,65.65,65.65,65.05,65.41,4910500,65.41
29-Apr-05,65.10,65.15,64.46,64.99,4985400,64.99
28-Apr-05,64.95,66.02,64.30,64.47,9788800,64.47
27-Apr-05,64.04,64.95,63.82,64.84,5868600,64.84
26-Apr-05,65.31,65.43,64.00,64.00,7105400,64.00
25-Apr-05,64.84,65.43,64.80,65.31,5116300,65.31
22-Apr-05,65.15,65.59,64.18,64.80,7383700,64.80
21-Apr-05,64.25,65.39,63.86,65.31,10687600,65.31
20-Apr-05,63.60,66.20,62.70,62.75,14193600,62.75
19-Apr-05,63.40,64.70,62.75,64.12,6290100,64.12
18-Apr-05,64.90,64.93,63.21,63.73,8293800,63.73
15-Apr-05,65.65,65.65,64.84,64.98,7857700,64.98
14-Apr-05,65.86,66.35,65.49,65.49,6224100,65.49
13-Apr-05,65.40,66.10,65.32,65.87,6537000,65.87
12-Apr-05,65.70,65.77,65.10,65.19,6194700,65.19
11-Apr-05,65.99,66.17,65.55,65.55,5440500,65.55
8-Apr-05,65.85,65.97,65.53,65.53,5093300,65.53
7-Apr-05,65.63,65.82,65.51,65.68,5861600,65.68
6-Apr-05,65.35,65.87,65.19,65.54,5836000,65.54
5-Apr-05,64.80,65.25,64.78,65.00,4952300,65.00
4-Apr-05,65.27,65.28,64.35,64.47,6259200,64.47
1-Apr-05,66.00,66.00,65.11,65.18,5750100,65.18
31-Mar-05,65.35,65.85,65.10,65.39,4649300,65.39
30-Mar-05,64.85,65.43,64.63,65.35,6708800,65.35
29-Mar-05,64.35,64.89,64.21,64.38,5296900,64.38
