Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,33.88,33.94,33.40,33.50,6516800,33.50
10-May-05,34.10,34.13,33.65,33.88,6238800,33.88
9-May-05,34.02,34.24,33.79,34.20,7019600,34.20
6-May-05,34.85,35.20,34.01,34.16,7254600,34.16
5-May-05,34.93,35.05,34.35,34.75,8119900,34.75
4-May-05,34.33,34.95,34.31,34.93,6974300,34.93
3-May-05,34.15,34.43,34.00,34.42,7169500,34.42
2-May-05,34.07,34.13,33.70,34.00,5647000,34.00
29-Apr-05,33.70,34.15,33.51,33.90,7928400,33.90
28-Apr-05,33.45,33.84,33.28,33.79,6113300,33.79
27-Apr-05,33.61,33.85,33.36,33.49,7091700,33.49
26-Apr-05,33.89,33.98,33.40,33.60,7348800,33.60
25-Apr-05,34.08,34.09,33.52,33.92,7912500,33.92
22-Apr-05,34.28,34.40,33.93,34.20,7137500,34.20
21-Apr-05,34.97,34.98,33.95,34.28,9455100,34.28
20-Apr-05,34.40,34.56,33.60,34.07,8629800,34.07
19-Apr-05,34.65,34.83,34.13,34.68,8203800,34.68
18-Apr-05,34.75,34.75,34.00,34.43,10407000,34.43
15-Apr-05,35.24,36.26,34.76,34.80,19490900,34.80
14-Apr-05,34.60,34.97,34.53,34.78,14166500,34.78
13-Apr-05,33.81,35.30,33.52,34.52,25685600,34.52
12-Apr-05,33.05,33.82,32.95,33.81,7908000,33.81
11-Apr-05,33.45,33.59,33.05,33.14,4930800,33.14
8-Apr-05,33.70,33.74,33.18,33.33,7271500,33.33
7-Apr-05,32.40,33.51,31.98,33.49,20244500,33.49
6-Apr-05,33.24,33.43,32.76,32.89,7760900,32.89
5-Apr-05,32.69,33.15,32.60,33.04,10618100,33.04
4-Apr-05,32.38,32.54,32.06,32.50,8573200,32.50
1-Apr-05,32.67,32.68,32.23,32.31,6922500,32.31
31-Mar-05,32.41,32.60,32.16,32.37,8012900,32.37
30-Mar-05,32.15,32.46,32.01,32.44,7754600,32.44
29-Mar-05,31.77,32.17,31.76,32.01,7657700,32.01
28-Mar-05,32.08,32.09,31.70,31.76,6061200,31.76
24-Mar-05,32.09,32.14,31.80,31.87,5628600,31.87
23-Mar-05,31.95,32.36,31.90,32.06,8962700,32.06
22-Mar-05,32.00,32.09,31.70,31.98,8181600,31.98
21-Mar-05,32.05,32.05,31.77,31.84,6743400,31.84
18-Mar-05,31.85,32.04,31.42,32.04,11280400,32.04
17-Mar-05,31.63,31.81,31.52,31.72,6605000,31.72
16-Mar-05,32.00,32.14,31.52,31.70,7575900,31.70
15-Mar-05,32.50,32.50,31.95,32.00,6295200,32.00
14-Mar-05,32.19,32.39,32.00,32.29,5539000,32.29
11-Mar-05,32.28,32.33,32.02,32.16,6125600,32.16
10-Mar-05,31.99,32.28,31.87,32.16,7789400,32.16
9-Mar-05,31.74,31.95,31.56,31.83,7384400,31.83
8-Mar-05,31.75,31.94,31.66,31.73,6709600,31.73
7-Mar-05,31.75,31.79,31.56,31.70,7663400,31.70
4-Mar-05,31.69,31.78,31.20,31.68,7322900,31.68
3-Mar-05,31.66,31.71,31.10,31.58,7179800,31.58
2-Mar-05,31.85,31.91,31.30,31.60,9358600,31.60
1-Mar-05,32.06,32.19,31.83,32.13,9345900,31.75
28-Feb-05,31.90,32.02,31.37,31.70,14488400,31.33
25-Feb-05,31.80,32.16,31.52,31.90,8274600,31.52
24-Feb-05,31.80,32.02,31.55,31.99,7522200,31.61
23-Feb-05,31.54,32.00,31.28,31.76,12335400,31.38
22-Feb-05,32.60,32.60,31.18,31.21,35930900,30.84
18-Feb-05,29.48,32.61,29.48,32.61,58730300,32.22
17-Feb-05,29.02,29.10,28.49,28.85,8118000,28.51
16-Feb-05,29.10,29.18,28.77,29.02,8376600,28.68
15-Feb-05,29.28,29.71,29.14,29.35,7737300,29.00
14-Feb-05,29.11,29.45,29.02,29.41,6681200,29.06
11-Feb-05,28.75,29.34,28.69,29.21,8711000,28.86
10-Feb-05,28.80,28.95,28.50,28.76,6534300,28.42
9-Feb-05,28.80,29.23,28.61,28.70,9403400,28.36
8-Feb-05,28.31,28.84,28.26,28.80,8983600,28.46
7-Feb-05,28.20,28.85,28.15,28.43,10140800,28.09
4-Feb-05,28.41,28.47,28.22,28.35,8800700,28.01
3-Feb-05,28.45,28.64,28.03,28.41,13117600,28.07
2-Feb-05,27.93,28.65,27.86,28.46,13754500,28.12
1-Feb-05,28.06,28.29,27.78,27.83,16984100,27.50
31-Jan-05,28.02,28.18,27.62,28.05,29863400,27.72
28-Jan-05,31.33,31.33,27.48,28.02,57156300,27.69
27-Jan-05,31.12,31.28,30.82,31.18,7219800,30.81
26-Jan-05,31.00,31.34,31.00,31.17,7212500,30.80
25-Jan-05,30.25,31.22,30.00,30.95,12313900,30.58
24-Jan-05,30.50,30.65,29.85,29.85,10357000,29.50
21-Jan-05,30.76,30.79,30.21,30.36,7155400,30.00
20-Jan-05,31.20,31.21,30.64,30.73,7782700,30.37
19-Jan-05,31.29,31.50,30.98,31.02,8000100,30.65
18-Jan-05,30.87,31.41,30.68,31.30,8084300,30.93
14-Jan-05,30.40,30.93,30.40,30.87,7168800,30.50
13-Jan-05,31.00,31.05,30.50,30.65,7983500,30.29
12-Jan-05,31.25,31.35,30.96,31.08,9950500,30.71
11-Jan-05,31.48,31.48,31.08,31.17,7535200,30.80
10-Jan-05,31.13,31.50,30.72,31.50,8131600,31.13
7-Jan-05,31.52,31.60,31.12,31.13,10313700,30.76
6-Jan-05,31.50,31.74,31.34,31.56,7193500,31.19
5-Jan-05,31.13,31.65,31.05,31.34,15829400,30.97
4-Jan-05,31.47,31.60,31.01,31.13,12954000,30.76
3-Jan-05,31.99,32.23,30.98,31.26,17972700,30.89
31-Dec-04,32.23,32.39,32.14,32.14,6131400,31.76
30-Dec-04,32.28,32.36,32.14,32.22,6907300,31.84
29-Dec-04,32.25,32.42,32.00,32.24,7238300,31.86
28-Dec-04,31.99,32.30,31.97,32.20,8421500,31.82
27-Dec-04,32.30,32.50,31.39,31.95,9690900,31.57
23-Dec-04,32.39,32.66,32.19,32.30,12040900,31.92
22-Dec-04,32.00,32.39,31.98,32.22,13906700,31.84
21-Dec-04,31.35,31.98,31.34,31.98,18477000,31.60
20-Dec-04,31.27,31.69,31.26,31.51,18155000,31.14
17-Dec-04,30.84,31.79,30.37,31.59,38190200,31.22
16-Dec-04,30.55,31.84,30.52,31.79,30835600,31.41
15-Dec-04,29.95,30.52,29.84,30.48,31326500,30.12
14-Dec-04,29.05,29.64,29.05,29.62,16938300,29.27
13-Dec-04,28.75,29.06,28.74,29.05,12061000,28.71
10-Dec-04,29.01,29.25,28.32,28.74,8963600,28.40
9-Dec-04,28.69,28.85,28.49,28.73,12445700,28.39
8-Dec-04,28.25,28.72,28.20,28.69,20305200,28.35
7-Dec-04,28.15,28.25,27.86,27.89,13288500,27.56
6-Dec-04,28.58,28.65,28.11,28.12,14032100,27.79
3-Dec-04,28.60,28.91,28.40,28.68,16325900,28.34
2-Dec-04,27.73,28.67,27.55,28.60,20478800,28.26
1-Dec-04,27.85,27.88,27.32,27.72,15687100,27.39
30-Nov-04,27.66,28.13,27.66,28.02,16177900,27.31
29-Nov-04,27.92,28.10,27.65,27.67,13231600,26.97
26-Nov-04,27.36,27.77,27.35,27.70,7337100,27.00
24-Nov-04,27.25,27.40,27.11,27.22,11528000,26.53
23-Nov-04,27.13,27.21,26.99,27.14,11548000,26.46
22-Nov-04,27.12,27.40,26.99,27.13,13002400,26.45
19-Nov-04,27.20,27.45,27.00,27.12,13858600,26.44
18-Nov-04,27.27,27.50,26.88,27.36,14161700,26.67
17-Nov-04,27.65,27.80,27.30,27.34,13938200,26.65
16-Nov-04,27.25,27.75,27.21,27.48,20027900,26.79
15-Nov-04,26.45,27.34,26.40,27.09,24109500,26.41
12-Nov-04,26.20,26.67,26.20,26.45,18561300,25.78
11-Nov-04,26.55,26.60,26.12,26.15,19387000,25.49
10-Nov-04,25.60,26.87,25.60,26.41,33983300,25.74
9-Nov-04,25.83,26.19,25.74,26.00,43053300,25.34
8-Nov-04,26.08,26.58,25.74,26.57,35909300,25.90
5-Nov-04,26.68,26.90,25.99,26.21,50345300,25.55
4-Nov-04,27.94,28.25,26.88,27.02,34322600,26.34
3-Nov-04,27.60,27.90,26.90,27.87,49511300,27.17
2-Nov-04,28.24,28.55,26.40,26.80,64170500,26.12
1-Nov-04,29.34,29.80,27.99,28.28,66591600,27.57
29-Oct-04,31.51,32.04,31.05,31.31,16951700,30.52
28-Oct-04,31.15,31.67,31.12,31.57,9774900,30.77
27-Oct-04,30.55,31.24,30.51,31.22,11927400,30.43
26-Oct-04,30.48,30.66,30.23,30.66,12623100,29.89
25-Oct-04,30.56,30.63,30.20,30.49,10971700,29.72
22-Oct-04,31.10,31.25,30.50,30.56,13515300,29.79
21-Oct-04,31.27,31.50,30.71,31.26,10237300,30.47
20-Oct-04,31.16,31.48,31.10,31.40,15565000,30.61
19-Oct-04,31.10,31.30,31.03,31.16,14573900,30.37
18-Oct-04,30.30,31.01,30.30,30.90,12697000,30.12
15-Oct-04,30.10,30.75,30.10,30.50,14196100,29.73
14-Oct-04,30.30,30.55,30.14,30.19,13876800,29.43
13-Oct-04,31.18,31.20,29.93,30.07,23976700,29.31
12-Oct-04,30.53,31.00,30.29,30.85,17180200,30.07
11-Oct-04,30.34,31.14,29.75,30.74,24169300,29.96
8-Oct-04,30.80,31.12,30.34,30.34,22404400,29.57
7-Oct-04,31.15,31.25,30.18,30.98,51443700,30.20
6-Oct-04,33.12,33.16,31.66,31.67,48441900,30.87
5-Oct-04,34.24,34.25,33.43,33.43,27476700,32.59
4-Oct-04,34.27,34.32,33.73,34.23,35389500,33.37
1-Oct-04,33.69,33.97,33.20,33.31,57510000,32.47
30-Sep-04,33.40,34.02,32.46,33.00,145015504,32.17
29-Sep-04,44.78,45.07,44.64,45.07,4889500,43.93
28-Sep-04,44.68,45.34,44.50,44.92,5832000,43.79
27-Sep-04,43.04,44.84,43.04,44.46,7707500,43.34
24-Sep-04,44.25,44.37,44.04,44.10,4859600,42.99
23-Sep-04,44.75,45.07,44.20,44.27,4936100,43.15
22-Sep-04,44.60,44.89,44.50,44.75,5424800,43.62
21-Sep-04,44.68,45.09,44.58,44.84,5486200,43.71
20-Sep-04,44.85,45.03,44.41,44.67,6891400,43.54
17-Sep-04,45.40,45.42,44.95,44.97,6944800,43.84
16-Sep-04,45.40,45.50,45.03,45.18,3750900,44.04
15-Sep-04,45.73,45.80,45.20,45.40,5301300,44.25
14-Sep-04,45.45,45.87,45.12,45.55,5375800,44.40
13-Sep-04,45.49,45.50,45.05,45.45,8057800,44.30
10-Sep-04,45.01,45.96,45.00,45.77,4956900,44.62
9-Sep-04,45.64,45.64,45.17,45.26,4632200,44.12
8-Sep-04,45.65,45.99,45.57,45.64,5519400,44.49
7-Sep-04,45.65,45.92,45.35,45.78,5019700,44.63
3-Sep-04,45.28,45.70,45.22,45.48,4549100,44.33
2-Sep-04,44.65,45.31,44.40,45.09,4396000,43.95
1-Sep-04,44.59,44.69,44.12,44.54,4982400,43.42
31-Aug-04,44.90,45.22,44.51,44.97,5512800,43.47
30-Aug-04,44.85,45.68,44.85,44.93,4806200,43.43
27-Aug-04,45.05,45.28,44.98,45.15,5627100,43.64
26-Aug-04,45.45,45.50,44.71,45.05,9208300,43.54
25-Aug-04,46.35,46.85,45.29,46.02,7407200,44.48
24-Aug-04,46.42,46.66,46.18,46.35,3541100,44.80
23-Aug-04,46.95,47.00,46.17,46.22,3708800,44.67
20-Aug-04,45.28,46.43,45.28,46.08,5628800,44.54
19-Aug-04,45.56,45.76,45.11,45.42,3745700,43.90
18-Aug-04,44.65,45.81,44.65,45.81,5267800,44.28
17-Aug-04,45.00,45.05,44.68,44.97,5145700,43.47
16-Aug-04,44.40,45.15,44.40,45.07,3575900,43.56
13-Aug-04,44.75,44.95,44.34,44.59,2904400,43.10
12-Aug-04,44.80,45.17,44.60,44.79,4301100,43.29
11-Aug-04,44.65,45.09,44.58,45.00,5047100,43.49
10-Aug-04,44.30,44.65,43.92,44.65,3943700,43.16
9-Aug-04,43.75,44.45,43.58,44.07,4591700,42.60
6-Aug-04,44.00,44.20,43.46,43.60,6104000,42.14
5-Aug-04,44.79,44.95,44.25,44.43,4491400,42.94
4-Aug-04,44.92,45.17,44.65,44.90,4399200,43.40
3-Aug-04,45.22,45.43,44.85,44.87,5226600,43.37
2-Aug-04,45.30,45.70,45.11,45.47,4476000,43.95
30-Jul-04,45.15,45.70,44.92,45.35,4036500,43.83
29-Jul-04,45.03,45.80,44.77,45.40,5305300,43.88
28-Jul-04,45.10,45.12,44.38,45.02,5556000,43.51
27-Jul-04,45.04,45.06,44.58,45.04,5201300,43.53
26-Jul-04,45.16,45.40,44.52,45.00,6180700,43.49
23-Jul-04,45.30,45.59,44.64,45.16,5503700,43.65
22-Jul-04,44.79,45.55,44.70,45.36,7363700,43.84
21-Jul-04,45.25,45.80,44.59,44.59,7508400,43.10
20-Jul-04,44.50,44.98,44.32,44.83,7611900,43.33
19-Jul-04,44.80,44.94,44.30,44.45,5491900,42.96
16-Jul-04,44.95,45.00,44.25,44.80,6519100,43.30
15-Jul-04,45.62,45.89,44.70,44.71,5477100,43.21
14-Jul-04,45.55,46.10,45.55,45.68,5143900,44.15
13-Jul-04,45.69,45.75,45.35,45.55,3645300,44.03
12-Jul-04,45.86,45.95,45.30,45.67,4445400,44.14
9-Jul-04,46.05,46.27,45.74,45.86,4117400,44.33
8-Jul-04,45.85,46.78,45.85,45.92,5915500,44.38
7-Jul-04,46.51,46.68,46.09,46.31,4728200,44.76
6-Jul-04,46.86,47.05,46.56,46.60,4113600,45.04
2-Jul-04,47.30,47.36,46.82,46.86,3222800,45.29
1-Jul-04,47.65,47.73,46.51,47.05,6787400,45.48
30-Jun-04,47.50,47.70,46.91,47.50,5893700,45.91
29-Jun-04,47.13,47.74,47.05,47.35,3867100,45.77
28-Jun-04,47.30,47.38,46.99,47.14,4733100,45.56
25-Jun-04,47.92,48.00,47.00,47.00,6659000,45.43
24-Jun-04,47.84,48.42,47.61,47.91,4223200,46.31
23-Jun-04,47.46,47.90,47.15,47.81,5957100,46.21
22-Jun-04,47.70,47.93,47.40,47.59,5173400,46.00
21-Jun-04,48.10,48.50,47.92,47.95,4145500,46.35
18-Jun-04,48.33,48.78,48.23,48.36,8243700,46.74
17-Jun-04,48.12,48.48,47.92,48.32,4139000,46.70
16-Jun-04,48.20,48.47,48.05,48.08,5229900,46.47
15-Jun-04,47.35,48.13,47.20,47.95,7511300,46.35
14-Jun-04,47.53,47.62,46.88,46.90,6583800,45.33
10-Jun-04,47.61,47.80,47.26,47.78,4193800,46.18
9-Jun-04,48.10,48.38,47.82,47.85,3778500,46.25
8-Jun-04,47.80,48.43,47.80,48.37,4828700,46.75
7-Jun-04,48.25,48.51,47.87,48.05,4443000,46.44
4-Jun-04,48.10,48.40,48.03,48.20,4568100,46.59
3-Jun-04,47.60,48.26,47.57,47.98,4993800,46.37
2-Jun-04,47.99,48.21,47.59,47.83,4784400,46.23
1-Jun-04,47.40,48.40,47.25,48.36,7709100,46.38
28-May-04,47.35,47.75,47.23,47.30,4753800,45.37
27-May-04,47.00,47.50,46.75,47.43,5141800,45.49
26-May-04,46.75,47.07,46.59,46.92,5477700,45.00
25-May-04,46.03,46.92,46.00,46.83,3903000,44.92
24-May-04,46.61,46.72,45.83,46.25,3655000,44.36
21-May-04,46.70,46.86,46.38,46.59,3539600,44.69
20-May-04,46.38,46.73,46.20,46.50,5244000,44.60
19-May-04,46.95,47.06,46.30,46.44,4517300,44.54
18-May-04,46.75,47.00,46.64,46.85,3806400,44.94
17-May-04,46.00,46.89,46.00,46.64,4657100,44.73
14-May-04,46.00,46.94,46.00,46.45,4452000,44.55
13-May-04,46.40,46.78,46.06,46.10,5120600,44.22
12-May-04,46.05,47.00,45.86,46.85,4948900,44.94
11-May-04,46.70,46.74,45.99,46.40,6390500,44.50
10-May-04,47.05,47.54,46.16,46.71,8774400,44.80
7-May-04,48.12,48.41,47.70,47.71,6637700,45.76
6-May-04,47.80,48.38,47.68,48.11,5719500,46.14
5-May-04,47.80,48.13,47.65,47.81,4678600,45.86
4-May-04,47.85,47.96,47.51,47.85,5407400,45.89
3-May-04,47.01,47.76,47.01,47.70,5517600,45.75
30-Apr-04,47.00,47.50,46.96,47.00,4629500,45.08
29-Apr-04,47.35,47.40,46.86,46.98,5544900,45.06
28-Apr-04,47.25,47.50,47.00,47.44,5912100,45.50
27-Apr-04,46.90,47.60,46.86,47.25,5857700,45.32
26-Apr-04,46.80,46.98,46.62,46.64,3642200,44.73
23-Apr-04,47.15,47.15,46.39,46.76,3828900,44.85
22-Apr-04,46.25,47.15,45.79,46.74,7126800,44.83
21-Apr-04,46.10,47.24,46.05,46.50,5814700,44.60
20-Apr-04,46.94,46.94,46.20,46.21,4492400,44.32
19-Apr-04,46.90,47.06,46.51,46.94,5519200,45.02
16-Apr-04,47.25,47.38,46.72,47.08,7648300,45.16
15-Apr-04,45.65,47.15,45.65,46.98,12625800,45.06
14-Apr-04,44.40,45.50,44.30,45.44,8779500,43.58
13-Apr-04,44.93,45.10,44.38,44.58,6081600,42.76
12-Apr-04,44.63,45.00,44.40,44.89,5204300,43.06
8-Apr-04,45.09,45.20,44.28,44.63,6052600,42.81
7-Apr-04,45.15,45.25,44.76,44.84,4902900,43.01
6-Apr-04,45.00,45.15,44.92,45.15,5235700,43.31
5-Apr-04,45.40,45.42,44.38,45.29,4673300,43.44
2-Apr-04,45.60,45.75,44.59,45.06,7284600,43.22
1-Apr-04,44.55,45.25,44.45,44.79,5782900,42.96
31-Mar-04,44.20,44.49,43.95,44.19,9626100,42.38
30-Mar-04,44.48,44.55,43.80,44.10,7369100,42.30
29-Mar-04,44.30,44.67,43.95,44.57,5437100,42.75
26-Mar-04,43.75,44.46,43.68,44.00,5602800,42.20
25-Mar-04,43.35,43.98,43.10,43.69,7760300,41.90
24-Mar-04,43.90,44.12,42.85,43.01,8432300,41.25
