Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,24.89,24.97,24.64,24.91,59463300,24.91
10-May-05,25.04,25.08,24.82,24.90,62235100,24.90
9-May-05,25.23,25.33,25.05,25.11,61872400,25.11
6-May-05,25.33,25.48,25.19,25.22,64322600,25.22
5-May-05,25.20,25.33,25.08,25.23,59362300,25.23
4-May-05,25.34,25.40,25.11,25.21,86864200,25.21
3-May-05,25.13,25.40,25.09,25.36,67867800,25.36
2-May-05,25.23,25.36,24.95,25.23,54376700,25.23
29-Apr-05,24.88,25.30,24.79,25.30,98641200,25.30
28-Apr-05,24.82,24.92,24.44,24.45,83623104,24.45
27-Apr-05,24.66,25.15,24.63,24.99,47732800,24.99
26-Apr-05,24.95,25.25,24.74,24.76,60464300,24.76
25-Apr-05,25.07,25.28,24.86,24.99,75457904,24.99
22-Apr-05,25.05,25.25,24.78,24.98,80087504,24.98
21-Apr-05,24.48,25.39,24.47,25.28,93562304,25.28
20-Apr-05,24.66,24.70,24.30,24.32,91923504,24.32
19-Apr-05,24.71,24.80,24.45,24.63,65956200,24.63
18-Apr-05,24.45,24.84,24.40,24.65,75766400,24.65
15-Apr-05,24.58,24.90,24.41,24.46,100251600,24.46
14-Apr-05,25.01,25.14,24.83,24.84,66754400,24.84
13-Apr-05,25.23,25.45,24.99,25.04,60929300,25.04
12-Apr-05,24.92,25.35,24.80,25.32,67517800,25.32
11-Apr-05,25.03,25.11,24.86,24.97,47791800,24.97
8-Apr-05,25.07,25.25,24.91,24.94,47956300,24.94
7-Apr-05,24.66,25.13,24.63,25.10,77451504,25.10
6-Apr-05,24.47,24.94,24.45,24.67,78020200,24.67
5-Apr-05,24.22,24.50,24.12,24.47,73549600,24.47
4-Apr-05,24.11,24.26,23.94,24.23,62196400,24.23
1-Apr-05,24.24,24.35,24.10,24.12,64619600,24.12
31-Mar-05,24.25,24.31,24.12,24.17,62382300,24.17
30-Mar-05,24.04,24.19,24.00,24.16,59585700,24.16
29-Mar-05,24.14,24.24,23.82,23.92,74231696,23.92
28-Mar-05,24.40,24.47,24.18,24.20,49802000,24.20
24-Mar-05,24.24,24.47,24.20,24.28,78820896,24.28
23-Mar-05,23.99,24.39,23.96,24.18,79293296,24.18
22-Mar-05,24.19,24.27,23.96,23.99,102113296,23.99
21-Mar-05,24.35,24.36,24.15,24.20,71446200,24.20
18-Mar-05,24.53,24.91,24.28,24.31,135904000,24.31
17-Mar-05,24.64,24.68,24.53,24.54,60573200,24.54
16-Mar-05,24.82,24.97,24.56,24.63,74841400,24.63
15-Mar-05,25.10,25.24,24.89,24.91,71469400,24.91
14-Mar-05,25.08,25.15,24.96,25.11,65550500,25.11
11-Mar-05,25.45,25.48,25.06,25.09,60617900,25.09
10-Mar-05,25.43,25.48,25.25,25.43,59132900,25.43
9-Mar-05,25.39,25.57,25.28,25.31,62991800,25.31
8-Mar-05,25.40,25.62,25.34,25.40,52871800,25.40
7-Mar-05,25.17,25.79,25.16,25.47,80407400,25.47
4-Mar-05,25.21,25.30,25.13,25.17,63058200,25.17
3-Mar-05,25.30,25.31,25.14,25.17,52183600,25.17
2-Mar-05,25.19,25.48,25.16,25.26,67739000,25.26
1-Mar-05,25.19,25.41,25.13,25.28,56394800,25.28
28-Feb-05,25.22,25.37,25.13,25.16,82728000,25.16
25-Feb-05,25.33,25.38,25.15,25.25,62467700,25.25
24-Feb-05,25.18,25.44,25.15,25.37,85236304,25.37
23-Feb-05,25.24,25.35,25.17,25.20,83689400,25.20
22-Feb-05,25.25,25.49,25.20,25.23,96419200,25.23
18-Feb-05,25.64,25.65,25.40,25.48,77091104,25.48
17-Feb-05,25.71,25.86,25.60,25.65,67024800,25.65
16-Feb-05,25.87,25.93,25.67,25.79,57506600,25.79
15-Feb-05,26.00,26.08,25.86,25.93,76551600,25.93
14-Feb-05,25.93,26.12,25.91,26.01,58694000,25.93
11-Feb-05,26.03,26.12,25.81,25.97,83835904,25.89
