Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,55.07,55.58,54.73,55.48,8441300,55.48
10-May-05,54.65,55.15,54.28,54.88,5999600,54.88
9-May-05,54.75,55.12,54.49,54.98,7267300,54.98
6-May-05,55.00,55.30,54.59,54.75,5404500,54.75
5-May-05,55.14,55.20,54.40,54.78,5177900,54.78
4-May-05,54.91,55.21,54.66,55.14,5779000,55.14
3-May-05,54.81,55.00,54.40,54.90,5843200,54.90
2-May-05,54.15,54.98,54.01,54.80,6715600,54.80
29-Apr-05,54.20,54.54,53.29,54.15,10352100,54.15
28-Apr-05,53.80,55.60,53.74,53.99,15706100,53.99
27-Apr-05,53.17,53.68,52.54,53.53,5733400,53.53
26-Apr-05,53.66,53.87,53.37,53.37,4107500,53.37
25-Apr-05,54.13,54.19,53.40,53.83,6022800,53.83
22-Apr-05,54.08,54.19,53.35,53.89,5985800,53.89
21-Apr-05,53.90,54.19,53.30,54.19,4739900,54.19
20-Apr-05,53.96,54.16,53.25,53.39,6581000,53.39
19-Apr-05,54.44,55.00,54.11,54.33,7818200,54.05
18-Apr-05,54.80,54.98,54.13,54.60,7933900,54.32
15-Apr-05,55.00,55.48,54.60,54.80,9487800,54.52
14-Apr-05,55.28,55.60,54.98,55.00,8245500,54.72
13-Apr-05,55.37,55.66,54.81,55.21,6967500,54.93
12-Apr-05,55.03,55.72,54.90,55.52,6922900,55.23
11-Apr-05,54.76,55.88,54.50,55.34,8835800,55.05
8-Apr-05,55.05,55.06,54.50,54.50,5170700,54.22
7-Apr-05,54.05,55.07,54.00,55.07,8071500,54.79
6-Apr-05,54.00,54.00,53.67,53.96,4753200,53.68
5-Apr-05,53.98,54.16,53.77,54.00,6734100,53.72
4-Apr-05,53.18,54.00,52.92,53.90,8448400,53.62
1-Apr-05,53.10,53.42,52.37,52.61,5349700,52.34
31-Mar-05,53.26,53.30,52.76,53.00,5391900,52.73
30-Mar-05,51.96,53.56,51.92,53.36,8632900,53.08
29-Mar-05,52.40,52.41,51.86,51.86,7880900,51.59
28-Mar-05,52.55,52.72,52.22,52.51,5758100,52.24
24-Mar-05,53.00,53.20,52.60,52.60,5249600,52.33
23-Mar-05,52.04,53.19,52.04,52.83,7771100,52.56
22-Mar-05,52.74,52.79,51.99,52.05,7259600,51.78
21-Mar-05,53.55,53.60,52.60,52.74,5185200,52.47
18-Mar-05,53.09,53.50,52.70,53.40,11337100,53.12
17-Mar-05,52.65,53.00,52.42,52.75,5243300,52.48
16-Mar-05,52.90,53.30,52.60,52.81,5249500,52.54
15-Mar-05,53.35,53.44,52.92,52.92,4682700,52.65
14-Mar-05,52.81,53.25,52.53,53.25,5322700,52.98
11-Mar-05,53.29,53.44,52.48,52.51,6055900,52.24
10-Mar-05,53.04,53.86,52.89,53.27,6955600,53.00
9-Mar-05,53.35,53.50,52.80,53.00,5101000,52.73
8-Mar-05,53.70,53.76,53.30,53.35,4997300,53.08
7-Mar-05,53.98,53.98,53.68,53.70,4415800,53.42
4-Mar-05,53.87,54.00,53.68,53.85,4552200,53.57
3-Mar-05,53.78,53.84,53.35,53.48,6376300,53.20
2-Mar-05,53.26,53.79,53.25,53.59,5047300,53.31
1-Mar-05,53.09,53.55,53.09,53.51,7072500,53.23
28-Feb-05,54.19,54.20,53.00,53.09,8728400,52.82
25-Feb-05,53.83,54.19,53.76,54.19,6687300,53.91
24-Feb-05,53.60,53.90,53.49,53.83,10081800,53.55
23-Feb-05,53.15,53.72,52.89,53.49,8675400,53.21
22-Feb-05,53.15,53.33,52.25,52.25,9229900,51.98
18-Feb-05,53.33,53.92,53.22,53.50,9532100,53.22
17-Feb-05,53.29,53.46,53.09,53.33,6178600,53.06
16-Feb-05,53.49,53.49,53.15,53.31,9472800,53.04
15-Feb-05,52.89,53.62,52.71,53.48,9685600,53.20
14-Feb-05,52.41,52.82,52.33,52.70,13729800,52.43
11-Feb-05,51.70,52.28,51.56,52.15,10350400,51.88
10-Feb-05,51.69,51.89,51.16,51.62,13224600,51.35
9-Feb-05,52.00,52.09,51.51,51.51,10631100,51.24
8-Feb-05,52.53,52.54,51.75,51.98,14104800,51.71
7-Feb-05,52.62,52.99,52.35,52.53,10555200,52.26
4-Feb-05,53.23,53.24,52.34,52.62,11129100,52.35
3-Feb-05,53.34,53.44,53.09,53.24,13414900,52.97
2-Feb-05,53.01,53.60,52.99,53.40,13125100,53.12
1-Feb-05,53.45,53.45,52.69,52.87,13982700,52.60
31-Jan-05,54.50,54.52,52.99,53.23,19821300,52.96
28-Jan-05,52.15,54.37,52.14,54.15,53824300,53.87
