Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,29.97,30.12,29.33,29.93,2852800,29.93
10-May-05,30.19,30.35,29.86,29.95,2447700,29.95
9-May-05,30.24,30.76,30.12,30.35,2542900,30.35
6-May-05,30.20,30.58,29.16,30.49,6953200,30.49
5-May-05,31.65,31.99,29.63,30.00,16441600,30.00
4-May-05,32.88,34.16,32.77,34.10,4599200,34.10
3-May-05,33.40,33.75,32.50,32.78,4449200,32.78
2-May-05,33.27,33.87,33.27,33.54,1980200,33.54
29-Apr-05,33.62,33.80,32.85,33.23,3658100,33.23
28-Apr-05,33.87,34.05,31.85,33.13,9368100,33.13
27-Apr-05,34.90,35.58,34.20,34.91,3213300,34.91
26-Apr-05,36.22,36.90,35.44,35.53,2143800,35.53
25-Apr-05,36.44,36.92,36.20,36.51,1710100,36.51
22-Apr-05,36.87,37.00,35.80,36.13,2614400,36.13
21-Apr-05,36.29,37.30,36.09,37.04,2556300,37.04
20-Apr-05,36.67,36.95,35.93,35.96,2323600,35.96
19-Apr-05,35.61,36.82,35.40,36.69,4238300,36.69
18-Apr-05,34.94,35.19,34.33,35.05,2963200,35.05
15-Apr-05,36.71,36.77,33.80,34.87,10441100,34.87
14-Apr-05,38.95,38.99,36.88,37.40,4397600,37.40
13-Apr-05,40.37,40.41,38.59,38.75,2695000,38.75
12-Apr-05,40.29,40.65,39.76,40.53,2025700,40.53
11-Apr-05,40.55,40.63,40.27,40.36,1261400,40.36
8-Apr-05,40.89,41.48,40.40,40.55,4462000,40.55
7-Apr-05,39.92,40.30,39.76,40.14,1691800,40.14
6-Apr-05,40.15,40.58,39.64,39.86,1825400,39.86
5-Apr-05,40.49,40.79,39.86,40.06,1931300,40.06
4-Apr-05,40.50,40.68,40.08,40.50,1460600,40.50
1-Apr-05,40.87,40.97,40.06,40.32,1752300,40.32
31-Mar-05,40.14,40.87,40.14,40.50,2117500,40.50
30-Mar-05,39.60,40.30,39.60,40.14,1499300,40.14
29-Mar-05,40.10,40.37,39.26,39.48,1266200,39.48
28-Mar-05,40.54,40.85,39.78,39.93,1703600,39.93
24-Mar-05,40.38,40.90,40.26,40.45,2116900,40.45
23-Mar-05,39.44,40.46,39.29,40.22,2389100,40.22
22-Mar-05,39.02,40.09,38.81,39.50,3912100,39.50
21-Mar-05,39.73,39.73,38.43,39.18,3529800,39.18
18-Mar-05,39.87,40.13,39.47,39.66,2559000,39.66
17-Mar-05,39.58,40.27,39.53,39.71,2211200,39.71
16-Mar-05,40.00,40.01,39.23,39.57,3548400,39.57
15-Mar-05,41.44,41.63,40.12,40.31,2640600,40.31
14-Mar-05,41.09,41.67,40.82,41.41,1945000,41.41
11-Mar-05,42.17,42.28,40.82,41.05,2710400,41.05
10-Mar-05,41.87,42.17,41.39,42.00,2182300,42.00
9-Mar-05,42.22,42.80,41.80,41.85,2765700,41.85
8-Mar-05,42.72,42.86,42.01,42.20,2249700,42.20
7-Mar-05,41.56,42.99,41.50,42.68,3344400,42.68
4-Mar-05,41.53,41.57,40.28,41.13,3314400,41.13
3-Mar-05,41.06,41.91,40.46,40.94,3359000,40.94
2-Mar-05,40.08,41.64,39.75,40.78,3590200,40.78
1-Mar-05,40.44,41.00,39.97,40.57,2095000,40.57
28-Feb-05,40.45,41.23,39.40,40.29,3514600,40.29
25-Feb-05,40.34,40.79,39.84,40.38,2158500,40.38
24-Feb-05,40.03,40.48,38.99,40.29,5229100,40.29
23-Feb-05,42.32,42.67,39.32,39.86,8318900,39.86
22-Feb-05,41.31,42.42,40.71,42.00,3336400,42.00
18-Feb-05,41.78,42.41,41.28,41.72,2204800,41.72
17-Feb-05,42.70,43.20,41.53,41.63,2694600,41.63
16-Feb-05,42.54,42.93,41.81,42.74,3176400,42.74
