Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,17.82,18.05,17.59,18.03,2441100,18.03
10-May-05,17.78,17.91,17.69,17.82,2029900,17.82
9-May-05,17.72,18.00,17.62,17.78,2006400,17.78
6-May-05,17.91,17.96,17.73,17.77,2136500,17.77
5-May-05,17.35,17.87,17.32,17.71,2956900,17.71
4-May-05,17.00,17.47,16.92,17.47,2927900,17.47
3-May-05,17.35,17.45,17.02,17.13,2228400,17.13
2-May-05,17.15,17.49,17.02,17.44,2643600,17.44
29-Apr-05,17.30,17.56,16.76,17.02,4676500,17.02
28-Apr-05,17.41,17.49,17.13,17.20,2261100,17.20
27-Apr-05,17.91,17.91,17.26,17.54,3612200,17.54
26-Apr-05,18.27,18.38,17.87,17.90,2237300,17.90
25-Apr-05,18.15,18.50,18.05,18.27,2486400,18.27
22-Apr-05,18.00,18.39,17.79,18.00,3901900,18.00
21-Apr-05,17.50,18.00,17.39,17.98,3119900,17.98
20-Apr-05,17.75,17.92,17.29,17.32,3505400,17.32
19-Apr-05,17.18,17.79,17.17,17.68,3260200,17.68
18-Apr-05,16.59,17.15,16.28,17.10,4276000,17.10
15-Apr-05,17.35,17.48,16.45,16.55,6813500,16.55
14-Apr-05,17.88,17.94,17.15,17.35,5473000,17.35
13-Apr-05,18.07,18.25,17.75,17.82,3454400,17.82
12-Apr-05,18.23,18.26,17.83,18.12,3899500,18.12
11-Apr-05,18.24,18.49,18.03,18.35,2865200,18.35
8-Apr-05,18.75,18.85,18.27,18.30,1686700,18.30
7-Apr-05,19.05,19.23,18.66,18.74,2986000,18.74
6-Apr-05,18.94,19.08,18.61,19.00,2395100,19.00
5-Apr-05,18.80,18.89,18.71,18.85,2926400,18.85
4-Apr-05,19.13,19.31,18.70,18.73,3517500,18.73
1-Apr-05,18.93,19.10,18.69,19.06,3157100,19.06
31-Mar-05,18.44,18.95,18.31,18.81,4147300,18.81
30-Mar-05,18.00,18.22,17.52,18.20,3778900,18.20
29-Mar-05,18.39,18.62,17.88,17.94,3829300,17.94
28-Mar-05,18.81,18.96,18.43,18.43,3111500,18.43
24-Mar-05,18.44,18.84,18.39,18.75,3712600,18.75
23-Mar-05,18.29,18.55,18.14,18.32,4360700,18.32
22-Mar-05,18.80,18.92,18.29,18.41,3273500,18.41
21-Mar-05,18.95,18.95,18.50,18.80,2811900,18.80
18-Mar-05,18.85,19.03,18.60,18.88,4617400,18.88
17-Mar-05,18.44,18.93,18.44,18.85,3876600,18.85
16-Mar-05,18.45,18.61,18.23,18.26,2474900,18.26
15-Mar-05,18.80,18.90,18.43,18.45,4397600,18.45
14-Mar-05,18.25,18.63,18.09,18.60,5493900,18.60
11-Mar-05,17.69,18.09,17.69,17.89,3730000,17.89
10-Mar-05,18.56,18.58,17.64,17.79,5394600,17.79
9-Mar-05,18.83,18.99,18.57,18.59,5059800,18.59
8-Mar-05,19.23,19.30,18.83,18.88,3117800,18.83
7-Mar-05,19.40,19.48,18.94,19.23,3205200,19.18
4-Mar-05,19.14,19.27,19.01,19.18,3430700,19.13
3-Mar-05,18.87,19.07,18.74,19.05,4458000,19.00
2-Mar-05,18.26,18.76,17.99,18.76,3532400,18.71
1-Mar-05,18.80,18.94,17.85,18.28,5937800,18.23
28-Feb-05,19.29,19.38,18.29,18.83,5693000,18.78
25-Feb-05,19.00,19.32,18.97,19.29,2997600,19.24
24-Feb-05,18.86,19.03,18.55,19.00,3327900,18.95
23-Feb-05,18.61,19.12,18.60,18.82,7439500,18.77
22-Feb-05,18.94,19.11,18.33,18.56,5619900,18.51
18-Feb-05,18.79,19.19,18.74,18.84,5389300,18.79
17-Feb-05,18.70,18.88,18.50,18.62,4765500,18.57
16-Feb-05,17.60,18.79,17.60,18.75,6824300,18.70
15-Feb-05,17.55,17.84,17.55,17.77,2241600,17.72
14-Feb-05,17.70,17.81,17.50,17.63,1838000,17.58
11-Feb-05,17.80,17.97,17.55,17.73,2302200,17.68
10-Feb-05,17.19,17.95,17.16,17.89,4951400,17.84
9-Feb-05,17.24,17.28,16.95,17.05,2744400,17.00
8-Feb-05,17.20,17.51,17.10,17.20,2126100,17.15
7-Feb-05,17.70,17.76,17.14,17.24,3029200,17.19
4-Feb-05,17.53,17.75,17.45,17.64,3207800,17.59
3-Feb-05,17.60,17.70,17.36,17.60,3001700,17.55
2-Feb-05,17.13,17.66,17.10,17.55,6109500,17.50
1-Feb-05,16.93,17.09,16.80,16.96,2685600,16.92
31-Jan-05,16.76,17.00,16.62,16.81,6072500,16.77
28-Jan-05,16.70,16.74,16.29,16.73,3255600,16.69
27-Jan-05,15.89,16.91,15.39,16.63,8504000,16.59
26-Jan-05,15.74,15.98,15.70,15.89,1843400,15.85
25-Jan-05,15.81,15.96,15.56,15.73,2648200,15.69
24-Jan-05,15.92,16.12,15.77,15.79,1967200,15.75
21-Jan-05,15.87,16.04,15.80,15.89,3044600,15.85
20-Jan-05,15.80,15.86,15.54,15.69,2315600,15.65
19-Jan-05,16.00,16.03,15.79,15.80,1750800,15.76
18-Jan-05,15.76,16.16,15.75,15.96,3104000,15.92
14-Jan-05,16.08,16.10,15.72,15.85,2979800,15.81
13-Jan-05,16.03,16.25,15.95,16.00,2677200,15.96
12-Jan-05,15.73,16.08,15.69,15.99,3508800,15.95
11-Jan-05,15.78,15.88,15.51,15.72,2256600,15.68
10-Jan-05,15.37,15.85,15.28,15.70,2395800,15.66
7-Jan-05,15.50,15.62,15.25,15.33,1994300,15.29
6-Jan-05,15.24,15.69,15.18,15.50,3411200,15.46
5-Jan-05,15.41,15.59,15.20,15.29,3039800,15.25
4-Jan-05,15.60,15.80,15.30,15.40,3151900,15.36
3-Jan-05,16.24,16.25,15.43,15.53,5118700,15.49
31-Dec-04,16.09,16.29,16.09,16.29,1295800,16.25
30-Dec-04,16.10,16.31,16.04,16.09,1576800,16.05
29-Dec-04,15.87,16.15,15.86,16.10,1842500,16.06
28-Dec-04,16.11,16.16,15.87,15.99,1632500,15.95
