Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,56.94,57.41,56.55,57.29,14496100,57.29
10-May-05,57.53,57.87,57.00,57.23,14161700,56.94
9-May-05,57.75,58.05,57.60,58.01,13478600,57.72
6-May-05,58.05,58.65,57.50,57.60,13544800,57.31
5-May-05,57.35,57.97,57.11,57.80,18810200,57.51
4-May-05,56.85,57.30,56.07,57.23,19519600,56.94
3-May-05,57.33,57.50,56.15,56.50,18222700,56.21
2-May-05,57.00,57.75,56.47,57.74,16498700,57.45
29-Apr-05,56.50,57.24,56.10,57.03,26476200,56.74
28-Apr-05,57.35,57.75,56.00,56.00,31858300,55.72
27-Apr-05,59.25,59.45,58.10,58.38,20395700,58.08
26-Apr-05,59.96,60.16,59.27,59.27,12968700,58.97
25-Apr-05,59.96,60.47,59.60,59.96,14957500,59.66
22-Apr-05,59.28,59.95,58.45,59.42,17097500,59.12
21-Apr-05,57.55,59.30,57.39,59.28,16758300,58.98
20-Apr-05,58.05,58.91,57.01,57.14,20656000,56.85
19-Apr-05,57.35,59.24,57.35,58.63,23683800,58.33
18-Apr-05,55.65,57.35,55.40,57.25,23091600,56.96
15-Apr-05,58.45,59.40,56.10,56.19,27961700,55.91
14-Apr-05,59.28,59.69,58.60,58.75,18504600,58.45
13-Apr-05,60.15,60.75,58.94,59.15,23788600,58.85
12-Apr-05,59.94,60.57,59.80,60.43,22513500,60.12
11-Apr-05,59.99,60.43,59.36,60.29,15889100,59.98
8-Apr-05,60.75,60.87,60.00,60.01,12590000,59.71
7-Apr-05,61.35,61.37,60.17,60.85,16666500,60.54
6-Apr-05,60.25,61.05,59.97,60.90,16945600,60.59
5-Apr-05,60.50,61.04,59.85,60.06,15824800,59.76
4-Apr-05,60.95,61.74,60.12,60.65,23274300,60.34
1-Apr-05,60.10,60.70,59.93,60.55,18580100,60.24
31-Mar-05,59.83,60.32,59.54,59.60,20912800,59.30
30-Mar-05,58.65,59.32,57.38,59.24,26068500,58.94
