Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,25.91,27.52,25.40,27.40,32825900,27.40
2008-07-07,26.40,26.75,25.31,25.94,29188800,25.94
2008-07-03,27.04,27.04,25.77,26.24,17312600,26.24
2008-07-02,26.77,27.34,26.47,26.75,30708000,26.75
2008-07-01,26.09,27.03,25.70,26.73,40648700,26.73
2008-06-30,27.51,27.95,26.37,26.46,43066000,26.46
2008-06-27,27.82,28.28,27.41,27.75,37401600,27.75
2008-06-26,29.03,29.28,28.01,28.09,32270700,28.09
2008-06-25,30.01,30.64,29.58,29.74,31171100,29.74
2008-06-24,30.16,30.70,29.65,29.83,34195600,29.83
2008-06-23,32.01,32.25,30.12,30.30,35424900,30.30
2008-06-20,32.55,33.07,31.85,32.10,30876500,32.10
2008-06-19,32.38,33.31,31.97,33.07,41813400,33.07
2008-06-18,32.01,32.19,31.05,31.52,35104800,31.52
2008-06-17,34.39,34.50,32.08,32.28,29976200,32.28
2008-06-16,33.54,34.79,33.15,34.01,25498000,34.01
2008-06-13,34.05,34.42,33.27,34.18,23886400,34.18
2008-06-12,33.49,34.50,33.15,33.68,24361100,33.68
2008-06-11,34.15,34.34,32.82,33.26,32061800,33.26
2008-06-10,33.12,34.62,33.12,34.28,27722300,34.28
2008-06-09,34.12,34.18,32.87,33.49,29844300,33.49
2008-06-06,35.20,35.40,33.65,33.93,49764700,33.93
2008-06-05,35.92,36.50,35.49,36.41,17619300,36.41
2008-06-04,35.81,36.77,35.69,35.72,28768800,35.72
2008-06-03,36.13,36.71,35.75,36.01,25293400,35.81
2008-06-02,36.00,36.18,35.42,35.87,24433700,35.67
2008-05-30,36.59,36.98,35.90,36.00,28245400,35.80
2008-05-29,34.88,35.61,34.54,35.34,30871600,35.14
2008-05-28,36.79,36.85,34.53,34.91,55777700,34.72
2008-05-27,36.90,37.22,36.53,36.62,31210200,36.42
2008-05-23,37.59,37.59,36.75,36.95,35243700,36.74
2008-05-22,37.05,37.85,36.70,37.81,30418600,37.60
2008-05-21,38.20,38.56,36.75,36.96,45119600,36.75
2008-05-20,38.68,38.80,37.76,38.12,46454500,37.91
2008-05-19,39.28,39.60,38.67,38.95,26504000,38.73
2008-05-16,39.71,39.71,39.04,39.34,28931000,39.12
2008-05-15,39.50,39.63,38.87,39.57,29302700,39.35
2008-05-14,39.21,39.69,39.03,39.44,51196200,39.22
2008-05-13,38.19,39.19,38.15,39.16,155128800,38.94
2008-05-12,40.04,41.15,38.37,38.37,80267900,38.16
2008-05-09,41.89,42.12,40.10,40.28,83422300,40.06
2008-05-08,45.44,45.47,43.85,44.15,24752400,43.90
2008-05-07,48.33,48.45,44.97,45.08,23112600,44.83
2008-05-06,47.29,48.65,46.44,48.40,16283900,48.13
2008-05-05,49.14,49.14,47.18,47.39,15250300,47.13
2008-05-02,48.61,49.50,48.01,49.04,22541500,48.77
2008-05-01,46.22,48.36,45.98,48.15,13879000,47.88
2008-04-30,47.01,47.28,46.00,46.20,13327900,45.94
2008-04-29,46.89,47.75,46.52,47.00,12660700,46.74
2008-04-28,47.05,47.54,46.38,47.04,11369300,46.78
2008-04-25,47.11,47.83,46.23,47.53,12755100,47.27
2008-04-24,44.25,47.75,44.10,46.97,25934200,46.71
2008-04-23,45.00,45.08,43.35,43.86,19552800,43.62
2008-04-22,46.43,46.44,44.96,45.27,15561900,45.02
2008-04-21,48.08,48.08,46.52,46.54,13147400,46.28
2008-04-18,47.12,49.18,47.11,48.23,19577000,47.96
2008-04-17,44.98,46.52,44.86,46.17,12300000,45.91
2008-04-16,44.59,45.51,44.59,45.47,16133200,45.22
2008-04-15,43.60,44.53,43.15,44.11,9845400,43.87
2008-04-14,43.90,44.05,43.07,43.29,13744600,43.05
2008-04-11,44.75,45.35,43.88,44.05,16904100,43.81
