Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,30.00,30.00,29.31,29.95,26083200,29.95
2008-07-07,30.00,30.62,29.74,30.08,21977600,30.08
2008-07-03,30.92,31.20,30.74,30.90,6952000,30.90
2008-07-02,31.11,31.25,30.70,30.71,13633000,30.71
2008-07-01,30.91,31.08,30.40,31.05,17144900,31.05
2008-06-30,31.70,32.15,31.14,31.20,15850700,31.20
2008-06-27,31.53,31.92,31.43,31.57,20844300,31.57
2008-06-26,32.16,32.29,31.52,31.53,19848000,31.53
2008-06-25,32.40,32.84,32.30,32.49,16117200,32.49
2008-06-24,32.25,32.50,31.96,32.22,17528500,32.22
2008-06-23,32.13,32.44,32.04,32.39,10850800,32.39
2008-06-20,32.64,32.73,31.94,31.94,21345000,31.94
2008-06-19,32.96,33.12,32.57,32.89,13913000,32.89
2008-06-18,32.97,33.35,32.77,32.95,12078500,32.95
2008-06-17,33.85,33.86,33.10,33.11,9163100,33.11
2008-06-16,33.77,33.90,33.39,33.65,10955100,33.65
2008-06-13,33.48,33.95,33.35,33.93,9153300,33.93
2008-06-12,33.53,33.70,33.12,33.24,13138800,33.24
2008-06-11,33.75,33.94,33.25,33.27,12419500,33.27
2008-06-10,32.89,34.00,32.89,33.83,16606900,33.83
2008-06-09,33.32,33.34,32.84,33.18,10011900,33.18
2008-06-06,34.14,34.30,32.97,33.01,16597800,33.01
2008-06-05,34.32,34.71,34.10,34.49,11640300,34.49
2008-06-04,33.15,34.59,33.15,34.35,24630200,34.35
2008-06-03,33.48,33.51,33.00,33.18,11060000,33.18
2008-06-02,33.50,33.59,33.05,33.30,10323300,33.30
2008-05-30,33.98,34.05,33.48,33.60,12779000,33.60
2008-05-29,33.86,34.35,33.74,33.81,12570800,33.81
2008-05-28,33.66,34.15,33.66,33.86,14201800,33.86
2008-05-27,33.31,33.74,33.26,33.64,9309100,33.64
2008-05-23,33.52,33.60,33.18,33.23,8951300,33.23
2008-05-22,33.78,33.78,33.35,33.61,7735300,33.61
2008-05-21,33.95,34.09,33.50,33.66,11358100,33.66
2008-05-20,34.50,34.60,33.98,34.09,12635300,34.09
2008-05-19,34.79,34.94,34.47,34.72,12365200,34.72
2008-05-16,34.97,35.02,34.47,34.91,12728900,34.91
2008-05-15,34.65,35.00,34.52,34.99,11357100,34.99
2008-05-14,34.50,34.98,34.33,34.80,9867400,34.80
2008-05-13,34.58,34.78,34.22,34.33,11067300,34.33
2008-05-12,34.15,34.80,34.04,34.77,9176400,34.77
2008-05-09,34.10,34.47,34.03,34.30,13434900,34.30
2008-05-08,34.76,34.80,34.33,34.56,18859600,34.56
2008-05-07,34.21,34.95,34.05,34.70,30876600,34.70
2008-05-06,33.44,33.78,32.79,33.73,15098200,33.73
2008-05-05,33.72,33.72,33.12,33.29,10193300,33.29
2008-05-02,33.50,33.80,33.30,33.49,8708000,33.49
2008-05-01,32.45,33.42,32.42,33.30,12246700,33.30
2008-04-30,32.78,33.03,32.33,32.43,13077000,32.43
2008-04-29,32.32,32.88,32.21,32.76,10179700,32.76
2008-04-28,32.55,32.61,32.21,32.43,7648600,32.43
2008-04-25,32.04,32.45,31.95,32.36,11949900,32.36
2008-04-24,31.85,32.20,31.69,31.94,12009500,31.94
2008-04-23,31.47,31.68,31.11,31.64,15000000,31.64
2008-04-22,31.39,31.42,31.17,31.29,8461400,31.29
2008-04-21,31.10,31.50,31.05,31.46,8797300,31.46
2008-04-18,30.85,31.55,30.85,31.33,11513500,31.33
2008-04-17,30.24,30.89,30.24,30.78,13438900,30.78
2008-04-16,30.12,30.38,29.82,30.32,10606400,30.32
2008-04-15,30.07,30.10,29.57,29.93,10320500,29.93
2008-04-14,30.23,30.38,29.83,30.04,9328700,30.04
2008-04-11,31.04,31.49,30.15,30.18,15488300,30.18
2008-04-10,30.79,31.56,30.72,31.35,12183000,31.35
2008-04-09,31.12,31.21,30.61,30.85,10508200,30.85
2008-04-08,31.36,31.40,30.95,31.07,13068800,31.07
2008-04-07,31.41,31.73,31.21,31.52,9732500,31.52
