Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,10.37,10.78,10.11,10.78,25603100,10.78
2008-07-07,10.62,10.83,9.92,10.24,33354100,10.24
2008-07-03,10.29,10.56,10.02,10.12,24679300,10.12
2008-07-02,11.22,11.45,9.96,9.98,60254300,9.98
2008-07-01,11.02,13.26,10.71,11.75,88631800,11.75
2008-06-30,11.59,11.77,10.57,11.50,40854900,11.50
2008-06-27,11.55,11.75,11.21,11.55,34116500,11.55
2008-06-26,11.90,11.90,11.21,11.43,63217600,11.43
2008-06-25,13.25,13.60,12.70,12.81,25614100,12.81
2008-06-24,12.76,13.59,12.63,13.19,34119000,13.19
2008-06-23,13.99,14.15,12.75,12.91,55773700,12.91
2008-06-20,14.62,14.62,13.65,13.79,38245100,13.79
2008-06-19,14.95,14.99,14.39,14.79,24972100,14.79
2008-06-18,15.70,15.77,14.75,14.89,36647700,14.89
2008-06-17,16.42,16.76,15.78,15.82,16976200,15.82
2008-06-16,16.07,16.57,16.03,16.23,14670700,16.23
2008-06-13,15.80,16.50,15.50,16.45,22890300,16.45
2008-06-12,16.25,16.37,15.50,15.76,22035400,15.76
2008-06-11,16.98,16.98,16.08,16.12,15165100,16.12
2008-06-10,16.26,17.05,16.13,16.81,19971900,16.81
2008-06-09,16.39,16.80,16.21,16.48,17521800,16.48
2008-06-06,16.86,16.87,16.20,16.22,24686500,16.22
2008-06-05,17.17,17.17,16.76,17.05,22780800,17.05
2008-06-04,17.47,17.54,16.94,17.01,27925700,17.01
2008-06-03,17.88,18.18,17.18,17.58,40110600,17.58
2008-06-02,17.73,18.00,17.21,17.44,29124700,17.44
2008-05-30,17.55,17.64,17.10,17.10,15919300,17.10
2008-05-29,17.25,17.38,17.03,17.38,26441400,17.38
2008-05-28,17.73,18.00,17.00,17.15,28970400,17.15
2008-05-27,17.51,17.83,16.87,17.42,36636600,17.42
2008-05-23,18.31,18.34,17.38,17.60,30066900,17.60
2008-05-22,18.80,19.24,18.42,18.43,21209700,18.43
2008-05-21,20.00,20.08,18.94,19.12,18892500,19.12
2008-05-20,20.57,20.65,19.81,19.86,22522800,19.86
2008-05-19,21.22,21.37,20.62,20.87,13837300,20.87
2008-05-16,21.11,21.25,20.50,20.68,11902300,20.68
2008-05-15,20.37,21.30,19.95,21.23,16537700,21.23
2008-05-14,20.16,20.42,19.75,20.19,14339900,20.19
2008-05-13,20.80,20.94,20.01,20.20,17927400,19.95
2008-05-12,20.37,20.78,20.35,20.76,10796600,20.50
2008-05-09,20.88,21.16,20.24,20.29,14729900,20.04
2008-05-08,21.50,21.57,20.89,21.15,18231500,20.89
2008-05-07,22.41,22.68,21.32,21.40,17526600,21.14
2008-05-06,22.25,22.70,21.80,22.34,16028800,22.06
2008-05-05,23.21,23.24,22.19,22.36,16561000,22.08
2008-05-02,23.84,24.04,22.75,23.20,20048200,22.91
2008-05-01,23.10,24.02,22.77,23.19,21495400,22.90
2008-04-30,22.18,24.24,21.20,23.20,50315600,22.91
2008-04-29,21.80,22.07,21.10,21.20,16727400,20.94
2008-04-28,21.31,22.67,21.29,21.94,16807300,21.67
2008-04-25,22.36,22.39,21.03,21.38,18535600,21.12
2008-04-24,21.44,22.86,21.06,22.11,33808400,21.84
2008-04-23,20.77,21.39,20.58,20.94,21281800,20.68
2008-04-22,21.33,21.33,20.30,20.51,13740800,20.26
2008-04-21,20.10,21.44,19.96,21.27,21825800,21.01
2008-04-18,20.08,20.57,20.03,20.13,22403900,19.88
2008-04-17,19.84,19.95,19.43,19.79,11058900,19.55
2008-04-16,19.43,19.99,19.22,19.90,12626800,19.65
2008-04-15,19.15,19.20,18.72,19.12,16566700,18.88
2008-04-14,19.60,19.87,19.00,19.00,15319900,18.76
2008-04-11,19.81,20.40,19.43,19.62,18428000,19.38
2008-04-10,20.16,20.95,20.00,20.17,15854500,19.92
2008-04-09,21.10,21.16,20.01,20.13,13438700,19.88
2008-04-08,20.71,21.40,20.71,20.98,12604400,20.72
2008-04-07,20.89,21.77,20.40,21.01,29639800,20.75
