Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,50.13,51.51,50.13,51.47,5612300,51.47
2008-07-07,50.42,51.60,49.90,50.58,7146300,50.58
2008-07-03,49.94,51.05,49.85,50.31,4918600,50.31
2008-07-02,51.37,51.37,49.62,49.62,7258700,49.62
2008-07-01,49.61,51.15,49.28,50.86,8805700,50.86
2008-06-30,49.26,50.78,48.75,50.28,9693700,50.28
2008-06-27,49.10,49.61,48.43,49.23,10424000,49.23
2008-06-26,51.03,51.09,48.87,49.14,10829200,49.14
2008-06-25,54.51,54.51,51.20,51.50,12007300,51.50
2008-06-24,54.90,55.05,54.20,54.41,3408800,54.41
2008-06-23,54.33,55.12,54.24,54.99,3889100,54.99
2008-06-20,55.11,55.21,53.92,54.20,5943500,54.20
2008-06-19,54.48,55.60,54.34,55.35,3963800,55.35
2008-06-18,54.81,55.02,54.30,54.62,4160700,54.62
2008-06-17,56.58,56.58,55.01,55.06,4043000,55.06
2008-06-16,56.22,56.58,55.71,56.18,3739500,56.18
2008-06-13,56.10,56.88,55.89,56.49,4953500,56.49
2008-06-12,54.69,56.73,54.69,55.62,6473400,55.62
2008-06-11,54.44,55.40,54.12,54.26,3979500,54.26
2008-06-10,54.42,55.10,54.01,54.44,5601900,54.44
2008-06-09,54.31,55.51,54.25,54.79,6596300,54.79
2008-06-06,56.25,56.25,54.01,54.01,7251800,54.01
2008-06-05,57.19,57.39,56.08,56.70,4706300,56.70
2008-06-04,56.96,57.28,56.45,56.73,4575600,56.73
2008-06-03,58.35,58.59,56.32,57.14,5519900,57.14
2008-06-02,59.51,59.52,57.71,58.31,3715300,58.31
2008-05-30,59.40,60.02,59.18,59.62,3232000,59.62
2008-05-29,59.57,60.01,58.60,59.33,2414400,59.33
2008-05-28,59.44,60.08,58.99,59.23,3491800,59.23
2008-05-27,58.70,59.55,58.34,59.13,2136500,59.13
2008-05-23,59.21,59.21,58.52,58.76,2697100,58.76
2008-05-22,60.00,60.25,59.18,59.37,3201800,59.37
2008-05-21,61.65,62.09,60.01,60.12,3852900,60.12
2008-05-20,62.07,62.07,61.18,61.42,2947500,61.42
2008-05-19,62.26,62.99,61.55,62.25,3442700,62.25
2008-05-16,62.64,62.64,61.51,61.81,3587700,61.81
2008-05-15,62.59,62.65,61.49,62.43,4940400,62.15
2008-05-14,61.00,62.71,60.98,61.99,5008800,61.72
2008-05-13,60.25,60.90,60.18,60.83,3903500,60.56
2008-05-12,59.63,60.15,58.88,59.98,3009400,59.72
2008-05-09,58.76,59.92,58.37,59.59,3139600,59.33
2008-05-08,58.99,59.56,58.77,59.36,3855800,59.10
2008-05-07,60.90,60.90,58.82,58.99,4039700,58.73
2008-05-06,60.52,60.93,59.94,60.80,2662400,60.53
2008-05-05,60.57,60.74,60.02,60.59,2514200,60.32
2008-05-02,61.13,61.95,60.32,60.63,4309900,60.36
2008-05-01,59.41,60.70,59.23,60.67,4052200,60.40
2008-04-30,59.86,60.73,59.29,59.40,3820500,59.14
2008-04-29,60.26,60.26,59.26,59.86,3284100,59.60
2008-04-28,60.73,61.00,60.18,60.46,4166700,60.19
2008-04-25,60.72,60.95,59.80,60.49,3713800,60.22
2008-04-24,58.81,60.69,58.41,60.31,5416500,60.04
2008-04-23,59.50,59.74,58.33,58.81,4240900,58.55
2008-04-22,60.02,60.49,58.80,59.39,4319700,59.13
2008-04-21,60.60,60.75,60.01,60.39,4884600,60.12
2008-04-18,59.79,61.31,59.00,60.99,9694400,60.72
2008-04-17,57.60,57.98,57.05,57.40,4439400,57.15
2008-04-16,56.84,57.99,56.35,57.88,4876700,57.63
2008-04-15,56.62,56.88,56.00,56.47,4761200,56.22
2008-04-14,57.09,57.20,55.99,56.37,5998300,56.12
2008-04-11,57.20,58.34,56.88,56.99,5428200,56.74
2008-04-10,58.24,59.31,57.50,58.80,4957500,58.54
2008-04-09,57.97,58.93,57.50,58.03,4386100,57.77
2008-04-08,57.75,57.75,56.88,57.19,3905500,56.94
2008-04-07,58.80,58.84,57.98,58.11,3440200,57.85
2008-04-04,57.01,58.50,57.01,58.27,5110500,58.01
2008-04-03,57.17,57.94,57.13,57.64,3687500,57.39
2008-04-02,57.74,58.17,57.40,57.63,3955000,57.38
2008-04-01,56.81,58.00,56.77,57.79,4817400,57.54
2008-03-31,55.72,56.79,55.72,56.42,4389600,56.17
2008-03-28,55.47,56.30,55.17,55.85,4312700,55.60
2008-03-27,55.65,55.79,54.94,55.00,6215800,54.76
2008-03-26,55.73,56.06,55.35,55.63,4194800,55.38
2008-03-25,55.00,56.15,54.66,56.00,5410900,55.75
2008-03-24,54.41,55.36,54.26,55.01,4179900,54.77
2008-03-20,55.18,55.18,53.50,54.29,11765000,54.05
2008-03-19,56.98,57.62,55.11,55.11,5029500,54.87
2008-03-18,56.36,56.78,55.44,56.78,6491200,56.53
2008-03-17,54.91,56.16,54.65,55.22,8674400,54.98
2008-03-14,57.00,57.34,55.43,56.13,4929800,55.88
2008-03-13,56.09,57.20,55.38,56.70,5370200,56.45
2008-03-12,56.97,57.80,56.87,56.98,2994600,56.73
2008-03-11,56.41,57.02,55.64,56.96,4337900,56.71
2008-03-10,56.50,56.71,55.54,55.68,3304300,55.43
2008-03-07,57.03,57.47,56.18,56.56,4344000,56.31
2008-03-06,58.61,58.81,57.39,57.48,3683800,57.23
2008-03-05,58.70,59.66,58.32,59.02,3804200,58.76
2008-03-04,58.12,58.66,57.55,58.52,4578900,58.26
2008-03-03,57.57,58.55,57.41,58.55,3851600,58.29
2008-02-29,58.42,58.57,57.46,57.54,4119600,57.29
2008-02-28,59.09,59.56,58.77,59.18,4440600,58.92
2008-02-27,58.92,60.00,58.65,59.63,5067500,59.37
2008-02-26,57.74,59.22,57.74,59.16,5273900,58.90
2008-02-25,56.46,58.01,56.10,57.91,5278200,57.65
2008-02-22,55.63,56.68,55.32,56.54,5401500,56.02
2008-02-21,56.48,56.84,55.39,55.51,3842600,55.00
2008-02-20,56.03,56.53,55.18,56.35,6101900,55.83
2008-02-19,56.57,57.20,56.28,56.41,5743900,55.89
2008-02-15,57.40,57.49,55.85,56.04,21901000,55.52
