Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,69.92,71.17,69.52,71.03,5163700,71.03
2008-07-07,69.89,70.88,69.28,69.85,4913300,69.85
2008-07-03,68.77,69.96,68.68,69.46,3083300,69.46
2008-07-02,70.18,70.18,68.48,68.48,4661200,68.48
2008-07-01,68.66,70.05,67.57,69.78,6353100,69.78
2008-06-30,69.48,69.69,68.61,69.59,5333800,69.59
2008-06-27,70.48,70.48,68.89,69.51,7481700,69.51
2008-06-26,72.29,72.30,70.24,70.26,7371800,70.26
2008-06-25,72.40,73.24,72.30,72.57,4846300,72.57
2008-06-24,72.84,73.46,72.40,72.43,4535200,72.43
2008-06-23,73.35,73.44,72.80,72.96,3004400,72.96
2008-06-20,74.00,74.00,72.62,73.02,7367800,73.02
2008-06-19,74.21,74.45,73.75,74.12,3544100,74.12
2008-06-18,74.64,75.23,74.18,74.30,3561400,74.30
2008-06-17,75.44,75.70,74.85,74.97,3561700,74.97
2008-06-16,75.76,76.12,75.09,75.20,4156500,75.20
2008-06-13,76.19,76.53,75.38,76.12,3915100,76.12
2008-06-12,75.50,76.42,75.25,75.55,3791600,75.55
2008-06-11,76.00,76.00,75.05,75.27,4905500,75.27
2008-06-10,75.13,76.29,75.13,76.00,2995500,76.00
2008-06-09,75.32,76.07,74.75,75.82,4402400,75.82
2008-06-06,76.73,77.02,74.85,74.86,5984400,74.86
2008-06-05,76.59,77.61,76.36,77.50,3805800,77.50
2008-06-04,76.17,77.41,75.80,76.36,4667800,76.36
2008-06-03,76.50,76.66,75.50,76.23,4848000,76.23
2008-06-02,77.41,77.49,75.80,76.25,3942600,76.25
2008-05-30,76.91,77.85,76.91,77.56,3486700,77.56
2008-05-29,76.60,78.20,76.60,77.76,3433100,77.76
2008-05-28,76.34,77.01,76.31,76.90,3681600,76.90
2008-05-27,75.73,76.74,75.56,76.17,2789000,76.17
2008-05-23,76.24,76.26,75.50,75.81,2879100,75.81
2008-05-22,76.37,76.81,75.87,76.64,3843200,76.64
2008-05-21,77.51,77.53,75.83,76.12,4429800,76.12
2008-05-20,79.04,79.06,77.08,77.53,5215400,77.03
2008-05-19,78.66,79.89,78.48,79.05,3141900,78.54
2008-05-16,77.99,78.82,77.46,78.66,4147600,78.15
2008-05-15,77.70,78.12,77.18,77.86,3473900,77.36
2008-05-14,77.68,78.63,77.18,77.73,2922700,77.23
2008-05-13,77.72,78.34,76.91,77.18,3407400,76.68
2008-05-12,76.67,77.67,75.95,77.67,3552100,77.17
2008-05-09,75.99,76.67,75.82,76.32,3871600,75.83
2008-05-08,77.12,77.36,76.47,76.95,3796000,76.45
2008-05-07,77.95,78.13,76.49,76.68,4089200,76.19
2008-05-06,77.44,77.87,76.75,77.76,2891400,77.26
2008-05-05,78.62,78.78,77.35,77.55,3845900,77.05
2008-05-02,78.44,79.45,78.22,78.55,3756600,78.04
2008-05-01,76.94,78.05,76.58,77.84,3783700,77.34
2008-04-30,77.00,78.24,76.85,76.90,4690900,76.40
2008-04-29,77.19,77.73,76.78,76.86,3612100,76.36
2008-04-28,77.60,77.98,76.88,77.13,5155000,76.63
2008-04-25,78.85,78.87,76.46,77.82,5551200,77.32
2008-04-24,81.19,81.19,77.55,79.13,6323400,78.62
2008-04-23,81.52,81.68,80.43,80.63,3623900,80.11
2008-04-22,82.15,82.20,80.53,81.18,2724400,80.66
2008-04-21,83.00,83.04,81.90,82.34,2907900,81.81
2008-04-18,81.84,83.22,81.17,82.90,4716600,82.37
2008-04-17,80.57,81.06,79.28,80.65,3207100,80.13
2008-04-16,79.35,81.19,79.12,80.69,5284800,80.17
2008-04-15,78.61,78.94,78.27,78.84,2672600,78.33
2008-04-14,78.29,79.04,77.71,78.26,4447800,77.76
2008-04-11,78.80,79.08,78.13,78.47,5613200,77.96
2008-04-10,79.69,80.91,79.45,80.35,3747300,79.83
2008-04-09,79.99,80.12,78.80,79.59,2967100,79.08
2008-04-08,79.50,80.26,79.48,79.88,3469400,79.36
2008-04-07,80.95,81.62,80.16,80.19,3081600,79.67
2008-04-04,80.30,81.07,79.42,80.52,2800700,80.00
2008-04-03,80.59,81.00,79.83,80.17,3280600,79.65
2008-04-02,81.24,81.58,80.59,80.91,2871700,80.39
2008-04-01,79.61,81.53,79.44,81.32,4813600,80.80
2008-03-31,78.06,79.48,78.06,79.15,3505600,78.64
2008-03-28,78.39,78.94,77.85,77.95,2006400,77.45
2008-03-27,78.80,79.11,77.86,77.86,3600200,77.36
2008-03-26,78.73,78.77,77.88,78.66,3700200,78.15
2008-03-25,78.83,79.25,78.27,78.98,3888700,78.47
2008-03-24,78.15,79.21,77.91,78.64,4342200,78.13
2008-03-20,78.50,79.34,77.46,77.98,6937300,77.48
2008-03-19,81.24,81.68,78.54,79.47,4450700,78.96
2008-03-18,79.84,80.95,79.02,80.95,4569000,80.43
2008-03-17,75.64,79.26,75.24,78.51,5050600,78.00
2008-03-14,79.72,79.72,76.62,77.53,4882800,77.03
2008-03-13,77.49,79.58,77.16,79.08,4292300,78.57
2008-03-12,77.97,79.44,77.97,78.42,3961900,77.91
2008-03-11,77.30,78.00,76.00,77.95,4377800,77.45
2008-03-10,76.73,77.11,75.28,75.48,4206300,74.99
2008-03-07,77.41,77.99,76.33,76.51,5199100,76.02
2008-03-06,78.70,79.24,77.89,77.95,4713900,77.45
2008-03-05,78.91,79.61,77.92,78.93,3866500,78.42
2008-03-04,77.92,78.73,77.49,78.41,4390000,77.90
2008-03-03,78.16,78.65,77.62,78.49,2425500,77.98
2008-02-29,79.65,79.65,78.19,78.40,3091300,77.89
2008-02-28,80.06,80.28,79.25,79.80,2701400,79.29
2008-02-27,80.68,81.15,80.09,80.48,2804800,79.96
2008-02-26,80.60,81.59,80.46,81.29,3177700,80.77
2008-02-25,79.56,81.04,79.09,81.00,2936600,80.48
2008-02-22,79.32,79.81,78.24,79.67,3490900,79.16
2008-02-21,80.06,80.65,78.68,78.96,4084000,78.45
2008-02-20,79.32,80.20,78.44,79.94,3242400,79.42
2008-02-19,80.25,80.86,79.56,79.85,3496500,78.84
2008-02-15,80.14,80.61,79.54,79.95,3632600,78.94
2008-02-14,81.24,81.65,80.20,80.29,2485700,79.27
2008-02-13,79.55,81.51,79.48,81.38,3780900,80.35
2008-02-12,79.61,79.84,78.60,79.10,3663800,78.10
2008-02-11,78.38,79.57,77.84,79.28,2097300,78.28
2008-02-08,78.85,79.19,77.82,78.56,2822000,77.56
2008-02-07,78.60,79.54,78.28,79.12,3484400,78.12
2008-02-06,79.47,79.94,78.81,79.18,3871100,78.18
2008-02-05,79.31,79.91,78.91,79.09,4802400,78.09
2008-02-04,81.23,81.50,80.49,80.57,3377400,79.55
2008-02-01,79.79,81.28,79.64,81.21,4739800,80.18
2008-01-31,77.33,80.00,77.04,79.65,5432200,78.64
2008-01-30,77.82,79.49,77.49,78.22,4583300,77.23
2008-01-29,77.80,78.68,76.20,78.02,5061700,77.03
2008-01-28,76.02,77.52,75.60,77.44,4611700,76.46
2008-01-25,76.82,76.82,75.07,75.51,3910200,74.55
2008-01-24,76.40,76.83,75.00,75.73,4805900,74.77
2008-01-23,73.55,76.23,72.05,76.10,7000800,75.14
2008-01-22,72.07,75.61,72.07,75.16,6573400,74.21
2008-01-18,75.47,76.44,74.06,74.91,7053200,73.96
2008-01-17,77.38,77.69,74.47,74.96,7093000,74.01
2008-01-16,76.83,78.58,76.83,77.30,4467500,76.32
2008-01-15,78.00,78.70,77.03,77.18,4206500,76.20
