Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,20.48,21.06,20.47,21.05,14049800,21.05
2008-07-07,20.16,20.70,20.03,20.52,15512800,20.52
2008-07-03,19.93,20.16,19.84,20.12,9133400,20.12
2008-07-02,20.32,20.35,19.86,19.92,17234400,19.92
2008-07-01,20.35,20.48,20.00,20.12,21280500,20.12
2008-06-30,20.34,20.73,20.33,20.56,10001400,20.56
2008-06-27,20.97,20.98,20.25,20.35,15261000,20.35
2008-06-26,21.05,21.49,20.97,20.97,12056400,20.97
2008-06-25,21.23,21.84,21.20,21.32,16915000,21.32
2008-06-24,20.79,21.15,20.75,21.11,15277000,21.11
2008-06-23,20.83,21.09,20.77,20.90,14896500,20.90
2008-06-20,20.73,20.88,20.66,20.78,16869600,20.78
2008-06-19,20.66,20.98,20.61,20.85,17584700,20.85
2008-06-18,20.61,20.78,20.61,20.71,10525700,20.71
2008-06-17,20.66,20.86,20.59,20.72,14685600,20.72
2008-06-16,21.00,21.00,20.54,20.60,14507000,20.60
2008-06-13,21.06,21.06,20.75,20.90,15083000,20.90
2008-06-12,20.85,21.21,20.80,20.94,16680700,20.94
2008-06-11,21.08,21.09,20.67,20.72,14253700,20.72
2008-06-10,21.06,21.19,20.75,21.13,14056300,20.84
2008-06-09,21.67,21.68,21.01,21.16,16356900,20.87
2008-06-06,22.10,22.31,21.52,21.53,16895400,21.23
2008-06-05,22.15,22.31,22.00,22.16,9971400,21.86
2008-06-04,21.94,22.10,21.91,22.06,14539700,21.76
2008-06-03,22.06,22.23,21.90,21.98,13058600,21.68
2008-06-02,22.32,22.35,21.97,22.03,12114900,21.73
2008-05-30,22.50,22.55,22.21,22.26,10254600,21.95
2008-05-29,22.33,22.69,22.33,22.45,9779300,22.14
2008-05-28,22.68,22.70,22.01,22.33,13738500,22.02
2008-05-27,22.33,22.53,22.10,22.48,19361300,22.17
2008-05-23,22.87,22.87,22.17,22.28,15424200,21.97
2008-05-22,22.43,23.02,22.37,22.77,16170400,22.46
2008-05-21,22.52,22.84,22.28,22.37,18871100,22.06
2008-05-20,22.56,22.80,22.38,22.44,20543100,22.13
2008-05-19,22.33,22.85,22.33,22.56,18326300,22.25
2008-05-16,22.30,22.49,22.06,22.45,13957100,22.14
2008-05-15,22.02,22.38,22.00,22.34,15962200,22.03
2008-05-14,21.93,22.15,21.86,22.00,14743400,21.70
2008-05-13,21.57,22.00,21.50,21.92,19898900,21.62
2008-05-12,20.95,21.62,20.90,21.58,15363100,21.28
2008-05-09,21.04,21.33,20.89,20.94,19028600,20.65
2008-05-08,20.92,21.35,20.84,21.33,17350400,21.04
2008-05-07,20.83,21.07,20.79,20.83,17979000,20.54
2008-05-06,20.75,20.96,20.51,20.89,15793100,20.60
2008-05-05,20.75,20.86,20.50,20.71,18785700,20.43
2008-05-02,20.08,20.53,19.98,20.43,17931400,20.15
2008-05-01,20.18,20.21,19.95,20.12,22304100,19.84
2008-04-30,20.35,20.38,19.99,20.00,30021400,19.73
2008-04-29,21.10,21.38,20.11,20.24,47218900,19.96
2008-04-28,21.50,21.59,21.23,21.29,22949900,21.00
2008-04-25,21.80,21.90,21.20,21.70,30215300,21.40
2008-04-24,22.44,22.66,22.26,22.53,15704600,22.22
2008-04-23,22.13,22.54,22.02,22.30,22160900,21.99
2008-04-22,22.11,22.30,21.96,22.05,12744000,21.75
2008-04-21,22.11,22.21,21.87,22.16,15612200,21.86
2008-04-18,21.95,22.16,21.76,22.10,18095200,21.80
2008-04-17,21.59,22.00,21.56,21.86,17537700,21.56
2008-04-16,21.58,21.73,21.19,21.67,23876200,21.37
2008-04-15,21.64,21.77,21.30,21.71,17133600,21.41
2008-04-14,21.41,21.60,21.33,21.54,18189100,21.24
2008-04-11,21.48,21.82,21.00,21.37,21843100,21.08
2008-04-10,20.90,21.83,20.85,21.69,27828800,21.39
2008-04-09,21.48,21.57,20.83,20.91,20155700,20.62
2008-04-08,21.96,21.96,21.29,21.43,19844800,21.14
2008-04-07,21.75,22.01,21.75,21.88,28600800,21.58
2008-04-04,22.14,22.14,21.65,21.71,21425300,21.41
2008-04-03,22.04,22.76,21.55,22.01,38455200,21.71
2008-04-02,22.37,22.53,21.85,22.08,39490000,21.78
2008-04-01,21.24,22.22,20.95,22.15,64113000,21.85
2008-03-31,23.12,23.72,21.95,22.20,33447900,21.90
2008-03-28,73.60,74.59,73.33,73.83,17760000,22.46
2008-03-27,73.24,73.91,73.03,73.22,22975600,22.27
2008-03-26,73.17,73.50,72.74,73.00,15852200,22.21
2008-03-25,71.56,73.33,71.52,73.33,13139500,22.31
2008-03-24,71.26,72.08,71.26,71.68,9981000,21.80
2008-03-20,70.78,71.00,70.00,70.26,16383000,21.37
2008-03-19,71.78,72.23,70.56,70.78,19647600,21.53
2008-03-18,70.46,71.67,68.00,71.56,22326000,21.77
2008-03-17,70.42,71.00,69.31,69.97,17607900,21.28
2008-03-14,73.51,73.81,71.35,71.78,24058200,21.61
2008-03-13,72.99,73.63,72.10,73.45,17707100,22.11
2008-03-12,75.14,75.14,73.43,73.66,18243400,22.17
2008-03-11,75.67,75.80,74.30,75.25,17764800,22.65
2008-03-10,74.44,75.65,74.20,74.74,12689700,22.50
2008-03-07,73.47,74.72,73.13,74.52,12640400,22.43
2008-03-06,74.68,74.68,73.85,73.97,8355700,22.26
2008-03-05,73.60,75.04,73.35,74.91,16056500,22.55
2008-03-04,72.49,74.16,72.40,73.83,12563500,22.22
2008-03-03,72.85,73.07,72.02,73.02,11076800,21.98
2008-02-29,73.46,73.71,72.90,73.14,10111500,22.02
2008-02-28,74.05,74.32,73.48,73.78,6947300,22.21
2008-02-27,73.97,74.54,73.93,74.47,7365300,22.42
2008-02-26,73.70,74.77,73.67,74.27,10440300,22.36
2008-02-25,73.50,74.34,73.12,74.26,7383200,22.35
2008-02-22,73.55,73.71,72.52,73.60,9546000,22.15
2008-02-21,73.10,73.63,72.65,73.39,13581500,22.09
2008-02-20,72.44,73.21,72.09,72.94,8555900,21.95
2008-02-19,72.51,73.72,72.46,72.93,11310800,21.95
2008-02-15,72.55,73.45,72.42,72.53,29659800,21.83
2008-02-14,73.00,73.08,72.45,72.69,9320600,21.88
2008-02-13,72.84,72.97,72.37,72.85,10185600,21.93
2008-02-12,72.72,72.77,71.98,72.43,10715800,21.80
2008-02-11,72.71,73.36,71.89,72.42,11798900,21.80
2008-02-08,73.85,74.00,73.01,73.09,8907400,22.00
2008-02-07,72.51,74.35,72.20,74.10,15359900,22.30
2008-02-06,73.49,74.05,72.61,72.76,8761900,21.90
2008-02-05,74.59,75.22,73.05,73.13,12003700,22.01
2008-02-04,75.40,75.92,74.89,75.07,6238700,22.60
2008-02-01,75.99,76.31,74.48,75.44,11076300,22.71
2008-01-31,76.08,76.87,75.45,75.79,14890000,22.81
2008-01-30,75.86,77.89,75.63,76.50,20832800,23.03
2008-01-29,75.73,76.49,74.00,76.12,16818000,22.91
2008-01-28,74.19,75.04,73.65,75.01,8869900,22.58
2008-01-25,75.16,75.49,73.47,73.95,14953600,22.26
2008-01-24,73.27,75.32,72.50,74.89,13482500,22.54
2008-01-23,72.05,74.05,70.88,72.85,24435700,21.93
2008-01-22,72.00,74.57,71.28,73.38,22672800,22.09
2008-01-18,77.42,77.98,74.67,75.42,21979800,22.70
2008-01-17,79.00,79.14,76.74,76.80,23839000,23.12
2008-01-16,78.10,78.67,77.51,77.91,13961900,23.45
2008-01-15,78.37,79.00,78.02,78.46,10264100,23.62
2008-01-14,78.97,79.15,78.01,78.69,10363600,23.69
2008-01-11,78.35,79.59,78.35,79.02,10649000,23.79
2008-01-10,78.86,79.20,78.15,78.82,12825800,23.72
2008-01-09,79.36,79.56,78.54,79.21,16521700,23.84
2008-01-08,78.12,79.43,77.90,78.32,17342200,23.57
2008-01-07,75.22,77.40,75.22,77.23,16011400,23.25
2008-01-04,75.26,75.95,74.81,74.90,11110400,22.54
2008-01-03,75.08,75.98,74.93,75.39,10013800,22.69
2008-01-02,75.50,76.00,74.67,74.93,8757300,22.55
2007-12-31,75.56,76.56,75.50,75.58,5974900,22.75
2007-12-28,76.46,76.68,75.75,75.96,9601500,22.86
2007-12-27,77.14,77.77,76.16,76.23,8333000,22.95
2007-12-26,77.06,77.95,77.06,77.49,6327400,23.32
2007-12-24,77.03,77.68,77.03,77.58,5083100,23.35
2007-12-21,77.37,77.80,76.99,77.43,17420200,23.31
2007-12-20,77.06,77.62,76.79,77.62,10864700,23.14
2007-12-19,76.09,77.21,75.70,76.68,11633600,22.86
2007-12-18,76.42,76.58,75.40,75.93,10264000,22.63
2007-12-17,76.60,76.97,75.93,76.02,10367600,22.66
2007-12-14,77.73,77.85,76.77,76.82,11812700,22.90
2007-12-13,77.48,77.90,76.91,77.76,14007000,23.18
2007-12-12,77.89,78.42,76.98,77.71,14208900,23.16
2007-12-11,77.73,78.35,77.02,77.10,9149400,22.98
2007-12-10,77.97,78.42,77.60,78.20,7544800,23.31
2007-12-07,78.10,78.40,77.37,77.60,12332900,23.13
2007-12-06,77.55,77.85,77.27,77.80,8997400,23.19
2007-12-05,77.97,78.20,77.40,77.80,11621300,23.19
2007-12-04,77.26,78.51,77.26,77.41,11076900,23.08
2007-12-03,77.32,77.96,77.00,77.57,9639400,23.12
2007-11-30,76.74,77.56,76.15,77.56,14049300,23.12
2007-11-29,74.00,76.15,73.99,75.98,16464100,22.65
2007-11-28,73.94,74.19,73.51,74.09,16345800,22.09
2007-11-27,71.99,73.95,71.98,73.35,13569000,21.87
2007-11-26,72.83,73.54,71.30,71.44,13580000,21.30
2007-11-23,72.74,73.38,72.60,72.97,7652400,21.75
2007-11-21,73.12,73.80,72.41,72.41,9494200,21.58
2007-11-20,74.11,74.40,73.31,73.81,10494700,22.00
2007-11-19,72.75,74.35,72.75,73.84,14163000,22.01
2007-11-16,72.80,73.55,72.40,73.18,13105500,21.81
2007-11-15,71.79,72.51,71.79,72.27,10971500,21.54
2007-11-14,73.15,73.15,72.12,72.22,8511800,21.53
2007-11-13,72.93,72.96,71.72,72.85,14909500,21.72
2007-11-12,72.73,73.28,72.34,72.47,10302400,21.60
2007-11-09,73.26,73.50,72.65,72.71,15327100,21.67
2007-11-08,72.33,72.93,71.97,72.72,14917300,21.68
2007-11-07,72.58,72.92,71.84,71.98,9229000,21.46
2007-11-06,72.00,73.00,72.00,72.94,6572800,21.74
2007-11-05,72.00,72.71,71.77,72.36,6148400,21.57
2007-11-02,72.10,72.74,71.75,72.11,7846500,21.50
2007-11-01,72.88,73.00,71.72,71.88,9652200,21.43
2007-10-31,72.86,73.16,72.40,72.93,9223700,21.74
2007-10-30,72.85,73.21,72.70,72.76,7261100,21.69
2007-10-29,73.27,73.50,72.78,72.97,6168000,21.75
2007-10-26,72.54,73.25,71.92,72.97,9358900,21.75
2007-10-25,72.38,72.80,72.04,72.26,7954600,21.54
2007-10-24,72.19,72.84,71.44,72.36,9605300,21.57
2007-10-23,71.92,72.20,71.31,72.09,8972000,21.49
2007-10-22,70.41,71.69,70.41,71.47,9634500,21.30
2007-10-19,70.38,71.24,69.72,70.50,16234000,21.02
2007-10-18,71.17,71.30,70.75,70.89,9859100,21.13
2007-10-17,71.50,71.50,70.55,70.98,15037000,21.16
2007-10-16,70.64,71.23,70.45,70.74,11824600,21.09
2007-10-15,70.25,70.54,70.10,70.37,7174200,20.98
2007-10-12,69.99,70.18,69.87,70.06,9646100,20.88
2007-10-11,70.00,70.04,69.41,69.95,7488400,20.85
2007-10-10,69.95,70.01,69.66,70.00,8139500,20.87
2007-10-09,69.42,70.10,69.11,69.93,9020900,20.85
2007-10-08,69.46,69.55,69.09,69.28,4734100,20.65
2007-10-05,69.66,69.93,69.47,69.56,5993500,20.74
2007-10-04,69.83,70.14,69.56,69.69,6831200,20.77
2007-10-03,69.88,70.12,69.52,69.88,7905900,20.83
2007-10-02,69.90,70.14,69.44,69.95,8199200,20.85
2007-10-01,69.67,70.00,69.44,69.77,11778800,20.80
2007-09-28,69.42,69.78,69.16,69.53,12026700,20.73
2007-09-27,68.60,69.48,68.30,69.48,20146300,20.71
2007-09-26,68.29,68.98,67.96,68.60,7779400,20.45
2007-09-25,68.03,69.04,67.93,68.24,9834600,20.34
2007-09-24,68.56,68.60,68.01,68.44,17095700,20.40
2007-09-21,69.18,69.48,68.36,68.54,11586600,20.43
2007-09-20,68.42,69.00,68.26,68.62,7513000,20.46
2007-09-19,68.35,68.82,68.00,68.73,14832100,20.49
2007-09-18,67.39,68.09,67.00,68.06,7239300,20.29
2007-09-17,67.08,67.53,66.77,67.00,6661200,19.97
2007-09-14,66.98,67.41,66.66,67.03,7669800,19.98
2007-09-13,67.85,68.09,66.91,67.13,12156200,20.01
2007-09-12,67.20,67.63,66.90,67.50,12552200,20.12
2007-09-11,67.96,67.96,67.19,67.74,10492300,19.97
2007-09-10,67.62,68.04,66.87,67.30,8093000,19.84
2007-09-07,67.84,68.45,67.25,67.39,11198800,19.87
2007-09-06,68.84,68.99,67.85,68.27,8027000,20.13
2007-09-05,68.72,69.03,68.06,68.63,16396600,20.23
2007-09-04,69.41,69.95,69.39,69.67,9614100,20.54
2007-08-31,69.64,69.79,68.76,69.41,10003600,20.46
2007-08-30,69.27,69.73,68.70,69.25,9346800,20.41
2007-08-29,70.25,70.98,68.25,69.80,23592400,20.58
2007-08-28,70.14,70.82,68.97,69.07,12297500,20.36
2007-08-27,70.00,70.99,69.69,70.08,15322600,20.66
2007-08-24,68.24,69.30,68.00,69.19,9556600,20.40
2007-08-23,68.88,68.96,68.30,68.63,12307800,20.23
2007-08-22,67.65,68.50,67.30,68.24,8627900,20.12
2007-08-21,66.63,67.82,66.61,67.22,13480000,19.82
2007-08-20,67.11,68.22,66.50,67.00,8907800,19.75
2007-08-17,67.40,68.47,66.76,67.59,14626700,19.92
2007-08-16,65.75,66.36,64.72,66.36,16577200,19.56
2007-08-15,66.94,67.87,65.73,65.98,15356000,19.45
2007-08-14,67.78,68.48,66.39,66.82,13340600,19.70
2007-08-13,67.80,68.49,67.25,67.41,9137300,19.87
2007-08-10,67.21,67.65,65.79,67.39,16954500,19.87
2007-08-09,68.96,69.10,67.45,67.67,13196900,19.95
2007-08-08,68.48,69.77,68.21,69.60,13208000,20.52
2007-08-07,68.93,69.85,68.10,69.22,10196000,20.41
2007-08-06,67.38,69.05,66.27,68.98,14688300,20.33
2007-08-03,67.21,67.92,66.42,66.60,11607700,19.63
2007-08-02,67.12,67.75,66.80,67.14,9405000,19.79
2007-08-01,66.21,67.50,65.72,66.58,16594400,19.63
2007-07-31,66.10,68.42,65.87,66.47,15386000,19.59
2007-07-30,65.51,66.36,63.13,65.78,16909700,19.39
2007-07-27,66.80,68.20,65.17,65.17,15414900,19.21
2007-07-26,67.75,67.88,65.84,66.80,18825600,19.69
2007-07-25,68.16,68.75,67.62,67.85,12501900,20.00
2007-07-24,69.13,69.58,67.87,68.06,10635300,20.06
2007-07-23,69.98,70.10,69.40,69.62,8811100,20.52
2007-07-20,70.50,70.98,69.68,69.80,12166300,20.58
2007-07-19,70.75,71.44,70.37,70.63,8318900,20.82
2007-07-18,70.26,70.92,69.65,70.30,12649700,20.72
2007-07-17,71.54,71.75,71.11,71.28,7763100,21.01
2007-07-16,71.82,72.03,71.03,71.31,6035200,21.02
2007-07-13,72.00,72.00,71.20,71.70,7618100,21.14
2007-07-12,70.84,72.19,70.76,72.07,10886500,21.25
2007-07-11,70.50,71.08,70.43,70.89,7436700,20.90
2007-07-10,71.56,71.81,70.39,70.43,11450300,20.76
2007-07-09,71.99,72.20,71.41,71.70,8522600,21.14
2007-07-06,70.85,71.70,70.80,71.60,8468300,21.11
2007-07-05,70.99,71.24,70.75,71.16,10549100,20.98
2007-07-03,71.00,71.03,70.71,70.99,4552000,20.93
2007-07-02,70.23,71.01,70.20,70.90,9308600,20.90
2007-06-29,70.01,70.53,69.58,70.14,9568800,20.68
2007-06-28,70.25,70.43,68.66,69.92,6595300,20.61
2007-06-27,69.51,70.26,69.19,70.20,19664200,20.69
2007-06-26,69.02,70.41,68.65,69.63,19123200,20.53
2007-06-25,68.37,69.57,68.25,68.75,10976700,20.27
2007-06-22,68.50,68.80,67.99,68.20,13615600,20.10
2007-06-21,68.32,68.79,68.07,68.58,11559800,20.22
2007-06-20,69.68,69.84,68.19,68.27,13350700,20.13
2007-06-19,70.07,70.17,69.30,69.52,10409100,20.49
2007-06-18,70.51,70.73,70.12,70.16,12604700,20.68
2007-06-15,70.79,71.00,70.49,70.67,13040400,20.83
2007-06-14,70.16,70.64,70.01,70.47,10468900,20.77
2007-06-13,69.98,70.35,69.63,70.26,10227900,20.71
2007-06-12,69.85,70.60,69.82,70.14,17439000,20.47
2007-06-11,70.25,70.50,69.76,70.22,9085500,20.50
2007-06-08,69.58,70.40,69.27,70.30,10100800,20.52
