Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,17.47,18.22,17.46,18.19,61046500,18.19
2008-07-07,17.80,17.89,17.26,17.39,47755900,17.39
2008-07-03,17.77,17.87,17.60,17.75,24345300,17.75
2008-07-02,17.84,17.86,17.60,17.62,38320900,17.62
2008-07-01,17.43,17.77,17.36,17.73,53147500,17.73
2008-06-30,17.29,17.64,17.26,17.47,44310700,17.47
2008-06-27,17.26,17.48,17.12,17.28,65987100,17.28
2008-06-26,17.76,18.02,17.17,17.17,54788500,17.17
2008-06-25,17.74,18.15,17.60,17.88,58021900,17.88
2008-06-24,17.39,17.75,17.34,17.69,48733700,17.69
2008-06-23,17.42,17.51,17.30,17.38,46494600,17.38
2008-06-20,17.72,17.83,17.30,17.33,63385000,17.33
2008-06-19,17.81,17.93,17.70,17.77,63204800,17.77
2008-06-18,18.50,18.54,17.74,17.77,95508600,17.77
2008-06-17,17.85,17.95,17.67,17.72,43290100,17.72
2008-06-16,17.91,17.97,17.70,17.77,58919900,17.77
2008-06-13,17.79,17.99,17.65,17.99,48375400,17.99
2008-06-12,17.62,17.96,17.60,17.73,48401600,17.73
2008-06-11,17.92,17.94,17.50,17.55,59487900,17.55
2008-06-10,17.92,18.02,17.71,17.94,57165000,17.94
2008-06-09,18.10,18.17,17.96,18.02,57239400,18.02
2008-06-06,18.54,18.60,17.95,17.96,95739300,17.96
2008-06-05,18.74,18.76,18.45,18.67,83089800,18.67
2008-06-04,19.00,19.13,18.69,18.80,60533800,18.80
2008-06-03,19.11,19.20,18.93,19.01,53435300,19.01
2008-06-02,19.43,19.46,19.03,19.18,53484000,19.18
2008-05-30,19.47,19.50,19.29,19.36,37121400,19.36
2008-05-29,19.34,19.54,19.31,19.40,44815500,19.40
2008-05-28,19.42,19.47,19.16,19.30,43478400,19.30
2008-05-27,19.58,19.60,19.25,19.33,46951200,19.33
2008-05-23,19.73,19.73,19.52,19.53,41880100,19.53
2008-05-22,19.77,19.93,19.61,19.78,63711300,19.78
2008-05-21,20.11,20.17,19.92,20.01,60558600,20.01
2008-05-20,20.18,20.25,20.01,20.05,61429200,20.05
2008-05-19,20.05,20.29,19.94,20.23,60618400,20.23
2008-05-16,20.12,20.13,19.95,20.03,46589400,20.03
2008-05-15,20.06,20.10,19.93,20.08,36065500,20.08
2008-05-14,20.02,20.10,19.97,20.06,41437400,20.06
2008-05-13,19.93,20.05,19.86,19.97,38652400,19.97
2008-05-12,19.85,19.97,19.78,19.91,36211000,19.91
2008-05-09,19.91,19.93,19.70,19.79,35319800,19.79
2008-05-08,19.98,20.04,19.88,19.97,46832000,19.97
2008-05-07,20.25,20.30,19.88,19.92,54534900,19.92
2008-05-06,20.52,20.58,20.26,20.42,41020400,20.10
2008-05-05,20.60,20.60,20.45,20.52,34754200,20.20
2008-05-02,20.48,20.65,20.36,20.61,48641900,20.29
2008-05-01,20.17,20.45,20.10,20.44,48479400,20.12
2008-04-30,20.30,20.34,20.02,20.11,44018900,19.79
2008-04-29,20.26,20.30,20.00,20.24,49709200,19.92
2008-04-28,20.49,20.50,20.20,20.23,56431100,19.91
2008-04-25,20.17,20.45,20.16,20.43,54993000,20.11
2008-04-24,19.95,20.16,19.88,20.04,39099500,19.73
2008-04-23,19.88,20.00,19.81,19.88,53366600,19.57
2008-04-22,20.23,20.24,19.79,19.79,66491800,19.48
2008-04-21,20.36,20.49,20.13,20.20,50296900,19.88
2008-04-18,20.59,20.61,20.30,20.47,56608800,20.15
2008-04-17,20.50,20.54,20.22,20.40,77501500,20.08
2008-04-16,20.83,21.10,20.74,21.10,38516800,20.77
2008-04-15,20.60,20.92,20.57,20.71,33428400,20.39
2008-04-14,20.54,20.63,20.45,20.56,37025100,20.24
2008-04-11,20.86,20.90,20.44,20.45,30204100,20.13
2008-04-10,20.86,21.10,20.80,20.92,36285200,20.59
2008-04-09,21.00,21.08,20.72,20.89,37392700,20.56
2008-04-08,21.35,21.42,20.90,21.00,38193300,20.67
2008-04-07,21.43,21.57,21.28,21.48,25584500,21.14
2008-04-04,21.33,21.46,21.24,21.35,29779600,21.02
2008-04-03,21.41,21.46,20.93,21.34,35939100,21.01
2008-04-02,21.22,21.60,21.18,21.51,31872600,21.17
2008-04-01,21.05,21.38,20.84,21.38,37475500,21.04
2008-03-31,20.69,20.97,20.48,20.93,52814300,20.60
2008-03-28,20.68,20.72,20.47,20.50,31202900,20.18
2008-03-27,20.76,20.89,20.55,20.56,34595400,20.24
2008-03-26,20.72,20.75,20.59,20.69,31719900,20.37
2008-03-25,20.68,20.81,20.65,20.78,44065600,20.45
2008-03-24,20.82,20.82,20.48,20.61,35726500,20.29
2008-03-20,20.70,20.70,20.48,20.59,54784100,20.27
2008-03-19,20.85,21.05,20.55,20.61,45845300,20.29
2008-03-18,20.83,21.09,20.69,21.00,47203100,20.67
2008-03-17,20.38,20.85,20.19,20.57,46566200,20.25
2008-03-14,21.32,21.32,20.50,20.64,46927800,20.32
2008-03-13,21.16,21.37,20.79,21.21,44043600,20.88
2008-03-12,21.77,21.80,21.16,21.28,41597400,20.95
2008-03-11,21.34,21.98,21.22,21.72,37230200,21.38
2008-03-10,21.37,21.42,21.14,21.15,34350200,20.82
2008-03-07,21.46,21.66,21.20,21.35,42330100,21.02
2008-03-06,21.98,22.02,21.57,21.59,34523600,21.25
2008-03-05,22.42,22.44,21.80,22.05,46774400,21.70
2008-03-04,22.15,22.28,22.05,22.24,36042600,21.89
2008-03-03,22.42,22.42,22.12,22.25,32751100,21.90
2008-02-29,22.65,22.67,22.20,22.28,47228300,21.93
2008-02-28,22.75,22.80,22.43,22.55,26693000,22.20
2008-02-27,22.79,22.88,22.60,22.75,26355700,22.39
2008-02-26,22.64,22.92,22.63,22.83,47132200,22.47
2008-02-25,22.50,22.82,22.50,22.78,38616400,22.42
2008-02-22,22.50,22.59,22.16,22.50,32657100,22.15
2008-02-21,22.67,22.67,22.31,22.40,39630100,22.05
2008-02-20,22.33,22.55,22.17,22.47,33700700,22.12
2008-02-19,22.50,22.67,22.33,22.37,34401800,22.02
