Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,41.36,41.73,38.25,41.62,9134900,41.62
2008-07-07,44.78,45.64,40.83,42.51,9116300,42.51
2008-07-03,47.34,49.90,44.10,45.04,4907600,45.04
2008-07-02,49.75,52.69,47.58,47.61,7867700,47.61
2008-07-01,47.33,48.97,47.19,48.53,5992300,48.53
2008-06-30,46.83,47.93,46.40,47.61,6304000,47.61
2008-06-27,45.36,47.19,45.36,46.62,5013300,46.62
2008-06-26,45.67,46.49,44.10,45.36,5929700,45.36
2008-06-25,47.14,47.60,44.40,45.63,7055800,45.63
2008-06-24,47.53,48.42,47.10,47.23,4842400,47.23
2008-06-23,45.82,48.38,45.61,48.17,4953500,48.17
2008-06-20,46.13,46.50,45.10,45.57,6466600,45.57
2008-06-19,47.10,48.00,44.04,44.57,7664700,44.57
2008-06-18,46.94,46.94,45.37,46.22,7948300,46.22
2008-06-17,46.33,47.02,46.11,46.45,6522200,46.45
2008-06-16,47.28,47.52,45.65,46.10,8094200,46.10
2008-06-13,46.80,47.36,45.76,46.63,5496000,46.63
2008-06-12,48.20,48.26,46.59,46.76,6049400,46.76
2008-06-11,47.86,49.03,47.55,48.33,4095300,48.33
2008-06-10,48.87,49.24,46.80,47.74,7187300,47.74
2008-06-09,46.72,48.79,46.00,48.69,5902300,48.69
2008-06-06,46.84,47.49,45.95,45.98,8345300,45.98
2008-06-05,45.82,47.13,45.20,46.04,58487600,46.04
2008-06-04,43.81,45.60,43.58,44.46,4471700,44.46
2008-06-03,45.70,46.10,43.84,44.24,4658600,44.24
2008-06-02,44.29,45.82,44.20,44.79,4048300,44.79
2008-05-30,43.45,44.72,42.92,44.34,4756900,44.34
2008-05-29,44.42,45.06,43.38,43.50,4273800,43.50
2008-05-28,44.63,45.06,43.57,45.06,6792800,45.06
2008-05-27,44.30,44.88,43.50,43.83,3485300,43.83
2008-05-23,45.81,46.47,43.37,45.05,4458500,45.05
2008-05-22,45.91,46.71,44.56,45.49,4296800,45.49
2008-05-21,48.49,50.00,45.56,45.84,5407200,45.84
2008-05-20,46.37,47.97,46.26,47.85,3097800,47.85
2008-05-19,46.51,47.28,45.51,45.87,3247200,45.87
2008-05-16,45.97,46.70,45.28,46.12,3733900,46.12
2008-05-15,45.15,45.81,43.76,45.11,5080500,45.11
2008-05-14,45.16,45.74,44.16,44.37,4094700,44.37
2008-05-13,43.88,44.91,43.12,44.82,3822500,44.82
2008-05-12,44.85,45.05,43.70,43.96,3989000,43.96
2008-05-09,46.30,46.38,44.67,45.40,3329600,45.40
2008-05-08,44.62,45.67,43.76,45.57,4547900,45.57
2008-05-07,45.80,45.95,43.65,44.13,4758000,44.13
