Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,60.50,62.46,60.50,61.77,6953300,61.77
2008-07-07,61.19,62.06,60.22,60.58,7265500,60.58
2008-07-03,60.08,61.09,59.99,61.05,5401400,61.05
2008-07-02,61.02,61.21,59.70,59.70,9032400,59.70
2008-07-01,60.90,61.34,59.55,60.68,14621100,60.68
2008-06-30,61.15,62.15,60.51,61.70,9812800,61.70
2008-06-27,62.73,62.75,61.05,61.15,13526000,61.15
2008-06-26,65.41,65.68,62.65,62.79,14575300,62.79
2008-06-25,67.90,68.28,65.82,66.02,10966100,66.02
2008-06-24,68.70,69.00,67.95,68.16,5778700,68.16
2008-06-23,69.23,69.23,68.43,68.82,4618400,68.82
2008-06-20,68.43,68.94,67.78,68.80,8822500,68.80
2008-06-19,68.17,69.00,66.99,68.82,5261000,68.82
2008-06-18,67.85,68.69,67.85,68.07,5021200,68.07
2008-06-17,69.37,69.37,68.19,68.41,5220900,68.41
2008-06-16,68.35,69.23,67.91,68.88,4931700,68.88
2008-06-13,68.46,69.14,68.07,68.56,5055200,68.56
2008-06-12,67.32,69.00,67.15,67.92,8033700,67.92
2008-06-11,67.05,67.20,66.59,66.65,6100500,66.65
2008-06-10,67.20,67.61,67.02,67.08,5212300,67.08
2008-06-09,67.36,67.74,66.47,67.55,6224000,67.55
2008-06-06,69.43,69.43,66.93,67.01,11831800,67.01
2008-06-05,69.44,70.10,69.07,69.97,5444200,69.97
2008-06-04,69.41,69.71,68.95,69.26,7153700,69.26
2008-06-03,70.97,71.10,69.26,69.76,6935200,69.76
2008-06-02,70.43,71.03,70.01,70.73,4366500,70.73
2008-05-30,70.30,71.23,69.76,71.04,5305600,71.04
2008-05-29,69.96,71.10,69.50,70.23,5738200,70.23
2008-05-28,71.03,71.22,69.73,70.23,4960400,70.23
2008-05-27,69.87,70.84,69.83,70.80,4619400,70.80
2008-05-23,71.26,71.43,69.89,70.01,7029500,70.01
2008-05-22,72.02,72.36,71.55,71.84,3920800,71.84
2008-05-21,73.67,74.02,71.87,72.02,6014100,72.02
2008-05-20,74.10,74.25,73.01,73.40,5023600,73.40
2008-05-19,73.79,75.00,73.76,74.36,3627700,74.36
2008-05-16,74.26,74.56,73.49,73.96,5709700,73.96
