Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,86.12,86.79,84.86,85.94,35905100,85.94
2008-07-07,87.86,88.88,86.38,86.95,29642900,86.95
2008-07-03,87.97,89.53,86.90,88.27,23120900,88.27
2008-07-02,88.50,89.63,87.24,87.41,34278700,87.41
2008-07-01,87.87,88.35,86.75,88.35,26024700,88.35
2008-06-30,86.81,88.20,86.81,88.13,26883800,88.13
2008-06-27,86.84,87.54,86.14,86.55,28283300,86.55
2008-06-26,87.69,88.52,86.37,86.41,26339700,86.41
2008-06-25,87.25,88.50,85.95,87.60,27089300,87.60
2008-06-24,87.53,88.00,86.34,86.92,21586600,86.92
2008-06-23,85.10,87.70,85.09,87.70,23600700,87.70
2008-06-20,86.30,86.43,84.77,84.91,36185700,84.91
2008-06-19,88.04,88.20,85.50,85.79,26604200,85.79
2008-06-18,88.08,88.66,87.20,87.83,23499500,87.83
2008-06-17,87.87,88.99,87.48,88.62,22026600,88.62
2008-06-16,88.49,88.71,87.79,87.99,18504100,87.99
2008-06-13,86.53,88.40,86.32,88.36,21050700,88.36
2008-06-12,87.98,88.43,86.82,87.06,32263700,87.06
2008-06-11,88.80,89.40,87.77,88.61,24085000,88.61
2008-06-10,88.77,88.99,86.82,87.89,27280200,87.89
2008-06-09,87.61,89.13,87.16,89.07,24232600,89.07
2008-06-06,89.79,90.50,86.67,86.79,34325700,86.79
2008-06-05,86.25,89.31,86.12,89.31,30266800,89.31
2008-06-04,85.30,86.73,85.00,85.75,34110600,85.75
2008-06-03,87.68,88.26,85.61,85.71,31487200,85.71
2008-06-02,88.09,88.71,87.42,87.81,25959100,87.81
2008-05-30,89.58,89.86,88.42,88.76,27125400,88.76
2008-05-29,89.87,90.53,89.25,89.35,24675700,89.35
2008-05-28,89.13,90.58,88.88,90.43,22323600,90.43
2008-05-27,90.04,90.14,89.03,89.80,25885900,89.80
2008-05-23,92.64,92.96,90.66,90.70,25348600,90.70
2008-05-22,93.76,94.29,92.41,92.51,32042100,92.51
2008-05-21,94.63,96.12,93.46,93.67,43221500,93.67
2008-05-20,94.47,94.88,93.93,94.56,26901800,94.56
2008-05-19,92.91,94.59,92.78,94.36,25203000,94.36
2008-05-16,91.85,92.95,91.61,92.67,29819700,92.67
2008-05-15,90.33,91.30,89.96,91.30,28392900,91.30
