Date,Open,High,Low,Close,Volume,Adj. Close*
18-Aug-06,11333.76,11437.66,11273.49,11381.47,2033910016,11381.47
17-Aug-06,11321.19,11372.34,11298.54,11334.96,2458340096,11334.96
16-Aug-06,11224.91,11373.78,11207.85,11327.12,2554569984,11327.12
15-Aug-06,11098.03,11271.25,11098.03,11230.26,2334099968,11230.26
14-Aug-06,11089.07,11242.83,11049.68,11097.87,2118019968,11097.87
11-Aug-06,11103.55,11121.40,11042.88,11088.02,2004540032,11088.02
10-Aug-06,11073.14,11176.47,10998.06,11124.37,2402190080,11124.37
9-Aug-06,11168.47,11296.22,11044.64,11076.18,2555180032,11076.18
8-Aug-06,11218.18,11319.51,11117.80,11173.59,2457840128,11173.59
7-Aug-06,11239.47,11294.14,11143.02,11219.38,2045660032,11219.38
4-Aug-06,11244.59,11367.94,11165.11,11240.35,2530970112,11240.35
3-Aug-06,11195.28,11304.78,11101.55,11242.59,2728440064,11242.59
2-Aug-06,11167.91,11228.98,11124.52,11199.92,3780000,11199.92
1-Aug-06,11184.80,11210.65,11035.92,11125.73,2527689984,11125.73
31-Jul-06,11218.90,11265.80,11115.24,11185.68,2461299968,11185.68
28-Jul-06,11102.11,11282.05,11102.11,11219.70,2480420096,11219.70
27-Jul-06,11104.19,11245.47,11040.80,11100.43,2776709888,11100.43
26-Jul-06,11102.91,11208.09,10987.41,11102.51,2667709952,11102.51
25-Jul-06,11037.59,11133.73,11000.05,11103.71,2563930112,11103.71
24-Jul-06,10868.70,11096.35,10868.70,11051.04,2312719872,11051.04
21-Jul-06,10937.94,10995.73,10778.58,10868.38,2704090112,10868.38
20-Jul-06,11007.26,11098.75,10884.47,10928.10,2345580032,10928.10
19-Jul-06,10854.22,11038.16,10796.74,11011.42,2701979904,11011.42
18-Jul-06,10745.84,10867.02,10658.35,10799.23,2481750016,10799.23
17-Jul-06,10739.35,10858.22,10668.35,10747.36,2146409984,10747.36
14-Jul-06,10846.53,10892.64,10664.43,10739.35,2467120128,10739.35
13-Jul-06,11012.62,11015.19,10790.82,10846.29,2545760000,10846.29
12-Jul-06,11133.97,11181.12,10973.37,11013.18,2250449920,11013.18
11-Jul-06,11102.59,11186.32,10987.33,11134.77,2310850048,11134.77
10-Jul-06,11130.53,11174.47,11090.10,11103.55,1854589952,11103.55
7-Jul-06,11224.18,11227.62,11040.32,11090.67,1988150016,11090.67
6-Jul-06,11147.12,11301.58,11117.16,11225.30,2009159936,11225.30
5-Jul-06,11225.06,11239.47,11083.94,11151.82,2165070080,11151.82
3-Jul-06,11149.34,11277.09,11146.06,11228.02,1114470016,11228.02
30-Jun-06,11190.80,11288.86,11100.11,11150.22,3049560064,11150.22
29-Jun-06,10974.36,11225.06,10974.36,11190.80,2621250048,11190.80
28-Jun-06,10925.30,11026.07,10869.02,10973.56,2085490048,10973.56
27-Jun-06,11048.24,11064.09,10920.73,10924.74,2203130112,10924.74
26-Jun-06,10990.29,11089.07,10937.06,11045.28,1878579968,11045.28
23-Jun-06,11019.19,11098.67,10932.82,10989.09,2017270016,10989.09
22-Jun-06,11077.78,11127.73,10954.83,11019.11,2148179968,11019.11
21-Jun-06,10975.24,11165.91,10952.43,11079.46,2361230080,11079.46
20-Jun-06,10942.03,11066.73,10895.28,10974.84,2232950016,10974.84
19-Jun-06,11014.87,11098.99,10886.63,10942.11,2517199872,10942.11
16-Jun-06,11009.10,11045.04,10984.29,11014.54,5900000,11014.54
15-Jun-06,10817.48,11049.85,10788.34,11015.19,2775480064,11015.19
14-Jun-06,10713.10,10816.99,10699.25,10816.91,5040000,10816.91
13-Jun-06,10783.14,10893.04,10653.23,10706.14,3215770112,10706.14
12-Jun-06,10892.00,10969.32,10767.61,10792.58,2247010048,10792.58
9-Jun-06,10939.14,11015.67,10842.89,10891.92,2214000128,10891.92
8-Jun-06,10929.70,11032.15,10726.15,10938.82,3543790080,10938.82
7-Jun-06,11002.06,11107.48,10897.76,10930.90,2644169984,10930.90
6-Jun-06,11048.24,11140.45,10890.24,11002.14,2697649920,11002.14
5-Jun-06,11247.55,11259.96,11025.75,11048.72,2313469952,11048.72
2-Jun-06,11260.52,11329.28,11158.06,11247.87,2295539968,11247.87
1-Jun-06,11169.03,11290.86,11115.40,11260.28,2360160000,11260.28
31-May-06,11091.15,11225.78,11050.40,11168.31,2692160000,11168.31
30-May-06,11277.25,11277.25,11071.70,11094.43,2176189952,11094.43
26-May-06,11211.69,11329.36,11177.43,11278.61,1814019968,11278.61
25-May-06,11114.96,11258.12,11089.55,11211.05,2372730112,11211.05
24-May-06,11100.11,11241.15,10980.29,11117.32,2999030016,11117.32
23-May-06,11126.29,11254.68,11068.49,11098.35,2605250048,11098.35
22-May-06,11092.90,11175.03,11040.16,11125.32,2773009920,11125.32
19-May-06,11124.37,11254.60,11009.98,11144.06,2982299904,11144.06
18-May-06,11206.17,11301.26,11096.35,11128.29,2537489920,11128.29
17-May-06,11410.13,11412.28,11139.17,11205.61,2830200064,11205.61
16-May-06,11428.21,11520.42,11334.64,11419.89,2386210048,11419.89
15-May-06,11380.43,11485.61,11273.65,11428.77,2505659904,11428.77
12-May-06,11500.01,11551.40,11336.96,11380.99,2567970048,11380.99
11-May-06,11639.29,11660.58,11449.74,11500.73,2531520000,11500.73
10-May-06,11630.48,11709.09,11545.64,11642.65,2268549888,11642.65
9-May-06,11584.62,11684.28,11535.71,11639.77,2157289984,11639.77
8-May-06,11576.37,11665.14,11504.09,11584.54,2151300096,11584.54
5-May-06,11440.62,11616.16,11440.62,11577.74,2294759936,11577.74
4-May-06,11401.80,11512.18,11366.82,11438.86,2431450112,11438.86
3-May-06,11414.69,11472.96,11308.55,11400.28,2395229952,11400.28
2-May-06,11372.74,11427.43,11343.28,11416.44,2403470080,11416.44
1-May-06,11367.78,11476.96,11304.30,11343.29,2437040128,11343.29
28-Apr-06,11358.33,11462.95,11278.13,11367.14,2419919872,11367.14
27-Apr-06,11349.53,11465.75,11220.74,11382.51,2772009984,11382.51
26-Apr-06,11283.25,11428.77,11256.12,11354.49,2502690048,11354.49
25-Apr-06,11336.56,11401.32,11213.05,11283.25,2366380032,11283.25
24-Apr-06,11346.81,11420.05,11246.35,11336.32,2117330048,11336.32
21-Apr-06,11343.45,11468.16,11272.61,11347.45,2392630016,11347.45
20-Apr-06,11278.53,11429.25,11221.30,11342.89,2512920064,11342.89
19-Apr-06,11265.40,11379.79,11181.84,11278.77,2447310080,11278.77
18-Apr-06,11074.58,11302.30,11064.01,11268.77,2595440128,11268.77
17-Apr-06,11137.33,11203.13,11017.43,11073.78,1794649984,11073.78
13-Apr-06,11130.13,11210.73,11053.29,11137.65,1891939968,11137.65
12-Apr-06,11089.47,11194.00,11052.17,11129.97,1938099968,11129.97
11-Apr-06,11141.33,11220.98,11017.99,11089.63,2232880128,11089.63
10-Apr-06,11119.88,11211.37,11083.06,11141.33,1898320000,11141.33
7-Apr-06,11228.10,11268.92,11108.75,11120.04,2082470016,11120.04
6-Apr-06,11233.01,11294.30,11137.57,11216.50,2281679872,11216.50
5-Apr-06,11203.21,11290.30,11141.82,11239.55,2420019968,11239.55
4-Apr-06,11142.54,11269.17,11094.03,11203.85,2147660032,11203.85
3-Apr-06,11113.00,11287.02,11101.07,11144.94,2494080000,11144.94
31-Mar-06,11151.34,11229.47,11069.78,11109.32,2236709888,11109.32
30-Mar-06,11195.36,11259.08,11118.12,11150.70,2294560000,11150.70
29-Mar-06,11154.94,11283.97,11117.48,11215.70,2143539968,11215.70
28-Mar-06,11250.11,11312.31,11132.05,11154.54,2148580096,11154.54
27-Mar-06,11280.13,11314.96,11194.07,11250.11,2029699968,11250.11
24-Mar-06,11270.61,11353.21,11197.21,11279.97,2326070016,11279.97
23-Mar-06,11317.35,11363.46,11207.85,11270.29,1980940032,11270.29
22-Mar-06,11234.51,11358.01,11200.22,11317.43,2039810048,11317.43
21-Mar-06,11275.89,11364.34,11188.56,11235.47,2147369984,11235.47
20-Mar-06,11278.93,11350.73,11208.33,11274.53,1976829952,11274.53
17-Mar-06,11294.94,11294.94,11253.23,11279.65,2549619968,11279.65
16-Mar-06,11210.97,11324.80,11176.07,11253.24,2292179968,11253.24
15-Mar-06,11149.76,11258.28,11097.23,11209.77,2292999936,11209.77
14-Mar-06,11076.02,11190.96,11030.23,11151.34,2165270016,11151.34
13-Mar-06,11067.61,11157.82,11019.75,11076.02,2070329984,11076.02
10-Mar-06,10972.92,11125.41,10948.43,11076.34,2123449984,11076.34
9-Mar-06,11005.66,11093.39,10923.86,10972.28,2140109952,10972.28
8-Mar-06,10977.08,11065.61,10885.99,11005.74,2442870016,11005.74
7-Mar-06,10957.31,11032.31,10885.35,10980.69,2268049920,10980.69
6-Mar-06,11022.47,11084.66,10899.76,10958.59,2280189952,10958.59
3-Mar-06,11024.23,11125.01,10942.99,11021.59,2152950016,11021.59
2-Mar-06,11052.57,11090.91,10951.71,11025.51,2494589952,11025.51
1-Mar-06,10993.25,11115.80,10960.60,11053.53,2308320000,11053.53
28-Feb-06,11096.75,11115.24,10947.07,10993.41,2370860032,10993.41
27-Feb-06,11062.81,11180.48,11038.72,11097.55,1975320064,11097.55
