Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,1966.06,1972.52,1943.89,1971.55,17161600,1971.55
10-May-05,1968.08,1971.25,1957.29,1962.77,15955200,1962.77
9-May-05,1967.74,1979.67,1960.27,1979.67,14410100,1979.67
6-May-05,1972.66,1973.50,1960.76,1967.35,15111200,1967.35
5-May-05,1960.38,1969.29,1951.49,1961.80,17198800,1961.80
4-May-05,1937.79,1963.26,1935.24,1962.23,18778200,1962.23
3-May-05,1924.78,1944.53,1924.78,1933.07,18681400,1933.07
2-May-05,1923.23,1933.42,1916.03,1928.65,15477500,1928.65
29-Apr-05,1917.64,1921.77,1889.83,1921.65,20395500,1921.65
28-Apr-05,1922.03,1927.31,1904.08,1904.18,18613400,1904.18
27-Apr-05,1919.42,1937.15,1913.14,1930.43,17642100,1930.43
26-Apr-05,1943.75,1958.58,1927.44,1927.44,16700400,1927.44
25-Apr-05,1942.02,1954.87,1938.45,1950.78,14424200,1950.78
22-Apr-05,1953.58,1953.77,1921.38,1932.19,18027300,1932.19
21-Apr-05,1931.85,1962.41,1928.52,1962.41,19514900,1962.41
20-Apr-05,1944.64,1945.60,1912.35,1913.76,20049500,1913.76
19-Apr-05,1922.82,1933.21,1918.15,1932.36,17928300,1932.36
18-Apr-05,1906.43,1921.69,1904.27,1912.92,18403600,1912.92
15-Apr-05,1932.96,1940.15,1906.71,1908.15,23146200,1908.15
14-Apr-05,1974.18,1975.42,1946.58,1946.71,19300600,1946.71
13-Apr-05,2000.46,2001.30,1972.10,1974.37,17054500,1974.37
12-Apr-05,1988.33,2007.24,1970.01,2005.40,19318700,2005.40
11-Apr-05,2004.16,2006.24,1991.21,1992.12,13824900,1992.12
8-Apr-05,2018.42,2021.82,1999.33,1999.35,15163400,1999.35
7-Apr-05,1999.61,2018.79,1998.14,2018.79,17142700,2018.79
6-Apr-05,2004.25,2017.08,1996.91,1999.14,17464000,1999.14
5-Apr-05,1994.38,2002.35,1991.88,1999.32,16475100,1999.32
4-Apr-05,1983.81,1995.80,1972.07,1991.07,15893100,1991.07
1-Apr-05,2009.09,2014.73,1982.19,1984.81,18696900,1984.81
31-Mar-05,2005.71,2006.62,1994.80,1999.23,16869700,1999.23
30-Mar-05,1980.07,2005.67,1980.07,2005.67,17536100,2005.67
29-Mar-05,1990.27,2002.65,1968.58,1973.88,17978400,1973.88
28-Mar-05,1998.76,2005.49,1992.52,1992.52,14876200,1992.52
24-Mar-05,1997.48,2008.63,1991.06,1991.06,16979300,1991.06
23-Mar-05,1985.49,1999.43,1985.22,1990.22,17411500,1990.22
22-Mar-05,2007.72,2017.66,1988.86,1989.34,18059500,1989.34
21-Mar-05,2008.16,2011.39,1993.76,2007.51,16110000,2007.51
18-Mar-05,2018.41,2020.40,1999.98,2007.79,21069800,2007.79
17-Mar-05,2016.91,2023.67,2010.52,2016.42,17451200,2016.42
16-Mar-05,2028.29,2037.96,2011.67,2015.75,19696900,2015.75
15-Mar-05,2057.17,2059.07,2034.41,2034.98,18387900,2034.98
14-Mar-05,2043.64,2051.04,2037.41,2051.04,17077200,2051.04
11-Mar-05,2063.56,2069.40,2036.41,2041.60,17920900,2041.60
10-Mar-05,2065.09,2067.21,2042.02,2059.72,18257900,2059.72
9-Mar-05,2070.85,2079.37,2060.23,2061.29,18955200,2061.29
8-Mar-05,2087.11,2095.74,2072.59,2073.55,16967000,2073.55
7-Mar-05,2073.90,2100.57,2073.82,2090.21,19491900,2090.21
4-Mar-05,2071.15,2078.14,2064.93,2070.61,18291900,2070.61
3-Mar-05,2073.33,2074.71,2047.92,2058.40,18958800,2058.40
