Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,3.58,3.60,3.44,3.49,367700,3.49
10-May-05,3.72,3.77,3.52,3.55,495500,3.55
9-May-05,3.88,3.98,3.70,3.74,1047400,3.74
6-May-05,3.71,3.83,3.58,3.80,2248900,3.80
5-May-05,3.15,3.40,3.12,3.38,717400,3.38
4-May-05,3.26,3.29,3.10,3.21,774000,3.21
3-May-05,3.47,3.47,3.15,3.28,908000,3.28
2-May-05,3.57,3.64,3.37,3.48,572100,3.48
29-Apr-05,3.69,3.78,3.50,3.60,666500,3.60
28-Apr-05,3.70,3.85,3.53,3.67,1111800,3.67
27-Apr-05,3.58,3.80,3.50,3.69,1680100,3.69
26-Apr-05,3.61,3.63,3.45,3.56,723600,3.56
25-Apr-05,3.49,3.65,3.43,3.56,1307100,3.56
22-Apr-05,3.50,3.50,3.27,3.42,947800,3.42
21-Apr-05,3.57,3.60,3.10,3.34,2120900,3.34
20-Apr-05,3.28,3.60,3.20,3.33,3544100,3.33
19-Apr-05,2.60,3.10,2.60,3.02,2136900,3.02
18-Apr-05,2.67,2.70,2.55,2.59,1289600,2.59
15-Apr-05,2.80,2.90,2.64,2.67,1376000,2.67
14-Apr-05,3.01,3.08,2.82,2.89,1370400,2.89
13-Apr-05,3.23,3.27,2.98,3.03,1145900,3.03
12-Apr-05,3.25,3.28,3.09,3.22,980400,3.22
11-Apr-05,3.32,3.48,3.25,3.28,592600,3.28
8-Apr-05,3.40,3.43,3.32,3.34,432900,3.34
7-Apr-05,3.46,3.54,3.37,3.41,617600,3.41
6-Apr-05,3.35,3.60,3.35,3.48,1395100,3.48
5-Apr-05,3.35,3.58,3.30,3.38,884200,3.38
4-Apr-05,3.44,3.59,3.22,3.40,740600,3.40
1-Apr-05,3.46,3.62,3.26,3.45,1147000,3.45
31-Mar-05,3.60,3.68,3.41,3.46,819800,3.46
30-Mar-05,3.60,3.64,3.50,3.52,758100,3.52
29-Mar-05,3.46,3.74,3.42,3.59,1890900,3.59
28-Mar-05,3.85,3.85,3.48,3.49,1843400,3.49
24-Mar-05,4.00,4.04,3.80,3.80,1353400,3.80
23-Mar-05,4.05,4.15,4.00,4.00,740000,4.00
22-Mar-05,4.05,4.35,4.04,4.04,993100,4.04
21-Mar-05,4.33,4.33,4.05,4.05,600200,4.05
18-Mar-05,4.07,4.30,3.99,4.30,1260600,4.30
17-Mar-05,4.15,4.23,4.05,4.05,740600,4.05
16-Mar-05,4.27,4.35,4.07,4.18,1380400,4.18
15-Mar-05,4.40,4.45,4.25,4.26,507200,4.26
14-Mar-05,4.26,4.47,4.20,4.38,854600,4.38
11-Mar-05,4.42,4.50,4.20,4.28,893100,4.28
10-Mar-05,4.61,4.66,4.43,4.45,672100,4.45
9-Mar-05,4.85,4.88,4.50,4.59,972700,4.59
8-Mar-05,4.95,4.95,4.75,4.80,1310500,4.80
7-Mar-05,4.55,4.73,4.55,4.61,772400,4.61
4-Mar-05,4.73,4.89,4.55,4.55,846000,4.55
3-Mar-05,4.98,5.04,4.70,4.75,1249300,4.75
2-Mar-05,4.65,4.71,4.55,4.61,512900,4.61
1-Mar-05,4.60,4.72,4.50,4.69,879200,4.69
28-Feb-05,4.52,4.65,4.45,4.50,516200,4.50
25-Feb-05,4.49,4.65,4.42,4.55,706100,4.55
24-Feb-05,4.60,4.65,4.30,4.51,1645400,4.51
23-Feb-05,4.91,5.01,4.62,4.62,1216400,4.62
22-Feb-05,4.90,5.05,4.81,4.91,827400,4.91
18-Feb-05,5.00,5.07,4.75,4.87,1045000,4.87
17-Feb-05,5.11,5.14,4.96,5.00,683200,5.00
16-Feb-05,5.25,5.29,5.07,5.13,664900,5.13
15-Feb-05,5.36,5.47,5.00,5.30,898400,5.30
14-Feb-05,5.29,5.35,5.20,5.31,1063400,5.31
11-Feb-05,5.14,5.28,4.95,5.10,1219000,5.10
10-Feb-05,5.17,5.23,4.91,5.09,1885500,5.09
9-Feb-05,5.68,5.72,5.13,5.17,2261000,5.17
8-Feb-05,6.01,6.11,5.42,5.55,4847600,5.55
7-Feb-05,5.58,5.80,5.55,5.80,3718800,5.80
4-Feb-05,4.84,5.30,4.80,5.30,3423500,5.30
3-Feb-05,4.45,4.68,4.41,4.62,1101200,4.62
2-Feb-05,4.77,4.79,4.44,4.61,1592600,4.61
1-Feb-05,4.80,4.84,4.66,4.71,1029800,4.71
31-Jan-05,4.81,4.88,4.50,4.77,2020800,4.77
28-Jan-05,4.79,4.88,4.41,4.66,1733700,4.66
27-Jan-05,4.68,4.84,4.57,4.73,2339300,4.73
26-Jan-05,4.25,4.73,4.23,4.52,3626100,4.52
25-Jan-05,4.03,4.35,4.03,4.15,3137400,4.15
24-Jan-05,4.79,4.79,3.92,4.05,4958400,4.05
21-Jan-05,4.94,5.09,4.57,4.63,3243100,4.63
20-Jan-05,5.30,5.34,4.86,4.97,2018400,4.97
19-Jan-05,5.25,5.45,5.15,5.31,1765200,5.31
18-Jan-05,5.31,5.50,5.19,5.25,2304100,5.25
14-Jan-05,5.79,5.86,5.21,5.24,3678000,5.24
13-Jan-05,5.98,6.02,5.71,5.80,924200,5.80
12-Jan-05,6.05,6.06,5.75,5.93,1305000,5.93
11-Jan-05,6.02,6.19,5.65,5.91,3638000,5.91
10-Jan-05,6.42,6.42,6.00,6.02,1589800,6.02
7-Jan-05,6.33,6.46,5.95,6.15,2508000,6.15
6-Jan-05,6.65,6.79,6.24,6.31,2041000,6.31
5-Jan-05,7.05,7.22,6.23,6.60,3078800,6.60
4-Jan-05,7.13,7.22,6.91,7.15,2573000,7.15
3-Jan-05,7.16,7.24,6.85,6.93,3113500,6.93
31-Dec-04,6.80,6.90,6.71,6.75,1066400,6.75
30-Dec-04,7.10,7.15,6.73,6.90,2700700,6.90
29-Dec-04,6.55,7.04,6.41,6.95,3977900,6.95
28-Dec-04,6.50,6.60,6.31,6.52,1465300,6.52
27-Dec-04,6.49,6.63,6.38,6.46,1526400,6.46
23-Dec-04,6.45,6.58,6.22,6.37,1464400,6.37
22-Dec-04,6.51,6.73,6.42,6.45,3436800,6.45
21-Dec-04,6.10,6.64,5.98,6.40,4982700,6.40
20-Dec-04,6.20,6.25,5.90,6.02,1506300,6.02
17-Dec-04,6.11,6.31,6.01,6.09,1457100,6.09
16-Dec-04,6.45,6.73,6.06,6.14,4742200,6.14
15-Dec-04,5.89,6.48,5.53,6.35,9822100,6.35
14-Dec-04,5.87,6.15,5.85,5.98,3270600,5.98
13-Dec-04,6.07,6.25,5.67,5.85,7745800,5.85
10-Dec-04,6.75,7.04,5.95,6.13,7542000,6.13
9-Dec-04,6.78,7.29,6.76,6.87,4517200,6.87
8-Dec-04,7.16,7.90,6.52,6.88,12007100,6.88
7-Dec-04,7.72,8.55,6.82,7.41,24088600,7.41
6-Dec-04,6.10,7.23,5.91,7.16,13768500,7.16
3-Dec-04,5.26,5.94,5.26,5.85,8837000,5.85
2-Dec-04,5.46,5.54,5.26,5.30,3215600,5.30
1-Dec-04,5.39,5.40,5.18,5.25,1908400,5.25
30-Nov-04,5.50,5.54,5.33,5.33,2291800,5.33
29-Nov-04,5.45,5.63,5.35,5.38,3807200,5.38
26-Nov-04,5.22,5.53,5.05,5.44,2690100,5.44
24-Nov-04,5.09,5.22,4.90,5.10,3233500,5.10
