Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,53.27,53.37,52.53,53.21,6385300,53.21
10-May-05,54.45,54.45,53.02,53.27,8279300,53.27
9-May-05,54.13,54.65,53.55,54.58,7946500,54.58
6-May-05,54.05,54.34,53.80,54.14,6911500,54.14
5-May-05,54.47,54.50,53.59,53.92,6337200,53.92
4-May-05,53.60,54.44,53.38,54.37,10598900,54.37
3-May-05,53.45,53.73,52.74,53.30,14015900,53.30
2-May-05,53.90,54.50,52.93,53.44,27085100,53.44
29-Apr-05,51.15,51.56,50.00,50.85,18732400,50.85
28-Apr-05,51.85,51.86,51.10,51.14,10428200,51.14
27-Apr-05,50.90,52.15,50.60,51.85,12601900,51.85
26-Apr-05,51.35,52.25,50.76,51.07,15299900,51.07
25-Apr-05,50.25,52.02,49.91,51.76,16570900,51.76
22-Apr-05,51.90,52.02,50.06,50.35,19227100,50.35
21-Apr-05,51.50,51.99,51.09,51.90,8626000,51.90
20-Apr-05,51.58,51.75,50.99,51.01,9936500,51.01
19-Apr-05,51.15,51.95,50.34,51.58,12939200,51.58
18-Apr-05,51.45,51.85,51.05,51.26,10442800,51.26
15-Apr-05,51.40,52.62,51.05,51.11,13588200,51.11
14-Apr-05,51.61,51.91,51.29,51.39,11656200,51.39
13-Apr-05,53.40,53.65,51.61,51.61,16812400,51.61
12-Apr-05,52.40,53.70,52.40,53.20,19975900,53.20
11-Apr-05,51.90,52.75,51.35,52.10,15524300,52.10
8-Apr-05,52.80,53.05,51.60,51.91,20851200,51.91
7-Apr-05,53.55,53.75,52.75,52.76,14635200,52.76
6-Apr-05,53.00,53.66,51.91,52.99,13217900,52.99
5-Apr-05,54.10,54.90,52.70,53.00,24345200,53.00
4-Apr-05,52.25,54.75,50.15,53.30,67428800,53.30
1-Apr-05,55.00,55.80,50.16,50.95,70367104,50.95
31-Mar-05,56.50,56.75,55.20,55.41,26172900,55.41
30-Mar-05,57.50,57.75,56.60,57.16,25261300,57.16
29-Mar-05,57.50,59.64,57.11,58.20,30027600,58.20
28-Mar-05,54.50,57.37,54.18,57.02,27136900,57.02
24-Mar-05,56.90,57.01,55.40,55.61,21103800,55.61
23-Mar-05,55.90,57.15,55.88,56.70,22665600,56.70
22-Mar-05,56.00,57.49,55.91,56.20,29265900,56.20
21-Mar-05,58.60,58.90,57.78,57.90,21482300,57.90
18-Mar-05,60.80,60.81,58.54,59.76,32427800,59.76
17-Mar-05,62.91,62.95,60.73,60.80,14839300,60.80
16-Mar-05,61.40,63.41,61.02,62.90,17098600,62.90
15-Mar-05,63.50,63.51,61.40,61.92,27178400,61.92
14-Mar-05,63.55,64.39,63.15,63.85,23256300,63.85
11-Mar-05,65.50,65.58,64.61,64.71,8492900,64.71
10-Mar-05,65.80,66.44,65.61,66.12,6004000,66.12
9-Mar-05,66.74,67.24,65.35,65.60,7521200,65.60
8-Mar-05,65.75,67.21,65.71,66.74,9160100,66.74
7-Mar-05,65.55,67.15,65.30,65.82,7578500,65.82
4-Mar-05,64.96,65.32,64.35,65.10,10648100,65.10
3-Mar-05,65.75,65.75,64.60,64.96,11193800,64.96
2-Mar-05,66.35,66.35,64.90,65.06,14523900,65.06
1-Mar-05,66.85,67.51,66.55,66.55,8255500,66.43
28-Feb-05,68.15,68.15,66.30,66.80,12384600,66.67
25-Feb-05,68.50,68.50,67.80,68.35,7311800,68.22
24-Feb-05,68.55,68.76,68.00,68.19,6222900,68.06
23-Feb-05,68.23,69.03,68.23,68.65,5242500,68.52
22-Feb-05,68.00,68.60,67.84,67.90,7720800,67.77
18-Feb-05,69.50,69.62,68.50,68.93,7891700,68.80
17-Feb-05,70.40,70.58,69.59,69.68,6959600,69.55
16-Feb-05,71.15,71.40,69.90,70.60,7170700,70.47
15-Feb-05,71.00,72.05,70.61,71.85,7837500,71.72
14-Feb-05,72.00,72.50,70.34,71.49,14415200,71.36
11-Feb-05,72.40,73.46,72.20,73.12,9691400,72.98
10-Feb-05,69.55,72.94,69.39,72.59,16985500,72.45
9-Feb-05,68.50,69.40,68.44,69.31,9880500,69.18
8-Feb-05,67.55,68.01,67.51,67.73,5364300,67.60
7-Feb-05,67.40,67.82,67.25,67.70,4025600,67.57
4-Feb-05,66.28,67.65,66.24,67.52,6177100,67.39
3-Feb-05,66.55,66.60,65.86,66.28,4817900,66.16
2-Feb-05,66.95,67.18,66.47,66.85,4792500,66.72
1-Feb-05,66.25,66.99,66.03,66.74,5151300,66.61
31-Jan-05,66.35,66.92,66.04,66.29,5069000,66.17
28-Jan-05,66.15,66.22,65.54,65.86,4823500,65.74
27-Jan-05,66.80,67.05,66.08,66.40,4679500,66.28
26-Jan-05,67.30,67.55,66.97,67.05,4337800,66.92
25-Jan-05,66.55,67.21,66.39,67.00,5442900,66.87
24-Jan-05,66.20,66.92,66.08,66.38,4742300,66.26
21-Jan-05,66.51,66.91,66.04,66.12,5983500,66.00
20-Jan-05,67.01,67.21,65.85,66.55,6573300,66.43
19-Jan-05,67.70,67.70,66.93,67.01,4713700,66.88
18-Jan-05,66.14,67.70,65.70,67.70,6074100,67.57
14-Jan-05,66.20,66.60,66.00,66.14,4703500,66.02
13-Jan-05,66.65,66.85,65.82,66.00,5833000,65.88
12-Jan-05,67.00,67.24,66.10,66.78,6169300,66.65
11-Jan-05,67.55,67.74,66.83,67.15,6521400,67.02
10-Jan-05,67.52,67.89,67.30,67.70,5066900,67.57
7-Jan-05,67.55,67.88,67.26,67.58,6221400,67.45
6-Jan-05,67.00,67.94,66.90,67.46,8175300,67.33
