Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,15.81,15.84,15.57,15.75,19724300,15.75
10-May-05,15.57,15.88,15.51,15.81,26296200,15.81
9-May-05,15.62,15.71,15.49,15.68,15625200,15.68
6-May-05,15.56,15.66,15.33,15.63,20756100,15.63
5-May-05,15.37,15.60,15.21,15.47,30676900,15.47
4-May-05,15.12,15.44,15.11,15.41,21209200,15.41
3-May-05,15.03,15.30,15.03,15.09,22235000,15.09
2-May-05,14.96,15.16,14.90,15.08,19872300,15.08
29-Apr-05,14.93,14.98,14.47,14.87,29748800,14.87
28-Apr-05,14.80,15.14,14.78,14.88,25479400,14.88
27-Apr-05,14.86,15.12,14.75,14.93,21569100,14.93
26-Apr-05,14.91,15.35,14.88,15.00,23331300,15.00
25-Apr-05,15.05,15.15,14.88,14.99,20155200,14.99
22-Apr-05,15.09,15.15,14.79,14.96,22672200,14.96
21-Apr-05,15.02,15.20,14.83,15.13,30646400,15.13
20-Apr-05,15.37,15.53,14.73,14.76,40096900,14.76
19-Apr-05,15.05,15.07,14.71,15.00,40266500,15.00
18-Apr-05,14.73,15.02,14.61,14.86,34288400,14.86
15-Apr-05,15.09,15.18,14.33,14.50,71497800,14.50
14-Apr-05,15.55,15.63,15.23,15.26,33039300,15.26
13-Apr-05,15.83,15.85,15.43,15.45,41455100,15.45
12-Apr-05,15.98,16.04,15.62,15.92,32627100,15.92
11-Apr-05,16.10,16.15,15.98,16.00,11908800,16.00
8-Apr-05,16.18,16.24,16.04,16.07,14771000,16.07
7-Apr-05,16.01,16.19,15.99,16.15,18636300,16.15
6-Apr-05,16.18,16.29,15.98,16.00,20568300,16.00
5-Apr-05,16.13,16.18,15.95,16.02,25859900,16.02
4-Apr-05,16.00,16.18,15.94,16.05,23996200,16.05
1-Apr-05,16.45,16.47,15.95,16.01,28137200,16.01
31-Mar-05,16.66,16.66,16.22,16.25,26441900,16.25
30-Mar-05,16.38,16.69,16.35,16.64,31744600,16.64
29-Mar-05,16.40,16.53,16.25,16.31,24854100,16.31
28-Mar-05,16.69,16.80,16.43,16.45,21176300,16.45
24-Mar-05,16.35,16.71,16.26,16.63,41920100,16.63
23-Mar-05,15.81,16.40,15.81,16.21,36822700,16.21
22-Mar-05,16.10,16.19,15.81,15.81,24814600,15.81
21-Mar-05,16.04,16.17,15.83,16.01,22335200,16.01
18-Mar-05,16.14,16.23,15.97,15.99,21614000,15.99
17-Mar-05,16.06,16.25,16.00,16.17,19901100,16.17
16-Mar-05,16.09,16.37,15.98,16.03,25912000,16.03
15-Mar-05,16.57,16.57,16.13,16.20,25923200,16.20
14-Mar-05,16.48,16.56,16.31,16.53,19279500,16.53
11-Mar-05,16.88,16.92,16.40,16.40,34511600,16.40
10-Mar-05,16.70,16.85,16.50,16.83,23667800,16.83
9-Mar-05,16.80,16.95,16.61,16.66,27958700,16.66
8-Mar-05,17.06,17.19,16.77,16.82,36888400,16.82
7-Mar-05,16.87,17.29,16.83,17.15,30988200,17.15
4-Mar-05,17.23,17.26,16.79,16.88,35932600,16.88
3-Mar-05,17.28,17.29,16.79,17.10,45159400,17.10
2-Mar-05,17.34,17.51,17.09,17.22,33562900,17.22
1-Mar-05,17.64,17.81,17.42,17.67,31746200,17.67
28-Feb-05,17.88,18.14,17.35,17.45,34809400,17.45
25-Feb-05,17.51,17.98,17.50,17.92,31153600,17.92
24-Feb-05,17.25,17.59,17.12,17.58,37928000,17.58
