Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,61.03,61.50,60.37,61.42,12186500,61.42
10-May-05,59.90,61.77,59.80,61.03,12175100,61.03
9-May-05,58.75,60.35,58.71,60.33,11836800,60.33
6-May-05,59.09,59.21,58.32,58.59,5721400,58.59
5-May-05,58.73,58.97,58.30,58.83,4798800,58.83
4-May-05,58.68,59.00,58.38,58.96,5814800,58.96
3-May-05,58.65,58.89,57.94,58.15,9011000,58.15
2-May-05,58.04,58.90,57.95,58.74,5528300,58.74
29-Apr-05,57.90,58.55,57.12,58.21,9846500,58.21
28-Apr-05,57.47,57.94,57.30,57.35,6297600,57.35
27-Apr-05,57.09,58.09,57.01,57.91,6961000,57.91
26-Apr-05,58.09,58.25,57.17,57.20,8709300,57.20
25-Apr-05,59.28,59.33,57.40,58.03,9768700,58.03
22-Apr-05,58.67,59.97,58.35,58.89,13379500,58.89
21-Apr-05,58.52,59.61,58.27,59.25,10848500,59.25
20-Apr-05,58.35,58.41,57.51,58.13,8894600,58.13
19-Apr-05,58.95,59.20,58.33,58.58,6736700,58.58
18-Apr-05,59.78,60.30,58.38,59.03,7668100,59.03
15-Apr-05,59.43,60.31,59.34,59.95,11455000,59.95
14-Apr-05,60.51,60.96,59.63,59.67,8252800,59.67
13-Apr-05,60.10,60.70,59.75,60.47,6518100,60.47
12-Apr-05,59.09,60.75,58.75,60.58,9157800,60.58
11-Apr-05,58.56,59.90,58.56,59.33,6343600,59.33
8-Apr-05,58.85,59.16,58.51,58.68,4758700,58.68
7-Apr-05,58.14,58.90,57.59,58.75,5958800,58.75
6-Apr-05,57.85,58.97,57.81,58.05,6581100,58.05
5-Apr-05,57.20,58.05,57.15,57.86,5491600,57.86
4-Apr-05,57.14,58.01,56.19,57.33,7612800,57.33
1-Apr-05,58.58,58.86,56.96,57.35,7792100,57.35
31-Mar-05,59.07,59.12,58.07,58.21,6232600,58.21
30-Mar-05,58.52,59.17,58.30,58.99,6035300,58.99
29-Mar-05,58.36,59.14,58.07,58.26,7088400,58.26
28-Mar-05,59.16,59.26,58.38,58.47,4485300,58.47
24-Mar-05,58.90,59.50,58.57,58.98,5735600,58.98
23-Mar-05,57.99,59.19,57.76,58.86,6323800,58.86
22-Mar-05,58.11,58.89,58.05,58.18,7134300,58.18
21-Mar-05,58.81,58.85,57.90,58.07,5558100,58.07
18-Mar-05,58.69,59.52,58.25,58.86,9107500,58.86
17-Mar-05,58.47,59.31,57.70,58.95,9793300,58.95
16-Mar-05,58.35,59.38,57.63,57.98,10167800,57.98
15-Mar-05,60.45,60.50,58.22,58.61,12446400,58.61
14-Mar-05,59.61,60.56,59.14,60.43,9826100,60.43
11-Mar-05,60.93,61.00,59.43,59.81,8359400,59.81
10-Mar-05,60.99,61.38,60.22,61.03,5985000,61.03
9-Mar-05,61.46,61.79,60.94,61.13,5789800,61.13
8-Mar-05,61.91,62.29,61.59,61.75,4059800,61.75
7-Mar-05,62.29,62.70,61.59,62.11,5231400,62.11
4-Mar-05,62.33,62.50,61.44,62.04,6838500,62.04
3-Mar-05,61.96,62.27,61.44,61.97,7830600,61.97
2-Mar-05,61.91,62.50,61.00,61.44,7976300,61.44
1-Mar-05,61.49,62.65,61.49,62.24,7710600,62.24
28-Feb-05,62.17,62.37,61.23,61.61,9414800,61.61
25-Feb-05,61.95,63.05,61.67,62.81,7347100,62.81
24-Feb-05,61.41,62.35,60.74,61.90,6749300,61.90
23-Feb-05,61.14,61.60,60.46,61.34,8022900,61.34
