Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,46.45,46.89,46.27,46.70,10419600,46.70
10-May-05,46.50,46.60,46.18,46.38,12307800,46.38
9-May-05,46.57,46.96,46.56,46.85,8518700,46.85
6-May-05,46.89,46.95,46.52,46.59,11309500,46.59
5-May-05,47.00,47.19,46.45,46.88,9871700,46.88
4-May-05,46.80,47.19,46.55,46.97,13713100,46.97
3-May-05,46.68,46.87,46.32,46.80,14459000,46.80
2-May-05,46.96,47.22,46.15,46.53,15183300,46.53
29-Apr-05,46.24,46.98,45.75,46.96,17104800,46.96
28-Apr-05,46.51,46.74,46.13,46.19,15830700,46.19
27-Apr-05,46.50,47.15,46.41,47.05,12175600,46.61
26-Apr-05,46.80,47.14,46.59,46.62,12632500,46.18
25-Apr-05,46.45,47.00,46.40,46.78,12215300,46.34
22-Apr-05,46.15,46.70,45.76,46.32,12536600,45.89
21-Apr-05,46.35,46.45,45.66,46.27,17556300,45.84
20-Apr-05,46.20,46.62,45.89,46.13,19109100,45.70
19-Apr-05,46.55,46.81,46.35,46.35,14829100,45.92
18-Apr-05,46.00,46.41,45.98,46.21,18549200,45.78
15-Apr-05,46.05,46.37,45.65,45.75,26944600,45.32
14-Apr-05,45.90,45.97,45.18,45.40,15770400,44.98
13-Apr-05,46.50,46.59,45.69,45.81,13838600,45.38
12-Apr-05,45.61,46.61,45.34,46.45,15013800,46.02
11-Apr-05,45.67,45.90,45.50,45.61,11318700,45.18
8-Apr-05,45.71,45.78,45.35,45.40,9643400,44.98
7-Apr-05,45.30,45.75,45.20,45.46,12836200,45.03
6-Apr-05,45.20,45.33,44.57,45.15,11598500,44.73
5-Apr-05,44.82,45.05,44.53,44.94,12638800,44.52
4-Apr-05,44.63,44.76,43.80,44.59,19358200,44.17
1-Apr-05,45.50,45.70,44.40,44.62,17221300,44.20
31-Mar-05,45.00,45.20,44.79,44.94,14261300,44.52
30-Mar-05,44.45,45.00,44.39,44.92,13351600,44.50
29-Mar-05,44.66,44.91,44.26,44.35,17146900,43.94
28-Mar-05,44.85,45.17,44.77,44.77,12256700,44.35
24-Mar-05,44.65,45.10,44.52,44.52,18170300,44.10
23-Mar-05,44.30,44.85,44.05,44.45,36787100,44.03
22-Mar-05,45.90,46.01,44.39,44.44,44882500,44.02
21-Mar-05,46.47,46.47,45.55,45.76,24473000,45.33
18-Mar-05,47.12,47.26,46.05,46.85,37357800,46.41
17-Mar-05,47.41,47.50,47.00,47.24,9586000,46.80
16-Mar-05,47.50,47.69,47.30,47.37,11421000,46.93
15-Mar-05,48.40,48.45,47.78,47.80,10657500,47.35
14-Mar-05,47.79,48.25,47.75,48.22,9942700,47.77
11-Mar-05,48.15,48.25,47.47,47.79,11987300,47.34
10-Mar-05,47.89,48.32,47.87,48.15,11969200,47.70
9-Mar-05,48.15,48.34,47.70,47.88,13059800,47.43
8-Mar-05,48.47,48.68,48.21,48.47,11925400,48.02
7-Mar-05,48.54,48.65,48.34,48.47,7899500,48.02
4-Mar-05,48.18,48.68,48.02,48.40,12550400,47.95
3-Mar-05,48.38,48.39,47.74,47.97,11729300,47.52
2-Mar-05,47.65,48.41,47.62,48.13,11375100,47.68
1-Mar-05,47.93,48.18,47.68,47.88,12425900,47.43
28-Feb-05,48.25,48.26,47.60,47.72,20697800,47.27
25-Feb-05,48.05,48.41,47.96,48.28,15836000,47.83
24-Feb-05,48.43,48.56,48.17,48.30,12785900,47.85
23-Feb-05,48.33,48.50,47.97,48.38,16587000,47.93
22-Feb-05,48.30,48.65,47.90,47.95,17411900,47.50
18-Feb-05,48.55,48.77,48.36,48.57,16493400,48.12
17-Feb-05,49.19,49.26,48.72,48.80,14124700,48.34
16-Feb-05,49.12,49.35,49.05,49.18,8228100,48.72
15-Feb-05,49.38,49.53,49.23,49.40,9500900,48.94
14-Feb-05,49.41,49.46,49.10,49.25,9603700,48.79
11-Feb-05,49.00,49.59,48.85,49.40,9995700,48.94
10-Feb-05,49.50,49.50,48.95,48.98,13731600,48.52
9-Feb-05,49.48,49.64,49.06,49.18,10603500,48.72
8-Feb-05,49.80,49.89,49.42,49.48,10984600,49.02
7-Feb-05,49.76,49.99,49.54,49.73,9463900,49.26
4-Feb-05,49.15,49.79,49.14,49.78,14045700,49.31
3-Feb-05,49.24,49.35,48.75,49.15,15099900,48.69
2-Feb-05,49.53,49.75,49.25,49.68,16084300,48.78
1-Feb-05,49.30,49.60,49.12,49.48,18741800,48.58
31-Jan-05,49.00,49.30,48.92,49.05,19149200,48.16
28-Jan-05,48.50,48.61,48.21,48.38,16820500,47.50
27-Jan-05,48.49,48.77,48.10,48.56,12369400,47.68
26-Jan-05,48.52,48.68,48.13,48.48,14876900,47.60
25-Jan-05,48.55,48.75,48.36,48.51,12691500,47.63
24-Jan-05,48.28,48.77,48.16,48.36,15981500,47.48
21-Jan-05,48.50,48.50,47.85,47.93,19370400,47.06
20-Jan-05,47.50,48.05,47.45,47.77,17318400,46.90
19-Jan-05,48.10,48.44,48.01,48.04,12763800,47.17
18-Jan-05,47.40,48.32,47.25,48.17,15114800,47.30
14-Jan-05,47.75,47.85,47.46,47.51,11411100,46.65
13-Jan-05,48.00,48.28,47.45,47.60,15433800,46.74
12-Jan-05,48.10,48.19,47.71,48.07,16123000,47.20
11-Jan-05,48.33,48.48,48.02,48.22,12952700,47.35
10-Jan-05,48.51,48.74,48.02,48.34,16998700,47.46
7-Jan-05,49.10,49.11,48.60,48.65,12803700,47.77
6-Jan-05,48.80,49.24,48.74,48.93,18049900,48.04
5-Jan-05,48.05,48.78,48.02,48.46,18933500,47.58
4-Jan-05,48.28,48.77,47.70,47.86,15847700,46.99
3-Jan-05,49.00,49.00,48.20,48.27,14746600,47.40
31-Dec-04,48.13,48.33,48.00,48.18,5474100,47.31
30-Dec-04,48.00,48.25,48.00,48.03,7545800,47.16
29-Dec-04,48.20,48.39,47.96,48.01,8964200,47.14
