Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,1.76,1.76,1.64,1.69,145400,1.69
10-May-05,1.65,1.73,1.65,1.72,221700,1.72
9-May-05,1.65,1.68,1.64,1.67,77600,1.67
6-May-05,1.63,1.70,1.61,1.69,217000,1.69
5-May-05,1.71,1.71,1.63,1.63,68000,1.63
4-May-05,1.66,1.69,1.62,1.68,192600,1.68
3-May-05,1.66,1.69,1.63,1.67,153100,1.67
2-May-05,1.69,1.70,1.62,1.65,249100,1.65
29-Apr-05,1.57,1.76,1.54,1.76,281700,1.76
28-Apr-05,1.71,1.71,1.54,1.57,353500,1.57
27-Apr-05,1.74,1.74,1.62,1.70,187900,1.70
26-Apr-05,1.61,1.74,1.60,1.73,448000,1.73
25-Apr-05,1.69,1.69,1.62,1.62,152600,1.62
22-Apr-05,1.74,1.86,1.48,1.70,2779100,1.70
21-Apr-05,1.82,1.84,1.75,1.77,635100,1.77
20-Apr-05,1.86,1.88,1.80,1.80,198100,1.80
19-Apr-05,1.83,1.87,1.81,1.87,116900,1.87
18-Apr-05,1.81,1.87,1.80,1.81,134000,1.81
15-Apr-05,1.88,1.90,1.82,1.84,156200,1.84
14-Apr-05,1.99,2.00,1.85,1.91,208300,1.91
13-Apr-05,1.95,2.06,1.91,2.00,316900,2.00
12-Apr-05,2.06,2.06,1.93,2.00,246500,2.00
11-Apr-05,1.96,2.01,1.96,2.01,286000,2.01
8-Apr-05,1.87,2.00,1.87,1.96,402000,1.96
7-Apr-05,1.83,1.92,1.80,1.90,259200,1.90
6-Apr-05,1.92,1.95,1.80,1.83,283100,1.83
5-Apr-05,1.97,1.98,1.93,1.94,140500,1.94
4-Apr-05,2.05,2.05,1.95,1.98,463500,1.98
1-Apr-05,2.06,2.08,1.93,1.96,216200,1.96
31-Mar-05,1.94,2.07,1.91,2.06,177900,2.06
30-Mar-05,1.99,2.04,1.90,1.90,168200,1.90
29-Mar-05,1.98,2.08,1.98,2.00,958300,2.00
28-Mar-05,2.05,2.10,1.93,1.96,281100,1.96
24-Mar-05,1.92,2.09,1.91,2.05,309600,2.05
23-Mar-05,1.91,1.95,1.85,1.93,85500,1.93
22-Mar-05,1.92,1.98,1.90,1.90,86700,1.90
21-Mar-05,1.94,2.03,1.91,1.94,104400,1.94
18-Mar-05,2.06,2.06,1.91,2.01,269600,2.01
17-Mar-05,1.87,2.00,1.80,2.00,514400,2.00
16-Mar-05,1.88,1.91,1.83,1.90,195600,1.90
15-Mar-05,1.77,2.07,1.74,1.88,950600,1.88
14-Mar-05,1.77,1.81,1.73,1.73,242000,1.73
11-Mar-05,1.82,1.85,1.79,1.80,167400,1.80
10-Mar-05,1.81,1.86,1.80,1.81,150900,1.81
9-Mar-05,1.89,1.91,1.82,1.82,249200,1.82
8-Mar-05,1.94,1.94,1.90,1.91,125100,1.91
7-Mar-05,1.90,1.95,1.84,1.93,274100,1.93
4-Mar-05,1.89,1.94,1.83,1.89,341100,1.89
