Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,2.16,2.20,1.82,1.99,15400300,1.99
10-May-05,2.20,2.21,2.13,2.18,4783000,2.18
9-May-05,2.28,2.34,2.10,2.21,10433200,2.21
6-May-05,2.08,2.24,2.07,2.23,14550000,2.23
5-May-05,2.32,2.33,1.98,2.06,19980400,2.06
4-May-05,2.45,2.59,2.19,2.25,24758100,2.25
3-May-05,2.08,2.45,2.07,2.37,25820700,2.37
2-May-05,1.93,2.09,1.89,2.04,18005000,2.04
29-Apr-05,1.68,1.81,1.45,1.79,34914300,1.79
28-Apr-05,1.78,1.78,1.32,1.45,45974000,1.45
27-Apr-05,1.90,1.90,1.75,1.78,23062600,1.78
26-Apr-05,1.96,2.07,1.91,1.92,11813200,1.92
25-Apr-05,2.17,2.18,1.76,2.05,41056900,2.05
22-Apr-05,2.45,2.47,1.69,2.19,38969900,2.19
21-Apr-05,2.43,2.46,2.36,2.46,9149600,2.46
20-Apr-05,2.45,2.48,2.35,2.37,7220500,2.37
19-Apr-05,2.43,2.51,2.40,2.42,8840400,2.42
18-Apr-05,2.38,2.48,2.35,2.43,12205200,2.43
15-Apr-05,2.65,2.65,2.31,2.39,24590300,2.39
14-Apr-05,2.77,2.79,2.61,2.65,6001600,2.65
13-Apr-05,2.81,2.88,2.75,2.76,4711100,2.76
12-Apr-05,2.81,2.82,2.71,2.76,6498500,2.76
11-Apr-05,2.89,2.89,2.72,2.84,6362500,2.84
8-Apr-05,2.78,2.90,2.75,2.89,6727900,2.89
7-Apr-05,2.73,2.84,2.71,2.81,4830500,2.81
6-Apr-05,2.68,2.74,2.66,2.73,8548900,2.73
5-Apr-05,2.75,2.75,2.65,2.67,8606800,2.67
4-Apr-05,2.74,2.76,2.64,2.74,7397100,2.74
1-Apr-05,2.86,2.87,2.73,2.74,6661300,2.74
31-Mar-05,2.64,2.84,2.61,2.80,8800000,2.80
30-Mar-05,2.62,2.70,2.59,2.64,14328700,2.64
29-Mar-05,2.73,2.82,2.56,2.69,16214400,2.69
28-Mar-05,2.90,2.93,2.77,2.82,12681100,2.82
24-Mar-05,2.96,3.03,2.89,2.90,8287700,2.90
23-Mar-05,3.00,3.05,2.88,2.93,10687300,2.93
22-Mar-05,3.08,3.14,3.00,3.01,5751500,3.01
21-Mar-05,3.20,3.23,3.01,3.05,7894800,3.05
18-Mar-05,3.04,3.24,3.04,3.24,10391900,3.24
17-Mar-05,3.12,3.14,3.01,3.03,10307000,3.03
16-Mar-05,3.17,3.20,3.12,3.15,4421400,3.15
15-Mar-05,3.31,3.33,3.19,3.19,8731400,3.19
14-Mar-05,3.33,3.35,3.23,3.31,3803800,3.31
11-Mar-05,3.33,3.35,3.25,3.26,3431500,3.26
10-Mar-05,3.36,3.40,3.31,3.33,2547600,3.33
9-Mar-05,3.34,3.44,3.29,3.37,4888700,3.37
8-Mar-05,3.37,3.46,3.32,3.32,6781000,3.32
7-Mar-05,3.32,3.49,3.31,3.38,9767200,3.38
4-Mar-05,3.30,3.38,3.27,3.32,8153300,3.32
3-Mar-05,3.27,3.30,3.18,3.26,7108300,3.26
2-Mar-05,3.21,3.27,3.17,3.23,5291200,3.23
1-Mar-05,3.23,3.30,3.13,3.24,8094900,3.24
28-Feb-05,3.34,3.39,3.24,3.31,8224900,3.31
25-Feb-05,3.27,3.39,3.22,3.38,11586000,3.38
24-Feb-05,3.33,3.34,3.16,3.26,20381100,3.26
23-Feb-05,3.34,3.47,3.33,3.43,6680900,3.43
22-Feb-05,3.39,3.46,3.30,3.31,7743500,3.31
18-Feb-05,3.33,3.43,3.32,3.41,6922600,3.41
17-Feb-05,3.55,3.59,3.30,3.32,10900900,3.32
16-Feb-05,3.25,3.50,3.25,3.50,13442600,3.50
15-Feb-05,3.37,3.37,3.22,3.26,5706000,3.26
14-Feb-05,3.35,3.41,3.33,3.37,4922400,3.37
11-Feb-05,3.43,3.44,3.33,3.36,6309000,3.36
10-Feb-05,3.46,3.50,3.42,3.47,4799400,3.47
9-Feb-05,3.48,3.52,3.44,3.47,3628300,3.47
8-Feb-05,3.45,3.51,3.43,3.48,3653300,3.48
7-Feb-05,3.64,3.69,3.51,3.53,4154900,3.53
4-Feb-05,3.59,3.65,3.54,3.65,5450200,3.65
3-Feb-05,3.49,3.59,3.43,3.59,9656800,3.59
2-Feb-05,3.39,3.52,3.36,3.51,10205000,3.51
1-Feb-05,3.38,3.42,3.34,3.38,6784100,3.38
31-Jan-05,3.29,3.37,3.29,3.33,6032000,3.33
28-Jan-05,3.33,3.39,3.26,3.26,6798400,3.26
27-Jan-05,3.38,3.42,3.33,3.36,5469600,3.36
26-Jan-05,3.45,3.45,3.38,3.40,10899700,3.40
25-Jan-05,3.30,3.40,3.30,3.37,12769200,3.37
24-Jan-05,3.12,3.27,3.10,3.25,9242600,3.25
21-Jan-05,3.23,3.23,3.07,3.13,13690600,3.13
20-Jan-05,3.01,3.31,3.01,3.24,25324300,3.24
19-Jan-05,3.49,3.50,3.41,3.43,6171600,3.43
18-Jan-05,3.55,3.57,3.46,3.49,7441100,3.49
14-Jan-05,3.43,3.61,3.43,3.55,9231400,3.55
13-Jan-05,3.46,3.51,3.42,3.42,8783700,3.42
12-Jan-05,3.48,3.55,3.41,3.47,6923700,3.47
11-Jan-05,3.56,3.57,3.42,3.48,11566300,3.48
10-Jan-05,3.59,3.62,3.52,3.57,4875300,3.57
7-Jan-05,3.60,3.65,3.54,3.57,6600600,3.57
6-Jan-05,3.43,3.59,3.42,3.54,17180300,3.54
5-Jan-05,3.56,3.57,2.52,3.44,14115300,3.44
4-Jan-05,3.79,3.82,3.52,3.55,16857900,3.55
3-Jan-05,3.99,4.00,3.76,3.80,9866600,3.80
31-Dec-04,3.97,3.98,3.92,3.94,4166200,3.94
30-Dec-04,3.94,3.99,3.91,3.96,5711700,3.96
29-Dec-04,3.93,3.94,3.88,3.90,5259300,3.90
28-Dec-04,4.00,4.00,3.87,3.90,8577700,3.90
27-Dec-04,3.89,4.08,3.85,3.92,18511700,3.92
23-Dec-04,3.74,3.78,3.70,3.78,4584700,3.78
22-Dec-04,3.80,3.80,3.70,3.71,7380500,3.71
21-Dec-04,3.51,3.75,3.51,3.75,11149000,3.75
20-Dec-04,3.55,3.64,3.51,3.55,8092000,3.55
17-Dec-04,3.59,3.64,3.52,3.55,8539500,3.55
16-Dec-04,3.69,3.70,3.60,3.63,5553600,3.63
15-Dec-04,3.68,3.73,3.65,3.69,4221700,3.69
14-Dec-04,3.68,3.74,3.63,3.68,6466200,3.68
13-Dec-04,3.61,3.73,3.61,3.68,10599800,3.68
10-Dec-04,3.43,3.61,3.40,3.59,8364500,3.59
9-Dec-04,3.38,3.47,3.33,3.41,13284900,3.41
8-Dec-04,3.51,3.52,3.36,3.43,14332200,3.43
7-Dec-04,3.56,3.64,3.50,3.51,12419800,3.51
6-Dec-04,3.30,3.59,3.30,3.53,14228400,3.53
3-Dec-04,3.50,3.65,3.45,3.49,19134100,3.49
2-Dec-04,3.74,3.80,3.45,3.51,23121900,3.51
1-Dec-04,3.99,4.08,3.67,3.73,40206200,3.73
30-Nov-04,3.72,3.95,3.70,3.88,37105400,3.88
29-Nov-04,3.70,3.75,3.50,3.64,29824700,3.64
26-Nov-04,3.41,3.64,3.40,3.57,10171100,3.57
24-Nov-04,3.29,3.42,3.28,3.39,17487700,3.39
23-Nov-04,3.15,3.28,3.15,3.26,17607900,3.26
22-Nov-04,3.05,3.15,2.97,3.14,7465500,3.14
19-Nov-04,3.05,3.07,3.01,3.01,5933700,3.01
18-Nov-04,3.05,3.05,2.99,3.05,9092200,3.05
17-Nov-04,3.05,3.11,3.00,3.04,13059700,3.04
16-Nov-04,3.04,3.04,2.94,2.99,11619200,2.99
15-Nov-04,3.17,3.17,3.02,3.05,11275700,3.05
12-Nov-04,2.89,3.18,2.86,3.13,25162700,3.13
11-Nov-04,2.85,2.90,2.75,2.86,6382400,2.86
10-Nov-04,2.82,2.84,2.73,2.82,6445800,2.82
9-Nov-04,2.89,2.90,2.60,2.81,6460800,2.81
8-Nov-04,2.86,2.91,2.78,2.89,9603800,2.89
5-Nov-04,2.83,2.90,2.79,2.83,16379400,2.83
4-Nov-04,2.45,2.77,2.36,2.77,38276800,2.77
3-Nov-04,2.44,2.48,2.32,2.43,14891800,2.43
2-Nov-04,2.45,2.48,2.38,2.38,6517300,2.38
1-Nov-04,2.53,2.53,2.43,2.45,5032600,2.45
29-Oct-04,2.50,2.53,2.40,2.49,8250000,2.49
28-Oct-04,2.35,2.50,2.34,2.44,10504100,2.44
27-Oct-04,2.32,2.33,2.26,2.32,11465800,2.32
26-Oct-04,2.39,2.41,2.24,2.32,16425100,2.32
25-Oct-04,2.42,2.47,2.33,2.33,7429800,2.33
22-Oct-04,2.45,2.48,2.41,2.44,4708700,2.44
21-Oct-04,2.40,2.50,2.36,2.46,5376000,2.46
20-Oct-04,2.41,2.41,2.30,2.39,5555200,2.39
19-Oct-04,2.53,2.59,2.38,2.41,8939100,2.41
18-Oct-04,2.34,2.49,2.33,2.48,10626500,2.48
15-Oct-04,2.33,2.39,2.31,2.34,10937000,2.34
14-Oct-04,2.36,2.39,2.25,2.32,25057700,2.32
13-Oct-04,2.54,2.55,2.31,2.33,25306600,2.33
12-Oct-04,2.54,2.62,2.46,2.51,26927100,2.51
11-Oct-04,2.86,2.87,2.60,2.64,19945800,2.64
8-Oct-04,2.89,2.92,2.84,2.86,12176500,2.86
7-Oct-04,2.96,2.99,2.88,2.89,7337500,2.89
6-Oct-04,2.92,3.01,2.91,2.97,7235100,2.97
5-Oct-04,2.94,2.94,2.89,2.91,6693800,2.91
4-Oct-04,3.01,3.02,2.89,2.94,11745500,2.94
1-Oct-04,2.94,3.06,2.92,2.98,19805800,2.98
30-Sep-04,2.89,2.98,2.87,2.90,16389400,2.90
29-Sep-04,3.03,3.03,2.87,2.88,28945100,2.88
28-Sep-04,2.94,3.03,2.87,3.01,65681000,3.01
27-Sep-04,3.24,3.28,3.07,3.14,35769100,3.14
24-Sep-04,3.45,3.45,3.21,3.28,24921200,3.28
23-Sep-04,3.55,3.57,3.23,3.55,35505300,3.55
22-Sep-04,3.57,3.59,3.50,3.53,3978100,3.53
21-Sep-04,3.61,3.63,3.50,3.60,4251800,3.60
20-Sep-04,3.70,3.75,3.54,3.61,9476300,3.61
17-Sep-04,3.78,3.88,3.71,3.75,7280700,3.75
16-Sep-04,3.75,3.77,3.70,3.76,2431100,3.76
15-Sep-04,3.75,3.77,3.62,3.70,3923900,3.70
14-Sep-04,3.90,3.90,3.70,3.75,7918200,3.75
13-Sep-04,3.98,4.06,3.91,3.91,6846700,3.91
10-Sep-04,3.84,3.98,3.77,3.95,5562200,3.95
9-Sep-04,3.73,3.80,3.71,3.77,4926600,3.77
8-Sep-04,3.52,3.78,3.51,3.71,7818400,3.71
7-Sep-04,3.48,3.56,3.42,3.55,3961000,3.55
3-Sep-04,3.47,3.48,3.41,3.43,2513500,3.43
2-Sep-04,3.44,3.47,3.38,3.45,3029600,3.45
1-Sep-04,3.42,3.44,3.36,3.40,3070100,3.40
31-Aug-04,3.38,3.45,3.34,3.42,3606500,3.42
30-Aug-04,3.44,3.49,3.35,3.37,3795500,3.37
27-Aug-04,3.40,3.50,3.28,3.49,5941800,3.49
26-Aug-04,3.49,3.56,3.46,3.48,3658900,3.48
25-Aug-04,3.45,3.50,3.40,3.49,5141000,3.49
24-Aug-04,3.47,3.49,3.35,3.36,4256000,3.36
23-Aug-04,3.52,3.54,3.41,3.42,4007200,3.42
20-Aug-04,3.43,3.55,3.40,3.50,4391100,3.50
19-Aug-04,3.52,3.52,3.39,3.42,4376500,3.42
18-Aug-04,3.38,3.50,3.35,3.50,6863700,3.50
17-Aug-04,3.55,3.64,3.36,3.38,14917400,3.38
16-Aug-04,3.43,3.44,3.27,3.27,7005400,3.27
13-Aug-04,3.47,3.50,3.35,3.39,2948100,3.39
12-Aug-04,3.62,3.65,3.44,3.46,4390300,3.46
11-Aug-04,3.35,3.69,3.34,3.62,11049800,3.62
10-Aug-04,3.29,3.36,3.22,3.25,6675200,3.25
9-Aug-04,3.36,3.40,3.25,3.28,6123300,3.28
6-Aug-04,3.45,3.45,3.31,3.36,6183000,3.36
5-Aug-04,3.55,3.75,3.42,3.45,13622500,3.45
4-Aug-04,3.81,3.85,3.67,3.69,6230300,3.69
3-Aug-04,3.87,3.94,3.82,3.82,3613200,3.82
2-Aug-04,3.75,3.94,3.75,3.84,3457600,3.84
30-Jul-04,3.81,3.96,3.78,3.86,2820700,3.86
29-Jul-04,3.80,3.85,3.73,3.81,3660900,3.81
28-Jul-04,3.92,3.96,3.77,3.79,6168900,3.79
27-Jul-04,3.84,3.92,3.82,3.89,6633500,3.89
26-Jul-04,3.95,4.01,3.81,3.81,4160500,3.81
23-Jul-04,4.10,4.10,3.95,3.96,6503300,3.96
22-Jul-04,4.10,4.17,4.06,4.10,6573200,4.10
21-Jul-04,4.37,4.39,4.13,4.14,5037200,4.14
20-Jul-04,4.40,4.46,4.34,4.37,2921100,4.37
19-Jul-04,4.35,4.45,4.28,4.40,5573700,4.40
16-Jul-04,4.31,4.34,4.28,4.34,6805700,4.34
15-Jul-04,4.25,4.30,4.22,4.25,4022900,4.25
14-Jul-04,4.15,4.32,4.11,4.30,5530700,4.30
13-Jul-04,4.24,4.28,4.17,4.20,2430400,4.20
12-Jul-04,4.12,4.27,4.12,4.22,4338500,4.22
9-Jul-04,4.17,4.24,4.09,4.11,5046500,4.11
8-Jul-04,4.28,4.32,4.14,4.17,4560600,4.17
7-Jul-04,4.08,4.31,4.06,4.26,6750600,4.26
6-Jul-04,4.22,4.23,4.05,4.06,4731900,4.06
2-Jul-04,4.23,4.30,4.10,4.23,3621000,4.23
1-Jul-04,4.35,4.35,4.10,4.17,11058000,4.17
30-Jun-04,4.50,4.51,4.32,4.32,6420200,4.32
29-Jun-04,4.55,4.61,4.42,4.48,4310100,4.48
28-Jun-04,4.62,4.67,4.46,4.51,5345700,4.51
25-Jun-04,4.70,4.70,4.55,4.56,16325400,4.56
24-Jun-04,4.72,4.87,4.69,4.70,13062500,4.70
23-Jun-04,4.50,4.75,4.41,4.69,10206500,4.69
22-Jun-04,4.56,4.56,4.43,4.48,6790200,4.48
21-Jun-04,4.38,4.58,4.34,4.48,7457700,4.48
18-Jun-04,4.47,4.58,4.28,4.31,8871400,4.31
17-Jun-04,4.45,4.69,4.40,4.49,18839400,4.49
16-Jun-04,4.10,4.41,4.04,4.38,13651500,4.38
15-Jun-04,4.09,4.16,4.02,4.06,7795200,4.06
14-Jun-04,3.90,4.05,3.81,3.98,7438600,3.98
10-Jun-04,3.90,3.99,3.83,3.93,10348900,3.93
9-Jun-04,3.74,3.83,3.72,3.80,5131600,3.80
8-Jun-04,3.84,3.84,3.67,3.73,5953600,3.73
7-Jun-04,3.84,3.90,3.77,3.77,3782800,3.77
4-Jun-04,3.75,3.85,3.70,3.78,4059700,3.78
3-Jun-04,3.76,3.78,3.62,3.65,7993300,3.65
2-Jun-04,4.00,4.09,3.76,3.76,9169700,3.76
1-Jun-04,3.81,4.03,3.76,3.97,8205900,3.97
28-May-04,3.73,3.80,3.67,3.79,6053400,3.79
27-May-04,3.78,3.83,3.65,3.67,7744600,3.67
26-May-04,3.65,3.84,3.65,3.67,15273200,3.67
25-May-04,3.26,3.66,3.20,3.60,14145300,3.60
24-May-04,3.30,3.32,3.17,3.23,8098600,3.23
21-May-04,3.15,3.31,3.13,3.20,9236900,3.20
20-May-04,3.19,3.20,3.10,3.11,5101000,3.11
19-May-04,3.28,3.34,3.17,3.17,12110800,3.17
18-May-04,3.14,3.29,3.08,3.15,17470400,3.15
17-May-04,3.23,3.24,3.04,3.06,15616500,3.06
14-May-04,3.29,3.40,3.24,3.30,13869400,3.30
13-May-04,3.52,3.52,3.26,3.27,36955200,3.27
12-May-04,3.56,3.64,3.41,3.51,12199000,3.51
11-May-04,3.55,3.72,3.55,3.56,11672000,3.56
10-May-04,3.69,3.75,3.50,3.54,18056200,3.54
7-May-04,3.84,3.98,3.65,3.69,14302700,3.69
6-May-04,4.02,4.03,3.72,3.90,42717600,3.90
5-May-04,4.24,4.29,4.12,4.15,9829200,4.15
4-May-04,4.02,4.20,3.89,4.18,20826300,4.18
3-May-04,4.30,4.31,4.09,4.12,18253600,4.12
30-Apr-04,4.49,4.50,4.17,4.34,11959500,4.34
29-Apr-04,4.72,4.72,4.49,4.51,6508900,4.51
28-Apr-04,4.75,4.84,4.66,4.70,5012200,4.70
27-Apr-04,4.72,4.80,4.68,4.74,7126900,4.74
26-Apr-04,4.72,4.85,4.67,4.67,2659900,4.67
23-Apr-04,4.71,4.78,4.69,4.74,3163900,4.74
22-Apr-04,4.66,4.75,4.56,4.73,8154200,4.73
21-Apr-04,4.73,4.79,4.68,4.69,11595200,4.69
20-Apr-04,4.86,4.90,4.73,4.73,4454600,4.73
19-Apr-04,4.88,4.95,4.77,4.86,4713400,4.86
16-Apr-04,4.63,4.92,4.62,4.91,6899400,4.91
15-Apr-04,4.62,4.69,4.62,4.66,5285300,4.66
14-Apr-04,4.60,4.70,4.57,4.64,3788900,4.64
13-Apr-04,4.75,4.78,4.59,4.66,5329300,4.66
12-Apr-04,4.88,4.89,4.73,4.74,4387800,4.74
8-Apr-04,4.87,4.89,4.75,4.83,5009300,4.83
7-Apr-04,4.95,4.95,4.76,4.78,6826400,4.78
6-Apr-04,4.92,4.93,4.85,4.92,3770800,4.92
5-Apr-04,4.85,4.98,4.84,4.94,5345000,4.94
2-Apr-04,4.89,4.95,4.79,4.87,6521600,4.87
1-Apr-04,4.74,4.94,4.73,4.76,11694600,4.76
31-Mar-04,4.79,4.81,4.65,4.67,7688200,4.67
30-Mar-04,4.80,4.80,4.70,4.80,7588400,4.80
29-Mar-04,4.65,4.82,4.64,4.79,8331500,4.79
26-Mar-04,4.81,4.84,4.63,4.63,6272000,4.63
25-Mar-04,4.60,4.89,4.57,4.80,16620300,4.80
24-Mar-04,4.80,4.80,4.35,4.55,32629600,4.55
23-Mar-04,5.05,5.07,4.61,4.69,26608600,4.69
22-Mar-04,5.10,5.11,4.98,5.01,6200300,5.01
19-Mar-04,5.20,5.28,5.11,5.14,3668300,5.14
18-Mar-04,5.11,5.24,5.06,5.20,4513300,5.20
17-Mar-04,5.17,5.25,5.07,5.11,9559500,5.11
16-Mar-04,5.20,5.30,5.02,5.11,9150200,5.11
15-Mar-04,5.47,5.54,5.14,5.15,9473900,5.15
12-Mar-04,5.49,5.65,5.32,5.50,15508700,5.50
11-Mar-04,4.90,5.69,4.86,5.34,27632200,5.34
10-Mar-04,5.21,5.26,4.92,5.00,9464000,5.00
9-Mar-04,5.38,5.40,5.20,5.22,7581400,5.22
8-Mar-04,5.42,5.47,5.35,5.41,7357600,5.41
5-Mar-04,5.29,5.47,5.25,5.43,7392600,5.43
4-Mar-04,5.35,5.36,5.24,5.34,6172100,5.34
3-Mar-04,5.20,5.35,5.20,5.30,7626100,5.30
2-Mar-04,5.33,5.35,5.21,5.22,12716500,5.22
1-Mar-04,5.44,5.51,5.30,5.35,9567200,5.35
27-Feb-04,5.40,5.60,5.40,5.51,9203900,5.51
26-Feb-04,5.38,5.83,5.27,5.47,23666800,5.47
25-Feb-04,5.20,5.80,5.10,5.56,15964100,5.56
24-Feb-04,5.23,5.37,4.99,5.31,45692600,5.31
23-Feb-04,6.25,6.40,5.65,5.73,25111800,5.73
20-Feb-04,5.75,6.00,5.50,5.95,23039900,5.95
19-Feb-04,6.26,6.32,5.85,5.89,10883100,5.89
18-Feb-04,6.21,6.32,6.15,6.24,7530100,6.24
17-Feb-04,6.09,6.31,6.07,6.27,7117800,6.27
13-Feb-04,6.11,6.20,5.95,6.05,6952000,6.05
12-Feb-04,6.23,6.42,6.10,6.13,10684200,6.13
11-Feb-04,6.25,6.25,6.13,6.20,8063800,6.20
10-Feb-04,5.82,6.25,5.82,6.19,16878400,6.19
9-Feb-04,5.85,5.98,5.75,5.85,9849200,5.85
6-Feb-04,5.45,5.87,5.34,5.86,17428100,5.86
5-Feb-04,5.62,5.63,5.41,5.45,14697900,5.45
4-Feb-04,5.84,5.97,5.58,5.62,18187000,5.62
3-Feb-04,5.78,5.93,5.65,5.86,11258300,5.86
2-Feb-04,5.90,5.97,5.80,5.81,9788600,5.81
30-Jan-04,5.55,5.85,5.51,5.82,10598600,5.82
29-Jan-04,5.65,5.73,5.31,5.59,20508600,5.59
28-Jan-04,5.54,5.95,5.54,5.59,19916900,5.59
27-Jan-04,5.82,5.87,5.50,5.54,17910400,5.54
26-Jan-04,6.01,6.03,5.82,5.92,11643000,5.92
23-Jan-04,5.97,6.08,5.90,6.01,8612800,6.01
22-Jan-04,6.15,6.16,5.90,6.00,21479900,6.00
21-Jan-04,6.15,6.33,6.05,6.19,34177300,6.19
20-Jan-04,5.73,6.08,5.66,6.05,25079500,6.05
16-Jan-04,5.44,5.64,5.37,5.63,16203400,5.63
15-Jan-04,5.42,5.53,5.33,5.39,13740100,5.39
14-Jan-04,5.35,5.40,5.15,5.40,20563000,5.40
13-Jan-04,5.45,5.45,5.31,5.32,8786600,5.32
12-Jan-04,5.36,5.45,5.30,5.39,8355800,5.39
9-Jan-04,5.36,5.42,5.29,5.34,12405300,5.34
8-Jan-04,5.52,5.61,5.37,5.46,25980500,5.46
7-Jan-04,5.17,5.41,5.08,5.38,21888500,5.38
6-Jan-04,5.00,5.18,5.00,5.13,31584200,5.13
5-Jan-04,4.97,5.23,4.97,5.23,18909100,5.23
2-Jan-04,4.85,4.97,4.81,4.97,13680300,4.97
31-Dec-03,4.83,4.85,4.75,4.81,4774500,4.81
30-Dec-03,4.85,4.98,4.82,4.85,5270700,4.85
29-Dec-03,4.89,4.96,4.79,4.87,5537400,4.87
26-Dec-03,4.78,4.89,4.78,4.85,2961800,4.85
24-Dec-03,4.81,4.85,4.76,4.78,2190200,4.78
23-Dec-03,4.80,4.90,4.67,4.81,9262300,4.81
22-Dec-03,4.65,4.84,4.64,4.78,20897000,4.78
19-Dec-03,4.43,4.65,4.40,4.59,26048100,4.59
18-Dec-03,4.34,4.42,4.32,4.41,6361500,4.41
17-Dec-03,4.28,4.36,4.21,4.33,4690800,4.33
16-Dec-03,4.24,4.32,4.17,4.29,3466500,4.29
15-Dec-03,4.39,4.40,4.18,4.19,4776700,4.19
12-Dec-03,4.38,4.39,4.31,4.33,4038000,4.33
11-Dec-03,4.29,4.39,4.28,4.38,5158600,4.38
10-Dec-03,4.37,4.40,3.28,4.27,3979400,4.27
9-Dec-03,4.50,4.50,4.30,4.36,4586300,4.36
8-Dec-03,4.37,4.44,4.34,4.44,7799100,4.44
5-Dec-03,4.38,4.41,4.32,4.40,4271700,4.40
4-Dec-03,4.53,4.54,4.36,4.38,3595700,4.38
3-Dec-03,4.48,4.65,4.46,4.50,8846400,4.50
2-Dec-03,4.27,4.60,4.26,4.44,9492100,4.44
1-Dec-03,4.26,4.30,4.21,4.26,7033200,4.26
28-Nov-03,4.21,4.28,4.21,4.28,3089600,4.28
26-Nov-03,4.34,4.38,4.20,4.24,5102100,4.24
25-Nov-03,4.36,4.43,4.30,4.30,8160600,4.30
24-Nov-03,4.25,4.46,4.15,4.38,9634200,4.38
21-Nov-03,4.30,4.31,4.15,4.24,5909900,4.24
20-Nov-03,4.31,4.42,4.25,4.29,6165200,4.29
19-Nov-03,4.30,4.34,4.25,4.31,12760700,4.31
18-Nov-03,4.39,4.42,4.25,4.26,6968500,4.26
17-Nov-03,4.40,4.40,4.30,4.37,10601100,4.37
14-Nov-03,4.50,4.55,4.39,4.41,6526500,4.41
13-Nov-03,4.56,4.60,4.50,4.51,5356500,4.51
12-Nov-03,4.57,4.67,4.52,4.56,17374500,4.56
11-Nov-03,4.70,4.70,4.57,4.58,11221400,4.58
10-Nov-03,4.70,4.77,4.69,4.70,12393300,4.70
7-Nov-03,4.70,4.72,4.65,4.69,31049800,4.69
6-Nov-03,4.89,4.91,4.70,4.71,55408600,4.71
5-Nov-03,4.76,5.13,4.68,5.11,17876700,5.11
4-Nov-03,4.92,4.94,4.75,4.75,4643700,4.75
3-Nov-03,4.63,4.95,4.62,4.92,6314300,4.92
31-Oct-03,4.72,4.82,4.58,4.61,5473000,4.61
30-Oct-03,4.38,4.68,4.35,4.67,9494700,4.67
29-Oct-03,4.42,4.43,4.01,4.26,7611500,4.26
