Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,36.22,36.90,36.07,36.54,11994600,36.54
10-May-05,36.80,36.83,36.12,36.47,11319400,36.47
9-May-05,37.20,37.26,36.50,36.87,13433100,36.87
6-May-05,37.23,37.40,36.96,37.15,10792300,37.15
5-May-05,36.95,37.14,36.64,37.02,21620500,37.02
4-May-05,35.91,36.89,35.62,36.83,22010100,36.83
3-May-05,34.99,35.99,34.99,35.75,28856800,35.75
2-May-05,34.87,35.61,34.83,34.96,21496600,34.96
29-Apr-05,35.08,35.15,34.40,34.83,23647200,34.83
28-Apr-05,34.85,35.25,34.60,34.92,18668300,34.92
27-Apr-05,35.34,35.50,34.80,34.83,27531100,34.83
26-Apr-05,36.51,36.66,35.50,35.52,20859700,35.52
25-Apr-05,36.60,36.85,36.41,36.71,10708500,36.71
22-Apr-05,36.72,36.80,36.08,36.31,11366600,36.31
21-Apr-05,36.46,36.93,36.20,36.85,13259300,36.85
20-Apr-05,36.60,36.80,35.94,35.99,20709900,35.99
19-Apr-05,35.59,35.95,35.47,35.62,15017300,35.62
18-Apr-05,35.36,35.85,35.29,35.37,13937600,35.37
15-Apr-05,35.46,36.06,35.34,35.56,22655500,35.56
14-Apr-05,36.95,37.03,36.08,36.18,23239200,36.18
13-Apr-05,37.53,37.69,36.89,36.91,15228600,36.91
12-Apr-05,37.85,37.92,37.21,37.61,21964300,37.61
11-Apr-05,38.27,38.34,37.73,37.89,11249700,37.89
8-Apr-05,38.69,38.70,38.10,38.18,13330900,38.18
7-Apr-05,38.41,38.56,37.92,38.50,18571500,38.50
6-Apr-05,39.10,39.15,37.92,38.15,27468700,38.15
5-Apr-05,38.65,39.16,38.65,39.13,12251700,39.13
4-Apr-05,38.04,38.95,38.01,38.68,16324600,38.68
1-Apr-05,38.53,38.61,38.02,38.03,15541500,38.03
31-Mar-05,38.47,38.95,38.29,38.42,13003300,38.42
30-Mar-05,38.13,38.73,37.85,38.55,10980200,38.55
29-Mar-05,38.13,38.45,37.99,38.14,10815000,38.14
28-Mar-05,38.50,38.62,38.12,38.18,10304100,38.18
24-Mar-05,38.47,38.90,38.30,38.38,12037500,38.38
23-Mar-05,38.05,38.62,38.04,38.43,12613600,38.43
22-Mar-05,38.32,38.70,38.04,38.04,13137500,38.04
21-Mar-05,38.51,38.57,37.96,38.42,14381500,38.42
18-Mar-05,38.21,38.66,38.02,38.50,19067000,38.50
17-Mar-05,38.65,38.73,38.14,38.20,16566800,38.20
16-Mar-05,38.95,39.20,38.60,38.70,15539000,38.70
