Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,106.18,106.71,104.89,106.47,361200,106.47
10-May-05,107.25,107.54,105.53,106.18,541500,106.18
9-May-05,106.26,106.92,105.62,106.70,345300,106.70
6-May-05,106.49,106.86,105.94,106.25,294600,106.25
5-May-05,106.60,106.92,105.78,106.24,459700,106.24
4-May-05,105.80,107.40,105.75,106.78,647800,106.78
3-May-05,105.95,106.25,105.05,105.75,956400,105.75
2-May-05,105.94,107.18,105.30,105.83,606300,105.83
29-Apr-05,104.31,105.99,104.31,105.80,469800,105.80
28-Apr-05,104.50,105.20,103.90,104.17,314400,104.17
27-Apr-05,104.50,106.34,104.43,105.27,422800,105.27
26-Apr-05,104.55,105.63,104.35,104.93,455300,104.93
25-Apr-05,103.95,105.25,103.65,105.05,417800,105.05
22-Apr-05,103.60,104.91,102.84,103.80,423800,103.80
21-Apr-05,103.20,104.51,102.20,103.68,472900,103.68
20-Apr-05,104.75,104.83,101.15,102.35,490800,102.35
19-Apr-05,103.17,105.10,102.97,104.85,481300,104.85
18-Apr-05,103.50,103.59,101.80,103.17,512500,103.17
15-Apr-05,103.37,104.73,103.20,103.44,555800,103.44
14-Apr-05,105.10,105.10,102.88,103.37,652300,103.37
13-Apr-05,106.55,107.00,104.71,105.18,521700,105.18
12-Apr-05,105.60,106.71,104.90,106.26,475000,106.26
11-Apr-05,105.42,106.05,105.10,105.80,291200,105.80
8-Apr-05,105.85,106.16,105.35,105.41,251500,105.41
7-Apr-05,105.00,106.02,104.65,105.81,371900,105.81
6-Apr-05,105.20,105.61,104.65,104.96,417900,104.96
5-Apr-05,104.08,105.80,104.05,105.11,560900,105.11
4-Apr-05,104.50,105.01,103.48,104.08,637400,104.08
1-Apr-05,105.13,106.37,104.39,105.01,687500,104.83
31-Mar-05,104.90,105.90,104.12,105.13,708300,104.95
30-Mar-05,101.75,105.44,101.50,104.99,1013000,104.81
29-Mar-05,101.02,102.75,101.02,101.75,680800,101.58
28-Mar-05,100.25,101.15,99.82,100.69,329000,100.52
24-Mar-05,100.25,100.49,99.79,99.88,356000,99.71
23-Mar-05,100.00,100.56,99.55,100.13,427400,99.96
22-Mar-05,100.35,101.00,99.76,99.83,508700,99.66
21-Mar-05,100.10,100.90,99.87,100.45,504100,100.28
18-Mar-05,100.65,101.18,99.82,100.10,1245900,99.93
17-Mar-05,98.70,100.67,98.54,100.19,509800,100.02
16-Mar-05,99.00,99.48,98.19,98.70,383100,98.53
15-Mar-05,99.68,100.41,99.12,99.46,402300,99.29
14-Mar-05,99.30,99.99,99.30,99.69,426800,99.52
11-Mar-05,99.75,100.24,99.24,99.38,304700,99.21
10-Mar-05,99.45,100.00,99.11,99.65,299700,99.48
9-Mar-05,100.00,100.03,99.03,99.43,498400,99.26
