Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,49.38,49.74,49.20,49.60,1603800,49.60
10-May-05,49.56,49.62,49.10,49.24,1037400,49.24
9-May-05,49.52,49.67,49.27,49.56,1219000,49.56
6-May-05,49.95,49.99,49.41,49.45,681400,49.45
5-May-05,49.73,50.05,49.35,49.65,745800,49.65
4-May-05,50.02,50.21,49.50,49.68,1460600,49.68
3-May-05,49.28,50.18,49.22,49.95,1788400,49.95
2-May-05,49.52,49.62,49.07,49.28,916400,49.28
29-Apr-05,49.07,49.46,48.85,49.40,1908600,49.40
28-Apr-05,48.71,49.20,48.52,49.05,1780200,49.05
27-Apr-05,48.45,48.90,48.20,48.84,1116600,48.84
26-Apr-05,49.00,49.00,48.40,48.45,1280800,48.45
25-Apr-05,48.80,49.28,48.70,49.03,1068800,49.03
22-Apr-05,48.55,48.89,48.18,48.56,1356600,48.56
21-Apr-05,48.50,48.70,48.23,48.52,1078800,48.52
20-Apr-05,48.50,48.75,48.08,48.16,1075100,48.16
19-Apr-05,48.70,48.80,48.42,48.50,1443000,48.50
18-Apr-05,48.56,48.94,48.23,48.55,1588000,48.55
15-Apr-05,48.82,49.05,48.35,48.35,1676200,48.35
14-Apr-05,49.09,49.24,48.81,48.87,1855200,48.87
13-Apr-05,49.65,49.80,49.03,49.07,1292200,49.07
12-Apr-05,49.38,49.70,48.96,49.56,1192500,49.56
11-Apr-05,49.41,49.60,49.06,49.38,880900,49.38
8-Apr-05,49.30,49.66,49.03,49.23,1469800,49.23
7-Apr-05,49.20,49.53,48.98,49.44,1519800,49.44
6-Apr-05,49.40,49.53,49.17,49.51,1434400,49.51
5-Apr-05,48.79,49.50,48.54,49.33,1440000,49.33
4-Apr-05,48.48,48.95,48.05,48.79,2323600,48.79
1-Apr-05,49.19,49.40,48.29,48.65,2155400,48.65
31-Mar-05,49.28,49.41,49.05,49.15,1892200,49.15
30-Mar-05,49.46,49.98,49.40,49.46,1602200,49.46
29-Mar-05,50.01,50.13,49.24,49.32,2394200,49.32
28-Mar-05,50.00,50.33,49.96,50.01,1143800,50.01
24-Mar-05,50.14,50.20,49.78,49.85,1467800,49.85
23-Mar-05,49.50,50.29,49.36,50.15,2636800,50.15
22-Mar-05,51.10,51.11,49.42,49.42,4752200,49.42
21-Mar-05,51.66,51.90,51.25,51.52,1169400,51.52
18-Mar-05,51.00,51.53,50.99,51.53,2735500,51.53
17-Mar-05,51.95,51.95,50.90,51.00,1717400,51.00
16-Mar-05,52.16,52.38,51.89,51.95,1384500,51.95
15-Mar-05,52.16,52.70,52.10,52.41,1931400,52.41
14-Mar-05,51.36,51.88,51.30,51.88,1443200,51.88
11-Mar-05,51.65,52.04,51.19,51.31,1240700,51.31
10-Mar-05,51.45,51.90,51.41,51.77,1390900,51.77
9-Mar-05,51.70,51.70,51.02,51.14,1722600,51.14
8-Mar-05,51.91,51.95,51.60,51.70,1288400,51.70
7-Mar-05,52.35,52.35,51.70,51.85,1915500,51.85
4-Mar-05,52.47,52.62,51.96,52.30,1133900,52.30
3-Mar-05,52.34,52.55,52.11,52.34,1108100,52.34
2-Mar-05,52.60,52.80,52.25,52.33,1630100,52.33
1-Mar-05,52.37,52.86,52.32,52.83,1557600,52.83
28-Feb-05,51.87,52.56,51.65,52.37,1115900,52.37
25-Feb-05,51.60,52.33,51.60,52.04,1444100,52.04
24-Feb-05,51.35,51.75,51.09,51.75,1262200,51.75
23-Feb-05,50.75,51.36,50.71,51.36,1732000,51.36
22-Feb-05,51.50,51.70,50.75,50.75,2432800,50.75
18-Feb-05,52.07,52.14,51.61,51.74,1214300,51.74
17-Feb-05,52.69,52.71,52.17,52.17,1297400,52.17
16-Feb-05,52.55,52.86,52.45,52.70,1712000,52.70
15-Feb-05,52.87,52.90,52.55,52.65,1246800,52.65
14-Feb-05,52.66,52.68,52.44,52.62,778400,52.62
11-Feb-05,52.65,52.80,52.51,52.65,2120700,52.65
10-Feb-05,52.65,52.83,52.46,52.65,1549500,52.65
9-Feb-05,52.80,52.93,52.50,52.65,1409100,52.65
8-Feb-05,52.85,53.06,52.63,52.95,2031900,52.95
7-Feb-05,53.00,53.45,52.65,52.80,4579500,52.80
4-Feb-05,53.08,53.10,52.83,53.00,3697500,53.00
3-Feb-05,53.15,53.22,52.90,53.08,1646200,53.08
2-Feb-05,53.39,53.54,52.95,53.10,1588900,53.10
1-Feb-05,52.50,53.54,52.32,53.36,2493000,53.36
31-Jan-05,52.90,53.31,52.72,52.99,2049400,52.99
28-Jan-05,52.68,53.89,52.50,52.90,4016900,52.90
27-Jan-05,52.00,52.70,51.90,52.68,1985100,52.68
26-Jan-05,51.97,52.23,51.90,52.08,1895600,52.08
25-Jan-05,51.85,52.19,51.55,51.89,2602700,51.89
24-Jan-05,51.95,52.00,51.52,51.84,2077100,51.84
21-Jan-05,52.30,52.30,51.83,51.91,2227400,51.91
20-Jan-05,51.90,52.59,51.90,52.35,3070300,52.35
19-Jan-05,52.00,52.40,51.86,52.18,3510500,52.18
18-Jan-05,50.50,51.85,50.40,51.82,2653000,51.82
14-Jan-05,50.85,50.87,50.45,50.64,1512100,50.64
13-Jan-05,50.73,50.94,50.47,50.59,1515600,50.59
12-Jan-05,51.10,51.24,50.36,50.96,2538200,50.96
11-Jan-05,50.70,51.00,50.60,50.98,3167300,50.98
10-Jan-05,50.50,51.21,50.50,51.10,3335500,51.10
7-Jan-05,49.99,50.95,49.97,50.94,5455200,50.94
6-Jan-05,49.67,49.90,49.42,49.80,2286400,49.80
5-Jan-05,48.55,49.90,48.44,49.75,3698600,49.44
4-Jan-05,49.13,49.24,48.47,48.75,1685600,48.45
3-Jan-05,49.74,49.75,48.80,48.90,2115000,48.60
31-Dec-04,49.92,49.92,49.55,49.71,797400,49.40
30-Dec-04,49.85,49.88,49.65,49.82,712600,49.51
29-Dec-04,49.91,49.96,49.58,49.78,920900,49.47
28-Dec-04,49.48,49.87,49.28,49.81,1723200,49.50
27-Dec-04,49.32,49.52,49.12,49.26,1146800,48.95
23-Dec-04,49.15,49.42,49.12,49.22,1626400,48.91
22-Dec-04,49.15,49.17,48.68,49.08,1486700,48.77
21-Dec-04,49.00,49.57,48.25,49.00,3700900,48.69
20-Dec-04,48.72,49.15,48.47,49.12,2399500,48.81
17-Dec-04,48.46,48.98,48.38,48.72,3641900,48.42
16-Dec-04,48.32,48.42,48.00,48.36,1847700,48.06
15-Dec-04,48.45,48.46,48.10,48.42,2124400,48.12
14-Dec-04,47.40,48.60,47.40,48.52,3361900,48.22
13-Dec-04,47.15,47.28,46.65,47.27,1187300,46.98
10-Dec-04,46.65,47.12,46.33,47.06,1781100,46.77
