Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,20.48,20.56,20.23,20.56,8637900,20.56
10-May-05,20.50,20.59,20.30,20.45,9226400,20.45
9-May-05,20.45,20.80,20.43,20.74,9060700,20.74
6-May-05,20.95,21.09,20.82,20.98,6523100,20.98
5-May-05,20.98,21.07,20.69,20.93,6797600,20.93
4-May-05,21.00,21.15,20.77,21.03,8677300,21.03
3-May-05,20.97,21.27,20.81,21.00,9014600,21.00
2-May-05,20.57,21.00,20.55,20.97,12426400,20.97
29-Apr-05,20.30,20.57,20.24,20.47,11835100,20.47
28-Apr-05,19.95,20.44,19.81,20.30,14575700,20.30
27-Apr-05,20.25,20.28,19.94,20.17,17795000,20.17
26-Apr-05,20.65,20.65,20.25,20.47,16138300,20.47
25-Apr-05,21.00,21.12,20.91,21.10,6173700,21.10
22-Apr-05,20.95,21.09,20.65,20.78,10138700,20.78
21-Apr-05,20.70,21.23,20.65,21.08,10403900,21.08
20-Apr-05,20.55,20.77,20.53,20.59,8482000,20.59
19-Apr-05,20.44,20.76,20.44,20.65,8704900,20.65
18-Apr-05,20.65,20.78,20.19,20.44,16537800,20.44
15-Apr-05,21.50,21.51,20.76,20.84,20200800,20.84
14-Apr-05,21.87,21.87,21.66,21.75,14129800,21.75
13-Apr-05,21.55,22.06,21.54,21.95,12610700,21.95
12-Apr-05,21.45,21.80,21.36,21.71,7063100,21.71
11-Apr-05,21.65,21.81,21.48,21.57,7131900,21.57
8-Apr-05,21.75,21.89,21.61,21.64,6779400,21.64
7-Apr-05,21.77,21.94,21.56,21.80,7402000,21.80
6-Apr-05,21.69,21.97,21.56,21.77,10247500,21.77
5-Apr-05,21.85,22.11,21.55,21.56,12585300,21.56
4-Apr-05,21.71,21.92,21.55,21.91,15547400,21.91
1-Apr-05,21.95,22.04,21.42,21.71,16363800,21.71
31-Mar-05,21.95,22.04,21.79,21.94,20350700,21.94
30-Mar-05,21.50,22.14,21.28,22.00,44768200,22.00
29-Mar-05,19.79,21.85,19.76,21.78,45124800,21.78
28-Mar-05,19.82,19.97,19.60,19.79,7698400,19.79
24-Mar-05,19.73,20.01,19.68,19.81,6416800,19.81
23-Mar-05,19.75,19.90,19.57,19.76,12724000,19.76
22-Mar-05,20.15,20.29,19.94,20.01,9827900,20.01
21-Mar-05,20.05,20.28,20.03,20.15,9927900,20.15
18-Mar-05,20.38,20.39,20.07,20.10,19587900,20.10
17-Mar-05,20.15,20.50,20.12,20.38,9805200,20.38
16-Mar-05,20.00,20.26,19.90,20.22,11579300,20.22
15-Mar-05,20.22,20.33,19.91,20.14,8641200,20.14
14-Mar-05,20.05,20.29,19.99,20.20,9050200,20.20
11-Mar-05,20.52,20.65,19.85,19.94,14298600,19.86
10-Mar-05,20.59,20.65,20.28,20.59,6963700,20.51
9-Mar-05,20.80,21.04,20.49,20.64,9912700,20.56
8-Mar-05,20.78,20.96,20.74,20.92,8142400,20.84
7-Mar-05,20.51,21.02,20.50,20.87,13645200,20.79
4-Mar-05,20.90,20.94,20.54,20.56,11168700,20.48
3-Mar-05,20.66,20.90,20.55,20.81,7774400,20.73
2-Mar-05,20.40,20.84,20.32,20.70,7145100,20.62
1-Mar-05,20.75,20.80,20.35,20.72,8843300,20.64
28-Feb-05,20.45,20.88,20.45,20.80,9040100,20.72
25-Feb-05,20.27,20.74,20.26,20.66,7105100,20.58
24-Feb-05,20.15,20.56,19.90,20.44,11902300,20.36
23-Feb-05,20.56,20.60,20.24,20.36,10011900,20.28
22-Feb-05,20.75,21.11,20.57,20.57,9760000,20.49
18-Feb-05,20.87,21.21,20.76,21.00,9489800,20.92
17-Feb-05,21.17,21.48,20.80,20.86,22993200,20.78
16-Feb-05,20.90,21.25,20.83,21.06,17307400,20.98
