Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,67.82,68.11,67.24,67.95,4969700,67.95
10-May-05,68.00,68.15,67.46,67.73,6870600,67.73
9-May-05,68.10,68.29,67.77,68.17,6766100,68.17
6-May-05,68.87,68.87,68.15,68.21,4731000,68.21
5-May-05,68.25,68.60,67.90,68.51,6279600,68.51
4-May-05,68.15,68.25,67.65,68.22,8439700,68.22
3-May-05,68.82,68.83,68.32,68.73,5716300,68.73
2-May-05,68.68,68.83,68.35,68.78,4361200,68.78
29-Apr-05,67.82,68.63,67.79,68.63,6540900,68.63
28-Apr-05,68.10,68.34,67.62,67.66,6406300,67.66
27-Apr-05,67.84,68.40,67.68,68.33,5966400,68.33
26-Apr-05,68.40,68.69,68.00,68.02,5866900,68.02
25-Apr-05,69.00,69.50,68.44,68.54,5981500,68.54
22-Apr-05,68.33,68.78,67.99,68.49,7021900,68.49
21-Apr-05,68.33,68.48,67.83,68.29,7696200,68.29
20-Apr-05,69.05,69.15,67.85,68.10,7882400,68.10
19-Apr-05,69.87,69.95,68.41,69.05,9343700,69.05
18-Apr-05,69.30,69.31,68.47,69.04,9164900,69.04
15-Apr-05,69.89,69.99,69.30,69.40,12990700,69.40
14-Apr-05,68.60,69.26,68.23,69.25,8069600,69.25
13-Apr-05,68.45,68.99,68.45,68.59,7138400,68.59
12-Apr-05,68.28,68.71,67.85,68.64,9775400,68.64
11-Apr-05,68.80,69.26,68.70,68.89,4449500,68.89
8-Apr-05,69.46,69.48,68.64,68.64,4822800,68.64
7-Apr-05,68.60,69.25,68.47,69.24,4975300,69.24
6-Apr-05,69.11,69.20,68.65,68.81,5689800,68.81
5-Apr-05,67.98,69.05,67.78,69.01,9114300,69.01
4-Apr-05,66.95,68.09,66.85,67.98,8684900,67.98
1-Apr-05,67.32,67.45,66.65,66.85,11052700,66.85
31-Mar-05,67.38,67.46,67.00,67.16,12551500,67.16
30-Mar-05,67.93,68.25,67.90,68.05,6516300,68.05
29-Mar-05,68.05,68.12,67.70,67.92,9428000,67.92
28-Mar-05,68.23,68.50,68.17,68.35,5145100,68.35
24-Mar-05,68.20,68.52,67.96,68.09,8876600,68.09
23-Mar-05,66.83,68.20,66.82,68.20,9565500,68.20
22-Mar-05,66.65,67.23,66.65,66.79,5072300,66.79
21-Mar-05,67.25,67.25,66.66,66.85,5178600,66.85
18-Mar-05,67.00,67.25,66.66,67.25,10640700,67.25
17-Mar-05,66.83,67.37,66.81,66.99,4405800,66.99
16-Mar-05,67.10,67.45,67.05,67.05,5408700,67.05
15-Mar-05,67.84,67.85,67.26,67.26,5014000,67.26
14-Mar-05,67.59,67.83,67.49,67.82,5589000,67.82
11-Mar-05,68.01,68.25,67.49,67.60,5807000,67.60
10-Mar-05,67.87,68.27,67.80,68.00,5041700,68.00
9-Mar-05,68.10,68.11,67.70,67.76,6375500,67.76
8-Mar-05,68.05,68.40,68.00,68.19,8537100,68.19
7-Mar-05,67.90,68.68,67.85,68.44,9389500,68.44
4-Mar-05,67.19,67.75,67.01,67.74,8306000,67.74
3-Mar-05,67.10,67.10,66.51,66.75,5791900,66.75
2-Mar-05,66.55,67.15,66.12,66.96,6991900,66.96
1-Mar-05,66.47,66.99,66.41,66.65,8467400,66.65
28-Feb-05,66.07,66.24,65.60,65.60,6833700,65.60
25-Feb-05,65.86,66.29,65.85,66.22,6456100,66.22
24-Feb-05,65.35,65.95,65.08,65.89,4817000,65.89
23-Feb-05,65.40,65.55,65.21,65.41,4928200,65.41
22-Feb-05,65.05,65.87,65.05,65.07,8299800,65.07
18-Feb-05,65.44,65.59,65.21,65.43,6185200,65.43
17-Feb-05,65.70,65.70,65.34,65.35,5354200,65.35
16-Feb-05,65.68,65.87,65.42,65.74,4607500,65.74
15-Feb-05,65.82,66.01,65.54,65.91,4186400,65.91
14-Feb-05,66.61,66.61,65.80,66.00,5217600,66.00
11-Feb-05,65.99,66.89,65.90,66.60,6584400,66.60
10-Feb-05,66.06,66.22,65.87,66.13,4002900,65.84
9-Feb-05,66.36,66.48,65.97,66.19,4529800,65.90
8-Feb-05,66.46,66.64,66.14,66.33,6379900,66.04
7-Feb-05,66.25,66.51,65.87,66.45,4892100,66.16
4-Feb-05,65.47,66.24,65.46,66.24,4851300,65.95
3-Feb-05,65.78,66.00,65.47,65.65,5022300,65.37
2-Feb-05,65.20,66.05,65.18,66.00,7068000,65.72
1-Feb-05,64.61,65.42,64.52,65.42,7340300,65.14
