Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,53.69,54.20,53.32,54.12,4388000,54.12
10-May-05,54.50,54.51,53.30,53.46,5290300,53.46
9-May-05,54.00,55.05,54.00,54.86,3329300,54.86
6-May-05,54.29,54.70,54.01,54.05,2887400,54.05
5-May-05,54.50,54.94,53.90,54.28,3567600,54.28
4-May-05,53.16,54.65,53.03,54.54,4668800,54.54
3-May-05,52.86,53.30,52.63,52.80,5703800,52.60
2-May-05,53.75,53.76,52.36,53.08,6041200,52.88
29-Apr-05,53.70,54.14,52.85,53.93,5610200,53.73
28-Apr-05,54.35,54.65,53.44,53.45,3932300,53.25
27-Apr-05,53.25,54.93,53.15,54.50,4493100,54.29
26-Apr-05,53.89,54.38,53.49,53.50,3513700,53.30
25-Apr-05,53.50,54.15,53.47,53.88,3651000,53.68
22-Apr-05,53.45,53.99,52.67,53.18,3963000,52.98
21-Apr-05,53.21,53.79,52.00,53.45,6806600,53.25
20-Apr-05,54.05,54.05,52.28,52.48,6327200,52.28
19-Apr-05,54.23,54.72,53.66,54.04,6923100,53.84
18-Apr-05,53.20,53.44,52.73,53.24,5440600,53.04
15-Apr-05,53.75,54.49,52.91,53.09,7241900,52.89
14-Apr-05,55.38,55.54,53.94,53.94,5850500,53.74
13-Apr-05,55.75,55.85,55.02,55.30,4527200,55.09
12-Apr-05,55.90,56.08,54.86,55.85,6991300,55.64
11-Apr-05,56.65,56.89,55.90,55.97,3087500,55.76
8-Apr-05,57.00,57.16,56.41,56.50,3258800,56.29
7-Apr-05,56.55,57.08,56.36,56.96,3503600,56.74
6-Apr-05,56.55,56.93,56.15,56.55,3178700,56.34
5-Apr-05,56.16,56.75,56.00,56.15,4065900,55.94
4-Apr-05,56.10,56.28,55.41,55.91,5115900,55.70
1-Apr-05,56.98,57.50,55.51,55.95,5256500,55.74
31-Mar-05,56.95,57.05,56.38,56.60,3903300,56.39
30-Mar-05,56.49,57.35,56.42,56.99,4191200,56.77
29-Mar-05,56.80,57.41,56.01,56.33,4930700,56.12
28-Mar-05,57.07,57.29,56.79,56.96,3266100,56.74
24-Mar-05,57.15,57.67,57.00,57.01,4256600,56.79
23-Mar-05,58.40,58.49,56.83,57.09,8840000,56.87
22-Mar-05,59.39,60.15,58.64,58.64,4541200,58.42
21-Mar-05,59.50,59.71,58.86,59.39,3359900,59.17
18-Mar-05,59.37,59.80,59.05,59.56,5784300,59.33
17-Mar-05,59.58,59.61,58.80,59.02,4149400,58.80
16-Mar-05,59.95,59.96,59.06,59.40,4326600,59.18
15-Mar-05,60.90,61.20,59.92,60.00,4319400,59.77
14-Mar-05,60.01,60.47,59.95,60.39,3145400,60.16
11-Mar-05,60.95,61.06,59.93,60.02,3411700,59.79
10-Mar-05,60.64,61.20,60.53,61.05,3093600,60.82
9-Mar-05,61.02,61.05,60.42,60.64,4228800,60.41
8-Mar-05,61.05,61.52,60.76,61.27,3225800,61.04
7-Mar-05,61.50,61.84,61.04,61.19,3769200,60.96
4-Mar-05,60.50,61.99,60.50,61.55,5960500,61.32
3-Mar-05,60.15,60.27,59.82,60.06,3992500,59.83
2-Mar-05,59.54,60.50,59.42,59.91,4046500,59.68
1-Mar-05,58.68,60.08,58.68,59.93,4595900,59.70
28-Feb-05,59.05,59.20,58.45,58.58,4713200,58.36
25-Feb-05,58.36,59.55,58.36,59.33,4036600,59.11
24-Feb-05,58.48,58.70,58.17,58.49,4561600,58.27
23-Feb-05,58.47,58.65,58.07,58.38,4776300,58.16
22-Feb-05,58.45,59.28,57.95,57.96,6462600,57.74
18-Feb-05,59.97,59.99,58.60,58.86,7160800,58.64
17-Feb-05,60.16,60.42,59.86,59.97,4445300,59.74
16-Feb-05,60.21,60.38,59.99,60.27,3772600,60.04
15-Feb-05,60.25,60.61,60.25,60.44,3705700,60.21
14-Feb-05,60.11,60.78,60.11,60.41,3070600,60.18
11-Feb-05,60.19,60.83,59.87,60.35,5130200,60.12
10-Feb-05,60.16,61.00,60.11,60.19,4352300,59.96
9-Feb-05,60.27,60.86,60.00,60.08,4295500,59.85
8-Feb-05,60.25,60.81,60.25,60.43,4094600,60.20
7-Feb-05,60.35,60.65,60.07,60.43,3382500,60.20
4-Feb-05,59.44,60.75,59.38,60.69,5102100,60.46
3-Feb-05,59.69,59.99,59.22,59.44,4024900,59.21
2-Feb-05,60.20,60.45,59.77,60.26,3691000,60.03
1-Feb-05,59.98,60.93,59.81,60.57,5558600,60.18
31-Jan-05,59.14,60.11,59.10,60.07,5958500,59.68
28-Jan-05,58.85,59.54,58.54,58.81,4732500,58.43
27-Jan-05,58.45,58.74,58.02,58.49,3172700,58.11
26-Jan-05,57.90,58.72,57.75,58.61,5561300,58.23
25-Jan-05,57.50,58.68,57.50,57.99,7416600,57.62
24-Jan-05,57.00,57.39,56.62,56.80,4405200,56.44
21-Jan-05,57.89,58.05,56.71,56.94,4853500,56.57
20-Jan-05,58.08,58.43,57.67,57.88,3173700,57.51
19-Jan-05,58.80,58.96,58.36,58.46,2653800,58.08
18-Jan-05,58.30,59.02,58.24,59.00,4200300,58.62
14-Jan-05,57.91,58.57,57.72,58.57,3446100,58.19
13-Jan-05,58.05,58.71,57.60,57.62,4010500,57.25
12-Jan-05,58.00,58.13,57.37,58.05,4437300,57.68
11-Jan-05,57.95,58.21,57.67,57.80,3939100,57.43
10-Jan-05,58.20,58.69,58.12,58.21,3975900,57.84
7-Jan-05,58.75,58.99,58.34,58.49,2552800,58.11
6-Jan-05,58.09,59.00,58.08,58.66,4328200,58.28
5-Jan-05,58.20,58.81,58.03,58.09,4183100,57.72
4-Jan-05,58.99,59.08,57.76,58.30,6218700,57.93
3-Jan-05,60.05,60.38,59.05,59.18,3562200,58.80
31-Dec-04,60.00,60.24,59.59,59.77,1578500,59.39
30-Dec-04,59.60,60.18,59.48,60.00,1905300,59.61
29-Dec-04,59.50,59.68,59.19,59.53,2042200,59.15
28-Dec-04,59.97,60.10,59.58,59.58,2677800,59.20
27-Dec-04,59.95,60.10,59.34,59.58,1594500,59.20
23-Dec-04,59.40,60.22,59.40,59.82,2591400,59.44
22-Dec-04,58.90,59.89,58.90,59.56,3597200,59.18
21-Dec-04,59.02,59.41,58.18,59.25,5738200,58.87
20-Dec-04,59.92,60.50,58.98,58.98,4664100,58.60
17-Dec-04,59.84,60.15,59.60,59.82,6493100,59.44
16-Dec-04,60.50,60.98,59.77,59.83,6178400,59.45
15-Dec-04,60.00,61.16,59.77,61.03,7430300,60.64
14-Dec-04,59.30,60.20,59.26,60.11,5138900,59.72
13-Dec-04,59.00,59.81,58.96,59.77,5573200,59.39
10-Dec-04,58.08,59.31,58.07,58.95,5259300,58.57
9-Dec-04,57.00,58.60,57.00,58.37,4905300,58.00
8-Dec-04,57.15,58.00,57.10,57.56,4157400,57.19
