Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,76.79,77.08,76.00,76.99,2806200,76.99
10-May-05,77.58,77.58,75.99,76.61,3866900,76.61
9-May-05,77.18,77.73,76.80,77.73,2310700,77.73
6-May-05,77.58,78.24,77.17,77.33,2286200,77.33
5-May-05,77.35,77.95,77.10,77.47,2600200,77.47
4-May-05,76.70,77.63,76.18,77.35,3013100,77.35
3-May-05,76.84,77.29,76.27,76.76,3141600,76.76
2-May-05,76.47,77.14,76.25,76.88,2834500,76.88
29-Apr-05,75.71,76.60,74.95,76.47,2955800,76.47
28-Apr-05,75.90,76.02,75.11,75.23,3213400,75.23
27-Apr-05,75.87,76.84,75.27,76.60,2750200,76.60
26-Apr-05,77.52,77.83,76.13,76.13,2724900,76.13
25-Apr-05,77.67,78.23,77.21,77.51,2461300,77.51
22-Apr-05,77.91,77.92,76.38,77.06,2715800,77.06
21-Apr-05,76.90,78.22,76.31,77.89,3657800,77.89
20-Apr-05,77.17,77.60,75.50,75.90,4921700,75.90
19-Apr-05,76.50,78.20,76.50,76.93,7149900,76.93
18-Apr-05,80.00,80.01,75.38,75.90,13236700,75.90
15-Apr-05,82.39,82.48,80.51,80.86,4636300,80.86
14-Apr-05,83.90,83.93,82.16,82.38,3206600,82.38
13-Apr-05,84.97,85.35,83.80,84.22,2294600,84.22
12-Apr-05,84.24,85.47,83.53,85.25,2307000,85.25
11-Apr-05,84.75,84.88,84.19,84.47,1588000,84.47
8-Apr-05,85.00,85.35,84.50,84.55,1660700,84.55
7-Apr-05,85.10,85.40,84.79,85.16,2131900,85.16
6-Apr-05,85.00,85.62,84.76,84.82,2333500,84.82
5-Apr-05,84.68,85.00,83.85,84.47,2863200,84.47
4-Apr-05,85.23,85.42,84.57,84.70,2448700,84.70
1-Apr-05,86.00,86.21,85.07,85.12,2293700,85.12
31-Mar-05,85.95,86.59,85.57,85.69,2609400,85.69
30-Mar-05,84.85,86.08,84.85,85.98,1999000,85.98
29-Mar-05,85.18,86.06,84.60,84.65,2752700,84.65
28-Mar-05,85.29,85.76,85.12,85.17,1561300,85.17
24-Mar-05,85.25,85.65,84.89,85.28,1843600,85.28
23-Mar-05,85.15,85.50,84.62,85.07,2366300,85.07
22-Mar-05,85.48,86.70,85.34,85.38,2086700,85.38
21-Mar-05,86.00,86.20,85.31,85.67,1695300,85.67
18-Mar-05,86.40,87.05,85.56,86.16,5264900,86.16
