Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,15.82,15.89,15.50,15.80,8947700,15.80
10-May-05,15.92,15.98,15.66,15.79,16065400,15.79
9-May-05,15.59,15.80,15.59,15.77,10113800,15.77
6-May-05,15.95,15.97,15.63,15.69,11183300,15.69
5-May-05,15.60,15.85,15.57,15.71,10551000,15.71
4-May-05,15.56,15.82,15.47,15.70,10326900,15.70
3-May-05,15.51,15.60,15.35,15.57,8291100,15.57
2-May-05,15.34,15.56,15.24,15.47,6715800,15.47
29-Apr-05,15.41,15.46,15.10,15.34,9921700,15.34
28-Apr-05,15.58,15.66,15.35,15.37,11072100,15.37
27-Apr-05,15.80,15.84,15.67,15.70,11381600,15.70
26-Apr-05,15.65,15.95,15.65,15.90,12098800,15.90
25-Apr-05,15.86,15.90,15.62,15.77,9390600,15.77
22-Apr-05,15.93,15.98,15.66,15.78,11785500,15.78
21-Apr-05,15.84,15.98,15.63,15.93,38477000,15.93
20-Apr-05,14.85,15.00,14.73,14.93,16515500,14.93
19-Apr-05,14.74,14.83,14.58,14.72,8637700,14.72
18-Apr-05,14.65,14.72,14.48,14.61,13133100,14.61
15-Apr-05,15.01,15.02,14.75,14.75,15264300,14.75
14-Apr-05,15.28,15.60,15.04,15.07,10847000,15.07
13-Apr-05,15.19,15.60,15.18,15.28,15859900,15.28
12-Apr-05,15.00,15.41,14.94,15.28,10332500,15.28
11-Apr-05,15.15,15.17,14.99,15.11,6251700,15.11
8-Apr-05,15.30,15.30,15.14,15.20,11140300,15.20
7-Apr-05,15.00,15.35,14.96,15.30,13127200,15.30
6-Apr-05,14.91,15.12,14.84,14.94,9817000,14.94
5-Apr-05,14.81,15.06,14.81,15.03,12312600,15.03
4-Apr-05,14.89,14.91,14.76,14.87,9941100,14.87
1-Apr-05,15.12,15.20,14.86,14.89,15021800,14.89
31-Mar-05,14.88,15.06,14.85,14.97,14795100,14.97
30-Mar-05,14.70,14.96,14.70,14.95,11977000,14.95
29-Mar-05,14.89,14.97,14.69,14.72,11477800,14.72
28-Mar-05,14.98,15.13,14.87,14.90,10216000,14.90
24-Mar-05,15.00,15.07,14.86,14.94,7902000,14.94
23-Mar-05,15.12,15.15,14.85,14.95,12926000,14.95
22-Mar-05,15.10,15.24,14.98,14.99,20318000,14.99
21-Mar-05,15.18,15.21,14.84,14.91,11921500,14.91
18-Mar-05,15.02,15.09,14.91,15.01,22852500,15.01
17-Mar-05,15.36,15.40,15.14,15.16,9757200,15.16
16-Mar-05,15.44,15.74,15.21,15.25,19317000,15.25
15-Mar-05,15.50,15.54,15.26,15.33,11803500,15.33
14-Mar-05,15.40,15.49,15.32,15.49,8588400,15.49
11-Mar-05,15.74,15.75,15.24,15.27,10740400,15.27
10-Mar-05,15.50,15.56,15.25,15.42,11433300,15.38
9-Mar-05,15.39,15.52,15.23,15.29,12618000,15.25
8-Mar-05,15.22,16.23,15.01,15.36,35594800,15.32
7-Mar-05,15.11,15.49,14.98,15.40,21826200,15.36
4-Mar-05,15.33,15.34,14.75,15.11,27612900,15.07
3-Mar-05,15.58,15.65,15.13,15.20,17422000,15.16
2-Mar-05,15.35,15.62,15.28,15.58,12427100,15.54
1-Mar-05,15.64,15.70,15.37,15.63,14865000,15.59
28-Feb-05,15.50,15.74,15.50,15.66,12398000,15.62
25-Feb-05,15.52,15.68,15.46,15.59,8100800,15.55
24-Feb-05,15.30,15.65,15.19,15.60,9618500,15.56
23-Feb-05,15.28,15.49,15.10,15.42,11664000,15.38
22-Feb-05,15.34,15.71,15.21,15.29,12870200,15.25
18-Feb-05,15.60,15.73,15.50,15.50,7819500,15.46
17-Feb-05,15.70,15.94,15.45,15.56,17382500,15.52
16-Feb-05,15.88,15.92,15.68,15.73,16337100,15.69
15-Feb-05,16.00,16.14,15.90,16.00,13959300,15.96
14-Feb-05,15.95,16.27,15.86,16.20,11511200,16.16
11-Feb-05,15.88,16.00,15.78,15.91,9185700,15.87
10-Feb-05,15.70,15.93,15.68,15.88,7545100,15.84
9-Feb-05,16.27,16.75,15.70,15.70,14822700,15.66
8-Feb-05,16.27,16.55,16.25,16.32,8008100,16.28
7-Feb-05,16.17,16.44,16.17,16.35,6895300,16.31
4-Feb-05,16.03,16.40,16.00,16.26,8039000,16.22
3-Feb-05,16.25,16.26,15.94,15.99,9024200,15.95
2-Feb-05,16.01,16.32,15.93,16.27,13582600,16.23
1-Feb-05,15.75,16.05,15.64,15.99,14202000,15.95
31-Jan-05,15.76,15.83,15.66,15.74,10239600,15.70
28-Jan-05,15.73,15.75,15.40,15.50,14688500,15.46
27-Jan-05,16.00,16.00,15.62,15.70,11853500,15.66
26-Jan-05,15.50,15.70,15.46,15.65,17739800,15.61
25-Jan-05,15.39,15.58,15.15,15.35,15018800,15.31
24-Jan-05,15.66,15.72,15.22,15.29,17174800,15.25
21-Jan-05,15.86,15.99,15.59,15.63,18165200,15.59
20-Jan-05,16.09,16.15,15.26,15.77,39179900,15.73
19-Jan-05,16.75,16.75,15.95,16.20,50161500,16.16
18-Jan-05,17.11,17.52,17.11,17.43,24722400,17.38
14-Jan-05,17.10,17.25,16.95,17.03,11187300,16.99
13-Jan-05,16.46,17.34,16.46,16.95,24213200,16.91
12-Jan-05,16.70,16.80,16.34,16.47,17271200,16.43
11-Jan-05,16.88,16.88,16.54,16.64,14063900,16.60
10-Jan-05,16.71,17.07,16.65,16.98,19036900,16.94
7-Jan-05,16.87,16.90,16.60,16.69,13237700,16.65
6-Jan-05,16.70,16.86,16.48,16.71,14284800,16.67
5-Jan-05,16.60,16.80,16.49,16.52,10588900,16.48
4-Jan-05,17.10,17.18,16.56,16.72,14324900,16.68
3-Jan-05,17.26,17.36,16.93,17.06,11102700,17.02
31-Dec-04,17.10,17.29,17.10,17.20,5854300,17.16
30-Dec-04,17.12,17.21,17.10,17.17,6345900,17.13
29-Dec-04,17.15,17.29,17.10,17.16,6060200,17.12
28-Dec-04,17.20,17.30,17.11,17.19,7170700,17.15
27-Dec-04,17.45,17.45,17.22,17.27,6382300,17.23
23-Dec-04,17.40,17.48,17.25,17.26,6703900,17.22
22-Dec-04,17.40,17.49,17.29,17.44,14133600,17.39
21-Dec-04,16.95,17.40,16.89,17.31,14070000,17.27
20-Dec-04,17.12,17.17,16.80,16.95,11425500,16.91
17-Dec-04,17.00,17.22,16.98,17.00,19512700,16.96
16-Dec-04,16.97,17.53,16.97,17.15,19876500,17.11
15-Dec-04,16.70,17.42,16.63,16.96,25747800,16.92
14-Dec-04,17.23,17.25,16.78,16.85,20774200,16.81
13-Dec-04,16.70,17.28,16.50,17.15,34599900,17.11
10-Dec-04,17.19,17.30,16.20,16.34,46353600,16.26
9-Dec-04,17.78,17.78,17.05,17.72,26074800,17.63
8-Dec-04,18.12,18.15,17.62,17.79,11702200,17.70
7-Dec-04,18.55,18.65,17.99,18.00,17430700,17.91
6-Dec-04,18.00,18.50,17.94,18.30,20452300,18.21
3-Dec-04,18.18,18.53,17.76,17.85,18805300,17.76
2-Dec-04,19.67,20.03,19.46,19.66,11962300,17.52
1-Dec-04,19.35,19.80,19.30,19.75,16827800,17.60
30-Nov-04,19.44,19.59,19.20,19.26,14739400,17.16
29-Nov-04,19.00,19.47,19.00,19.44,13386700,17.32
26-Nov-04,18.93,19.13,18.93,19.00,3367700,16.93
24-Nov-04,18.85,19.18,18.85,19.01,11802900,16.94
23-Nov-04,18.70,19.01,18.55,18.87,21096600,16.81
22-Nov-04,17.94,18.52,17.89,18.45,14381000,16.44
19-Nov-04,18.30,18.40,17.90,17.94,14936400,15.98
18-Nov-04,18.33,18.35,17.94,18.30,13967900,16.30
17-Nov-04,18.35,18.49,18.10,18.13,17473000,16.15
16-Nov-04,17.95,18.10,17.84,17.87,8080800,15.92
15-Nov-04,18.06,18.35,17.93,18.04,10861800,16.07
12-Nov-04,17.70,18.12,17.70,18.10,15809700,16.13
11-Nov-04,17.35,17.75,17.30,17.58,19129100,15.66
10-Nov-04,16.67,17.47,16.65,17.18,28286800,15.31
9-Nov-04,17.03,17.07,16.60,16.67,29829700,14.85
8-Nov-04,17.10,17.23,16.92,16.93,13484400,15.08
5-Nov-04,17.25,17.51,17.07,17.07,15049900,15.21
4-Nov-04,16.60,17.07,16.34,17.05,26597500,15.19
3-Nov-04,17.35,17.48,16.62,16.70,20684400,14.88
2-Nov-04,17.17,17.36,17.00,17.08,9292800,15.22
1-Nov-04,17.26,17.28,17.03,17.16,10203600,15.29
29-Oct-04,17.31,17.43,17.11,17.26,14993600,15.38
28-Oct-04,17.50,17.73,17.39,17.39,8394600,15.49
27-Oct-04,17.05,17.70,17.03,17.64,12825100,15.72
26-Oct-04,16.97,17.23,16.89,17.01,11738600,15.15
25-Oct-04,16.50,16.91,16.46,16.86,11252900,15.02
22-Oct-04,17.04,17.24,16.55,16.56,16899900,14.75
21-Oct-04,17.30,17.34,16.94,16.99,27515100,15.14
20-Oct-04,17.57,17.73,17.00,17.09,38507700,15.23
19-Oct-04,18.95,19.47,18.50,18.50,27323000,16.48
18-Oct-04,18.45,18.87,18.33,18.72,7443200,16.68
15-Oct-04,18.33,18.69,18.30,18.45,10257300,16.44
14-Oct-04,18.38,18.62,18.24,18.33,8526300,16.33
13-Oct-04,18.70,18.84,18.34,18.40,9161000,16.39
12-Oct-04,18.28,18.54,18.19,18.37,9505800,16.37
11-Oct-04,18.40,18.61,18.33,18.50,4319900,16.48
8-Oct-04,18.72,18.75,18.34,18.41,7145900,16.40
7-Oct-04,18.75,18.91,18.55,18.80,7676900,16.75
6-Oct-04,18.85,18.90,18.67,18.75,9410400,16.70
5-Oct-04,18.80,19.04,18.69,18.99,9937100,16.92
4-Oct-04,18.77,19.20,18.77,19.01,16749700,16.94
1-Oct-04,18.20,18.77,18.20,18.77,15302900,16.72
30-Sep-04,17.60,18.10,17.58,18.04,13800000,16.07
29-Sep-04,17.50,17.84,17.44,17.59,7975100,15.67
28-Sep-04,17.70,17.75,17.23,17.51,10764500,15.60
27-Sep-04,17.63,17.97,17.50,17.50,12683500,15.59
24-Sep-04,17.98,18.15,17.80,17.83,13192500,15.88
23-Sep-04,17.88,18.08,17.62,17.89,11295100,15.94
22-Sep-04,17.62,18.07,17.56,17.94,23487900,15.98
21-Sep-04,17.70,17.98,17.57,17.83,17845200,15.88
20-Sep-04,16.99,17.60,16.86,17.37,15386100,15.48
17-Sep-04,16.90,17.10,16.81,17.01,13971100,15.15
16-Sep-04,16.44,16.86,16.38,16.79,12187800,14.96
15-Sep-04,16.88,16.88,16.18,16.35,10737700,14.57
14-Sep-04,16.85,16.91,16.66,16.87,7896700,15.03
13-Sep-04,16.70,17.17,16.57,16.64,14774300,14.82
10-Sep-04,16.17,16.82,16.01,16.69,14109100,14.83
9-Sep-04,15.50,16.10,15.49,16.06,21581700,14.27
8-Sep-04,15.30,15.30,14.95,15.10,27193400,13.42
7-Sep-04,16.30,16.40,15.62,15.68,16192500,13.94
3-Sep-04,16.19,16.43,16.14,16.14,8195100,14.34
2-Sep-04,16.18,16.55,16.11,16.44,8700900,14.61
1-Sep-04,15.92,16.35,15.91,16.26,8168200,14.45
31-Aug-04,16.17,16.29,15.88,16.15,7621300,14.35
30-Aug-04,16.41,16.53,16.10,16.20,5862000,14.40
27-Aug-04,16.44,16.69,16.39,16.59,5880400,14.74
26-Aug-04,16.33,16.64,16.22,16.38,7522200,14.56
25-Aug-04,16.15,16.51,15.93,16.40,8738000,14.58
24-Aug-04,16.17,16.30,15.88,16.01,7896300,14.23
23-Aug-04,16.17,16.39,16.11,16.16,8928000,14.36
20-Aug-04,15.68,16.23,15.68,16.05,11537300,14.26
19-Aug-04,15.60,15.80,15.41,15.62,10023500,13.88
18-Aug-04,15.08,15.69,14.90,15.62,12019100,13.88
17-Aug-04,15.08,15.41,14.92,15.08,15421400,13.40
16-Aug-04,14.15,14.50,14.11,14.42,8222500,12.82
13-Aug-04,14.29,14.42,13.83,14.21,9587100,12.63
12-Aug-04,14.05,14.24,13.95,14.12,11584500,12.55
11-Aug-04,14.65,14.68,14.23,14.33,14765700,12.74
10-Aug-04,14.70,15.14,14.70,15.14,8920400,13.46
9-Aug-04,14.75,14.88,14.40,14.72,7271600,13.08
6-Aug-04,15.11,15.20,14.62,14.74,10241700,13.10
5-Aug-04,15.50,15.85,15.23,15.29,9177000,13.59
4-Aug-04,15.45,15.74,15.28,15.50,10752600,13.78
3-Aug-04,16.08,16.16,15.58,15.61,10932400,13.87
2-Aug-04,15.82,16.28,15.70,16.23,8432200,14.42
30-Jul-04,15.94,16.05,15.66,15.93,11055900,14.16
29-Jul-04,16.30,16.38,15.96,16.01,10471400,14.23
28-Jul-04,15.55,16.45,15.42,16.19,24654900,14.39
27-Jul-04,15.77,15.78,15.27,15.48,14797700,13.76
26-Jul-04,15.60,15.65,15.05,15.42,12166300,13.70
23-Jul-04,15.45,15.53,15.22,15.28,9922500,13.58
22-Jul-04,15.07,15.75,15.00,15.61,21325400,13.87
21-Jul-04,16.69,16.69,14.79,14.87,40851400,13.22
20-Jul-04,15.98,16.11,15.52,16.09,28235900,14.30
19-Jul-04,15.60,15.80,15.41,15.44,24175000,13.72
16-Jul-04,16.55,16.55,15.30,15.80,35029900,14.04
15-Jul-04,16.39,16.75,16.31,16.58,16455500,14.74
14-Jul-04,17.15,17.17,16.62,16.75,14630500,14.89
13-Jul-04,17.12,17.36,17.08,17.32,6995900,15.39
12-Jul-04,17.50,17.53,16.98,17.07,7358600,15.17
9-Jul-04,17.80,17.87,17.42,17.50,8634400,15.55
8-Jul-04,17.42,18.04,17.37,17.42,15777700,15.48
