Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,49.41,50.13,48.56,49.85,7206100,49.85
10-May-05,49.90,50.20,49.30,49.42,7837900,49.42
9-May-05,50.16,50.86,49.95,50.75,5660500,50.75
6-May-05,50.48,50.60,50.00,50.05,5151500,50.05
5-May-05,50.39,50.73,49.85,50.25,4982900,50.25
4-May-05,49.81,50.44,49.60,50.38,9252300,50.38
3-May-05,49.35,49.86,48.90,49.42,12166500,49.42
2-May-05,50.30,50.67,48.82,49.39,24150200,49.39
29-Apr-05,50.94,53.00,50.08,52.62,16022100,52.62
28-Apr-05,51.00,51.80,50.41,50.44,5371100,50.44
27-Apr-05,50.36,51.37,50.15,51.18,6027400,51.18
26-Apr-05,51.10,51.69,50.54,50.54,5201700,50.54
25-Apr-05,50.55,51.45,50.37,51.22,4913300,51.22
22-Apr-05,51.18,51.73,49.88,50.25,5124500,50.25
21-Apr-05,50.67,51.27,49.77,51.18,6773200,51.18
20-Apr-05,51.31,51.48,50.00,50.19,10538700,50.19
19-Apr-05,52.15,52.47,51.54,51.73,6832600,51.73
18-Apr-05,51.60,52.04,51.00,51.58,6316700,51.58
15-Apr-05,52.30,52.91,51.40,51.49,9544500,51.49
14-Apr-05,52.50,53.20,51.91,52.33,13293300,52.33
13-Apr-05,55.00,55.09,52.80,53.13,13761500,53.13
12-Apr-05,54.20,55.12,53.60,54.75,10018800,54.48
11-Apr-05,55.52,55.74,54.00,54.34,8550700,54.07
8-Apr-05,56.10,56.29,55.31,55.67,6720700,55.40
7-Apr-05,56.15,56.48,55.35,55.98,8838700,55.70
6-Apr-05,56.45,56.89,56.00,56.60,10817200,56.32
5-Apr-05,57.00,58.00,55.98,56.45,13327200,56.17
4-Apr-05,58.50,60.10,56.95,58.30,26080300,58.01
1-Apr-05,57.48,59.08,56.60,56.87,13769600,56.59
31-Mar-05,57.50,57.60,56.48,57.25,17723900,56.97
30-Mar-05,53.61,55.60,53.61,55.28,17600600,55.01
29-Mar-05,55.50,56.15,53.58,53.61,13796100,53.35
28-Mar-05,55.63,55.80,55.22,55.48,4449500,55.21
24-Mar-05,55.48,56.15,55.31,55.59,5669100,55.32
23-Mar-05,55.70,55.92,54.70,55.64,5802300,55.37
22-Mar-05,57.15,57.44,55.66,55.70,5824900,55.43
21-Mar-05,57.68,58.20,56.84,57.01,5810000,56.73
18-Mar-05,57.08,57.80,56.34,57.78,8396500,57.50
17-Mar-05,57.70,57.95,56.59,57.07,7634900,56.79
16-Mar-05,58.29,58.58,57.35,57.95,4984200,57.66
15-Mar-05,59.65,59.93,58.56,58.85,4403200,58.56
14-Mar-05,58.49,59.08,58.30,59.00,3534700,58.71
11-Mar-05,59.85,59.88,57.94,58.49,5528800,58.20
10-Mar-05,60.00,60.40,59.28,59.98,6332800,59.68
9-Mar-05,59.41,60.27,58.92,59.96,7575200,59.66
8-Mar-05,59.20,60.00,58.95,59.40,5283800,59.11
7-Mar-05,58.80,59.53,58.71,59.20,4641800,58.91
4-Mar-05,57.70,58.96,57.55,58.39,4752000,58.10
3-Mar-05,57.18,57.46,56.19,56.93,4687600,56.65
2-Mar-05,56.70,57.45,56.60,56.74,4827400,56.46
1-Mar-05,56.47,57.27,56.47,56.95,5029100,56.67
28-Feb-05,57.30,57.50,56.15,56.47,5473600,56.19
25-Feb-05,56.56,57.75,56.53,57.66,3508000,57.38
24-Feb-05,57.15,57.15,56.40,56.71,3785300,56.43
23-Feb-05,57.30,57.38,56.68,57.03,3824300,56.75
22-Feb-05,56.68,57.64,56.66,56.88,5676100,56.60
18-Feb-05,59.61,59.61,57.48,57.65,6679000,57.37
17-Feb-05,59.48,59.92,59.36,59.61,4115600,59.32
16-Feb-05,59.41,59.99,59.11,59.73,4528000,59.44
15-Feb-05,60.00,60.28,59.65,60.00,4421600,59.70
14-Feb-05,60.32,60.51,59.79,60.27,3474200,59.97
11-Feb-05,58.70,60.39,58.60,60.32,6476800,60.02
10-Feb-05,58.28,58.88,58.10,58.87,5585000,58.58
9-Feb-05,58.30,58.73,57.99,58.17,3567300,57.88
8-Feb-05,58.28,58.77,58.20,58.60,3544500,58.31
7-Feb-05,58.68,58.73,57.89,58.07,4369300,57.78
