Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,2.48,2.55,2.44,2.52,16471900,2.52
10-May-05,2.59,2.60,2.42,2.47,17021900,2.47
9-May-05,2.39,2.62,2.37,2.61,31853500,2.61
6-May-05,2.41,2.44,2.35,2.38,9121200,2.38
5-May-05,2.41,2.46,2.36,2.38,10894000,2.38
4-May-05,2.36,2.42,2.34,2.40,17027900,2.40
3-May-05,2.38,2.40,2.33,2.35,23311500,2.35
2-May-05,2.54,2.57,2.26,2.30,49819100,2.30
29-Apr-05,2.53,2.56,2.45,2.49,21337600,2.49
28-Apr-05,2.72,2.72,2.50,2.50,22355900,2.50
27-Apr-05,2.71,2.81,2.68,2.73,17212600,2.73
26-Apr-05,2.74,2.85,2.73,2.73,20047200,2.73
25-Apr-05,2.72,2.78,2.70,2.76,14682300,2.76
22-Apr-05,2.67,2.71,2.62,2.68,13591100,2.68
21-Apr-05,2.63,2.71,2.60,2.69,13646500,2.69
20-Apr-05,2.55,2.65,2.54,2.62,18529200,2.62
19-Apr-05,2.61,2.65,2.51,2.53,12610700,2.53
18-Apr-05,2.52,2.62,2.51,2.56,12189300,2.56
15-Apr-05,2.56,2.63,2.46,2.55,27306400,2.55
14-Apr-05,2.60,2.64,2.59,2.60,15369300,2.60
13-Apr-05,2.66,2.69,2.59,2.59,16427200,2.59
12-Apr-05,2.66,2.70,2.63,2.70,11328300,2.70
11-Apr-05,2.72,2.73,2.66,2.68,8822400,2.68
8-Apr-05,2.71,2.76,2.67,2.69,6948700,2.69
7-Apr-05,2.64,2.73,2.63,2.73,12942500,2.73
6-Apr-05,2.61,2.67,2.61,2.66,10139300,2.66
5-Apr-05,2.67,2.69,2.61,2.63,10258700,2.63
4-Apr-05,2.68,2.69,2.65,2.66,9953300,2.66
1-Apr-05,2.80,2.81,2.70,2.71,10732000,2.71
31-Mar-05,2.84,2.84,2.71,2.73,12304500,2.73
30-Mar-05,2.77,2.85,2.75,2.82,18592100,2.82
29-Mar-05,2.71,2.78,2.70,2.75,14906400,2.75
28-Mar-05,2.69,2.77,2.68,2.72,13682500,2.72
24-Mar-05,2.72,2.77,2.69,2.70,14949700,2.70
23-Mar-05,2.77,2.80,2.70,2.72,16970300,2.72
22-Mar-05,2.83,2.84,2.75,2.82,18747800,2.82
21-Mar-05,2.79,2.91,2.78,2.79,25209300,2.79
18-Mar-05,2.87,2.97,2.87,2.97,16347900,2.97
17-Mar-05,2.81,2.89,2.81,2.88,7655500,2.88
