Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,27.93,28.33,27.61,28.17,8672300,28.17
10-May-05,27.99,28.11,27.75,27.99,9864100,27.99
9-May-05,27.68,28.33,27.64,28.18,8470600,28.18
6-May-05,28.12,28.21,27.61,27.67,9974300,27.67
5-May-05,28.27,28.34,27.88,28.04,12098700,28.04
4-May-05,28.08,28.42,27.98,28.37,8095800,28.37
3-May-05,27.49,28.20,27.44,27.94,13087500,27.94
2-May-05,28.12,28.12,27.31,27.52,19667200,27.52
29-Apr-05,28.53,28.59,27.18,27.99,14683000,27.99
28-Apr-05,28.78,28.78,28.28,28.53,11549400,28.53
27-Apr-05,28.69,29.10,28.65,28.99,4720900,28.99
26-Apr-05,29.32,29.32,28.76,28.81,10590400,28.81
25-Apr-05,28.99,29.29,28.86,29.28,7598000,29.28
22-Apr-05,28.84,29.19,28.62,28.89,9072600,28.89
21-Apr-05,28.53,28.98,27.86,28.87,11508600,28.87
20-Apr-05,28.54,28.95,28.13,28.25,9744900,28.25
19-Apr-05,28.36,28.77,28.19,28.30,8327000,28.30
18-Apr-05,28.12,28.66,28.11,28.48,9842500,28.48
15-Apr-05,28.57,28.95,28.14,28.17,8456500,28.17
14-Apr-05,29.19,29.40,28.69,28.70,10487800,28.70
13-Apr-05,29.60,29.70,29.22,29.28,7663900,29.28
12-Apr-05,29.17,29.70,29.01,29.65,10678600,29.65
11-Apr-05,29.45,29.46,28.89,29.15,18328600,29.15
8-Apr-05,29.54,29.58,29.12,29.21,10412300,29.21
7-Apr-05,29.02,29.63,28.95,29.55,19186300,29.55
6-Apr-05,28.98,29.31,28.88,29.00,7789600,29.00
5-Apr-05,28.78,29.02,28.71,28.87,9528700,28.87
4-Apr-05,28.48,28.86,28.35,28.71,9878900,28.71
1-Apr-05,28.63,28.91,28.24,28.50,13620200,28.50
31-Mar-05,28.14,28.74,28.04,28.42,15642100,28.42
30-Mar-05,27.86,28.08,27.83,28.06,14176200,28.06
29-Mar-05,27.95,28.03,27.36,27.76,15074400,27.76
28-Mar-05,28.15,28.26,27.83,27.85,7704600,27.85
24-Mar-05,28.22,28.42,27.95,27.97,8871400,27.97
23-Mar-05,28.24,28.41,28.08,28.29,11822500,28.29
22-Mar-05,28.71,28.86,28.11,28.27,7425800,28.27
21-Mar-05,28.69,29.11,28.34,28.84,5957300,28.84
18-Mar-05,28.58,28.69,28.11,28.69,15594000,28.69
17-Mar-05,28.22,28.97,28.18,28.67,5753700,28.67
16-Mar-05,28.40,28.60,28.20,28.29,8093300,28.29
15-Mar-05,28.99,29.09,28.51,28.61,6112300,28.61
14-Mar-05,28.91,29.17,28.69,28.99,6488100,28.99
11-Mar-05,29.24,29.33,28.70,28.80,9811900,28.80
10-Mar-05,29.10,29.36,28.70,29.27,7310200,29.27
9-Mar-05,29.33,29.59,29.00,29.10,9949400,29.10
8-Mar-05,29.90,30.04,29.27,29.30,8735900,29.30
7-Mar-05,29.89,30.19,29.87,30.03,5255100,30.03
4-Mar-05,29.97,30.10,29.81,29.86,8915500,29.86
3-Mar-05,29.98,30.00,29.54,29.80,7982900,29.80
2-Mar-05,29.81,30.21,29.80,30.11,12905100,30.11
1-Mar-05,29.45,30.15,29.42,30.10,11638600,30.10
28-Feb-05,29.60,29.86,29.43,29.43,8842100,29.43
25-Feb-05,29.29,29.71,29.10,29.58,7969500,29.58
24-Feb-05,28.87,29.45,28.80,29.41,7797200,29.41
23-Feb-05,28.67,29.02,28.36,28.93,8658300,28.93
22-Feb-05,28.45,29.05,28.39,28.49,12983300,28.49
18-Feb-05,28.65,29.09,28.51,28.88,11107500,28.88
17-Feb-05,29.05,29.29,28.58,28.59,10419400,28.59
16-Feb-05,29.19,29.30,29.05,29.18,11011500,29.18
15-Feb-05,28.84,29.30,28.79,29.23,11103700,29.23
14-Feb-05,28.86,29.50,28.82,28.99,22512100,28.99
11-Feb-05,28.76,29.06,28.68,29.00,20071400,29.00
10-Feb-05,28.96,29.22,28.58,28.75,17349300,28.75
9-Feb-05,29.53,29.65,28.69,28.83,11083200,28.83
8-Feb-05,29.47,29.73,29.28,29.62,9643400,29.62
7-Feb-05,29.58,29.70,28.95,29.28,12935000,29.28
4-Feb-05,29.40,29.87,29.32,29.80,15778800,29.80
3-Feb-05,29.47,29.76,29.14,29.35,26746100,29.35
2-Feb-05,29.35,29.74,29.10,29.48,18941500,29.48
1-Feb-05,28.91,29.41,28.82,29.41,25296200,29.41
31-Jan-05,28.80,28.99,28.26,28.69,27659700,28.69
28-Jan-05,28.20,28.50,27.46,28.37,39250500,28.37
27-Jan-05,28.19,28.34,27.95,28.21,12408800,28.21
26-Jan-05,28.52,28.75,28.14,28.25,7370200,28.25
25-Jan-05,28.41,28.81,28.35,28.49,7463100,28.49
24-Jan-05,28.58,28.71,28.17,28.31,14955900,28.31
21-Jan-05,29.05,29.14,28.43,28.59,11656100,28.59
20-Jan-05,29.41,29.73,28.92,28.92,12075800,28.92
19-Jan-05,29.50,29.76,29.24,29.25,11283300,29.25
18-Jan-05,29.43,29.93,29.43,29.79,8182000,29.79
14-Jan-05,29.81,30.10,29.57,29.80,12225900,29.80
13-Jan-05,29.76,29.89,29.59,29.64,14344000,29.64
12-Jan-05,30.05,30.15,29.63,29.90,12676900,29.90
11-Jan-05,29.94,30.18,29.91,30.17,14806100,30.17
10-Jan-05,30.02,30.13,29.92,30.05,11969100,30.05
7-Jan-05,30.02,30.27,29.94,30.14,23430200,30.14
6-Jan-05,29.86,30.14,29.72,30.02,13021000,30.02
5-Jan-05,29.62,29.89,28.95,29.56,15366900,29.56
4-Jan-05,30.25,30.27,29.43,29.58,18502100,29.58
3-Jan-05,30.01,30.42,29.98,30.20,16753000,30.20
31-Dec-04,30.01,30.35,29.95,30.01,9202500,30.01
30-Dec-04,30.04,30.26,30.00,30.09,7908500,30.09
29-Dec-04,29.89,30.08,29.83,30.01,10491200,30.01
28-Dec-04,29.96,30.05,29.86,29.94,10211500,29.94
27-Dec-04,29.75,30.04,29.69,29.99,13986500,29.99
23-Dec-04,29.95,30.12,29.69,29.88,14708100,29.88
22-Dec-04,29.97,30.20,29.87,30.19,22033200,30.19
21-Dec-04,30.03,30.06,29.79,30.00,15361700,30.00
20-Dec-04,30.00,30.20,29.75,29.93,18471200,29.93
17-Dec-04,29.75,30.01,29.68,29.80,27509800,29.80
16-Dec-04,28.81,29.79,28.75,29.78,64909500,29.78
15-Dec-04,30.10,30.18,28.23,28.70,89511104,28.70
14-Dec-04,29.00,30.01,28.91,29.99,61753200,29.99
13-Dec-04,29.90,30.15,29.54,29.99,49394100,29.99
10-Dec-04,30.29,30.50,28.67,29.76,58728500,29.76
9-Dec-04,27.98,30.24,27.80,29.81,33291300,29.81
8-Dec-04,28.17,28.33,27.81,27.97,8357200,27.97
7-Dec-04,28.83,28.90,28.00,28.15,7905900,28.15
6-Dec-04,28.65,29.08,28.55,28.90,7112300,28.90
3-Dec-04,29.69,29.77,28.89,29.17,9757600,29.17
2-Dec-04,29.12,29.95,28.93,29.65,9486900,29.65
1-Dec-04,28.59,29.45,28.52,29.45,11031600,29.45
30-Nov-04,28.67,28.90,28.38,28.46,7383300,28.46
29-Nov-04,28.84,28.89,28.25,28.53,5899100,28.53
26-Nov-04,28.59,28.88,28.53,28.69,1797100,28.69
24-Nov-04,28.63,28.86,28.31,28.81,8154500,28.81
23-Nov-04,28.76,28.82,28.03,28.25,6511100,28.25
22-Nov-04,27.63,28.55,27.55,28.42,8329100,28.42
19-Nov-04,28.25,28.50,27.58,27.84,8092400,27.84
18-Nov-04,28.19,28.46,27.83,28.43,5672500,28.43
17-Nov-04,27.57,28.31,27.50,28.24,11480600,28.24
16-Nov-04,27.11,27.48,26.81,27.48,9289500,27.48
15-Nov-04,27.16,27.23,26.91,27.11,6741600,27.11
12-Nov-04,27.38,27.52,26.92,27.39,11312600,27.39
11-Nov-04,27.75,27.81,27.35,27.43,5907900,27.43
10-Nov-04,27.70,27.92,27.43,27.52,5450900,27.52
9-Nov-04,27.81,28.00,27.54,27.78,7757200,27.78
8-Nov-04,27.41,28.01,27.23,27.75,7408900,27.75
5-Nov-04,27.51,27.95,27.25,27.50,10217000,27.50
4-Nov-04,26.85,27.62,26.78,27.49,10405200,27.49
3-Nov-04,27.49,27.49,26.61,26.79,9295500,26.79
2-Nov-04,26.97,27.55,26.81,26.90,24109000,26.90
1-Nov-04,26.51,26.54,26.00,26.09,9151700,26.09
29-Oct-04,26.25,26.53,26.05,26.49,8233000,26.49
28-Oct-04,26.18,26.40,25.90,26.37,9541500,26.37
27-Oct-04,25.80,26.30,25.64,26.29,10907700,26.29
26-Oct-04,25.40,26.08,25.30,26.03,17835300,26.03
25-Oct-04,25.22,25.64,24.96,25.28,8598600,25.28
22-Oct-04,24.74,25.85,24.66,25.34,12842400,25.34
21-Oct-04,25.02,25.35,24.83,25.27,8036200,25.27
20-Oct-04,24.81,25.16,24.71,25.00,6768800,25.00
19-Oct-04,25.30,25.51,24.76,24.96,9899400,24.96
18-Oct-04,24.94,25.50,24.70,25.39,7313400,25.39
15-Oct-04,24.74,25.24,24.64,24.95,8233900,24.95
14-Oct-04,24.40,24.79,24.07,24.56,6365000,24.56
13-Oct-04,24.99,25.01,23.88,24.32,9189900,24.32
12-Oct-04,24.57,24.83,24.14,24.78,6772900,24.78
11-Oct-04,24.85,25.07,24.52,24.66,5866700,24.66
8-Oct-04,25.08,25.52,24.68,24.77,7200000,24.77
7-Oct-04,25.61,25.75,24.85,25.09,9644300,25.09
6-Oct-04,25.81,25.82,25.02,25.63,8832900,25.63
5-Oct-04,25.05,25.72,25.00,25.55,10500300,25.55
4-Oct-04,25.14,25.28,24.62,25.03,13229000,25.03
1-Oct-04,24.09,24.92,24.02,24.61,11810800,24.61
30-Sep-04,23.87,24.00,23.51,23.84,10553700,23.84
29-Sep-04,23.42,24.00,23.28,23.76,10454000,23.76
28-Sep-04,23.44,23.63,23.15,23.43,6892400,23.43
27-Sep-04,23.27,23.31,22.88,22.93,7199300,22.93
24-Sep-04,23.52,24.50,23.35,23.52,6496900,23.52
23-Sep-04,22.79,23.65,22.77,23.31,12142100,23.31
22-Sep-04,23.16,23.21,22.52,22.71,11055200,22.71
21-Sep-04,23.47,23.57,23.14,23.45,8485700,23.45
20-Sep-04,23.79,23.87,23.00,23.06,11745600,23.06
17-Sep-04,23.98,24.20,23.73,23.95,8775500,23.95
16-Sep-04,24.18,24.29,23.71,23.85,6536600,23.85
15-Sep-04,24.38,24.44,24.00,24.05,6500000,24.05
14-Sep-04,24.26,24.76,24.22,24.72,8988500,24.72
13-Sep-04,24.03,24.71,23.99,24.34,7843800,24.34
10-Sep-04,23.85,24.10,23.54,24.09,6148100,24.09
9-Sep-04,23.30,23.88,23.22,23.85,6807900,23.85
8-Sep-04,23.26,23.59,23.09,23.19,7409300,23.19
7-Sep-04,23.38,23.64,23.21,23.33,10891400,23.33
3-Sep-04,23.77,23.79,23.10,23.26,6438800,23.26
2-Sep-04,23.32,23.75,23.13,23.71,6409800,23.71
1-Sep-04,22.99,23.41,22.90,23.32,6021500,23.32
31-Aug-04,23.12,23.20,22.82,23.19,6150900,23.19
30-Aug-04,23.60,23.75,22.95,22.97,5665500,22.97
