Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,27.49,27.68,27.43,27.65,16307400,27.65
10-May-05,27.83,28.10,27.56,27.66,21650900,27.47
9-May-05,27.56,27.98,27.38,27.97,16793000,27.78
6-May-05,27.93,27.98,27.60,27.61,18552100,27.42
5-May-05,27.68,27.98,27.65,27.85,17624600,27.66
4-May-05,27.51,27.84,27.48,27.83,20343800,27.64
3-May-05,27.45,27.64,27.26,27.50,21743400,27.31
2-May-05,27.25,27.45,27.20,27.41,17790900,27.22
29-Apr-05,26.78,27.22,26.72,27.17,21306800,26.98
28-Apr-05,26.86,27.06,26.59,26.69,21971600,26.51
27-Apr-05,26.86,26.99,26.72,26.92,16462600,26.74
26-Apr-05,26.95,27.10,26.81,26.91,21696300,26.73
25-Apr-05,27.17,27.20,26.89,27.03,24151900,26.84
22-Apr-05,27.24,27.30,26.99,27.22,19247600,27.03
21-Apr-05,27.00,27.25,26.85,27.25,20425800,27.06
20-Apr-05,27.20,27.41,26.54,26.76,31336400,26.58
19-Apr-05,27.64,27.85,27.21,27.42,22925700,27.23
18-Apr-05,27.57,27.75,27.18,27.60,30730600,27.41
15-Apr-05,28.00,28.23,27.63,27.71,61986500,27.52
14-Apr-05,27.48,27.72,27.25,27.45,46894000,27.26
13-Apr-05,26.90,27.41,26.75,27.28,37334400,27.09
12-Apr-05,26.40,26.90,26.34,26.88,20837100,26.70
11-Apr-05,26.61,26.76,26.28,26.46,18546100,26.28
8-Apr-05,26.52,26.89,26.49,26.60,21963300,26.42
7-Apr-05,26.05,26.91,25.76,26.90,64462700,26.72
6-Apr-05,27.09,27.16,26.80,26.86,38072400,26.68
5-Apr-05,26.72,27.05,26.61,26.90,53648400,26.72
4-Apr-05,26.15,26.15,25.80,25.93,23652000,25.75
1-Apr-05,26.37,26.54,25.93,26.15,24078300,25.97
31-Mar-05,26.41,26.41,26.05,26.27,21367500,26.09
30-Mar-05,25.90,26.33,25.78,26.29,21646900,26.11
29-Mar-05,26.00,26.09,25.64,25.64,27468600,25.46
28-Mar-05,26.30,26.60,26.14,26.23,15823100,26.05
24-Mar-05,26.25,26.53,25.80,26.17,22107300,25.99
23-Mar-05,25.42,26.08,25.42,26.04,32593800,25.86
