Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,23.37,23.42,23.06,23.30,7750000,23.30
10-May-05,23.42,23.59,23.37,23.45,6177100,23.45
9-May-05,23.55,23.69,23.42,23.58,5754400,23.58
6-May-05,23.73,23.80,23.45,23.62,7169800,23.62
5-May-05,23.76,23.81,23.47,23.68,9120500,23.68
4-May-05,23.78,23.92,23.71,23.80,8494900,23.80
3-May-05,23.88,23.98,23.72,23.80,12351000,23.80
2-May-05,23.95,24.03,23.78,23.78,14722200,23.78
29-Apr-05,23.65,23.86,23.54,23.80,14373300,23.80
28-Apr-05,23.20,23.68,23.20,23.52,13179800,23.52
27-Apr-05,23.13,23.60,23.10,23.44,12324500,23.44
26-Apr-05,23.37,23.37,23.16,23.16,9333300,23.16
25-Apr-05,23.55,23.60,23.26,23.32,9341300,23.32
22-Apr-05,23.19,23.28,22.78,23.20,7675200,23.20
21-Apr-05,23.15,23.29,23.01,23.18,7970200,23.18
20-Apr-05,23.15,23.28,22.91,22.96,8302000,22.96
19-Apr-05,23.20,23.33,23.11,23.20,9919300,23.20
18-Apr-05,23.35,23.39,23.16,23.21,14547800,23.21
15-Apr-05,23.61,23.65,22.90,23.00,11558400,23.00
14-Apr-05,23.92,24.07,23.64,23.65,8815700,23.65
13-Apr-05,23.82,23.97,23.71,23.83,8990800,23.83
12-Apr-05,23.82,23.98,23.68,23.89,9446400,23.89
11-Apr-05,23.83,23.86,23.68,23.83,6828300,23.83
8-Apr-05,23.92,24.05,23.68,23.75,11733100,23.75
7-Apr-05,23.95,24.15,23.83,23.84,12092200,23.84
6-Apr-05,24.18,24.19,23.79,23.91,10597800,23.91
5-Apr-05,24.11,24.33,24.02,24.20,16597100,23.88
4-Apr-05,23.78,23.99,23.62,23.91,11261600,23.59
1-Apr-05,23.78,23.92,23.45,23.66,10528800,23.34
31-Mar-05,23.76,23.80,23.60,23.69,9456100,23.37
30-Mar-05,23.40,23.73,23.35,23.70,8782000,23.38
