Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,5.22,5.27,5.07,5.17,25719000,5.17
10-May-05,5.29,5.32,5.16,5.19,36091600,5.19
9-May-05,5.38,5.42,5.30,5.36,32764700,5.36
6-May-05,5.41,5.43,5.28,5.38,45774900,5.38
5-May-05,5.30,5.48,5.25,5.32,75302200,5.32
4-May-05,5.10,5.25,5.10,5.23,47911100,5.23
3-May-05,4.95,5.11,4.91,5.06,42268600,5.06
2-May-05,4.82,5.05,4.79,4.99,53240600,4.99
29-Apr-05,4.90,4.90,4.64,4.76,43842900,4.76
28-Apr-05,4.87,4.91,4.68,4.73,57190200,4.73
27-Apr-05,4.65,4.88,4.42,4.67,92478096,4.67
26-Apr-05,5.05,5.09,4.80,4.87,68061600,4.87
25-Apr-05,5.15,5.18,5.10,5.14,23628500,5.14
22-Apr-05,5.10,5.24,5.07,5.10,35348800,5.10
21-Apr-05,5.17,5.19,4.99,5.14,38428600,5.14
20-Apr-05,5.26,5.27,5.09,5.10,21430100,5.10
19-Apr-05,5.15,5.26,5.10,5.22,34719500,5.22
18-Apr-05,5.22,5.34,5.06,5.08,56396700,5.08
15-Apr-05,5.26,5.31,5.11,5.15,27619800,5.15
14-Apr-05,5.29,5.50,5.25,5.30,27779800,5.30
13-Apr-05,5.28,5.41,5.27,5.29,28561900,5.29
12-Apr-05,5.40,5.43,5.34,5.41,17917700,5.41
11-Apr-05,5.46,5.48,5.37,5.43,18649000,5.43
8-Apr-05,5.50,5.54,5.40,5.41,21819900,5.41
7-Apr-05,5.39,5.50,5.38,5.47,19305300,5.47
6-Apr-05,5.48,5.55,5.35,5.39,35876500,5.39
5-Apr-05,5.50,5.61,5.42,5.59,27954300,5.59
4-Apr-05,5.52,5.52,5.36,5.45,28629700,5.45
1-Apr-05,5.67,5.75,5.53,5.56,36163600,5.56
31-Mar-05,5.64,5.64,5.54,5.62,27585500,5.62
30-Mar-05,5.42,5.70,5.39,5.67,52917800,5.67
29-Mar-05,5.26,5.39,5.23,5.38,34363100,5.38
