Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,25.91,26.13,25.36,26.10,9600500,26.10
10-May-05,26.00,26.31,25.68,25.88,9919000,25.88
9-May-05,26.23,26.41,26.01,26.39,9225200,26.39
6-May-05,26.19,26.54,26.08,26.41,10910600,26.41
5-May-05,25.70,26.17,25.69,26.04,12157900,26.04
4-May-05,25.39,25.94,25.27,25.78,11338800,25.78
3-May-05,25.05,25.38,25.02,25.20,9460800,25.20
2-May-05,25.00,25.25,24.93,25.13,12686100,25.13
29-Apr-05,24.80,24.99,24.45,24.96,12865100,24.96
28-Apr-05,24.48,25.03,24.41,24.61,13360400,24.61
27-Apr-05,24.35,24.75,24.25,24.71,8907300,24.68
26-Apr-05,24.52,25.20,24.35,24.54,11682200,24.52
25-Apr-05,24.48,24.75,24.39,24.62,9286600,24.60
22-Apr-05,24.68,24.71,24.13,24.42,8673600,24.40
21-Apr-05,24.44,24.89,24.19,24.68,14888800,24.66
20-Apr-05,24.30,24.40,23.76,24.02,15300600,24.00
19-Apr-05,24.95,24.95,24.02,24.17,20912300,24.15
18-Apr-05,22.51,23.31,22.51,22.92,15836200,22.90
15-Apr-05,23.16,23.18,22.55,22.76,20251000,22.74
14-Apr-05,23.56,23.77,23.31,23.39,16145900,23.37
13-Apr-05,24.02,24.05,23.63,23.64,13543400,23.62
12-Apr-05,24.68,24.74,23.50,24.22,28399700,24.20
11-Apr-05,24.98,25.07,24.65,24.70,7878700,24.68
8-Apr-05,25.17,25.29,24.90,24.91,7847200,24.88
7-Apr-05,24.85,25.21,24.56,25.07,8992400,25.04
6-Apr-05,24.99,25.22,24.69,24.73,10255100,24.70
5-Apr-05,24.82,25.19,24.73,24.87,11343000,24.84
4-Apr-05,24.65,25.50,24.48,24.85,14851200,24.82
1-Apr-05,25.78,25.79,24.89,24.96,14186200,24.93
31-Mar-05,25.75,25.75,25.30,25.49,11524500,25.46
30-Mar-05,25.18,25.83,24.50,25.75,11741000,25.72
29-Mar-05,25.35,25.64,25.05,25.18,12815800,25.15
28-Mar-05,25.52,25.95,25.46,25.49,9639200,25.46
24-Mar-05,25.43,25.77,25.36,25.51,8096500,25.48
23-Mar-05,24.92,25.57,24.88,25.34,10299100,25.31
22-Mar-05,25.54,25.74,25.00,25.00,11616900,24.97
21-Mar-05,25.43,25.61,25.09,25.22,10308900,25.19
18-Mar-05,25.64,25.70,24.98,25.44,17023400,25.41
17-Mar-05,25.55,25.87,25.40,25.64,9988900,25.61
16-Mar-05,25.57,26.13,25.29,25.45,13119400,25.42
15-Mar-05,26.18,26.34,25.62,25.72,15470300,25.69
14-Mar-05,26.18,26.34,25.88,26.26,14487200,26.23
11-Mar-05,27.09,27.15,26.08,26.20,18092800,26.17
