Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,27.80,28.33,27.36,28.10,2536300,28.10
10-May-05,27.88,28.30,27.57,27.74,2259300,27.74
9-May-05,28.28,28.39,27.61,27.99,2304800,27.99
6-May-05,28.10,28.55,27.95,28.35,2492700,28.35
5-May-05,28.16,28.18,27.57,27.98,2517700,27.98
4-May-05,27.20,28.28,27.15,28.01,4424100,28.01
3-May-05,26.49,27.48,26.35,27.02,6555800,27.02
2-May-05,26.50,26.73,26.12,26.50,4848100,26.50
29-Apr-05,27.22,27.56,26.00,26.45,6670700,26.45
28-Apr-05,27.64,27.85,26.87,27.05,4175500,27.05
27-Apr-05,28.20,28.26,26.97,27.91,10032900,27.91
26-Apr-05,29.50,30.23,28.79,28.92,4062900,28.92
25-Apr-05,29.24,30.05,29.18,29.76,5922100,29.76
22-Apr-05,29.00,29.80,28.84,29.00,5594600,29.00
21-Apr-05,28.72,29.49,27.57,29.17,17208500,29.17
20-Apr-05,25.46,26.73,25.41,25.67,7558900,25.67
19-Apr-05,25.18,25.30,24.65,25.00,3704900,25.00
18-Apr-05,25.34,25.49,24.82,25.07,3290000,25.07
15-Apr-05,26.48,26.52,24.72,25.33,5861000,25.33
14-Apr-05,27.81,28.01,26.49,26.75,4217700,26.75
13-Apr-05,28.74,29.05,27.79,27.79,3570600,27.79
12-Apr-05,28.85,29.15,27.60,28.85,5987000,28.85
11-Apr-05,28.84,29.45,28.70,28.97,3287400,28.97
8-Apr-05,28.79,28.91,28.20,28.56,2087000,28.56
7-Apr-05,28.01,28.80,28.00,28.61,2704300,28.61
6-Apr-05,28.40,28.77,27.92,27.98,2392600,27.98
5-Apr-05,27.98,28.51,27.85,28.36,2218900,28.36
4-Apr-05,27.77,28.45,27.60,28.16,3040800,28.16
1-Apr-05,28.92,29.50,27.59,27.92,4653200,27.92
31-Mar-05,28.69,28.75,27.76,28.70,3497700,28.70
30-Mar-05,27.47,28.56,27.47,28.56,3211500,28.56
29-Mar-05,26.57,28.54,26.53,27.45,8323300,27.45
28-Mar-05,26.32,26.52,25.90,26.07,2730500,26.07
24-Mar-05,26.58,26.81,26.31,26.39,1971700,26.39
23-Mar-05,26.66,27.02,26.51,26.60,1881200,26.60
22-Mar-05,26.97,27.21,26.52,26.66,2172200,26.66
21-Mar-05,27.67,27.88,26.90,27.05,3571500,27.05
18-Mar-05,27.91,28.15,27.48,27.72,1291000,27.72
17-Mar-05,27.70,28.19,27.58,28.04,1449200,28.04
16-Mar-05,28.36,28.51,27.29,27.99,4282800,27.99
15-Mar-05,28.80,29.06,28.44,28.70,1445800,28.70
14-Mar-05,28.57,28.87,28.25,28.79,2572900,28.79
11-Mar-05,29.05,29.16,28.40,28.44,2013700,28.44
10-Mar-05,29.39,29.42,28.47,29.00,2787700,29.00
9-Mar-05,29.61,29.75,28.95,29.30,2414700,29.30
8-Mar-05,29.72,30.15,29.55,29.62,1990000,29.62
7-Mar-05,29.54,30.00,29.44,29.75,2977700,29.75
4-Mar-05,28.85,29.50,28.75,29.30,3231700,29.30
3-Mar-05,28.34,29.06,28.28,28.77,4619400,28.77
2-Mar-05,28.16,28.45,27.96,28.32,2598000,28.32
1-Mar-05,27.94,28.22,27.75,28.19,2947100,28.19
28-Feb-05,28.03,28.39,26.68,27.42,5260400,27.42
25-Feb-05,27.76,28.21,27.71,28.09,2936500,28.09
24-Feb-05,26.58,27.72,26.42,27.72,4441500,27.72
23-Feb-05,26.97,27.40,26.25,27.19,4229500,27.19
22-Feb-05,27.15,27.55,26.65,26.75,2597300,26.75
18-Feb-05,27.26,27.54,27.04,27.30,1502300,27.30
17-Feb-05,27.37,28.10,27.11,27.11,2922400,27.11
16-Feb-05,27.05,27.70,26.94,27.54,3715200,27.54
15-Feb-05,26.53,27.74,26.53,27.13,7380800,27.13
14-Feb-05,25.65,26.49,25.58,26.45,6458800,26.45
11-Feb-05,24.57,25.66,24.48,25.48,4448700,25.48
10-Feb-05,24.74,25.14,24.52,24.65,2865000,24.65
9-Feb-05,25.43,25.68,24.55,24.62,2865200,24.62
8-Feb-05,25.31,25.85,25.22,25.40,3251500,25.40
7-Feb-05,25.70,25.85,25.15,25.39,3200000,25.39
4-Feb-05,25.29,25.80,25.01,25.76,4778100,25.76
3-Feb-05,25.60,25.74,25.13,25.30,2803500,25.30
2-Feb-05,25.86,25.92,25.24,25.60,4342700,25.60
1-Feb-05,26.04,26.21,25.46,25.52,5345900,25.52
31-Jan-05,26.15,26.45,25.69,25.84,6628100,25.84
28-Jan-05,25.86,25.95,25.34,25.59,7348200,25.59
27-Jan-05,25.75,26.24,24.85,25.46,36285800,25.46
26-Jan-05,28.46,29.70,27.77,29.28,15766100,29.28
25-Jan-05,27.44,27.90,27.10,27.29,3685700,27.29
24-Jan-05,28.05,28.13,26.94,27.09,5586400,27.09
21-Jan-05,28.11,28.95,28.02,28.13,5098800,28.13
20-Jan-05,27.95,28.86,27.75,27.85,3309800,27.85
19-Jan-05,29.55,29.59,28.24,28.44,4939800,28.44
18-Jan-05,28.39,29.67,28.39,29.37,3908100,29.37
14-Jan-05,29.04,29.09,28.66,28.99,5179300,28.99
13-Jan-05,30.03,30.04,28.29,28.56,7857700,28.56
12-Jan-05,30.63,30.64,29.12,29.93,7019700,29.93
11-Jan-05,31.35,31.71,30.40,30.44,4490400,30.44
10-Jan-05,30.82,31.20,29.17,30.83,9060500,30.83
7-Jan-05,31.38,32.38,30.88,30.95,5297900,30.95
6-Jan-05,30.50,31.05,30.29,30.58,3596900,30.58
5-Jan-05,30.77,31.67,30.47,30.64,4217800,30.64
4-Jan-05,32.56,32.70,30.42,31.47,6700700,31.47
3-Jan-05,33.31,33.67,31.62,32.56,5677000,32.56
31-Dec-04,33.56,33.92,33.49,33.60,1289500,33.60
30-Dec-04,34.06,34.35,33.62,33.70,2160100,33.70
29-Dec-04,34.46,34.50,33.53,33.89,4005000,33.89
28-Dec-04,33.95,34.59,33.85,34.28,1952500,34.28
27-Dec-04,33.70,34.21,33.14,33.85,1916200,33.85
23-Dec-04,33.40,33.60,33.04,33.19,993900,33.19
22-Dec-04,33.39,33.75,32.92,33.35,2507700,33.35
21-Dec-04,33.27,33.59,32.73,33.41,3318700,33.41
20-Dec-04,33.63,34.06,33.09,33.20,3692700,33.20
17-Dec-04,34.48,34.55,33.38,33.38,2884600,33.38
16-Dec-04,35.43,35.68,33.92,34.00,5966100,34.00
15-Dec-04,34.89,36.09,34.37,35.96,5909800,35.96
14-Dec-04,34.52,34.93,34.30,34.56,3431000,34.56
