Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,34.40,34.50,34.23,34.38,5135400,34.38
10-May-05,34.36,34.55,34.16,34.33,6264900,34.33
9-May-05,34.56,34.56,34.21,34.54,6687900,34.54
6-May-05,34.50,34.75,34.37,34.56,8298600,34.56
5-May-05,34.53,34.75,34.06,34.30,11698000,34.30
4-May-05,34.75,34.94,34.50,34.70,10548900,34.70
3-May-05,34.97,35.00,34.41,34.67,15593900,34.67
2-May-05,36.05,36.25,34.42,34.97,24943700,34.97
29-Apr-05,35.20,35.90,35.04,35.80,11147500,35.80
28-Apr-05,35.10,35.61,35.05,35.05,8999900,35.05
27-Apr-05,34.45,35.30,34.23,35.22,13794000,35.22
26-Apr-05,33.95,34.31,33.92,34.00,6537100,34.00
25-Apr-05,34.38,34.40,33.88,34.06,6291100,34.06
22-Apr-05,34.30,34.36,33.74,34.06,5996400,34.06
21-Apr-05,34.09,34.30,33.84,34.26,5720200,34.26
20-Apr-05,34.04,34.42,33.71,33.78,5818600,33.78
19-Apr-05,34.00,34.39,34.00,34.16,6852600,34.16
18-Apr-05,34.32,34.52,33.91,34.00,7055700,34.00
15-Apr-05,34.62,34.90,34.06,34.15,8971100,34.15
14-Apr-05,34.84,35.23,34.73,34.89,6535400,34.89
13-Apr-05,35.25,35.41,34.79,34.90,5076000,34.90
12-Apr-05,34.76,35.28,34.67,35.19,5033100,35.19
11-Apr-05,35.29,35.35,34.86,34.90,4758000,34.90
8-Apr-05,35.51,35.65,34.99,35.07,5907300,35.07
7-Apr-05,35.51,35.64,35.40,35.41,5553800,35.41
6-Apr-05,35.88,35.89,35.36,35.51,6364600,35.51
5-Apr-05,35.68,35.99,35.55,35.77,6055500,35.37
4-Apr-05,35.28,35.79,35.04,35.65,10755700,35.25
1-Apr-05,35.60,35.80,35.06,35.19,6472100,34.79
31-Mar-05,35.48,35.72,35.06,35.50,6438800,35.10
30-Mar-05,34.95,35.45,34.87,35.43,5755200,35.03
29-Mar-05,34.47,35.45,34.40,34.86,12560400,34.47
28-Mar-05,34.77,35.15,34.66,34.72,7633300,34.33
24-Mar-05,34.90,35.22,34.76,34.76,4911500,34.37
23-Mar-05,34.63,35.30,34.56,34.91,7589500,34.51
22-Mar-05,35.00,35.12,34.38,34.46,7001800,34.07
21-Mar-05,35.06,35.16,34.73,34.95,6527700,34.55
18-Mar-05,35.21,35.22,34.86,35.15,12318000,34.75
17-Mar-05,35.35,35.44,35.04,35.21,5710600,34.81
16-Mar-05,35.50,35.76,35.22,35.34,6232900,34.94
15-Mar-05,36.10,36.24,35.60,35.68,5837500,35.28
14-Mar-05,36.25,36.30,35.85,36.08,5143600,35.67
11-Mar-05,36.28,36.39,35.94,36.07,6096400,35.66
10-Mar-05,36.14,36.30,36.09,36.17,5566500,35.76
9-Mar-05,36.03,36.44,36.01,36.14,5844300,35.73
8-Mar-05,36.45,36.58,36.10,36.10,6173500,35.69
7-Mar-05,36.70,36.85,36.41,36.51,7025500,36.10
4-Mar-05,36.64,36.77,36.32,36.42,6834700,36.01
3-Mar-05,36.43,36.55,36.11,36.37,6890300,35.96
2-Mar-05,36.25,36.55,36.12,36.47,6451200,36.06
1-Mar-05,36.40,36.45,36.09,36.25,6863500,35.84
28-Feb-05,36.33,36.49,35.90,35.97,5876900,35.56
25-Feb-05,35.50,36.33,35.45,36.20,8499900,35.79
24-Feb-05,35.55,35.61,35.19,35.50,8126600,35.10
23-Feb-05,35.40,35.62,35.13,35.55,8260300,35.15
22-Feb-05,35.29,35.58,35.20,35.38,11477000,34.98
18-Feb-05,35.68,35.80,35.16,35.31,11639700,34.91
17-Feb-05,36.05,36.10,35.58,35.68,7062000,35.28
16-Feb-05,36.30,36.35,35.96,36.12,10451300,35.71
15-Feb-05,36.52,36.77,36.13,36.26,10852400,35.85
14-Feb-05,36.31,37.11,36.12,36.19,16268500,35.78
11-Feb-05,36.25,36.57,36.02,36.31,5847800,35.90
10-Feb-05,36.10,36.47,35.85,36.04,6005500,35.63
9-Feb-05,36.50,36.53,36.00,36.06,6246400,35.65
8-Feb-05,36.85,36.89,36.34,36.45,7169200,36.04
7-Feb-05,36.95,36.98,36.52,36.67,5425500,36.25
4-Feb-05,36.07,36.88,36.03,36.85,8458700,36.43
3-Feb-05,35.98,36.19,35.77,35.90,5873800,35.49
2-Feb-05,36.20,36.39,35.73,35.88,9620100,35.47
1-Feb-05,35.87,36.30,35.72,35.88,7670200,35.47
31-Jan-05,35.80,35.90,35.23,35.59,10466200,35.19
28-Jan-05,35.97,36.12,35.08,35.68,12070400,35.28
27-Jan-05,36.25,36.30,35.73,35.87,15016400,35.46
26-Jan-05,36.00,36.60,36.00,36.52,11408100,36.11
25-Jan-05,36.85,37.10,35.85,36.00,10395600,35.59
24-Jan-05,36.50,37.40,36.37,36.85,10776700,36.43
21-Jan-05,36.80,37.13,36.46,36.50,11799000,36.09
20-Jan-05,36.17,36.68,35.80,36.27,12027000,35.86
19-Jan-05,37.26,37.58,36.65,36.65,9495500,36.24
18-Jan-05,36.84,37.68,36.52,37.68,12038800,37.25
14-Jan-05,36.92,37.20,36.73,36.84,9217900,36.42
13-Jan-05,37.50,37.61,36.85,37.10,18104600,36.68
12-Jan-05,38.00,38.39,37.67,38.23,12556700,37.80
11-Jan-05,39.04,39.07,38.57,38.60,8368400,38.16
10-Jan-05,39.45,39.48,38.87,39.03,9072200,38.59
7-Jan-05,39.80,39.84,39.30,39.41,7576300,38.96
6-Jan-05,39.60,39.90,39.15,39.55,7054700,39.10
5-Jan-05,40.12,40.51,39.96,40.02,7375900,39.19
4-Jan-05,40.68,40.76,39.85,40.08,10504300,39.24
3-Jan-05,40.80,41.06,40.37,40.49,8306200,39.65
31-Dec-04,40.78,40.87,40.50,40.51,3707900,39.67
30-Dec-04,40.94,40.95,40.70,40.78,4025600,39.93
29-Dec-04,40.75,40.90,40.59,40.84,3737500,39.99
28-Dec-04,40.75,41.15,40.68,40.93,4737900,40.08
27-Dec-04,40.80,40.92,40.61,40.61,3834200,39.76
23-Dec-04,40.81,40.98,40.69,40.75,4835600,39.90
22-Dec-04,41.38,41.44,40.91,40.91,5833200,40.06
21-Dec-04,41.05,41.21,40.64,41.16,5978100,40.30
20-Dec-04,40.21,41.44,40.21,40.74,4813600,39.89
17-Dec-04,40.21,41.29,40.20,40.90,11063600,40.05
16-Dec-04,40.75,40.79,40.35,40.40,7402200,39.56
15-Dec-04,41.17,41.29,40.55,40.70,7625700,39.85
14-Dec-04,40.90,41.10,40.44,41.04,10916400,40.18
13-Dec-04,41.17,41.39,41.02,41.28,6471700,40.42
10-Dec-04,40.95,41.19,40.64,40.80,7168900,39.95
9-Dec-04,41.10,41.33,40.55,41.20,5276700,40.34
8-Dec-04,41.35,41.65,41.08,41.35,3937200,40.49
7-Dec-04,41.98,41.98,41.25,41.39,5467400,40.53
6-Dec-04,42.07,42.08,41.70,41.94,3665800,41.07
3-Dec-04,42.00,42.18,41.80,42.02,5134700,41.14
2-Dec-04,41.60,42.21,41.54,41.92,7424000,41.05
1-Dec-04,41.62,41.90,41.36,41.60,6367300,40.73
30-Nov-04,41.25,41.40,40.82,41.23,5943200,40.37
29-Nov-04,41.18,41.59,40.81,41.19,4820300,40.33
26-Nov-04,40.89,41.19,40.80,41.03,1921400,40.18
24-Nov-04,40.90,40.95,40.55,40.89,4784700,40.04
23-Nov-04,40.93,41.17,40.62,40.97,4838600,40.12
22-Nov-04,41.20,41.35,40.78,40.99,5517100,40.14
19-Nov-04,41.45,41.51,41.00,41.10,6187600,40.24
18-Nov-04,41.50,41.66,41.30,41.53,4469800,40.66
17-Nov-04,41.90,42.19,40.99,41.38,8234000,40.52
16-Nov-04,41.95,41.98,41.35,41.61,4830400,40.74
15-Nov-04,42.09,42.25,41.64,41.86,5973800,40.99
12-Nov-04,41.60,42.27,41.39,42.22,8163900,41.34
11-Nov-04,41.40,41.84,41.23,41.64,7793700,40.77
10-Nov-04,41.45,41.59,41.17,41.17,5846200,40.31
9-Nov-04,41.18,41.50,40.86,41.27,6018400,40.41
8-Nov-04,41.15,41.22,40.85,41.10,5576400,40.24
5-Nov-04,41.00,41.48,40.60,41.01,6796500,40.16
4-Nov-04,40.66,41.19,40.52,41.08,7092900,40.22
3-Nov-04,40.70,40.80,40.30,40.56,6496100,39.71
2-Nov-04,39.85,40.70,39.85,40.00,7983400,39.17
1-Nov-04,39.40,40.23,39.16,39.98,9442700,39.15
29-Oct-04,39.50,39.60,39.10,39.10,9864400,38.29
28-Oct-04,39.42,39.70,38.75,39.38,15366100,38.56
27-Oct-04,38.76,39.48,38.60,39.40,8778200,38.58
26-Oct-04,38.68,39.20,38.26,39.00,9070200,38.19
25-Oct-04,38.76,38.97,38.53,38.88,6071800,38.07
22-Oct-04,39.79,39.82,38.79,38.97,9105400,38.16
21-Oct-04,40.10,40.16,39.32,39.79,6333500,38.96
20-Oct-04,39.93,40.15,39.65,40.04,6596700,39.21
19-Oct-04,40.80,40.80,40.11,40.31,6866900,39.47
18-Oct-04,40.77,40.83,40.49,40.83,4786600,39.98
15-Oct-04,40.80,41.24,40.73,40.87,6430400,40.02
14-Oct-04,41.09,41.13,40.42,40.77,4964000,39.92
13-Oct-04,41.50,41.90,40.93,41.07,7664700,40.21
12-Oct-04,40.70,41.36,40.52,41.34,6507200,40.48
11-Oct-04,40.92,41.00,40.64,40.85,2739800,40.00
8-Oct-04,40.75,40.98,40.57,40.73,4555100,39.88
7-Oct-04,41.23,41.24,40.70,41.11,5683900,40.25
6-Oct-04,40.93,41.65,40.75,41.48,7499300,40.62
5-Oct-04,40.67,41.39,40.67,41.18,6133000,39.95
4-Oct-04,40.25,41.09,40.20,40.92,8004800,39.69
1-Oct-04,39.75,40.04,39.57,40.04,6509100,38.84
30-Sep-04,39.65,39.78,39.16,39.38,8497600,38.20
29-Sep-04,39.70,39.95,39.45,39.78,5917400,38.59
28-Sep-04,39.81,39.90,39.30,39.86,5817600,38.66
27-Sep-04,40.12,40.12,39.65,39.80,6166800,38.61
24-Sep-04,40.14,40.40,40.05,40.31,4705700,39.10
23-Sep-04,40.35,40.50,40.06,40.14,8898600,38.94
22-Sep-04,40.10,40.50,40.10,40.45,6657000,39.24
21-Sep-04,40.10,40.73,40.10,40.55,6215900,39.33
20-Sep-04,40.40,40.54,40.12,40.19,4358000,38.98
17-Sep-04,40.43,40.65,40.32,40.57,6950700,39.35
16-Sep-04,39.76,40.26,39.76,40.18,3999600,38.98
15-Sep-04,40.50,40.55,39.61,39.95,7745400,38.75
14-Sep-04,40.74,41.01,40.59,40.81,6560400,39.59
13-Sep-04,40.45,40.73,40.21,40.55,4540100,39.33
10-Sep-04,40.28,40.47,39.92,40.34,6005100,39.13
9-Sep-04,40.52,40.74,40.18,40.29,5786200,39.08
8-Sep-04,40.10,40.70,40.08,40.42,6259000,39.21
7-Sep-04,40.35,40.75,40.29,40.40,6310200,39.19
3-Sep-04,39.99,40.49,39.95,40.06,5991300,38.86
2-Sep-04,39.70,40.07,39.42,39.95,7341400,38.75
1-Sep-04,39.15,39.73,39.00,39.50,6378100,38.32
31-Aug-04,39.03,39.25,38.94,39.25,6212300,38.07
30-Aug-04,38.79,39.21,38.75,39.03,4485300,37.86
27-Aug-04,38.84,39.05,38.72,38.96,4133400,37.79
26-Aug-04,39.05,39.09,38.72,39.01,4328700,37.84
25-Aug-04,39.02,39.29,38.55,39.17,6170300,38.00
24-Aug-04,39.70,39.73,38.92,39.29,5624200,38.11
23-Aug-04,39.73,39.74,39.26,39.46,4702000,38.28
20-Aug-04,39.35,39.76,39.28,39.60,5784700,38.41
19-Aug-04,39.13,39.49,39.05,39.25,5340200,38.07
18-Aug-04,38.80,39.15,38.68,39.13,5081400,37.96
17-Aug-04,39.16,39.29,38.65,38.92,4886600,37.75
16-Aug-04,38.97,39.38,38.76,39.16,5755400,37.99
13-Aug-04,39.19,39.19,38.79,39.07,4358600,37.90
12-Aug-04,39.30,39.50,38.81,39.00,6404600,37.83
11-Aug-04,38.94,39.67,38.86,39.40,8370200,38.22
10-Aug-04,38.38,39.20,38.36,39.09,6994500,37.92
9-Aug-04,38.45,38.82,38.19,38.34,5168000,37.19
6-Aug-04,38.40,38.89,38.20,38.35,6085600,37.20
5-Aug-04,38.77,39.01,38.54,38.64,7474600,37.48
4-Aug-04,39.04,39.43,38.75,39.17,7375800,38.00
3-Aug-04,38.90,39.80,38.83,39.04,12608100,37.87
2-Aug-04,38.65,38.90,38.20,38.70,7443900,37.54
30-Jul-04,38.87,38.87,38.16,38.54,6474500,37.38
29-Jul-04,38.92,39.00,38.71,38.87,11114600,37.70
28-Jul-04,37.88,38.80,37.87,38.70,15015700,37.54
27-Jul-04,37.50,39.03,37.37,37.86,23371500,36.72
26-Jul-04,35.70,36.75,35.67,36.50,11823600,35.41
23-Jul-04,35.23,36.25,35.10,35.32,11547600,34.26
22-Jul-04,34.20,35.05,34.17,34.61,7877100,33.57
21-Jul-04,34.80,34.85,34.13,34.13,5528400,33.11
20-Jul-04,34.40,34.73,34.30,34.73,7104200,33.69
19-Jul-04,34.84,34.84,34.39,34.48,5209500,33.45
16-Jul-04,35.15,35.15,34.41,34.60,6147200,33.56
15-Jul-04,35.10,35.26,34.81,34.81,4184900,33.77
