Date,Open,High,Low,Close,Volume,Adj. Close*
19-Sep-05,33.27,33.47,32.25,32.75,15429900,32.75
16-Sep-05,33.74,33.77,33.05,33.17,20858300,33.17
15-Sep-05,33.95,33.99,33.50,33.57,10404800,33.57
14-Sep-05,34.30,34.50,33.64,33.80,15017400,33.80
13-Sep-05,33.93,34.71,33.73,34.30,19346600,34.30
12-Sep-05,33.42,34.34,33.41,33.91,18580300,33.91
9-Sep-05,33.35,33.60,33.02,33.46,15247900,33.46
8-Sep-05,33.74,33.93,33.20,33.34,17464400,33.34
7-Sep-05,33.50,34.26,33.30,34.06,12545300,34.06
6-Sep-05,33.18,33.78,33.18,33.68,12513300,33.68
2-Sep-05,33.20,33.37,33.10,33.17,6849000,33.17
1-Sep-05,33.28,33.51,33.04,33.24,11848500,33.24
31-Aug-05,33.23,33.39,32.99,33.32,13035500,33.32
30-Aug-05,33.50,33.67,33.00,33.18,13496000,33.18
29-Aug-05,33.40,33.78,33.31,33.68,11427600,33.68
26-Aug-05,33.51,33.81,33.38,33.57,9833400,33.57
25-Aug-05,33.54,33.62,33.20,33.48,12564900,33.48
24-Aug-05,32.92,33.68,32.88,33.47,23249500,33.47
23-Aug-05,33.29,33.33,32.65,33.11,16912700,33.11
22-Aug-05,34.07,34.10,33.07,33.20,21054400,33.20
19-Aug-05,34.39,34.47,33.98,34.00,12810400,34.00
18-Aug-05,34.13,34.73,34.12,34.36,12154200,34.36
17-Aug-05,34.30,34.73,34.23,34.39,10443700,34.39
16-Aug-05,34.57,34.66,34.21,34.23,11867100,34.23
15-Aug-05,34.80,34.87,34.49,34.60,11244500,34.60
12-Aug-05,34.86,34.88,34.45,34.60,13306100,34.60
11-Aug-05,34.54,35.00,34.32,34.94,22391900,34.94
10-Aug-05,34.28,34.77,34.00,34.19,18047900,34.19
9-Aug-05,34.15,34.32,33.91,34.06,9987400,34.06
8-Aug-05,33.86,34.18,33.66,33.94,13066200,33.94
5-Aug-05,34.09,34.28,33.49,33.52,11873800,33.52
4-Aug-05,34.26,34.60,34.00,34.06,11143400,34.06
3-Aug-05,33.75,34.68,33.73,34.51,18240600,34.51
2-Aug-05,33.46,34.20,33.39,33.88,17581900,33.88
1-Aug-05,33.63,33.69,33.31,33.33,12637100,33.33
29-Jul-05,34.01,34.06,33.34,33.34,16236100,33.34
28-Jul-05,34.23,34.31,33.98,34.01,11871600,34.01
27-Jul-05,34.22,34.37,33.95,34.29,20497500,34.29
26-Jul-05,34.05,34.30,33.91,34.15,16819200,34.15
25-Jul-05,33.88,34.08,33.59,33.85,23252600,33.85
22-Jul-05,33.35,33.77,33.17,33.53,27561500,33.53
21-Jul-05,33.75,33.76,32.75,32.94,37778500,32.94
20-Jul-05,34.21,34.35,33.31,33.40,82623296,33.40
19-Jul-05,37.02,38.02,36.56,37.73,32685500,37.73
18-Jul-05,36.45,36.78,36.37,36.58,11019300,36.58
15-Jul-05,37.05,37.16,36.50,36.58,12372200,36.58
14-Jul-05,37.40,37.50,36.77,36.86,14722200,36.86
13-Jul-05,36.42,36.98,36.41,36.73,16897500,36.73
12-Jul-05,36.20,36.49,35.94,36.23,19665800,36.23
11-Jul-05,34.90,35.81,34.78,35.76,20233000,35.76
8-Jul-05,34.77,34.87,34.25,34.62,15515400,34.62
7-Jul-05,33.87,34.77,33.72,34.63,16354300,34.63
6-Jul-05,34.64,34.97,34.03,34.12,13585700,34.12
5-Jul-05,34.25,35.08,34.20,34.60,16086700,34.60
1-Jul-05,34.76,34.85,34.22,34.44,9861600,34.44
30-Jun-05,34.84,35.17,34.44,34.65,16699500,34.65
29-Jun-05,35.80,35.94,34.88,34.94,16481900,34.94
28-Jun-05,35.95,36.24,35.51,35.80,13346200,35.80
27-Jun-05,35.88,36.11,35.20,35.68,12044700,35.68
24-Jun-05,36.26,36.40,35.60,36.09,13468200,36.09
23-Jun-05,36.85,37.31,36.20,36.20,15547700,36.20
22-Jun-05,36.91,37.32,36.84,36.90,12148100,36.90
21-Jun-05,36.37,37.31,36.36,36.95,16219200,36.95
20-Jun-05,35.96,36.84,35.79,36.45,12753200,36.45
17-Jun-05,36.76,36.98,36.12,36.30,15952800,36.30
16-Jun-05,36.46,36.74,36.22,36.40,12228700,36.40
15-Jun-05,36.97,37.11,35.91,36.32,22753900,36.32
14-Jun-05,36.56,37.05,36.43,36.80,12781200,36.80
13-Jun-05,36.66,37.51,36.53,36.90,11586300,36.90
10-Jun-05,37.48,37.50,36.32,36.81,14216900,36.81
9-Jun-05,36.81,37.48,36.38,37.45,18455100,37.45
8-Jun-05,37.42,37.45,36.32,36.63,20121100,36.63
7-Jun-05,38.72,38.95,37.32,37.44,22848300,37.44
6-Jun-05,37.79,38.74,37.75,38.52,12416000,38.52
3-Jun-05,38.24,38.79,37.60,37.92,12813300,37.92
2-Jun-05,38.20,38.71,38.13,38.50,13150700,38.50
1-Jun-05,37.31,38.90,37.17,38.42,28153800,38.42
31-May-05,37.03,37.35,36.85,37.20,12498300,37.20
27-May-05,36.98,37.47,36.95,37.27,10256600,37.27
26-May-05,36.45,37.19,36.35,37.14,15547700,37.14
25-May-05,36.25,36.42,36.06,36.27,14995100,36.27
24-May-05,36.87,37.10,36.45,36.63,17421300,36.63
23-May-05,36.10,37.10,36.04,36.80,21616200,36.80
20-May-05,36.60,36.64,36.13,36.33,13771900,36.33
19-May-05,36.13,36.99,36.11,36.75,21267100,36.75
18-May-05,35.79,36.58,35.69,35.95,23769000,35.95
17-May-05,35.20,35.80,35.14,35.68,13178400,35.68
16-May-05,34.78,35.50,34.74,35.45,15473900,35.45
13-May-05,34.71,35.35,34.35,34.82,15855900,34.82
12-May-05,34.95,35.37,34.54,34.71,18906700,34.71
11-May-05,34.09,34.88,33.69,34.88,19537100,34.88
10-May-05,34.30,34.37,33.86,34.06,13227000,34.06
9-May-05,34.48,34.65,34.25,34.59,9991700,34.59
6-May-05,35.00,35.08,34.45,34.52,14202200,34.52
5-May-05,35.10,35.29,34.43,34.71,16926300,34.71
4-May-05,34.43,35.50,34.38,35.18,23410900,35.18
3-May-05,34.05,34.60,33.90,34.28,22042800,34.28
2-May-05,34.44,34.85,34.03,34.38,13231500,34.38
29-Apr-05,34.60,34.75,33.92,34.50,15666100,34.50
28-Apr-05,34.70,34.93,34.02,34.33,16159300,34.33
27-Apr-05,34.70,35.14,34.59,34.95,14861300,34.95
26-Apr-05,35.12,35.42,34.80,35.00,17921200,35.00
25-Apr-05,34.58,35.59,34.58,35.49,23883600,35.49
22-Apr-05,35.21,35.88,34.50,34.87,31869800,34.87
21-Apr-05,35.12,35.91,34.71,35.87,27731600,35.87
20-Apr-05,34.96,35.25,34.36,34.65,50104400,34.65
19-Apr-05,32.96,33.33,32.42,33.22,34158500,33.22
18-Apr-05,32.43,33.09,32.40,32.55,19201200,32.55
15-Apr-05,32.96,33.41,32.29,32.46,27008500,32.46
14-Apr-05,33.63,34.20,33.40,33.46,19855300,33.46
13-Apr-05,34.16,34.46,33.40,33.60,16886100,33.60
12-Apr-05,34.35,34.50,33.74,34.28,22681900,34.28
11-Apr-05,34.97,35.09,34.54,34.60,11758500,34.60
8-Apr-05,35.04,35.14,34.65,34.76,11106300,34.76
7-Apr-05,34.45,35.25,34.45,35.07,20575000,35.07
6-Apr-05,35.14,35.42,34.12,34.49,23574000,34.49
5-Apr-05,35.15,35.40,34.84,35.15,20275900,35.15
4-Apr-05,34.34,35.27,33.75,35.07,27853300,35.07
1-Apr-05,34.18,34.77,34.15,34.28,27955400,34.28
31-Mar-05,33.55,34.20,33.20,33.90,25390000,33.90
30-Mar-05,32.31,33.60,32.27,33.48,28267900,33.48
29-Mar-05,32.18,32.84,31.79,32.16,23544700,32.16
28-Mar-05,32.21,32.50,32.10,32.25,20624400,32.25
24-Mar-05,31.94,32.09,31.41,31.41,23162000,31.41
23-Mar-05,30.91,31.33,30.85,30.87,13917100,30.87
22-Mar-05,31.70,31.98,30.86,30.99,19570600,30.99
21-Mar-05,31.29,31.77,30.98,31.62,18449400,31.62
18-Mar-05,31.53,31.73,30.91,31.11,20796400,31.11
17-Mar-05,31.80,31.98,31.54,31.61,13760200,31.61
16-Mar-05,31.87,32.35,31.40,31.58,17952000,31.58
15-Mar-05,31.61,32.28,31.53,31.94,20880800,31.94
14-Mar-05,31.74,31.83,30.65,31.32,19762000,31.32
11-Mar-05,31.86,32.21,31.65,31.65,13364800,31.65
10-Mar-05,32.43,32.56,31.60,31.91,19381200,31.91
9-Mar-05,33.01,33.15,32.01,32.32,21824400,32.32
8-Mar-05,33.55,33.73,33.14,33.16,17839300,33.16
7-Mar-05,32.40,33.31,32.36,33.09,17679200,33.09
4-Mar-05,32.36,32.57,31.76,32.36,17499800,32.36
3-Mar-05,32.25,32.48,31.80,32.31,17896100,32.31
2-Mar-05,32.07,32.60,31.75,32.23,15357200,32.23
1-Mar-05,32.37,32.67,32.05,32.30,20222500,32.30
28-Feb-05,31.74,33.77,31.62,32.27,25266400,32.27
25-Feb-05,31.53,31.96,31.43,31.73,20114900,31.73
24-Feb-05,30.43,31.49,30.30,31.48,55457300,31.48
23-Feb-05,32.82,32.92,31.40,32.12,34757100,32.12
22-Feb-05,33.25,33.82,32.66,32.79,18142600,32.79
18-Feb-05,33.84,33.98,33.38,33.60,12436100,33.60
17-Feb-05,34.42,34.79,33.76,33.82,16203500,33.82
16-Feb-05,33.81,34.82,33.75,34.42,22176200,34.42
15-Feb-05,34.34,34.92,33.81,33.98,20391900,33.98
14-Feb-05,34.01,34.41,33.78,34.33,20065300,34.33
11-Feb-05,33.45,34.70,33.31,34.15,20005800,34.15
10-Feb-05,33.72,33.72,32.47,33.44,32637400,33.44
9-Feb-05,34.60,34.66,33.45,33.59,18285100,33.59
8-Feb-05,34.64,34.91,34.32,34.36,17321500,34.36
7-Feb-05,35.07,35.19,34.36,34.47,14588900,34.47
4-Feb-05,34.71,35.30,34.71,35.02,16850200,35.02
3-Feb-05,35.27,35.67,35.00,35.09,16742400,35.09
2-Feb-05,36.02,36.34,35.29,35.54,33495200,35.54
1-Feb-05,35.13,35.28,34.46,34.75,18633600,34.75
31-Jan-05,35.04,35.44,34.53,35.21,20712200,35.21
28-Jan-05,34.90,35.24,34.12,34.62,17853700,34.62
27-Jan-05,35.38,35.49,34.35,34.73,21450800,34.73
26-Jan-05,34.71,35.74,34.39,35.47,25767500,35.47
25-Jan-05,34.55,34.76,33.94,34.04,26521400,34.04
24-Jan-05,35.48,35.52,33.75,33.93,31477400,33.93
21-Jan-05,36.07,36.11,35.29,35.30,26608000,35.30
20-Jan-05,35.39,36.42,35.05,35.78,30239100,35.78
19-Jan-05,38.08,38.20,36.42,36.45,44303200,36.45
18-Jan-05,37.10,37.46,36.60,37.18,42709600,37.18
14-Jan-05,35.86,36.70,35.83,36.70,27697700,36.70
13-Jan-05,36.12,36.32,35.26,35.33,18526500,35.33
12-Jan-05,35.88,36.18,34.80,36.14,23274700,36.14
11-Jan-05,36.31,36.58,35.39,35.66,19711900,35.66
10-Jan-05,36.00,36.76,35.51,36.32,17482800,36.32
7-Jan-05,35.99,36.46,35.41,35.96,18596300,35.96
6-Jan-05,36.32,36.50,35.21,35.43,20835300,35.43
5-Jan-05,36.69,36.98,36.06,36.13,18469100,36.13
4-Jan-05,38.45,38.54,36.46,36.58,26625300,36.58
3-Jan-05,38.36,38.90,37.65,38.18,25482800,38.18
31-Dec-04,38.04,38.20,37.50,37.68,7556600,37.68
30-Dec-04,38.03,38.21,37.82,37.87,6955700,37.87
29-Dec-04,37.83,38.40,37.75,37.85,10160200,37.85
28-Dec-04,37.85,37.99,37.65,37.90,11291000,37.90
27-Dec-04,37.45,38.00,37.40,37.74,11095800,37.74
23-Dec-04,37.43,37.50,37.21,37.25,6045500,37.25
22-Dec-04,36.47,37.35,36.41,37.29,11297700,37.29
21-Dec-04,36.98,37.16,36.24,36.66,12393500,36.66
20-Dec-04,36.89,37.53,36.21,36.66,18330400,36.66
17-Dec-04,36.77,37.54,36.61,36.77,13640900,36.77
16-Dec-04,38.33,38.36,36.90,37.08,18292300,37.08
15-Dec-04,38.13,38.59,37.95,38.29,9710500,38.29
14-Dec-04,37.98,38.47,37.82,38.26,10088500,38.26
13-Dec-04,38.26,38.32,37.55,38.09,10266600,38.09
10-Dec-04,38.02,38.58,37.93,38.02,10019700,38.02
9-Dec-04,36.83,38.64,36.82,38.31,18900700,38.31
8-Dec-04,37.35,37.44,36.78,37.05,14006800,37.05
7-Dec-04,38.75,38.93,37.00,37.08,17718900,37.08
6-Dec-04,38.71,39.00,38.51,38.84,12007500,38.84
3-Dec-04,39.14,39.79,38.71,39.02,15890900,39.02
2-Dec-04,37.96,39.40,37.89,39.14,22437500,39.14
1-Dec-04,37.90,38.03,37.35,38.00,13204800,38.00
30-Nov-04,37.92,38.19,37.52,37.62,10965100,37.62
29-Nov-04,38.09,38.24,37.50,38.12,13895100,38.12
26-Nov-04,37.83,38.15,37.57,37.81,6230900,37.81
24-Nov-04,37.15,37.64,36.66,37.61,16495200,37.61
23-Nov-04,36.70,37.05,36.10,36.40,14691000,36.40
22-Nov-04,35.99,36.50,35.35,36.45,17256100,36.45
19-Nov-04,37.24,37.41,35.90,36.15,15936600,36.15
18-Nov-04,37.43,37.78,37.10,37.19,15401000,37.19
17-Nov-04,36.95,37.37,36.48,36.95,15189100,36.95
16-Nov-04,37.29,37.41,36.56,36.74,15160100,36.74
15-Nov-04,37.77,38.00,37.31,37.63,13108100,37.63
12-Nov-04,37.87,38.30,37.53,37.80,16545200,37.80
11-Nov-04,36.90,37.82,36.46,37.79,16640100,37.79
10-Nov-04,36.85,37.19,36.37,36.66,14160400,36.66
9-Nov-04,37.24,37.63,36.86,37.03,14937800,37.03
8-Nov-04,36.79,37.32,36.71,37.14,15368500,37.14
5-Nov-04,37.68,37.85,35.76,36.35,25428100,36.35
4-Nov-04,37.57,37.95,36.75,37.66,19812300,37.66
3-Nov-04,39.20,39.25,37.54,37.97,25377500,37.97
2-Nov-04,37.03,38.15,36.89,37.74,22925400,37.74
1-Nov-04,35.91,37.00,35.86,36.92,16436900,36.92
29-Oct-04,36.08,36.72,35.86,36.19,13432500,36.19
28-Oct-04,35.82,36.50,35.82,36.45,13245200,36.45
27-Oct-04,34.90,36.52,34.85,36.18,20968100,36.18
26-Oct-04,35.12,35.39,34.75,35.09,15698700,35.09
25-Oct-04,34.83,35.24,34.50,35.20,17718300,35.20
22-Oct-04,36.57,36.75,34.93,34.96,35643200,34.96
21-Oct-04,35.40,35.93,34.90,35.70,27937000,35.70
20-Oct-04,34.38,34.57,34.00,34.49,15943900,34.49
19-Oct-04,35.44,35.69,34.53,34.64,22291600,34.64
18-Oct-04,34.32,35.40,34.11,35.30,19801400,35.30
15-Oct-04,34.89,35.03,34.41,34.52,19657500,34.52
14-Oct-04,34.98,35.15,34.22,34.96,22861600,34.96
13-Oct-04,35.95,36.28,34.84,34.96,49492300,34.96
12-Oct-04,33.71,34.48,33.60,34.23,31284000,34.23
11-Oct-04,34.40,34.55,33.65,34.02,12664400,34.02
8-Oct-04,34.48,35.00,34.10,34.17,16152700,34.17
7-Oct-04,34.88,35.49,34.72,34.78,16233700,34.78
6-Oct-04,34.72,35.15,34.51,34.96,17118000,34.96
5-Oct-04,34.52,35.00,34.43,34.96,14934400,34.96
4-Oct-04,35.05,35.45,34.73,34.91,21264100,34.91
1-Oct-04,34.35,35.14,34.12,35.03,22100300,35.03
30-Sep-04,33.59,34.49,33.56,33.91,25706900,33.91
29-Sep-04,32.78,34.15,32.77,34.00,30183700,34.00
28-Sep-04,32.27,33.00,31.67,32.80,18218200,32.80
27-Sep-04,32.54,32.72,31.65,31.82,15218800,31.82
24-Sep-04,33.19,33.25,32.56,32.58,11285600,32.58
23-Sep-04,32.71,33.33,32.33,33.04,15695100,33.04
22-Sep-04,32.81,33.75,32.38,32.47,22239800,32.47
21-Sep-04,33.35,33.48,32.80,33.26,17063500,33.26
20-Sep-04,32.85,34.04,32.85,33.26,18702200,33.26
17-Sep-04,33.00,33.50,32.66,33.46,15049000,33.46
16-Sep-04,32.89,33.94,32.52,32.79,23336100,32.79
15-Sep-04,32.70,33.40,32.41,32.90,16915900,32.90
14-Sep-04,31.62,33.55,31.44,33.20,28245600,33.20
13-Sep-04,31.01,31.99,31.01,31.87,17476400,31.87
10-Sep-04,30.24,31.12,30.21,31.08,11312500,31.08
9-Sep-04,30.20,30.70,29.83,30.49,16353800,30.49
8-Sep-04,29.61,30.47,29.57,30.38,18660200,30.38
7-Sep-04,29.87,30.10,29.27,29.64,16331200,29.64
3-Sep-04,29.75,30.31,29.27,29.46,12782700,29.46
2-Sep-04,28.70,30.16,28.66,29.84,17247700,29.84
1-Sep-04,28.39,29.04,28.13,29.01,16668100,29.01
31-Aug-04,28.48,28.70,28.08,28.51,11381700,28.51
30-Aug-04,29.07,29.07,28.35,28.46,12762700,28.46
27-Aug-04,29.43,29.57,29.19,29.30,8327500,29.30
26-Aug-04,29.00,29.49,28.96,29.17,9756000,29.17
25-Aug-04,28.36,29.50,28.21,29.37,15518100,29.37
24-Aug-04,28.99,29.08,28.05,28.41,16537400,28.41
23-Aug-04,29.10,29.19,28.56,28.63,13024400,28.63
20-Aug-04,27.88,28.83,27.83,28.61,17228700,28.61
19-Aug-04,28.34,28.97,27.90,28.11,27657500,28.11
18-Aug-04,27.46,28.54,27.42,28.48,22358300,28.48
17-Aug-04,28.63,29.16,28.17,28.34,19609800,28.34
16-Aug-04,27.39,28.77,27.30,28.25,15923600,28.25
13-Aug-04,27.83,27.88,26.90,27.49,16278400,27.49
12-Aug-04,27.43,27.93,27.19,27.55,18779300,27.55
11-Aug-04,26.40,27.81,26.24,27.42,24805300,27.42
10-Aug-04,26.16,27.24,26.00,27.15,24449700,27.15
9-Aug-04,26.29,26.39,25.52,25.70,18997700,25.70
6-Aug-04,26.47,26.70,25.77,26.02,30177200,26.02
5-Aug-04,28.46,28.46,26.70,26.80,27642000,26.80
4-Aug-04,27.98,28.23,27.58,27.91,30154500,27.91
3-Aug-04,30.41,30.59,28.98,29.15,17729200,29.15
2-Aug-04,30.57,30.61,30.13,30.42,12250800,30.42
30-Jul-04,30.25,31.12,30.19,30.80,16265700,30.80
29-Jul-04,30.56,30.80,30.00,30.49,18747300,30.49
28-Jul-04,29.79,30.38,28.86,29.70,24592700,29.70
27-Jul-04,28.60,30.22,28.45,30.00,25597200,30.00
26-Jul-04,28.45,28.75,27.58,28.21,21484500,28.21
23-Jul-04,28.20,28.97,28.03,28.19,15762300,28.19
22-Jul-04,27.82,29.32,27.51,29.26,26079400,29.26
21-Jul-04,30.11,30.15,28.10,28.13,19493300,28.13
20-Jul-04,28.20,29.63,28.16,29.39,19513500,29.39
19-Jul-04,28.90,29.00,27.54,28.11,32020300,28.11
16-Jul-04,30.72,30.75,29.15,29.19,18654300,29.19
15-Jul-04,31.00,31.01,30.09,30.25,13566000,30.25
14-Jul-04,29.74,31.15,29.30,30.66,18758700,30.66
13-Jul-04,30.59,30.80,30.01,30.34,19083300,30.34
12-Jul-04,29.66,30.36,29.53,30.26,19661900,30.26
9-Jul-04,30.88,30.98,29.63,30.11,26462600,30.11
8-Jul-04,29.42,31.24,28.99,30.08,87532704,30.08
7-Jul-04,33.07,33.14,32.30,32.60,35597600,32.60
6-Jul-04,34.00,34.00,32.30,33.22,27496900,33.22
2-Jul-04,34.46,34.54,33.57,33.94,16242300,33.94
1-Jul-04,35.14,35.34,34.11,34.30,28525400,34.30
30-Jun-04,35.99,36.51,35.70,36.40,21374100,36.40
29-Jun-04,35.38,35.77,35.08,35.35,15009200,35.35
28-Jun-04,35.08,36.27,34.98,35.48,24739200,35.48
25-Jun-04,34.37,35.36,33.50,34.91,20260800,34.91
24-Jun-04,33.64,34.38,33.64,34.11,15620000,34.11
23-Jun-04,32.54,34.19,32.52,33.97,27370700,33.97
22-Jun-04,31.96,32.55,31.77,32.54,15136600,32.54
21-Jun-04,32.20,32.38,31.56,31.67,12367400,31.67
18-Jun-04,32.11,32.87,31.95,32.07,15809400,32.07
17-Jun-04,32.39,32.53,31.96,32.38,11658700,32.38
16-Jun-04,32.41,32.77,32.07,32.47,11281800,32.47
15-Jun-04,31.99,32.58,31.97,32.10,14796000,32.10
14-Jun-04,32.18,32.24,31.44,31.65,11766900,31.65
10-Jun-04,32.73,32.74,31.86,32.40,17537700,32.40
9-Jun-04,32.95,33.01,32.08,32.32,16989900,32.32
8-Jun-04,32.32,33.00,32.28,32.99,18337200,32.99
7-Jun-04,32.36,32.52,32.03,32.51,17988200,32.51
4-Jun-04,31.88,32.20,31.45,31.87,16267800,31.87
3-Jun-04,31.66,31.81,31.06,31.19,18500900,31.19
2-Jun-04,32.45,32.84,31.49,31.55,30055600,31.55
1-Jun-04,30.49,32.82,30.43,32.48,28801700,32.48
28-May-04,30.41,31.16,30.30,30.66,16671800,30.66
27-May-04,30.41,30.80,30.00,30.56,18645100,30.56
26-May-04,29.78,30.40,29.77,30.11,20933100,30.11
25-May-04,28.94,30.50,28.88,30.28,25008100,30.28
24-May-04,28.84,29.76,28.84,29.43,23701900,29.43
21-May-04,28.30,28.85,28.15,28.55,15443000,28.55
20-May-04,28.12,28.30,27.51,28.03,16537200,28.03
19-May-04,28.61,28.90,27.82,27.95,25635100,27.95
18-May-04,27.49,27.98,27.31,27.77,19084700,27.77
17-May-04,26.35,27.66,26.21,27.02,13986900,27.02
14-May-04,27.54,27.67,26.75,26.97,19204900,26.97
13-May-04,27.18,28.10,26.78,27.10,19947800,27.10
12-May-04,26.81,27.18,25.76,27.08,26108100,27.08
11-May-04,52.35,54.00,52.18,53.53,34553400,26.76
10-May-04,52.39,52.40,50.67,51.33,31360600,25.67
7-May-04,52.42,53.74,52.28,52.80,22879000,26.40
6-May-04,53.20,53.20,51.63,52.36,20360600,26.18
5-May-04,52.97,53.92,52.91,53.16,15579000,26.58
4-May-04,52.34,53.86,52.25,52.85,24891800,26.42
3-May-04,50.53,52.40,50.51,52.30,29483200,26.15
30-Apr-04,54.41,54.59,50.02,50.53,53096600,25.26
29-Apr-04,55.78,56.40,53.55,54.71,29266400,27.35
28-Apr-04,57.77,58.32,55.75,55.83,20569400,27.92
27-Apr-04,56.98,58.25,56.57,57.54,20146600,28.77
26-Apr-04,56.45,58.35,55.95,57.00,21909400,28.50
23-Apr-04,57.35,57.50,55.91,56.75,19840200,28.38
22-Apr-04,54.78,57.97,54.51,57.59,32878000,28.80
21-Apr-04,53.90,54.76,53.09,54.58,20465200,27.29
20-Apr-04,55.87,55.95,53.50,53.55,20080800,26.77
19-Apr-04,53.87,55.84,53.75,55.69,19227800,27.84
16-Apr-04,53.93,54.78,53.35,54.14,19200600,27.07
15-Apr-04,54.81,54.87,53.75,53.90,17628400,26.95
14-Apr-04,53.67,54.95,53.43,54.69,20407400,27.34
13-Apr-04,54.99,55.08,53.85,54.14,26006600,27.07
12-Apr-04,55.78,55.97,54.87,55.14,34690800,27.57
8-Apr-04,55.72,56.24,54.50,56.21,90565800,28.10
7-Apr-04,48.45,49.25,47.89,48.35,33223600,24.17
6-Apr-04,49.11,49.30,48.22,48.77,23672800,24.39
5-Apr-04,50.06,50.99,49.30,49.99,22794400,25.00
2-Apr-04,50.52,50.63,49.26,50.15,22649600,25.08
1-Apr-04,48.82,49.71,48.42,49.45,22423000,24.73
