Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,1166.86,1171.83,1157.78,1171.11,1785810048,1171.11
10-May-05,1172.07,1178.84,1162.98,1166.22,1746360064,1166.22
9-May-05,1170.92,1178.87,1169.49,1178.84,1700210048,1178.84
6-May-05,1176.81,1177.65,1170.52,1171.35,1616850048,1171.35
5-May-05,1175.00,1178.50,1166.85,1172.63,1856120064,1172.63
4-May-05,1163.97,1175.97,1161.17,1175.65,2147389952,1175.65
3-May-05,1159.32,1166.75,1156.76,1161.17,2129270016,1161.17
2-May-05,1158.66,1162.55,1154.71,1162.16,1761080064,1162.16
29-Apr-05,1149.60,1156.85,1139.14,1156.85,2144460032,1156.85
28-Apr-05,1151.53,1156.38,1143.22,1143.22,2061970048,1143.22
27-Apr-05,1149.03,1159.84,1144.55,1156.38,1961959936,1156.38
26-Apr-05,1159.33,1164.73,1151.74,1151.74,1812550016,1151.74
25-Apr-05,1158.26,1163.90,1152.12,1162.10,1681040000,1162.10
22-Apr-05,1157.14,1159.95,1142.92,1152.12,1987200000,1152.12
21-Apr-05,1148.28,1159.95,1137.50,1159.95,2140800000,1159.95
20-Apr-05,1153.27,1155.34,1136.37,1137.50,2144659968,1137.50
19-Apr-05,1150.96,1154.64,1145.98,1152.78,2147129984,1152.78
18-Apr-05,1141.74,1148.85,1140.08,1145.98,2118470016,1145.98
15-Apr-05,1158.85,1162.05,1142.18,1142.62,2144899968,1142.62
14-Apr-05,1174.03,1174.47,1161.79,1162.05,2138060032,1162.05
13-Apr-05,1185.10,1187.76,1171.45,1173.79,1959879936,1173.79
12-Apr-05,1178.06,1190.15,1171.37,1187.76,2048290048,1187.76
11-Apr-05,1182.93,1184.04,1178.81,1181.21,1445959936,1181.21
8-Apr-05,1191.29,1191.74,1181.14,1181.20,1557340032,1181.20
7-Apr-05,1184.95,1191.75,1183.96,1191.14,1886579968,1191.14
6-Apr-05,1184.25,1189.22,1181.39,1184.07,1815239936,1184.07
5-Apr-05,1178.44,1183.49,1176.12,1181.39,1830790016,1181.39
4-Apr-05,1172.79,1178.59,1167.77,1176.12,2002550016,1176.12
1-Apr-05,1186.62,1189.78,1169.94,1172.92,2091609984,1172.92
31-Mar-05,1181.41,1184.53,1179.51,1180.59,275870016,1180.59
30-Mar-05,1167.72,1181.51,1165.36,1181.41,1965799936,1181.41
29-Mar-05,1172.15,1179.30,1163.82,1165.36,2052120064,1165.36
28-Mar-05,1174.05,1179.78,1171.42,1174.28,1572540032,1174.28
24-Mar-05,1176.01,1180.10,1171.42,1171.42,1628460032,1171.42
23-Mar-05,1169.89,1176.25,1168.71,1172.53,2117289984,1172.53
22-Mar-05,1184.18,1189.24,1171.71,1171.71,2087090048,1171.71
21-Mar-05,1188.63,1189.65,1179.03,1183.78,1725490048,1183.78
18-Mar-05,1190.70,1191.92,1182.85,1189.65,2142809984,1189.65
17-Mar-05,1190.38,1193.27,1186.34,1190.21,1833170048,1190.21
16-Mar-05,1192.94,1197.75,1185.74,1188.07,2082339968,1188.07
15-Mar-05,1209.92,1210.54,1197.75,1197.75,1758930048,1197.75
14-Mar-05,1201.59,1206.83,1199.46,1206.83,1685689984,1206.83
11-Mar-05,1209.13,1212.82,1198.28,1200.08,1770240000,1200.08
