Date,Open,High,Low,Close,Volume,Adj. Close*
20-Oct-04,14.80,14.84,14.79,14.84,5240600,14.84
19-Oct-04,14.82,14.84,14.79,14.80,6430900,14.80
18-Oct-04,14.79,14.84,14.78,14.83,6720900,14.83
15-Oct-04,14.79,14.80,14.77,14.78,10379900,14.78
14-Oct-04,14.79,14.80,14.77,14.78,7707800,14.78
13-Oct-04,14.77,14.79,14.75,14.77,10451800,14.77
12-Oct-04,14.78,14.79,14.75,14.76,10492100,14.76
11-Oct-04,14.78,14.80,14.78,14.78,3460600,14.78
8-Oct-04,14.77,14.80,14.77,14.78,3958400,14.78
7-Oct-04,14.76,14.80,14.76,14.78,6466300,14.78
6-Oct-04,14.78,14.79,14.75,14.75,9907100,14.75
5-Oct-04,14.75,14.80,14.75,14.78,6208900,14.78
4-Oct-04,14.74,14.76,14.72,14.75,10725400,14.75
1-Oct-04,14.77,14.78,14.71,14.75,14135000,14.75
30-Sep-04,14.80,14.80,14.73,14.78,12496500,14.78
29-Sep-04,14.78,14.80,14.77,14.80,6898300,14.80
28-Sep-04,14.77,14.80,14.75,14.79,4893500,14.79
27-Sep-04,14.77,14.79,14.76,14.76,7090700,14.76
24-Sep-04,14.78,14.79,14.75,14.77,12783600,14.77
23-Sep-04,14.75,14.77,14.73,14.75,12607800,14.75
22-Sep-04,14.72,14.77,14.71,14.76,7695000,14.76
21-Sep-04,14.69,14.74,14.69,14.73,7174400,14.73
20-Sep-04,14.71,14.72,14.69,14.69,4539800,14.69
17-Sep-04,14.70,14.73,14.69,14.71,6126900,14.71
16-Sep-04,14.70,14.71,14.67,14.68,6276900,14.68
15-Sep-04,14.66,14.70,14.64,14.69,9327900,14.69
14-Sep-04,14.65,14.67,14.64,14.67,6024000,14.67
13-Sep-04,14.62,14.66,14.60,14.66,7133600,14.66
10-Sep-04,14.61,14.66,14.60,14.65,8899600,14.65
9-Sep-04,14.60,14.64,14.59,14.62,13940200,14.62
8-Sep-04,14.59,14.61,14.57,14.58,3835100,14.58
7-Sep-04,14.60,14.61,14.57,14.59,4842500,14.59
3-Sep-04,14.61,14.62,14.57,14.59,3644400,14.59
2-Sep-04,14.60,14.61,14.58,14.61,4811800,14.61
1-Sep-04,14.60,14.64,14.59,14.61,4622600,14.61
31-Aug-04,14.56,14.62,14.55,14.62,9502900,14.62
30-Aug-04,14.55,14.57,14.54,14.56,2737500,14.56
27-Aug-04,14.55,14.59,14.54,14.56,3393100,14.56
26-Aug-04,14.53,14.58,14.52,14.56,7260200,14.56
25-Aug-04,14.52,14.55,14.50,14.55,6086800,14.55
24-Aug-04,14.46,14.55,14.45,14.51,7757900,14.51
23-Aug-04,14.43,14.50,14.40,14.44,8404200,14.44
20-Aug-04,14.40,14.45,14.40,14.43,3190700,14.43
19-Aug-04,14.42,14.44,14.38,14.42,5606600,14.42
18-Aug-04,14.37,14.44,14.36,14.44,6899600,14.44
17-Aug-04,14.35,14.39,14.33,14.36,4753900,14.36
16-Aug-04,14.34,14.38,14.31,14.33,5908900,14.33
13-Aug-04,14.36,14.39,14.33,14.36,9525100,14.36
12-Aug-04,14.30,14.33,14.25,14.29,8183200,14.29
11-Aug-04,14.28,14.30,14.26,14.30,6245700,14.30
10-Aug-04,14.30,14.32,14.27,14.32,4100000,14.32
9-Aug-04,14.27,14.31,14.23,14.30,6743200,14.30
6-Aug-04,14.20,14.34,14.19,14.25,9530800,14.25
5-Aug-04,14.33,14.37,14.21,14.23,15326200,14.23
4-Aug-04,14.41,14.42,14.29,14.33,16937600,14.33
3-Aug-04,14.45,14.46,14.40,14.43,4200000,14.43
2-Aug-04,14.42,14.48,14.41,14.47,5065800,14.47
30-Jul-04,14.40,14.44,14.40,14.44,4407000,14.44
29-Jul-04,14.40,14.46,14.40,14.42,5297700,14.42
28-Jul-04,14.42,14.45,14.38,14.38,5021400,14.38
27-Jul-04,14.40,14.45,14.40,14.42,5376400,14.42
26-Jul-04,14.43,14.44,14.37,14.39,6716000,14.39
23-Jul-04,14.45,14.47,14.42,14.43,10955600,14.43
22-Jul-04,14.44,14.51,14.44,14.50,8323600,14.50
21-Jul-04,14.44,14.48,14.42,14.43,11597600,14.43
20-Jul-04,14.34,14.40,14.34,14.39,7547700,14.39
19-Jul-04,14.30,14.35,14.29,14.33,7537200,14.33
16-Jul-04,14.32,14.32,14.28,14.29,4443500,14.29
15-Jul-04,14.30,14.32,14.28,14.29,7269300,14.29
14-Jul-04,14.32,14.35,14.28,14.30,6733700,14.30
13-Jul-04,14.31,14.35,14.29,14.32,8283200,14.32
12-Jul-04,14.30,14.34,14.23,14.32,4298900,14.32
9-Jul-04,14.31,14.33,14.29,14.30,6991700,14.30
8-Jul-04,14.31,14.34,14.30,14.31,11605600,14.31
7-Jul-04,14.31,14.34,14.29,14.30,5794100,14.30
6-Jul-04,14.32,14.35,14.25,14.31,6447400,14.31
2-Jul-04,14.33,14.35,14.32,14.34,3611600,14.34
1-Jul-04,14.32,14.35,14.31,14.34,4501800,14.34
30-Jun-04,14.35,14.37,14.32,14.32,8084400,14.32
29-Jun-04,14.34,14.38,14.33,14.35,9312400,14.35
28-Jun-04,14.34,14.38,14.33,14.33,5756100,14.33
25-Jun-04,14.35,14.36,14.32,14.34,8450500,14.34
24-Jun-04,14.36,14.39,14.34,14.35,6774700,14.35
23-Jun-04,14.34,14.39,14.31,14.39,6101500,14.39
22-Jun-04,14.33,14.36,14.32,14.35,3234200,14.35
21-Jun-04,14.37,14.40,14.33,14.34,4062800,14.34
18-Jun-04,14.34,14.41,14.34,14.36,5481700,14.36
17-Jun-04,14.33,14.38,14.32,14.36,5117500,14.36
16-Jun-04,14.33,14.35,14.32,14.34,3054700,14.34
15-Jun-04,14.33,14.35,14.29,14.34,6266300,14.34
14-Jun-04,14.29,14.33,14.29,14.30,5958900,14.30
10-Jun-04,14.29,14.34,14.25,14.33,8454900,14.33
