Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,52.49,52.69,51.91,52.38,4753600,52.38
10-May-05,52.80,52.81,52.35,52.48,4759800,52.48
9-May-05,52.95,53.19,52.55,52.79,5521200,52.79
6-May-05,53.40,53.50,52.92,53.00,4227500,53.00
5-May-05,53.36,53.45,52.80,53.18,4375000,53.18
4-May-05,52.90,53.61,52.74,53.52,4413900,53.52
3-May-05,53.00,53.39,52.65,53.00,5550500,53.00
2-May-05,52.53,53.20,52.53,53.05,5366300,53.05
29-Apr-05,52.05,52.70,51.51,52.70,7369400,52.70
28-Apr-05,51.85,51.99,51.44,51.70,5787700,51.70
27-Apr-05,51.55,52.37,51.50,52.10,6509600,52.10
26-Apr-05,50.55,51.55,50.30,51.55,8921600,51.55
25-Apr-05,50.28,51.09,50.03,50.97,4683700,50.97
22-Apr-05,50.20,50.55,49.51,49.81,5067900,49.81
21-Apr-05,50.95,50.95,49.57,50.40,8082700,50.40
20-Apr-05,50.35,50.49,50.03,50.03,6007900,50.03
19-Apr-05,50.88,51.20,50.50,50.55,4123100,50.55
18-Apr-05,50.72,51.37,50.67,50.93,5449400,50.93
15-Apr-05,51.12,52.01,50.58,50.72,5542900,50.72
14-Apr-05,52.05,52.20,51.10,51.11,4136200,51.11
13-Apr-05,52.00,52.55,51.81,52.08,6179100,52.08
12-Apr-05,51.05,52.32,50.85,52.16,4911800,52.16
11-Apr-05,51.47,51.67,51.05,51.32,2280800,51.32
8-Apr-05,51.75,51.85,51.38,51.54,2130900,51.54
7-Apr-05,51.72,51.88,51.46,51.75,2879900,51.75
6-Apr-05,51.35,51.86,51.35,51.53,3052000,51.53
5-Apr-05,51.20,51.34,50.93,51.22,3950600,51.22
4-Apr-05,51.10,51.45,50.62,51.30,4332800,51.30
1-Apr-05,51.90,51.94,50.85,50.90,4558800,50.90
31-Mar-05,51.47,51.80,51.21,51.37,5439000,51.37
30-Mar-05,50.85,51.58,50.85,51.47,7284100,51.47
29-Mar-05,51.09,51.29,50.76,50.91,6414700,50.79
28-Mar-05,50.36,51.43,50.36,51.09,6169400,50.97
24-Mar-05,50.65,50.88,50.25,50.28,6039900,50.16
23-Mar-05,50.75,51.18,50.01,50.42,10290800,50.30
22-Mar-05,52.20,52.48,51.11,51.18,6194100,51.06
21-Mar-05,52.45,52.65,52.02,52.29,4960900,52.17
18-Mar-05,52.45,52.89,52.30,52.40,11990300,52.28
17-Mar-05,52.67,52.75,52.27,52.45,6052100,52.33
16-Mar-05,53.20,53.30,52.50,52.68,6467100,52.56
15-Mar-05,54.10,54.10,53.41,53.50,3012300,53.37
14-Mar-05,53.62,54.19,53.51,53.85,3744600,53.72
11-Mar-05,54.10,54.11,53.15,53.54,4392200,53.41
10-Mar-05,53.55,54.17,53.25,54.03,3896500,53.90
9-Mar-05,54.20,54.34,53.65,53.65,6217600,53.52
8-Mar-05,54.90,54.97,54.35,54.42,5536900,54.29
7-Mar-05,55.10,55.17,54.79,54.95,4478500,54.82
4-Mar-05,55.10,55.44,54.92,54.95,3959500,54.82
3-Mar-05,54.83,55.14,54.60,54.71,3550200,54.58
2-Mar-05,54.25,55.21,54.15,54.70,4717900,54.57
1-Mar-05,53.95,54.81,53.92,54.65,4380800,54.52
28-Feb-05,54.40,54.72,53.95,54.15,4195900,54.02
25-Feb-05,54.25,54.75,54.22,54.58,2879200,54.45
24-Feb-05,53.92,54.53,53.85,54.35,4409200,54.22
23-Feb-05,53.78,54.14,53.71,53.99,4082400,53.86
22-Feb-05,54.03,54.36,53.68,53.78,5084300,53.65
18-Feb-05,54.40,54.41,54.06,54.13,5218500,54.00
17-Feb-05,54.65,54.93,54.50,54.50,4323600,54.37
16-Feb-05,54.40,54.81,54.17,54.62,5054600,54.49
15-Feb-05,54.65,54.79,54.41,54.50,4507800,54.37
14-Feb-05,55.11,55.16,54.40,54.60,4040300,54.47
11-Feb-05,55.11,55.53,54.87,55.19,4807300,55.06
10-Feb-05,55.05,55.35,54.38,55.11,4081200,54.98
9-Feb-05,55.07,55.51,54.65,54.77,4758300,54.64
8-Feb-05,55.30,55.37,55.02,55.07,4061400,54.94
7-Feb-05,55.55,55.74,55.32,55.56,3387500,55.43
4-Feb-05,55.35,56.00,55.34,55.82,3765300,55.69
3-Feb-05,55.50,55.70,55.19,55.41,7561400,55.28
2-Feb-05,56.10,56.40,55.54,55.77,9336500,55.64
1-Feb-05,55.68,58.03,55.25,56.75,27379500,56.62
31-Jan-05,53.28,53.61,53.17,53.35,4250800,53.22
28-Jan-05,52.90,52.95,52.27,52.80,4366100,52.68
27-Jan-05,52.77,53.24,52.56,52.78,3718300,52.66
26-Jan-05,52.62,53.54,52.62,53.10,3213200,52.97
25-Jan-05,52.61,53.72,52.61,53.44,6559000,53.31
24-Jan-05,52.05,52.98,51.59,52.60,7594800,52.48
21-Jan-05,52.37,52.60,51.81,51.93,4506700,51.81
20-Jan-05,52.60,52.90,52.31,52.40,4927500,52.28
19-Jan-05,53.00,53.47,52.96,53.06,3967700,52.93
18-Jan-05,52.55,53.20,52.53,53.15,5416200,53.02
14-Jan-05,53.00,53.14,52.69,52.72,3752100,52.60
13-Jan-05,53.25,53.87,52.85,52.88,4631600,52.76
12-Jan-05,53.41,53.51,52.85,53.25,6611000,53.12
11-Jan-05,53.67,53.70,53.26,53.37,5236400,53.24
10-Jan-05,53.66,54.16,53.62,53.87,4328900,53.74
7-Jan-05,54.28,54.34,53.54,53.76,3874300,53.63
6-Jan-05,54.34,54.52,53.80,54.16,4330700,54.03
5-Jan-05,55.05,55.07,54.36,54.44,4097700,54.31
4-Jan-05,55.91,55.99,54.86,55.07,4063400,54.82
3-Jan-05,56.60,56.93,55.80,55.91,4596700,55.66
