Date,Open,High,Low,Close,Volume,Adj. Close*
20-Oct-04,23.35,23.48,23.21,23.35,3910500,23.35
19-Oct-04,23.49,23.61,23.30,23.36,4594600,23.36
18-Oct-04,23.17,23.52,23.16,23.49,5802100,23.49
15-Oct-04,22.79,23.23,22.79,23.01,7287900,23.01
14-Oct-04,23.13,23.38,22.96,23.00,4268700,23.00
13-Oct-04,23.24,23.40,22.83,23.06,7363600,23.06
12-Oct-04,23.01,23.17,22.91,23.10,5984200,23.10
11-Oct-04,23.15,23.36,23.15,23.20,2484300,23.20
8-Oct-04,23.36,23.50,23.15,23.24,4200700,23.24
7-Oct-04,24.10,24.16,23.40,23.50,6644400,23.50
6-Oct-04,24.07,24.19,23.81,24.18,5022100,24.18
5-Oct-04,24.25,24.40,24.06,24.16,4217400,24.16
4-Oct-04,23.50,24.53,23.50,24.35,7224100,24.35
1-Oct-04,23.82,24.16,23.76,24.14,4830900,24.14
30-Sep-04,23.90,23.92,23.39,23.67,7286400,23.67
29-Sep-04,23.60,23.87,23.58,23.86,4283100,23.86
28-Sep-04,23.87,23.95,23.72,23.85,4630900,23.57
27-Sep-04,24.02,24.09,23.77,23.80,5765200,23.52
24-Sep-04,23.96,24.34,23.95,24.19,3412700,23.91
23-Sep-04,24.16,24.38,23.88,23.90,3628600,23.62
22-Sep-04,24.48,24.56,24.00,24.11,4913400,23.83
21-Sep-04,24.35,24.51,24.25,24.45,3791000,24.16
20-Sep-04,24.28,24.68,24.18,24.24,4933500,23.96
17-Sep-04,24.56,24.72,24.45,24.68,5962400,24.39
16-Sep-04,24.37,24.59,24.28,24.41,4493800,24.12
15-Sep-04,24.38,24.38,24.08,24.26,4449700,23.98
14-Sep-04,24.22,24.43,24.16,24.27,4454200,23.99
13-Sep-04,24.10,24.22,23.95,24.17,5516200,23.89
10-Sep-04,23.90,24.05,23.85,24.00,5032000,23.72
9-Sep-04,23.98,23.99,23.75,23.81,3031500,23.53
8-Sep-04,23.65,23.95,23.60,23.87,5023300,23.59
7-Sep-04,23.75,23.96,23.46,23.65,5059000,23.37
3-Sep-04,23.75,23.97,23.68,23.71,3231900,23.43
2-Sep-04,23.64,23.83,23.41,23.75,3941500,23.47
1-Sep-04,23.74,23.83,23.48,23.64,4235200,23.36
31-Aug-04,23.85,23.93,23.59,23.73,4543500,23.45
30-Aug-04,24.09,24.25,23.82,23.84,3358400,23.56
27-Aug-04,23.80,24.26,23.73,24.23,6354600,23.95
26-Aug-04,23.76,23.88,23.67,23.77,3013000,23.49
25-Aug-04,23.26,23.83,23.21,23.77,4323000,23.49
24-Aug-04,23.48,23.48,23.17,23.25,2747900,22.98
23-Aug-04,23.25,23.55,23.25,23.30,4333100,23.03
20-Aug-04,23.16,23.50,23.07,23.46,3392600,23.18
19-Aug-04,23.02,23.23,23.00,23.16,3029900,22.89
18-Aug-04,22.90,23.28,22.81,23.25,4129300,22.98
17-Aug-04,22.96,23.17,22.91,23.05,5592200,22.78
16-Aug-04,22.65,23.11,22.60,22.96,3310300,22.69
13-Aug-04,23.15,23.17,22.60,22.70,3840000,22.43
12-Aug-04,23.05,23.35,22.94,22.99,4140900,22.72
11-Aug-04,22.58,23.25,22.58,23.22,5417100,22.95
10-Aug-04,22.50,22.72,22.41,22.71,3565400,22.44
9-Aug-04,22.55,22.72,22.44,22.50,4125900,22.24
6-Aug-04,22.67,22.91,22.58,22.67,6037600,22.40
5-Aug-04,23.20,23.33,22.97,23.00,4010000,22.73
4-Aug-04,23.16,23.48,23.02,23.30,5243500,23.03
3-Aug-04,23.31,23.41,22.63,23.14,6666800,22.87
2-Aug-04,23.09,23.24,22.84,23.16,5938400,22.89
30-Jul-04,22.57,22.90,22.48,22.90,8028600,22.63
29-Jul-04,23.00,23.25,22.22,22.57,20545600,22.31
28-Jul-04,23.68,23.75,23.25,23.57,5042500,23.29
27-Jul-04,23.40,23.72,23.34,23.68,4698200,23.40
26-Jul-04,23.50,23.58,23.16,23.40,3831100,23.13
23-Jul-04,23.47,23.64,23.46,23.51,4796000,23.23
22-Jul-04,23.26,23.50,23.19,23.47,6184300,23.19
21-Jul-04,23.50,23.70,23.27,23.30,5083900,23.03
20-Jul-04,23.60,23.70,23.36,23.53,6576800,23.25
19-Jul-04,23.66,23.73,23.56,23.65,4110500,23.37
16-Jul-04,23.62,23.77,23.10,23.56,5277700,23.28
15-Jul-04,23.86,23.94,23.61,23.61,4493700,23.33
14-Jul-04,24.17,24.29,23.84,23.90,5752300,23.62
13-Jul-04,24.09,24.27,24.05,24.21,3030700,23.93
12-Jul-04,24.08,24.20,23.98,24.08,2848000,23.80
9-Jul-04,24.01,24.38,24.00,24.08,4256800,23.80
8-Jul-04,23.77,24.27,23.76,23.82,4661500,23.54
7-Jul-04,23.92,23.93,23.71,23.89,6076300,23.61
6-Jul-04,24.25,24.34,23.90,23.93,5328000,23.65
2-Jul-04,24.13,24.31,24.06,24.15,3537600,23.87
1-Jul-04,24.46,24.51,24.11,24.32,5602400,24.03
30-Jun-04,24.52,24.55,24.41,24.50,7007100,24.21
29-Jun-04,24.74,24.78,24.61,24.65,3972900,24.08
28-Jun-04,24.70,24.89,24.62,24.74,4964700,24.17
25-Jun-04,24.78,24.86,24.55,24.55,6040100,23.99
24-Jun-04,25.00,25.01,24.75,24.75,5312800,24.18
23-Jun-04,25.11,25.15,24.75,25.01,8225800,24.44
22-Jun-04,25.26,25.32,25.08,25.16,4667000,24.58
21-Jun-04,25.30,25.46,25.25,25.30,3931200,24.72
18-Jun-04,25.44,25.69,25.29,25.30,6195400,24.72
17-Jun-04,25.58,25.75,25.48,25.70,3147800,25.11
16-Jun-04,25.80,25.93,25.58,25.70,3885300,25.11
15-Jun-04,25.90,26.10,25.75,25.84,4560700,25.25
14-Jun-04,25.70,26.03,25.69,25.78,4268500,25.19
10-Jun-04,25.72,25.85,25.68,25.85,3456300,25.26
9-Jun-04,25.79,25.98,25.53,25.63,3451100,25.04
8-Jun-04,25.95,26.10,25.80,25.90,4954000,25.31
7-Jun-04,25.55,25.94,25.55,25.90,4987200,25.31
4-Jun-04,25.22,25.47,25.21,25.47,5373500,24.89
3-Jun-04,25.30,25.37,25.13,25.17,3371300,24.59
2-Jun-04,25.33,25.41,25.03,25.29,4071000,24.71
1-Jun-04,25.25,25.32,25.12,25.26,4263100,24.68
28-May-04,25.16,25.30,25.05,25.27,4937800,24.69
27-May-04,25.09,25.30,25.02,25.25,4993500,24.67
26-May-04,25.08,25.15,24.93,25.05,4090100,24.47
25-May-04,24.77,25.15,24.77,25.11,4684700,24.53
24-May-04,25.06,25.10,24.73,24.93,4576400,24.36
21-May-04,25.94,25.94,24.91,25.07,5729400,24.49
20-May-04,25.30,25.44,25.06,25.11,6242800,24.53
19-May-04,25.65,25.90,25.39,25.49,4211700,24.90
18-May-04,25.50,25.79,25.46,25.55,3910400,24.96
17-May-04,25.30,25.70,25.27,25.43,4062600,24.85
14-May-04,25.35,25.79,25.35,25.66,3991200,25.07
13-May-04,25.57,25.65,25.36,25.48,3941300,24.89
12-May-04,25.25,25.60,25.09,25.57,4231200,24.98
11-May-04,25.39,25.52,25.20,25.45,4806700,24.87
10-May-04,25.90,25.92,25.07,25.38,7177600,24.80
7-May-04,26.18,26.38,26.00,26.00,6634800,25.40
6-May-04,26.04,26.29,25.89,26.18,7010600,25.58
5-May-04,26.10,26.42,25.98,26.05,7685200,25.45
4-May-04,25.80,25.92,25.48,25.78,6505200,25.19
3-May-04,25.40,25.63,25.20,25.61,5797400,25.02
30-Apr-04,25.35,25.54,25.10,25.10,6974800,24.52
29-Apr-04,25.62,25.68,25.10,25.30,9295200,24.72
28-Apr-04,25.08,25.63,24.85,25.48,12302100,24.89
27-Apr-04,25.08,25.08,24.60,24.72,8363700,24.15
26-Apr-04,25.00,25.02,24.65,24.76,6456800,24.19
23-Apr-04,24.70,24.98,24.61,24.90,7369700,24.33
22-Apr-04,24.40,24.78,24.26,24.70,7172300,24.13
21-Apr-04,24.33,24.67,24.31,24.38,9069900,23.82
20-Apr-04,24.54,24.77,24.16,24.16,5377700,23.61
19-Apr-04,24.88,24.93,24.42,24.53,5882100,23.97
16-Apr-04,24.98,25.25,24.68,24.88,8515800,24.31
15-Apr-04,24.55,25.10,24.50,24.97,12909800,24.40
14-Apr-04,24.09,24.83,24.08,24.50,7315600,23.94
13-Apr-04,24.50,24.59,24.08,24.08,5700000,23.53
12-Apr-04,24.25,24.40,24.06,24.37,4210300,23.81
8-Apr-04,24.70,24.75,23.90,24.02,5856200,23.47
7-Apr-04,24.34,24.54,24.20,24.34,4297800,23.78
6-Apr-04,24.65,24.74,24.27,24.34,5053600,23.78
5-Apr-04,24.36,24.75,24.35,24.64,6600500,24.07
2-Apr-04,24.83,24.84,24.23,24.36,7228700,23.80
1-Apr-04,24.17,24.50,24.17,24.31,8577800,23.75
31-Mar-04,23.93,24.38,23.85,24.23,7875900,23.67
30-Mar-04,24.33,24.55,23.89,24.21,8721800,23.38
29-Mar-04,24.22,24.44,24.16,24.33,7060000,23.50
26-Mar-04,24.03,24.40,23.81,24.13,8176900,23.30
25-Mar-04,24.10,24.25,23.77,24.03,9263100,23.21
24-Mar-04,24.35,24.37,23.72,24.00,10420300,23.18
23-Mar-04,24.55,24.60,24.28,24.29,8380900,23.46
22-Mar-04,25.20,25.20,24.40,24.45,9262400,23.61
19-Mar-04,25.30,25.44,25.20,25.20,6638000,24.34
18-Mar-04,25.50,25.91,25.36,25.50,5141800,24.63
17-Mar-04,25.45,25.73,25.40,25.53,6943600,24.66
16-Mar-04,25.35,25.45,24.86,25.25,8655400,24.38
15-Mar-04,25.82,25.82,25.09,25.19,7997200,24.33
12-Mar-04,25.67,26.00,25.61,25.83,5909800,24.94
11-Mar-04,25.60,25.90,25.38,25.58,13657000,24.70
10-Mar-04,27.05,27.10,25.99,26.07,13941500,25.18
9-Mar-04,27.50,27.65,27.05,27.20,10973400,26.27
8-Mar-04,28.10,28.16,27.89,27.90,5378500,26.94
5-Mar-04,28.00,28.28,27.97,28.23,4609100,27.26
4-Mar-04,28.37,28.37,28.00,28.19,4700600,27.22
3-Mar-04,27.82,28.18,27.68,28.13,4758600,27.17
2-Mar-04,28.05,28.26,27.95,28.12,4481100,27.16
1-Mar-04,27.82,28.29,27.78,28.24,5490800,27.27
27-Feb-04,27.29,28.11,27.29,27.82,8604000,26.87
26-Feb-04,28.46,28.50,28.18,28.23,7025400,27.26
25-Feb-04,28.44,28.60,28.37,28.58,5357200,27.60
24-Feb-04,28.35,28.55,28.22,28.39,5606400,27.42
23-Feb-04,28.28,28.55,28.14,28.44,4708700,27.47
20-Feb-04,28.60,28.60,28.21,28.27,4437500,27.30
19-Feb-04,28.55,28.85,28.30,28.52,6263800,27.54
18-Feb-04,28.22,29.00,28.22,28.57,7057500,27.59
17-Feb-04,29.05,29.09,28.54,28.80,6947100,27.81
13-Feb-04,29.90,29.98,28.87,28.90,9432800,27.91
12-Feb-04,30.00,31.30,28.90,29.89,21835000,28.87
11-Feb-04,29.57,30.08,29.55,30.03,10358100,29.00
10-Feb-04,28.83,29.66,28.82,29.57,7801400,28.56
9-Feb-04,28.75,28.95,28.62,28.70,4694500,27.72
6-Feb-04,28.35,28.91,28.25,28.85,4411500,27.86
5-Feb-04,28.46,28.56,28.07,28.46,7616000,27.48
4-Feb-04,28.59,28.74,28.21,28.45,7592200,27.48
3-Feb-04,28.67,28.76,28.40,28.65,6276700,27.67
2-Feb-04,28.05,28.70,28.00,28.57,10385100,27.59
30-Jan-04,28.35,28.42,27.90,28.05,13066200,27.09
29-Jan-04,28.30,29.20,28.23,28.82,18896500,27.83
28-Jan-04,29.95,30.10,29.50,29.57,7493500,28.56
27-Jan-04,29.96,30.10,29.80,29.91,6732800,28.89
26-Jan-04,29.55,30.01,29.55,29.94,7234900,28.91
23-Jan-04,29.98,29.98,29.40,29.55,10889300,28.54
22-Jan-04,30.00,30.69,29.85,29.98,11758700,28.95
21-Jan-04,30.45,30.74,30.40,30.64,7633500,29.59
20-Jan-04,30.45,30.63,30.28,30.43,7249800,29.39
16-Jan-04,29.99,30.31,29.97,30.20,6040900,29.17
15-Jan-04,29.72,30.21,29.40,29.97,7383200,28.94
14-Jan-04,29.52,29.63,29.13,29.57,5018800,28.56
13-Jan-04,29.61,29.90,29.28,29.52,8406800,28.51
12-Jan-04,29.63,29.65,29.30,29.53,9143100,28.52
9-Jan-04,29.40,29.60,29.01,29.01,7283900,28.02
8-Jan-04,29.70,29.73,29.23,29.38,6285700,28.37
7-Jan-04,29.07,29.63,29.07,29.60,6032100,28.59
6-Jan-04,29.10,29.47,28.90,29.40,6385100,28.39
5-Jan-04,29.65,29.70,28.83,29.26,9947800,28.26
2-Jan-04,28.90,29.64,28.81,29.35,10198300,28.34
31-Dec-03,28.62,28.78,28.42,28.60,6807400,27.62
30-Dec-03,28.25,28.86,28.15,28.42,10279100,27.45
29-Dec-03,27.75,28.01,27.69,27.99,5190800,26.76
26-Dec-03,27.70,27.72,27.56,27.59,1649500,26.38
24-Dec-03,27.44,27.68,27.39,27.53,3089700,26.32
23-Dec-03,27.25,27.58,27.25,27.42,5985500,26.22
22-Dec-03,27.20,27.34,27.02,27.28,4632700,26.08
19-Dec-03,27.21,27.21,26.80,27.19,5924900,26.00
18-Dec-03,27.06,27.23,26.99,27.21,4746600,26.01
17-Dec-03,27.00,27.00,26.75,26.96,5485700,25.78
16-Dec-03,26.40,26.80,26.40,26.77,5504200,25.59
15-Dec-03,26.78,26.80,26.39,26.41,5244700,25.25
12-Dec-03,26.22,26.58,26.21,26.51,4512600,25.35
11-Dec-03,26.00,26.33,25.92,26.21,4259000,25.06
10-Dec-03,25.82,25.99,25.76,25.92,4150900,24.78
