Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,31.77,31.88,30.88,31.48,6455700,31.48
10-May-05,31.85,32.10,31.32,31.50,7020300,31.50
9-May-05,31.93,32.17,31.48,32.00,4395100,32.00
6-May-05,31.93,32.15,31.55,31.95,5643800,31.95
5-May-05,31.74,32.51,31.49,31.56,8807400,31.56
4-May-05,30.33,31.86,30.30,31.69,10354700,31.69
3-May-05,29.56,30.28,29.56,30.15,8074700,30.15
2-May-05,30.10,30.28,29.56,29.63,6695600,29.63
29-Apr-05,29.80,30.14,29.28,29.90,7308300,29.90
28-Apr-05,29.97,30.44,29.50,29.56,5753500,29.56
27-Apr-05,30.00,30.16,29.63,29.90,8818800,29.90
26-Apr-05,30.16,31.01,30.01,30.20,6422600,30.20
25-Apr-05,30.20,30.50,30.06,30.32,4868800,30.32
22-Apr-05,30.20,30.58,29.79,29.92,12521000,29.92
21-Apr-05,28.60,29.69,28.52,29.45,10260800,29.45
20-Apr-05,28.95,29.00,28.05,28.12,7225900,28.12
19-Apr-05,28.54,28.56,28.08,28.40,5123400,28.40
18-Apr-05,27.37,28.00,27.37,27.81,5415600,27.81
15-Apr-05,28.29,28.92,27.46,27.48,9650200,27.48
14-Apr-05,29.83,29.95,28.94,29.05,6431000,29.05
13-Apr-05,30.55,30.55,29.60,29.68,4784800,29.68
12-Apr-05,30.43,30.69,29.93,30.64,5704700,30.64
11-Apr-05,30.75,30.86,30.50,30.58,3630300,30.58
8-Apr-05,30.77,30.94,30.42,30.72,5990600,30.72
7-Apr-05,30.09,30.80,29.88,30.71,7810300,30.71
6-Apr-05,30.24,30.65,30.04,30.07,7962100,30.07
5-Apr-05,29.92,30.13,29.60,29.76,4806200,29.76
4-Apr-05,29.48,29.89,29.38,29.71,5251800,29.71
1-Apr-05,30.11,30.26,29.42,29.49,5958200,29.49
31-Mar-05,30.08,30.17,29.74,29.92,4922500,29.92
30-Mar-05,29.44,29.95,29.19,29.88,4405900,29.88
29-Mar-05,29.59,29.95,29.14,29.31,5373600,29.31
28-Mar-05,29.61,30.22,29.61,29.65,4315600,29.65
24-Mar-05,30.10,30.21,29.70,29.70,3927300,29.70
23-Mar-05,29.45,30.18,29.40,29.89,6392600,29.89
22-Mar-05,29.72,30.18,29.31,29.41,7018300,29.41
21-Mar-05,29.70,29.99,29.10,29.65,6417900,29.65
18-Mar-05,30.34,30.48,29.33,29.57,9661800,29.57
17-Mar-05,30.36,30.70,29.98,30.19,7885400,30.19
16-Mar-05,30.26,30.57,29.86,30.01,7919100,30.01
15-Mar-05,31.51,31.75,30.51,30.51,6935100,30.51
14-Mar-05,31.46,31.57,31.05,31.37,4785100,31.37
11-Mar-05,32.38,32.60,31.32,31.33,8422600,31.33
